Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013 -14,1,"ಬೆಂಗಳೂರು ಉತ್ತರ ತಾಲ್ಲೂಕು, ಬೃಹತ್ ಬೆಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆಯ ವಾರ್ಡ್ ನಂ.8 ಕೊಡಿಗೇಹಳ್ಳಿ ವ್ಯಾಪ್ತಿಯ ಶಾನುಭೋಗ ನಾರಾಯಣಪ್ಪ ಮುಖ್ಯ ರಸ್ತೆ ಮತ್ತು ಅಭಿವೃದ್ಧಿ ಡಾಂಬರೀಕರಣ","Bangalore North Taluk, Bangalore Bangalore Metropolitan Corporation Ward No.8 Shanbhoga Narayanappa Main Road and Development of Kodigehalli",12.5
2,2013 -14,2,ಬೆಂಗಳೂರು ಉತ್ತರ ತಾಲ್ಲೂಕು ಬೃಹತ್ ಬೆಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆಯ ವಾರ್ಡ್ ನಂ.11 ಕುವೆಂಪುನಗರ ವ್ಯಾಪ್ತಿಯ ಕುವೆಂಪುನಗರದ ಮೊದಲನೇ ಹಂತದ ಅಡ್ಡರಸ್ತೆಗಳ ಅಭಿವೃದ್ಧಿ ಮತ್ತು ಡಾಂಬರೀಕರಣ,Bangalore North Taluk Great Bangalore Metropolitan Corporation Ward No. 11 Development of Kuvempunagar Kuvempunagar Development and Development of the 1st Stage Roads,20.0
3,2013 -14,3,ಬೆಂಗಳೂರು ಉತ್ತರ ತಾಲ್ಲೂಕು ಬೃಹತ್ ಬೆಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆಯ ವಾರ್ಡ್ ನಂ.5 ಜಕ್ಕೂರು ವ್ಯಾಪ್ತಿಯ ಕೋಗಿಲು ಬಡಾವಣೆಯ ಮುಖ್ಯರಸ್ತೆಯಿಂದ ಮಸೀದಿವರೆಗೆ ರಸ್ತೆ ಅಭಿವೃದ್ಧಿ ಮತ್ತು ಡಾಂಬರೀಕರಣ,"Road Improvement and Urbanization of Bangalore North Municipal Corporation Ward 5, Jakkur Junction, Main Road to Masjid",12.5
4,2013 -14,4,ಬೆಂಗಳೂರು ಉತ್ತರ ತಾಲ್ಲೂಕು ಬೃಹತ್ ಬೆಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆಯ ವಾರ್ಡ್ ನಂ.5 ಜಕ್ಕೂರು ವ್ಯಾಪ್ತಿಯ ಬಸವಲಿಂಗಪ್ಪ ನಗರದ ಅಡ್ಡರಸ್ತೆಗಳ ಅಭಿವೃದ್ಧಿ ಮತ್ತು ಡಾಂಬರೀಕರಣ,Bangalore North Taluk Great Bangalore Metropolitan Corporation Ward No. 5 Development of Basavalingappa Urban Development and Urbanization of Jakkur,12.5
5,2013 -14,5,ಬೆಂಗಳೂರು ಉತ್ತರ ತಾಲ್ಲೂಕು ಬೃಹತ್ ಬೆಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆಯ ವಾರ್ಡ್ ನಂ.5 ಜಕ್ಕೂರು ವ್ಯಾಪ್ತಿಯ ಯು.ಎ.ಎಸ್ ಬಡಾವಣೆಯ ಮುಖ್ಯರಸ್ತೆ ಮತ್ತು ಅಡ್ಡರಸ್ತೆಗಳ ಅಭಿವೃದ್ಧಿ ಮತ್ತು ಡಾಂಬರೀಕರಣ,Bangalore North Taluk Great Bangalore Metropolitan Corporation Ward No. 5 Development of UAS Layout and Crossroads,30.0
6,2013 -14,6,ಬೆಂಗಳೂರು ಉತ್ತರ ತಾಲ್ಲೂಕು ಬೃಹತ್ ಬೆಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆಯ ವಾರ್ಡ್ ನಂ.7 ಬ್ಯಾಟರಾಯನಪುರ ವ್ಯಾಪ್ತಿಯ ಸಂಜೀವಿನಿನಗರದ 12 ಮತ್ತು 13ನೇ ಮುಖ್ಯರಸ್ತೆಗಳ ಅಭಿವೃದ್ಧಿ ಮತ್ತು ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆಗಳ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ,"Bangalore North Taluk Greater Bangalore Metropolitan Corporation Ward No.7 Bannerghanapura, 12th and 13th Main Roads Development and Concrete Roads",11.0
7,2013 -14,7,ಬೆಂಗಳೂರು ಉತ್ತರ ತಾಲ್ಲೂಕು ಬೃಹತ್ ಬೆಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆಯ  ಸಂಜೀವಿನಿನಗರದ 15 ಮತ್ತು 16ನೇ ಮುಖ್ಯರಸ್ತೆಗಳ ಅಭಿವೃದ್ಧಿ ಮತ್ತು ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆಗಳ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ,"Development of the 15th and 16th Main Roads and the Concrete Roads of Sanjeevini Road, Bangalore North Taluk, Great Bangalore Metropolitan Corporation",18.0
8,2013 -14,8,"ಬೆಂಗಳೂರು ಉತ್ತರ ತಾಲ್ಲೂಕು, ಬೃಹತ್ ಬೆಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆಯ ವಾರ್ಡ್ ಸಂ.6 ಥಣಿಸಂದ್ರ ವ್ಯಾಪ್ತಿಯ ನಾರ್ಥ್ ಸಿಟಿಯ ಲೈಬ್ರರಿ ಕಟ್ಟಡ ಅಭಿವೃದ್ದಿ ಮತ್ತು ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ","Bangalore North Taluk, Great Bangalore Metropolitan Corporation Ward No.6 North Citizen Library Building Thanissandra Range Building and Construction Work",5.0
9,2013 -14,9,"ಬೆಂಗಳೂರು ಉತ್ತರ ತಾಲ್ಲೂಕು, ಬೃಹತ್ ಬೆಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆಯ ವಾರ್ಡ್ ಸಂ.9 ವಿದ್ಯಾರಣ್ಯಪುರ ವ್ಯಾಪ್ತಿಯ ರಾಘವೇಂದ್ರ ಮಠದ ಅಭಿವೃದ್ದಿ ಮತ್ತು ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ","Bangalore North Taluk, Great Bangalore Metropolitan Corporation Ward No. 9 Development and Construction of Raghavendra Math on Vidaranyanapura Range",5.0
10,2013 -14,10,"ಬೆಂಗಳೂರು ಉತ್ತರ ತಾಲ್ಲೂಕು, ಬೃಹತ್ ಬೆಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆಯ ವಾರ್ಡ್ ಸಂ.10 ದೊಡ್ಡಬಮ್ಮಸಂದ್ರ ವ್ಯಾಪ್ತಿಯ ರಾಘವೇಂದ್ರ ಮಠದ ಅಭಿವೃದ್ದಿ ಮತ್ತು ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ","Bangalore North Taluk, Great Bangalore Metropolitan Corporation Ward No.10 Development and Construction of Raghavendra Mutt at Vallabhamasandra Range",5.0
