Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013 -14,1,ದಾಸರಹಳ್ಳಿ ವಿ.ಸ. ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.14ರ ಸೌಂದರ್ಯನಗರದಲ್ಲಿ ಒಂದು ಕೊಳವೆ ಬಾವಿ ಮತ್ತು ಪೈಪ್ ಲೈನ್ ಅಳವಡಿಸುವುದು,Dasarahalli V. S. Insert a tube well and pipe line at the beauty of the field Ward 14,2.5
2,2013 -14,2,ದಾಸರಹಳ್ಳಿ ವಿ.ಸ. ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.39ರ ನೆಲಗದರನಹಳ್ಳಿಯ ಜೋಡಿಕಲ್ಯಾಣ ಬಾವಿಯಲ್ಲಿ ಒಂದು ಕೊಳವೆ ಬಾವಿ ಮತ್ತು ಪೈಪ್ ಲೈನ್ ಅಳವಡಿಸುವುದು,Dasarahalli V. S. Implementation of a tube well and pipe line in the well-watered well of the field Ward No. 39,5.0
3,2013 -14,3,ದಾಸರಹಳ್ಳಿ ವಿ.ಸ. ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.12ರ ಗೆಳೆಯರ ಬಳಗ ಬಡಾವಣೆಯಲ್ಲಿ ಒಂದು ಕೊಳವೆ ಬಾವಿ ಮತ್ತು ಪಂಪು ಮೋಟಾರ್ ಅಳವಡಿಸುವುದು,Dasarahalli V. S. Establishment of a nozzle well and pump motor at the side of the field ward number 12,5.0
4,2013 -14,4,ದಾಸರಹಳ್ಳಿ ವಿ.ಸ. ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.71ರ ಹೆಗ್ಗನಹಳ್ಳಿಯ ಪಟ್ಟಲಮ್ಮ ದೇವಸ್ಥಾನದ ರಸ್ತೆಗೆ ಕಾಂಕ್ರೀಟ್ ಹಾಕುವ ಕಾಮಗಾರಿ,"Dasarahalli V. S. Construction work for Pattanamma temple road in Henganahalli, Ward No.71 of the constituency.",2.5
5,2013 -14,5,ದಾಸರಹಳ್ಳಿ ವಿ.ಸ. ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.12ರ ಅಬ್ಬೀಗೆರೆ ನಿಸರ್ಗ ಬಡಾವಣೆಯಲ್ಲಿ ಕೊಳವೆ ಬಾವಿಗೆ ಪಂಪು ಮೋಟಾರ್ ಮತ್ತು ಪೈಪ್ ಲೈನ್ ಅಳವಡಿಸುವುದು,Dasarahalli V. S. Implementation of Pump Motor and Pipe Line to Tube Well in Abbeygere Nature Layout of Ward No 12,2.0
6,2013 -14,6,ದಾಸರಹಳ್ಳಿ ವಿ.ಸ. ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.12ರ ಅಬ್ಬೀಗೆರೆ ನಿಸರ್ಗ ಬಡಾವಣೆಯಲ್ಲಿ ಕೊಳವೆ ಬಾವಿಗೆ ಪಂಪು ಮೋಟಾರ್ ಮತ್ತು ಪೈಪ್ ಲೈನ್ ಅಳವಡಿಸುವುದು,Dasarahalli V. S. Implementation of Pump Motor and Pipe Line to Tube Well in Abbeygere Nature Layout of Ward No 12,2.5
7,2013 -14,7,ದಾಸರಹಳ್ಳಿ ವಿ.ಸ. ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.12ರ ಅಬ್ಬೀಗೆರೆ ಸೂರಜ್ ಎನ್ ಕ್ಲೇವ್‍ನಲ್ಲಿ ಕೊಳವೆ ಬಾವಿಗೆ ಪಂಪು ಮೋಟಾರ್ ಮತ್ತು ಪೈಪ್ ಲೈನ್ ಅಳವಡಿಸುವುದು,Dasarahalli V. S. Implementing Pump Motor and Pipe Line to the Pipe Well in Abbigere Suraj En Clave of Ward Ward 12,2.0
8,2013 -14,8,ದಾಸರಹಳ್ಳಿ ವಿ.ಸ. ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.12ರ ಅಬ್ಬೀಗೆರೆ ಸೂರಜ್ ಎನ್ ಕ್ಲೇವ್‍ನಲ್ಲಿ ಕೊಳವೆ ಬಾವಿಗೆ ಪಂಪು ಮೋಟಾರ್ ಮತ್ತು ಪೈಪ್ ಲೈನ್ ಅಳವಡಿಸುವುದು,Dasarahalli V. S. Implementing Pump Motor and Pipe Line to the Pipe Well in Abbigere Suraj En Clave of Ward Ward 12,2.5
9,2013 -14,9,ಬೆಂ.ಉ.ತಾ. ಸೋಮಶೆಟ್ಟಿಹಳ್ಳಿ ಗ್ರಾ.ಪಂ. ಲಕ್ಷ್ಮೀಪುರ U್ಫ್ರಮ ವ್ಯಾಪ್ತಿಯ ಆಶ್ರಯ ಕಾಲೋನಿಯಲ್ಲಿ (ಎಸ್.ಸಿ./ಎಸ್.ಟಿ.) ಸಮುದಾಯ ಭವನ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ,Bt. Somashetti Hilli Gram Panchayat Community Building Construction at Laxmipur Ufframa Rural Shelter Colony (SC / ST),15.0
10,2013 -14,10,ದಾಸರಹಳ್ಳಿ ವಿ.ಸ. ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ಕೆರೆಗುಡ್ಡದಹಳ್ಳಿ ಪಶ್ಚಿಮ ಕಾಂಟಿಯಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವುದು,Dasarahalli V. S. Trench well drilling in Keregudadahalli West Kandy,2.5
11,2013 -14,11,ದಾಸರಹಳ್ಳಿ ವಿ.ಸ. ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ಕೆರೆಗುಡ್ಡದಹಳ್ಳಿ ಪಶ್ಚಿಮ ಕಾಂಟಿಯಲ್ಲಿ ಕೊಳವೆ ಬಾವಿಗೆ ಪಂಪು ಮೋಟಾರ್ ಮತ್ತು ಪೈಪ್ ಲೈನ್ ಅಳವಡಿಸುವುದು,"Dasarahalli V. S. Implementation of Pump Motor and Pipe Line to Tube Well in Keregudadahalli, West Kanti",2.5
12,2013 -14,12,Construction of RCC Drain in 7th Main road (Narasimha Shetty house to Spoorty nilaya House) Lakshman nagar in Heggadahalli ward No.71,Construction of RCC Drain in 7th Main road (Narasimha Shetty house to Spoorty nilaya House) Lakshman nagar in Heggadahalli ward No.71,5.0
13,2013 -14,13,Construction of RCC Drain in 7th Main road (Lakshmi srinivas house to Sushilamma House) Lakshman nagar in Heggadahalli ward No.71,Construction of RCC Drain in 7th Main road (Lakshmi srinivas house to Sushilamma House) Lakshman nagar in Heggadahalli ward No.71,5.0
14,2013 -14,14,ದಾಸರಹಳ್ಳಿ ವಿ.ಸ. ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ಬಾಗಲಗುಂಟೆ ವಾರ್ಡ್ ನಂ.14 ಕಿಲೋಸ್ಕರ್ ಬಡಾವಣೆಯಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವುದು,Dasarahalli V. S. Borewelling in the field range Bagalkunte Ward No. 14Kilaskar Layout,2.5
15,2013 -14,15,ದಾಸರಹಳ್ಳಿ ವಿ.ಸ. ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ಬಾಗಲಗುಂಟೆ ವಾರ್ಡ್ ನಂ.14 ಕಿಲೋಸ್ಕರ್ ಬಡಾವಣೆಯಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಪಂಪು ಮೋಟಾರ್ ಮತ್ತು ಪೈಪ್ ಲೈನ್ ಅಳವಡಿಸುವುದು,Dasarahalli V. S. Implementation of the nozzle well pump motor and pipe line in the field range Bagalkunde Ward No. 14 Kiloscar Layout.,2.5
16,2013 -14,16,ದಾಸರಹಳ್ಳಿ ವಿ.ಸ. ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ನೆಲಗದರನಹಳ್ಳಿ ವಾರ್ಡ್ ನಂ.41 ಸರ್ಕಾರಿ ಶಾಲೆ ಮುಂಭಾಗ ಸ್ತ್ರೀಶಕ್ತಿ ಭವನ ಕಟ್ಟಡ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ (1ನೇ ಮಹಡಿ),Dasarahalli V. S. Field Range Niladarahanahalli Ward No.41 Government School Front Female House Building Building Construction (1st floor),12.0
17,2013 -14,17,ಬೆಂ.ಉ.ತಾ. ಯಶವಂತರಪುರ ಹೋಬಳಿ ಚಿಕ್ಕ ಬಾಣಾವಾರ ಗ್ರಾ.ಪಂ. ವ್ಯಾಪ್ತಿಯ ಆಚಾರ್ಯ ಕಾಲ್ಭೆಜ್ ಮುಖ್ಯರಸ್ತೆಯಿಂದ ತಮ್ಮನಹಳ್ಳಿ ಗಡಿಯವರೆಗೆ ರಸ್ತೆ ಅಭಿವೃದ್ದಿ ಕಾಮಗಾರಿ (ಸರಪಳಿ 0.00 ಮೀ. ನಿಂದ 86.00 ಮೀ.ವರೆಗೆ),Bt. Yeshwanthpur Hobli Small Banavara Gram Panchayat Road Development Work (Chain 0.00 m to 86.00 m) from Acharya Colbhaj Headquarters to Jannahi border,5.0
18,2013 -14,18,ಬೆಂ.ಉ.ತಾ. ಯಶವಂತರಪುರ ಹೋಬಳಿ ಚಿಕ್ಕ ಬಾಣಾವಾರ ಗ್ರಾ.ಪಂ. ವ್ಯಾಪ್ತಿಯ ಆಚಾರ್ಯ ಕಾಲ್ಭೆಜ್ ಮುಖ್ಯರಸ್ತೆಯಿಂದ ತಮ್ಮನಹಳ್ಳಿ ಗಡಿಯವರೆಗೆ ರಸ್ತೆ ಅಭಿವೃದ್ದಿ ಕಾಮಗಾರಿ (ಸರಪಳಿ 86.00 ಮೀ. ನಿಂದ 172 ಮೀ.ವರೆಗೆ),Bt. Yeshwanthpur Hobli Small Banavara Gram Panchayat Road development work (chain 86.00 m to 172 m) from Acharya Colbhaj Headquarters to Jannahi border,5.0
19,2013 -14,19,ಬೆಂ.ಉ.ತಾ. ಯಶವಂತರಪುರ ಹೋಬಳಿ ಚಿಕ್ಕ ಬಾಣಾವಾರ ಗ್ರಾ.ಪಂ. ವ್ಯಾಪ್ತಿಯ ಆಚಾರ್ಯ ಕಾಲ್ಭೆಜ್ ಮುಖ್ಯರಸ್ತೆಯಿಂದ ತಮ್ಮನಹಳ್ಳಿ ಗಡಿಯವರೆಗೆ ರಸ್ತೆ ಅಭಿವೃದ್ದಿ ಕಾಮಗಾರಿ (ಸರಪಳಿ 172.00 ಮೀ. ನಿಂದ 271.60 ಮೀ.ವರೆಗೆ),Bt. Yeshwanthpur Hobli Small Banavara Gram Panchayat Road development work (chain 172.00 m to 271.60 m) from Acharya Kolhbage mainland to range to Honni border,5.0
20,2013 -14,20,ಬೆಂ.ಉ.ತಾ. ಯಶವಂತರಪುರ ಹೋಬಳಿ ಚಿಕ್ಕ ಬಾಣಾವಾರ ಗ್ರಾ.ಪಂ. ವ್ಯಾಪ್ತಿಯ ಆಚಾರ್ಯ ಕಾಲ್ಭೆಜ್ ಮುಖ್ಯರಸ್ತೆಯಿಂದ ತಮ್ಮನಹಳ್ಳಿ ಗಡಿಯವರೆಗೆ ರಸ್ತೆ ಅಭಿವೃದ್ದಿ ಕಾಮಗಾರಿ (ಸರಪಳಿ 271.600 ಮೀ. ನಿಂದ 357.60 ಮೀ.ವರೆಗೆ),Bt. Yeshwanthpur Hobli Small Banavara Gram Panchayat Road Development Work (Chain 271.600 m to 357.60 m) from Acharya Colbhaj Headquarters to Yanahalli Border,5.0
21,2013 -14,21,ಬೆಂ.ಉ.ತಾ. ಯಶವಂತರಪುರ ಹೋಬಳಿ ಚಿಕ್ಕ ಬಾಣಾವಾರ ಗ್ರಾ.ಪಂ. ವ್ಯಾಪ್ತಿಯ ಆಚಾರ್ಯ ಕಾಲ್ಭೆಜ್ ಮುಖ್ಯರಸ್ತೆಯಿಂದ ತಮ್ಮನಹಳ್ಳಿ ಗಡಿಯವರೆಗೆ ರಸ್ತೆ ಅಭಿವೃದ್ದಿ ಕಾಮಗಾರಿ (ಸರಪಳಿ 357.60 ಮೀ. ನಿಂದ 457.60 ಮೀ.ವರೆಗೆ),Bt. Yeshwanthpur Hobli Small Banavara Gram Panchayat Road development work (chain 357.60 m to 457.60 m) from Acharya Colbhaj main range to range to Honni border,5.0
22,2013 -14,22,"ಬೆಂ.ಉ.ತಾ. ಯಶವಂತಪುರ ಹೋಬಳಿ, ಚಿಕ್ಕಬಾಣಾವಾರ ಗ್ರಾ.ಪಂ. ವ್ಯಾಪ್ತಿಯ ಆಚಾರ್ಯ ಕಾಲ್ಭೆಜ್ ಮುಖ್ಯರಸ್ತೆಯಿಂದ ರೆಡ್ಡಿ ಮನೆಯವರೆಗೆ ರಸ್ತೆ ಅಭಿವೃದ್ದಿ ಕಾಮಗಾರಿ","Bt. Yashwantpur Hobli, Chikkanavaravar Gram Panchayat Road development works from Acharya Colbhaj Headquarters to Reddy House",5.0
23,2013 -14,23,ದಾಸರಹಳ್ಳಿ ವಿ.ಸ. ಕ್ಷೇತ್ರದ ಚೊಕ್ಕಸಂದ್ರದ ವಾರ್ಡ್ ನಂ.39 ಚೊಕ್ಕಸಂದ್ರ ಮುಖ್ಯರಸ್ತೆಯ 14ನೇ ಕ್ರಾಸ್‍ನ ಮಹೇಶ್ವರಪ್ಪರವರ ಮನೆಯಿಂದ ಪಿಳ್ಳಪ್ಪ ಮನೆಯವರೆಗೆ ಸಿಮೆಂಟ್ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ,Dasarahalli V. S. Cement concrete road construction work from Maheshwarappa's house on 14th Cross of Chokkasandra Ward Ward No.39 Chokasandra Main Road to Pillappa House,2.5
24,2013 -14,24,ದಾಸರಹಳ್ಳಿ ವಿ.ಸ. ಕ್ಷೇತ್ರದ ಚೊಕ್ಕಸಂದ್ರದ ವಾರ್ಡ್ ನಂ.39 ಚೊಕ್ಕಸಂದ್ರ ಮುಖ್ಯರಸ್ತೆಯ 14ನೇ ಕ್ರಾಸ್‍ನಪಿಳ್ಳಪ್ಪರವರ ಮನೆಯಿಂದ ಮಂಜಣ್ಣ ಮನೆಯವರೆಗೆ ಸಿಮೆಂಟ್ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ,Dasarahalli V. S. Cement concrete road construction up to Manjanna house from 14th Crossanapillappa's house on the Chokasandra Ward Ward No.39 Chokasandra Main Road,2.5
25,2013 -14,25,ದಾಸರಹಳ್ಳಿ ವಿ.ಸ. ಕ್ಷೇತ್ರದ ಚೊಕ್ಕಸಂದ್ರದ ವಾರ್ಡ್ ನಂ.39 ಚೊಕ್ಕಸಂದ್ರ ಮುಖ್ಯರಸ್ತೆಯ 14ನೇ ಕ್ರಾಸ್‍ನ ಮಂಜಣ್ಣ್ಪರವರ ಮನೆಯಿಂದ ಅಂಗನವಾಡಿಯವರೆಗೆ ಸಿಮೆಂಟ್ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ,Dasarahalli V. S. Cement concrete road construction work from Anganwadi House in 14th Cross to Anganwadi in Wardha No.1 Chokasandra Main Road,2.5
26,2013 -14,26,ದಾಸರಹಳ್ಳಿ ವಿ.ಸ. ಕ್ಷೇತ್ರದ ಚೊಕ್ಕಸಂದ್ರದ ವಾರ್ಡ್ ನಂ.39 ಚೊಕ್ಕಸಂದ್ರ ಮುಖ್ಯರಸ್ತೆಯ 12ನೇ ಕ್ರಾಸ್‍ನ ಸಂಜೀವಪ್ಪರವರ ಮನೆಯಿಂದ ರಘು ಮನೆಯವರೆಗೆ ಸಿಮೆಂಟ್ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ,Dasarahalli V. S. Cement concrete road construction up to Raghu house from Sanjeevappa's house on 12th Cross of Chokkasandra mainland Ward No.39,2.5
27,2013 -14,27,ದಾಸರಹಳ್ಳಿ ವಿ.ಸ. ಕ್ಷೇತ್ರದ ಚೊಕ್ಕಸಂದ್ರದ ವಾರ್ಡ್ ನಂ.39 ಚೊಕ್ಕಸಂದ್ರ ಮುಖ್ಯರಸ್ತೆಯ 12ನೇ ಕ್ರಾಸ್‍ನ ರಘುರವರ ಮನೆಯಿಂದ  ರಾಮಾಂಜಿನಪ್ಪ ಮನೆಯವರೆಗೆ ಸಿಮೆಂಟ್ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ,Dasarahalli V. S. Cement concrete road construction up to Ramanjinappa house from Raghu's house on the 12th Cross of Chokkasandra Ward Ward No.39,2.5
28,2013 -14,28,ದಾಸರಹಳ್ಳಿ ವಿ.ಸ. ಕ್ಷೇತ್ರದ ಚೊಕ್ಕಸಂದ್ರದ ವಾರ್ಡ್ ನಂ.39 ಚೊಕ್ಕಸಂದ್ರ ಮುಖ್ಯರಸ್ತೆಯ 12ನೇ ಕ್ರಾಸ್‍ನ ರಾಮಾಂಜಿನಪ್ಪರವರ ಮನೆಯಿಂದ ಮಾದೇಶ್ ಮನೆಯವರೆಗೆ ಸಿಮೆಂಟ್ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ,Dasarahalli V. S. Cement concrete road construction work from Ramanjinipappa's house on the 12th Cross of Chokkasandra Ward Ward No.39 Chokasandra Main Road,2.5
29,2013 -14,29,ಬೆಂಗಳೂರು ನಗರ ದಾಸರಹಳ್ಳಿ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದಲ್ಲಿನ ವ್ಯಾಪ್ತಿಯ ಬಾಗಲಗುಂಟೆ ವಾರ್ಡ್ ನಂ.14 ಸೌಂದರ್ಯ ಬಡಾವಣೆ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಸುವುದು,Bagalaguntu Ward No.14 in the Dasarahalli Assembly Constituency in Bangalore Urban Gardens,2.5
