Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2015-16,1,ಹೆಬ್ಬಾಳ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ಹೆಬ್ಬಾಳ ಮುಖ್ಯರಸ್ತೆಯಲ್ಲಿ ಎರಡು ಬಸ್ ತಂಗುದಾಣ,Hebbal assembly constituency is the two bus stand at Hebbal Headquarters,13.0
2,2015-16,2,ಹೆಬ್ಬಾಳ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ಸಿ.ಬಿ.ಐ. ರಸ್ತೆಯಲ್ಲಿ (ವಾರ್ಡ್-20)  ಎರಡು ಬಸ್ ತಂಗುದಾಣ,Hebbal assembly constituency Two bus shelters on the road (Ward-20),13.0
3,2015-16,3,ಆರ್.ಟಿ.ನಗರ ಮುಖ್ಯರಸ್ತೆ (ಅಂಚೆ ಕಛೇರಿ ಹತ್ತಿರ) ಯಲ್ಲಿ ಒಂದು ಬಸ್ ತಂಗುದಾಣ,A bus stop at RT Nagar Main Road (Near Post Office),6.5
4,2015-16,4,ಹೆಚ್.ಎಂ.ಟಿ. ಆಟದ ಮೈದಾನದ ಹತ್ತಿರ ಒಂದು ಬಸ್ ತಂಗುದಾಣ,HMT A bus stop near the playground,6.5
5,2015-16,5,108ಬಿ ಬಸ್ ನಿಲ್ದಾಣ ಗಂಗಾನಗರ ಇಲ್ಲಿ ಒಂದು ಬಸ್ ತಂಗುದಾಣ,108b bus station Ganganagar is a bus stop here,6.5
6,2015-16,6,ನ್ಯೂ ಬಿ.ಇ.ಎಲ್. ರಸ್ತೆಯಲ್ಲಿ ಒಂದು ಬಸ್ ತಂಗುದಾಣ,New BEL A bus stop on the road,6.5
7,2015-16,7,ಮೇಖ್ರಿ ವೃತ್ತ (ಹೆಚ್.ಎಂ.ಟಿ ಭವನ ಪಕ್ಕ ಹಾಗೂ ಎದುರು) ಎರಡು ಬಸ್ ತಂಗುದಾಣ,Mekhri Circa (opposite the HMT Bhavan and opposite) two bus stop,13.0
8,2015-16,8,ನಾಗಶೆಟ್ಟಿಹಳ್ಳಿ ಬಸ್ ನಿಲ್ದಾಣದ ಹತ್ತಿರ ಒಂದು ಬಸ್ ತಂಗುದಾಣ ವಾರ್ಡ್ ನಂ.19,A Bus Parking Area Ward No. 19 near Nagasettihalli Bus Station,6.5
9,2015-16,9,ಮಠದಹಳ್ಳಿ ವೃತ್ತದ ಹತ್ತಿರ ಬಸ್ ತಂಗುದಾಣ ವಾರ್ಡ್ ನಂ:46,Bus Parking Area Ward No. 46 near Mathadahalli Circle,6.5
10,2015-16,10,ಮಠದಹಳ್ಳಿ ಪಂಪ್‍ಹೌಸ್ ಬಸ್ ತಂಗುದಾಣ ವಾರ್ಡ್ ನಂ:46,Muttahalli Pumphouse Bus Parking Area Ward: 46,6.5
