Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013-14,1,"Providing M.S.Grill works & other additional works to Anganawadi Building at ward No.30, K.G.Halli, Bharath Slum Quarters (Korangu Jhopdi Pillanna Garden) SC/ST colony Bangalore","Providing M.S.Grill works & other additional works to Anganawadi Building at ward No.30, K.G.Halli, Bharath Slum Quarters (Korangu Jhopdi Pillanna Garden) SC/ST colony Bangalore",2.00
2,2013-14,2,ಬೆಂಗಳೂರು ನಗರ ಸರ್ವಜ್ಞನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ನಾಗವಾರ ವಾರ್ಡ್ ನಂ.23ರಲ್ಲಿ ಶುದ್ಧ ಕುಡಿಯುವ ನೀರಿನ ಘಟಕ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ,Clean drinking water unit in Nagara Ward No.23 of Bangalore City Sarvagnanagar Assembly constituency,10.00
3,2013-14,3,ಬೆಂಗಳೂರು ನಗರ ಸರ್ವಜ್ಞನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತÀ್ರ ವ್ಯಾಪ್ರಿಯ ಕಾಡುಗೊಂಡನಹಳ್ಳಿ ವಾರ್ಡ್ ನಂ.30ರಲ್ಲಿ ಶುದ್ಧ ಕುಡಿಯುವ ನೀರಿನ ಘಟಕ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ,"Bangalore Urban Sarvagnan Nagar Assembly Constituency, Vadugodanahalli Ward No.30 Pure Drinking Water Unit Construction Work",10.00 + 5.00
4,2013-14,4,Construction of Anganawadi building at Groundfloor & Tailoring Hall in 1st Floor at Kammanahalli ward Lingarajapuram slum KHB Quarters ward No.28 in sarvagnanagar Constituency,Construction of Anganawadi building at Groundfloor & Tailoring Hall in 1st Floor at Kammanahalli ward Lingarajapuram slum KHB Quarters ward No.28 in sarvagnanagar Constituency,19.50
5,2013-14,5,Construction of Anganawadi building at Groundfloor & Tailoring Hall in 1st Floor at Kammanahalli ward Lingarajapuram slum KHB Quarters ward No.24 in sarvagnanagar Constituency,Construction of Anganawadi building at Groundfloor & Tailoring Hall in 1st Floor at Kammanahalli ward Lingarajapuram slum KHB Quarters ward No.24 in sarvagnanagar Constituency,18.00
6,2013-14,6,ಬೆಂಗಳೂರು ಸರ್ವಜ್ಞನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ಕಮ್ಮನಹಳ್ಳಿ ವಾರ್ಡ್ ನಂ.28ರ ಕೆ.ಹೆಚ್.ಬಿ.ಕ್ವಾರ್ಟರ್ಸ್ ಪಕ್ಕ ಲಿಂಗರಾಜಪುರಂ ನಲ್ಲಿ ಅಂಗನವಾಡಿ ಕಟ್ಟಡ ನಿರ್ಮಾಣ,Anganwadi Building at Lingarajapuram on KHHB Quarters of Kammanahalli Ward No. 28 of Bangalore Sarvagnanagar Assembly Constituency,12.00
7,2013-14,7,"Construction of water tank sump, repair & painting works at Anganawadi & Primary health centre at Byranakumte nagawara ward No.24","Construction of water tank sump, repair & painting works at Anganawadi & Primary health centre at Byranakumte nagawara ward No.24",3.50
8,2013-14,8,"Construction of Anganawadi Building at Basavalingappa Nagar, ward No.23, Nagawara","Construction of Anganawadi Building at Basavalingappa Nagar, ward No.23, Nagawara",16.00
9,2013-14,9,"Repairs painting works for Anganawadi(Ground Floor) and Jai Hind Sports club (First Floor) at Nagawara Kabbadi Ground ward No.24, Sarvagnanagar Assembly Constituency","Repairs painting works for Anganawadi(Ground Floor) and Jai Hind Sports club (First Floor) at Nagawara Kabbadi Ground ward No.24, Sarvagnanagar Assembly Constituency",2.60
10,2013-14,10,Improvements to Hennur (Gundu Thopu) Anganawadi Buildingward No.24 (Stage-1),Improvements to Hennur (Gundu Thopu) Anganawadi Buildingward No.24 (Stage-1),2.50
11,2013-14,11,Improvements to Hennur (Gundu Thopu) Anganawadi Buildingward No.24 (Stage-2),Improvements to Hennur (Gundu Thopu) Anganawadi Buildingward No.24 (Stage-2),2.00
12,2013-14,12,Improvements to Kadugondanahalli Anganawadi Building Nagawara ward No.30 (Stage-1),Improvements to Kadugondanahalli Anganawadi Building Nagawara ward No.30 (Stage-1),2.50
13,2013-14,13,Improvements to Kadugondanahalli Anganawadi Building Nagawara ward No.30 (Stage-2),Improvements to Kadugondanahalli Anganawadi Building Nagawara ward No.30 (Stage-2),1.00
14,2013-14,14,"Construction of  Anganawadi center in ground floor and computer centre in first floor in muddappa garden ward No.59, (M.S.Nagar)","Construction of  Anganawadi center in ground floor and computer centre in first floor in muddappa garden ward No.59, (M.S.Nagar)",16.50
