Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013-14,1,ಶಾಂತಿನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ಶಾಂತಿನಗರ ವಾರ್ಡ್ ನಂ 112ರ ಪದವಿ ಪೂರ್ವ ಕಾಲೇಜು ಆವರಣದ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ,Shantinagar Municipal Ward Shantinagar Ward No. 112 Degree College Campus Development Work,10.0
2,2013-14,2,ದೊಮ್ಮಲ್ಲೂರು ಸರ್ಕಾರಿ ಪದವಿ ಪೂರ್ವ ಕಾಲೇಜು ಆವರಣದ ಅಭಿವೃದ್ದಿ ಕಾಮಗಾರಿ ಹಂತ -2,Dommallur Government Graduate College Campus Development Work Level 2,10.0
3,2013-14,3,ದೊಮ್ಮಲ್ಲೂರು ಸರ್ಕಾರಿ ಪದವಿ ಪೂರ್ವ ಕಾಲೇಜು ಆವರಣದ ಅಭಿವೃದ್ದಿ ಕಾಮಗಾರಿ ಹಂತ -3,Dommallur Government Graduate College Campus Development Complex - 3,5.0
4,2013-14,4,ಶಾಂತಿನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ಶಾಂತಿನಗರ  ವಾರ್ಡ್ ನಂ 116ರ ಬೊರ್‍ವೆಲ್ ಮತ್ತು ಸಿಸ್ಟನ್ ಅಳವಡಿಸುವ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ ಹಂತ-1,Development of the Borival and Siston Development Workshop at Shantinagar Ward No. 116 of Shantinagar Municipal Council,6.0
5,2013-14,5,ಶಾಂತಿನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ಶಾಚಿತಿನಗರ ವಾರ್ಡ್ ನಂ 116ರ ಬೊರ್‍ವೆಲ್ ಮತ್ತು ಸಿಸ್ಟನ್ ಅಳವಡಿಸುವ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ ಹಂತ-2,Barewell and Siston Implementation Development Stage -2011 of Shantinagar Municipal Council's Warden No. 116,6.0
6,2013-14,6,ಶಾಂತಿನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ಶಾಚಿತಿನಗರ ವಾರ್ಡ್ ನಂ 116ರ ಬೊರ್‍ವೆಲ್ ಮತ್ತು ಸಿಸ್ಟನ್ ಅಳವಡಿಸುವ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ ಹಂತ-3,Development of the Borewell and Siston Implementation Workshop at Writers' Ward No. 116 of Shantinagar Municipal Council,6.0
7,2013-14,7,ಶಾಂತಿನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ಶಾಚಿತಿನಗರ ವಾರ್ಡ್ ನಂ 116ರ ಬೊರ್‍ವೆಲ್ ಮತ್ತು ಸಿಸ್ಟನ್ ಅಳವಡಿಸುವ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ ಹಂತ-4,Development of the Borewell and Siston Implementation Workshop at the Shantinagar Municipal Assembly Ward 116,6.0
8,2013-14,8,ಶಾಂತಿನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ವನ್ನಾರ್ ಪೇಟೆ ವಾರ್ಡ್ ನಂ.115ರ ಬೋರ್ ವೆಲ್ ಮತ್ತು ಸಿಸ್ಟನ್ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ  ಹಂತ-1,Borewell and Siston Development Work Level 1 of Wannar Payette Ward No.115 of Shantinagar Methodology Area,6.0
9,2013-14,9,ಶಾಂತಿನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ವನ್ನಾರ್ ಪೇಟೆ ವಾರ್ಡ್ ನಂ.115ರ ಬೋರ್ ವೆಲ್ ಮತ್ತು ಸಿಸ್ಟನ್ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ  ಹಂತ-2,Borewell and Siston Development Work Level of Wannar Payette Ward No.115 of Shantinagar Methodology Area,6.0
10,2013-14,10,ಶಾಂತಿನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ವನ್ನಾರ್ ಪೇಟೆ ವಾರ್ಡ್ ನಂ.115ರ ಬೋರ್ ವೆಲ್ ಮತ್ತು ಸಿಸ್ಟನ್ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ  ಹಂತ-3,Borewell and Siston Development Work Level of Wannar Payette Ward No.115 of Shantinagar Methodology Area - 3,6.0
