Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013-14,1,"ಗಾಂಧಿನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರಕ್ಕೆ ಸೇರಿದ ವಾರ್ಡ್ ನಂ.95, ಸುಭಾಷ್ ನಗರ ವ್ಯಾಪ್ತಿಗೆ ಸೇರಿದ ಪಾಪಣ್ಣ ಬ್ಲಾಕ್ 1ನೇ ರಸ್ತೆಯಲ್ಲಿ ಈಗಿರುವ ಸಾರ್ವಜನಿಕ ಶೌಚಾಲಯ ಮತ್ತು ಮೂತ್ರಾಲಯದ ಕಟ್ಟಡ ನಿರ್ಮಾಣ ಹೊಸ ಕಾಂಪೌಂಡ್ ನಿರ್ಮಾಣ ಹಾಗೂ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿಗಾಗಿ ಹಂತ-1","Ward No.95 belonging to Gandhinagar assembly constituency, Papana Block 1st Street, Subhash Nagar Road, existing public toilet and urinal building construction phase 1 for new compound construction and development work",2.5
2,2013-14,2,"ಗಾಂಧಿನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರಕ್ಕೆ ಸೇರಿದ ವಾರ್ಡ್ ನಂ.95, ಸುಭಾಷ್ ನಗರ ವ್ಯಾಪ್ತಿಗೆ ಸೇರಿದ ಪಾಪಣ್ಣ ಬ್ಲಾಕ್ 1ನೇ ರಸ್ತೆಯಲ್ಲಿ ಈಗಿರುವ ಸಾರ್ವಜನಿಕ ಶೌಚಾಲಯ ಮತ್ತು ಮೂತ್ರಾಲಯದ ಕಟ್ಟಡ ನಿರ್ಮಾಣ ಹೊಸ ಕಾಂಪೌಂಡ್ ನಿರ್ಮಾಣ ಹಾಗೂ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿಗಾಗಿ ಹಂತ-2","Ward No.95 belonging to Gandhinagar assembly constituency, Sapanah Block 1st Street, Public Public Toilet and Urban Building, New Compound Construction and Development Work Step 2",2.5
3,2013-14,3,"ಗಾಂಧಿನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರಕ್ಕೆ ಸೇರಿದ ವಾರ್ಡ್ ನಂ.95, ಸುಭಾಷ್ ನಗರ ವ್ಯಾಪ್ತಿಗೆ ಸೇರಿದ ಪಾಪಣ್ಣ ಬ್ಲಾಕ್ 1ನೇ ರಸ್ತೆಯಲ್ಲಿ ಈಗಿರುವ ಸಾರ್ವಜನಿಕ ಶೌಚಾಲಯ ಮತ್ತು ಮೂತ್ರಾಲಯದ ಕಟ್ಟಡ ನಿರ್ಮಾಣ ಹೊಸ ಕಾಂಪೌಂಡ್ ನಿರ್ಮಾಣ ಹಾಗೂ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿಗಾಗಿ ಹಂತ-3","Ward No.95 belonging to Gandhinagar assembly constituency, Papanna block 1st Street, Subhash Nagar Road, existing public toilet and urinal building construction phase 3 for new compound construction and development work",2.5
4,2013-14,4,"ಗಾಂಧಿನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರಕ್ಕೆ ಸೇರಿದ ವಾರ್ಡ್ ನಂ.95, ಸುಭಾಷ್ ನಗರ ವ್ಯಾಪ್ತಿಗೆ ಸೇರಿದ ಪಾಪಣ್ಣ ಬ್ಲಾಕ್ 1ನೇ ರಸ್ತೆಯಲ್ಲಿ ಈಗಿರುವ ಸಾರ್ವಜನಿಕ ಶೌಚಾಲಯ ಮತ್ತು ಮೂತ್ರಾಲಯದ ಕಟ್ಟಡ ನಿರ್ಮಾಣ ಹೊಸ ಕಾಂಪೌಂಡ್ ನಿರ್ಮಾಣ ಹಾಗೂ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿಗಾಗಿ ಹಂತ-4","Ward No.95 belonging to Gandhinagar assembly constituency, Papanna block 1st Street, Subhash Nagar Road, existing public toilet and urinal building construction phase 4 for new compound construction and development work",2.5
5,2013-14,5,"ಗಾಂಧಿನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರಕ್ಕೆ ಸೇರಿದ ವಾರ್ಡ್ ನಂ.95, ಸುಭಾಷ್ ನಗರ ವ್ಯಾಪ್ತಿಗೆ ಸೇರಿದ ಪಾಪಣ್ಣ ಬ್ಲಾಕ್ 1ನೇ ರಸ್ತೆಯಲ್ಲಿ ಈಗಿರುವ ಸಾರ್ವಜನಿಕ ಶೌಚಾಲಯ ಮತ್ತು ಮೂತ್ರಾಲಯದ ಕಟ್ಟಡ ನಿರ್ಮಾಣ ಹೊಸ ಕಾಂಪೌಂಡ್ ನಿರ್ಮಾಣ ಹಾಗೂ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿಗಾಗಿ ಹಂತ-5","Ward No.95 belonging to Gandhinagar assembly constituency, Papanna Block 1st Street, Subhash Nagar Road, existing public toilet and urinal building construction phase 5 for new compound construction and development work",2.5
6,2013-14,6,"ಗಾಂಧಿನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರಕ್ಕೆ ಸೇರಿದ ವಾರ್ಡ್ ನಂ.95, ಸುಭಾಷ್ ನಗರ ವ್ಯಾಪ್ತಿಗೆ ಸೇರಿದ ಪಾಪಣ್ಣ ಬ್ಲಾಕ್ 1ನೇ ರಸ್ತೆಯಲ್ಲಿ ಈಗಿರುವ ಸಾರ್ವಜನಿಕ ಶೌಚಾಲಯ ಮತ್ತು ಮೂತ್ರಾಲಯದ ಕಟ್ಟಡ ನಿರ್ಮಾಣ ಹೊಸ ಕಾಂಪೌಂಡ್ ನಿರ್ಮಾಣ ಹಾಗೂ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿಗಾಗಿ ಹಂತ-6","Ward No.95 belonging to Gandhinagar assembly constituency, Papanna block 1st Street, Subhash Nagar Road, existing public toilet and urinal building construction phase 6 for new compound construction and development work",2.5
7,2013-14,7,"ಗಾಂಧಿನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರಕ್ಕೆ ಸೇರಿದ ವಾರ್ಡ್ ನಂ.95, ಸುಭಾಷ್ ನಗರ ವ್ಯಾಪ್ತಿಗೆ ಸೇರಿದ ಪಾಪಣ್ಣ ಬ್ಲಾಕ್ 1ನೇ ರಸ್ತೆಯಲ್ಲಿ ಈಗಿರುವ ಸಾರ್ವಜನಿಕ ಶೌಚಾಲಯ ಮತ್ತು ಮೂತ್ರಾಲಯದ ಕಟ್ಟಡ ನಿರ್ಮಾಣ ಹೊಸ ಕಾಂಪೌಂಡ್ ನಿರ್ಮಾಣ ಹಾಗೂ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿಗಾಗಿ ಹಂತ-7","Ward No.95 belonging to Gandhinagar assembly constituency, Sapanah Nagar, Sampanna Block 1st Street, Public Public Toilet and Urban Building, New Level Compound Construction & Development Work Step-7",2.5
8,2013-14,8,"ಗಾಂಧಿನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರಕ್ಕೆ ಸೇರಿದ ವಾರ್ಡ್ ನಂ.95, ಸುಭಾಷ್ ನಗರ ವ್ಯಾಪ್ತಿಗೆ ಸೇರಿದ ಪಾಪಣ್ಣ ಬ್ಲಾಕ್ 1ನೇ ರಸ್ತೆಯಲ್ಲಿ ಈಗಿರುವ ಸಾರ್ವಜನಿಕ ಶೌಚಾಲಯ ಮತ್ತು ಮೂತ್ರಾಲಯದ ಕಟ್ಟಡ ನಿರ್ಮಾಣ ಹೊಸ ಕಾಂಪೌಂಡ್ ನಿರ್ಮಾಣ ಹಾಗೂ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿಗಾಗಿ ಹಂತ-8","Ward No.95 belonging to Gandhinagar assembly constituency, Papanna Black 1st Street, Subhash Nagar Road, existing public toilet and urinal building construction phase -8 for new compound construction and development work",2.5
9,2013-14,9,"ಗಾಂಧಿನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರಕ್ಕೆ, ಸೇರಿದ ವಾರ್ಡ್ ನಂ. 95, ಸುಭಾಷ್ ನಗರ ವ್ಯಾಪ್ತಿಗೆ ಸೇರಿದ ಸ್ವತಂತ್ರಪಾಳ್ಯ ಪಾಪಣ್ಣ ಬ್ಲಾಕ್ ನಲ್ಲಿ ಸಮುದಾಯ ಭವನ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ (ಎಸ್.ಸಿ./ಎಸ್.ಟಿ)","Ward No No. Joined Gandhinagar Assembly Constituency 95, Community Building Construction (SC / ST) at Papanaka Block, belonging to Subhash Nagar,",15.0
10,2013-14,10,"ಗಾಂಧಿನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರಕ್ಕೆ ಸೇರಿದ ವಾರ್ಡ್ ನಂ.77, ದತ್ತಾತ್ರೇಯ ದೇವಸ್ಥಾನದ ವ್ಯಾಪ್ತಿಯ ಮಲ್ಲೇಶ್ವರಂ 6ನೇ ಅಡ್ಡರಸ್ತೆಯ ಕನ್ಸಲ್ಟೆನ್ಸಿ ಗಲ್ಲಿಯ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ","Ward No.77 belonging to Gandhinagar assembly constituency, concrete road development work on Malleswaram 6th crossroads consultancy gate of Dattatreya temple",2.5
