Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013-14,1,ರಾಜಾಜಿನಗರ ಶ್ರೀರಾಮ ಮಂದಿರ ವಾರ್ಡಿನ 5ನೇ ಬ್ಲಾಕ್ ನಲ್ಲಿರುವ ಡಾ.ನಾಗರಾಜು ಮೆಮೋರಿಯಲ್ ಹೆರಿಗೆ ಆಸ್ಪತ್ರೆಗೆ ವಿವಿಧ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ ಬೃಹತ್ ಬೆಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆ,Dr. Nagaraju Memorial Maternity Hospital at 5th Block at Rajajinagar Shriram Mandir Maternity Hospital Various Development Work Big Bangalore City Corporation,10.0
2,2013-14,2,"ರಾಜಾಜಿನಗÉ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ರಾಜಾಜಿನಗರ ವಾರ್ಡ್ ನಂ.99ರಲ್ಲಿರುವ ಸರ್ಕಾರಿ ಪ್ರಥಮ ದರ್ಜೆ ಕಾಲೇಜು, ರಾಜಾಜಿನಗರ ಇಲ್ಲಿ ಶೌಚಾಲಯ ಕಟ್ಟಡ ನಿರ್ಮಾಣ ಮತ್ತು ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ (1ನೇ ಹಂತ)","Government First Grade College, Rajajinagar, Rajajinagar, Rajajinagar Ward No.99, Rajajinagar, Toilet Building & Development Work (1st Phase)",9.0
3,2013-14,3,"ರಾಜಾಜಿನಗÉ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ರಾಜಾಜಿನಗರ ವಾರ್ಡ್ ನಂ.99ರಲ್ಲಿರುವ ಸರ್ಕಾರಿ ಪ್ರಥಮ ದರ್ಜೆ ಕಾಲೇಜು, ರಾಜಾಜಿನಗರ ಇಲ್ಲಿ ಕೊಳವೆಬಾವಿ ಪಂಪು ಅಳವಡಿಕೆ ಮತ್ತು ಇತರೆ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ (2ನೇ ಹಂತ)","Government First Grade College, Rajajinagar, Rajajinagar, Rajajinagar Ward No.99, Rajajinagar, Pondicherry Pump Installation & Other Development Work (2nd Phase)",8.0
4,2013-14,4,ಡಾ.ನಾಗಾರಾಜ್ ಮೆಮೋರಿಯಲ್ ಹಾಲ್ ಹೆರಿಗೆ ಆಸ್ಪತ್ರೆಯ ಮೊದಲನೆಯ ಮಹಡಿಯಲ್ಲಿ ಪ್ರಯೋಗಾಲಯ ತೆಎಯಲಿದ್ದು ಇಲ್ಲಿಗೆ ತಪಾಸನೆಗೆಂದು ಬರುವ ನಾಗರಿಕರಿಗೆ ಅನುಕೂಲವಾಗುವಂತೆ ಆಸ್ಪತ್ರೆಯ ಎಲಿವೆಟರ್ 15ಜನರನ್ನು ಮೇಲೊಯ್ಯುವ ಯಂತ್ರ ಈ ಸಂರ್ಭದ ಕಾಮಗಾರಿಗಳಿಗೆ ಸಂಬಂಧಿಸಿದಂತೆ,The laboratory is located on the first floor of the Dr. Nagaraj Memorial Hall Maternity Hospital where the elevator of the hospital will be able to carry 15 people to the facility for the inspection.,11.0
5,2013-14,5,ಕಾಮಾಕ್ಷಿ ಪಾಳ್ಯ ವಾರ್ಡ್ ನಂ.101ರ ಬಸವೇಶ್ವರನಗರದಲ್ಲಿರುವ  ಶ್ರೀ.ಕಂಬಿಸಿದ್ದರಾಮಣ್ಣ ಉಚಿತ ವಿದ್ಯಾರ್ಥಿ ನಿಲಯದ ಪಾಕಶಾಲೆಗೆ ಆಧುüನಿಕ ಉಪಕರಣಗಳನ್ನು (Stainless Steel Steam Based Equipments) ಅಳವಡಿಸಲು,"To implement the Stainless Steel Steam Based Equipments for the Cambodian Ramanna Free Student Dormitory in Basaveshwar Nagar, Kamakshi Palya Ward No.101",6.15
6,2013-14,6,ಶ್ರೀರಾಮ ಮಂದಿರ ವಾರ್ಡ್ ಸಂಖ್ಯೆ-108 ರಲ್ಲಿರುವ ವನಿತಾ ಸೇವಾ ಮಂದಿರ ಶಾಲೆಯಲ್ಲಿ ವಿವಿಧ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿಗಳನ್ನು ನಿರ್ವಹಿಸಲು,Maintaining various development works at the Vanitha Seva Mandir School in Sriram Mandir Ward No-108,10.0
7,2013-14,7,ಸರ್ಕಾರಿ ಪ್ರಾಥಮಿಕ ಆರೋಗ್ಯ ಕೇಂದ್ರದ ಮೊದಲನೆಯ ಮಹಡಿ ಕಟ್ಟಡ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ.,First Floor Building Construction of Government Primary Health Center.,10.0
8,2013-14,8,ಪಂಡಿತ್ ದೀನದಯಾಳ ಉಪಾಧ್ಯಾಯ ಡಯಾಲಿಸಿಸ್ ಕೇಂದ್ರದ ಮೊದಲ ಮಹಡಿಯ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ.,Pandit Dinayathaya Upadhya Dialysis Center is the first floor development work center.,10.0
9,2013-14,9,ಸರ್ಕಾರಿ ಪ್ರಾಥಮಿಕ ಆರೋಗÀ್ಯ ಕೇಂದ್ರದ ವಿವಿಧ ಕಾಮಗಾರಿಗಳಾದ ಮೆಡಿಕಲ್ ವೇಸ್ಟ್ ಸೆಗ್ರಿಗೇಷನ್ ಕಟ್ಟಡ ಮೊದಲನೆ ಮಹಡಿಯ ಮೆಟ್ಟಲುಗಳ ಕಾಮಗಾರಿ ಹಾಗೂ ವಿವಿಧ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿಗಳು.,"Government Primary Auditorate Various Works of the Central Government, Medical Waste Segregation Building, First Floor Stairs and various development works.",10.0
10,2013-14,10,"ಸರ್ಕಾರಿ ಪ್ರಾಥಮಿಕ ಆರೋಗ್ಯ ಕೇಂದÀ್ರದ ಮೊದಲನೆ ಮಹಡಿಯ ಬಳಾಂಗಣ ಅಭಿವೃದ್ಧಿ, ವಿದ್ಯುತೀಕರಣ, ಶೌಚಾಲಯ, ನೆಲಹಾಸುಗಳ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ.","Development of First Floor Floor Development, Electrification, Toilet and Floor Plants for Government Primary Health Care.",10.0
