Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013-14,1.0,"Improvements to drainage and covering slabs in Gangondanahalli, 6th main, 5th cross at Nagarabhavi ward no.125 Govindarajanagara Assembly Constituency, Bangalore (Stage-1)","Improvements to drainage and covering slabs in Gangondanahalli, 6th main, 5th cross at Nagarabhavi ward no.125 Govindarajanagara Assembly Constituency, Bangalore (Stage-1)",2.50
2,2013-14,2.0,"Improvements to drainage and covering slabs in Gangondanahalli, 6th main, 5th cross at Nagarabhavi ward no.125 Govindarajanagara Assembly Constituency, Bangalore (Stage-2)","Improvements to drainage and covering slabs in Gangondanahalli, 6th main, 5th cross at Nagarabhavi ward no.125 Govindarajanagara Assembly Constituency, Bangalore (Stage-2)",2.50
3,2013-14,3.0,"Improvements to drainage and covering slabs in Gangondanahalli, 6th main, 5th cross at Nagarabhavi ward no.125 Govindarajanagara Assembly Constituency, Bangalore (Stage-3)","Improvements to drainage and covering slabs in Gangondanahalli, 6th main, 5th cross at Nagarabhavi ward no.125 Govindarajanagara Assembly Constituency, Bangalore (Stage-3)",2.50
4,2013-14,4.0,"Improvements to drainage and covering slabs in Gangondanahalli, 6th main, 5th cross at Nagarabhavi ward no.125 Govindarajanagara Assembly Constituency, Bangalore (Stage-4)","Improvements to drainage and covering slabs in Gangondanahalli, 6th main, 5th cross at Nagarabhavi ward no.125 Govindarajanagara Assembly Constituency, Bangalore (Stage-4)",2.50
5,2013-14,5.0,"Improvements to drainage and covering slabs in Gangondanahalli, 6th main, 5th cross at Nagarabhavi ward no.125 Govindarajanagara Assembly Constituency, Bangalore (Stage-5)","Improvements to drainage and covering slabs in Gangondanahalli, 6th main, 5th cross at Nagarabhavi ward no.125 Govindarajanagara Assembly Constituency, Bangalore (Stage-5)",2.50
6,2013-14,6.0,"ಕು{{ ಜಿ.ಕುಮಾರಿ ಬಿನ್ ಗೋವಿಂದಚಾರಿ.ಎಸ್., ನಂ.110, 1ನೇ ಮುಖ್ಯರಸ್ತೆ, 11ನೇ ಅಡ್ಡರಸ್ತೆ, ಪಂಚಶೀಲನಗರ, ಮೂಡಲಪಾಳ್ಯ, ಬೆಂಗಳೂರು. (ವೀಲ್ ಚೇರ್ ಸರಬರಾಜು ಮಾಡಲು) ರೂ.4,500-00","K. Kumari bin Govindachari S., No.110, 1st Main Road, 11th Crossroads, Panchsheesh, Moodalapalya, Bangalore. (For wheelchair suppliers) Rs.4,500-00",0.00
7,2013-14,7.0,"ಎಂ..ರಘು ನಂ.16, 17ನೇ ಅಡ್ಡರಸ್ತೆ, 6ನೇ ಮುಖ್ಯರಸ್ತೆ, ಅಗ್ರಹಾರ ವಾಜರಹಳ್ಳಿ, ಬೆಂಗಳೂರು (ತ್ರಿಚಕ್ರ ವಾಹನ ಸರಬರಾಜು ಮಾಡಲು) ರೂ.72,600-00","MR Raghu No.16, 17th Crossroads, 6th Main Road, Agrahara Vajarahalli, Bangalore (To Tricycle Vehicle Supplies) Rs.72,600-00",0.00
8,2013-14,8.0,"ನಂದೀಶ್ ನಂ.65/4, 1ನೇ ಮುಖ್ಯರಸ್ತೆ, ಕಾಮಾಕ್ಷಿಪಾಳ್ಯ ಬೆಂಗಳೂರು. (ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಸಲು) ರೂ.73,055-00","Nandish No.65 / 4, 1st Main Road, KamakshiPalya Bangalore. Rs.73,055-00 for buying a three-wheeled vehicle",0.00
9,2013-14,9.0,"ಗೋವಿಂದರಾಜು.ವೈ.ಎನ್., ನಂ.445, 1ನೇ ಬ್ಲಾಕ, ಎಂ.ಎಂ.ವಿ ಬಡಾವu, Éಕೆಂಗೇರಿ ಉಪನಗರ, ಬೆಂಗಳೂರು () ರೂ.16,000-00, ಕ್ರ.ಮ ಸಂಖ್ಯೆ 7, 8, 9 ರ ಒಟ್ಟು ಮೊತ್ತ ರೂಪಾಯಿಗಳು","Govindaraju YYN, No.445, 1st Block, MMV Badava U, É Kengeri Suburban, Bangalore () Rs.16,000-00, Total Sum Assured is 7, 8, 9",0.00
10,2013-14,10.0,"ತಿಮ್ಮಯ್ಯ, ನಂ.50, 1ನೇ ಬಿ ಅಡ್ಡರಸ್ತೆ, 2ನೇ ಹಂತ, ಪಾಪಯ್ಯ ಗಾರ್ಡನ್, ಕೆ.ಹೆಚ್.ಬಿ ಕಾಲೋನಿ, ಬಸವೇಶ್ವರನಗರ, ಬೆಂಗಳೂರು.","Thimayya, No. 50, 1st B Road, 2nd Phase, Papaya Garden, KHB Colony, Basaveshwarnagar, Bangalore.",0.74
11,2013-14,11.0,"ನವೀನ್.ಬಿ.ವಿ, ನಂ.13, 4ನೇ ಮುಖ್ಯರಸ್ತೆ, 8ನೇ ಅಡ್ಡರಸ್ತೆ, ಪ್ರಶಾಂತನಗರ, ಬೇಂಗಳೂರು.","Navin BV, No. 13, 4th Main Road, 8th Cross, Prasanthanagar, Bangalore.",0.73
12,2013-14,12.0,"ಬೆಂಗಳೂರು ನಗರ, ಗೋವಿಂದರಾಜನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ಡಾ.ರಾಜ್‍ಕುಮಾರ್ ವಾರ್ಡ್ ನಂ.106ರ ದಾಸರÀಹಳ್ಳಿ ಕ್ರಾಸ್ ರಸ್ತೆಗಳಿಗೆ ಆರ್‍ಸಿಸಿ ಡ್ರೈನ್ ಮತ್ತು ಕವರಿಂಗ್ ಸ್ಲಾಬ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ. (ಹಂತ-1)","Construction of RCC Drain & Covering Slab for Dasara Village Cross Roads, Dr. Rajkumar Ward No.106, Govindarajanagar Municipal Area, Bangalore City. (Step-1)",2.50
13,2013-14,13.0,"ಬೆಂಗಳೂರು ನಗರ, ಗೋವಿಂದರಾಜನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ಡಾ.ರಾಜ್‍ಕುಮಾರ್ ವಾರ್ಡ್ ನಂ.106ರ ದಾಸರಹಳ್ಳಿ ಕ್ರಾಸ್ ರಸ್ತೆಗಳಿಗೆ ಆರ್‍ಸಿಸಿ ಡ್ರೈನ್ ಮತ್ತು ಕವರಿಂಗ್ ಸ್ಲಾಬ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ. (ಹಂತ-2)","Construction of RCC Drain & Covering Slab for Dasarahalli Cross Roads, Dr. Rajkumar Ward No.106, Govindarajanagar Municipal Area, Bangalore City. (Stage -2)",2.50
14,2013-14,14.0,"ಬೆಂಗಳೂರು ನಗರ, ಗೋವಿಂದರಾಜನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ಡಾ.ರಾಜ್‍ಕುಮಾರ್ ವಾರ್ಡ್ ನಂ.106ರ ದಾಸರಹಳ್ಳಿ ಕ್ರಾಸ್ ರಸ್ತೆಗಳಿಗೆ ಆರ್‍ಸಿಸಿ ಡ್ರೈನ್ ಮತ್ತು ಕವರಿಂಗ್ ಸ್ಲಾಬ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ. (ಹಂತ-3)","Construction of RCC Drain & Covering Slab for Dasarahalli Cross Roads, Dr. Rajkumar Ward No.106, Govindarajanagar Municipal Area, Bangalore City. (Step-3)",2.50
15,2013-14,15.0,"ಬೆಂಗಳೂರು ನಗರ, ಗೋವಿಂದರಾಜನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ಡಾ.ರಾಜ್‍ಕುಮಾರ್ ವಾರ್ಡ್ ನಂ.106ರ ದಾಸರಹಳ್ಳಿ ಕ್ರಾಸ್ ರಸ್ತೆಗಳಿಗೆ ಆರ್‍ಸಿಸಿ ಡ್ರೈನ್ ಮತ್ತು ಕವರಿಂಗ್ ಸ್ಲಾಬ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ. (ಹಂತ-4)","Construction of RCC Drain & Covering Slab for Dasarahalli Cross Roads, Dr. Rajkumar Ward No.106, Govindarajanagar Municipal Area, Bangalore City. (Step-4)",2.50
16,2013-14,16.0,"Providing cement concrete road at Govindarajanagara 2nd main road, wardNo.106, Govindarajanagara Assembly constituency, Bangalore.","Providing cement concrete road at Govindarajanagara 2nd main road, wardNo.106, Govindarajanagara Assembly constituency, Bangalore.",2.50
