Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013-14,1.0,"ಮಲ್ಲಿಕಾರ್ಜುನ ಕುಂಬಾರ ನಂ.19, 5ನೇ ಮುಖ್ಯರಸ್ತೆ, ಆವಲಹಳ್ಳಿ ಬೆಂಗಳೂರು (ತ್ರಿಚಕ್ರ ವಾಹನ)","Mallikarjuna Kumara No. 19, 5th Main Road, Aavalahalli Bangalore (Three Wheeler)",0.57
2,2013-14,2.0,"ಶ್ರೀ.ವೈ.ಆರ್.ರಾಮಲಿಂಗಯ್ಯ ನಂ.1537, 4ನೇ ಇ ಮುಖ್ಯರಸ್ತೆ, ಮರಿಯಪ್ಪನಪಾಳ್ಯ ಶ್ರೀರಾಮಪುರ","Sri.V.R.Ramalingaiah No.1537, 4th E Main Road, Mariyappanapalya Srirampur",0.5
3,2013-14,3.0,"ಶ್ರೀ.ರಾಜು ಬಿನ್ ಲೇಟ್ ಗೋವಿಂದಪ್ಪ ನಂ.8, 3ನೇ ಅಡ್ಡರಸ್ತೆ, ವೀರಭದ್ರಸ್ವಾಮಿ ದೇವಸ್ಥಾನ ಹತ್ತಿರ ಗಿರಿನಗರ ಬೆಂಗಳೂರು (ತ್ರಿಚಕ್ರ ವಾಹನ)","Shri.Raju Bin Late Govindappa No.8, 3rd Cross, Veerabhadraswamy Temple Near Girinagar Bangalore (Triplicane Vehicle)",0.72
4,2013-14,4.0,ಶ್ರೀ.ಪ್ರಕಾಶ್ ಬಿನ್ ಚೆಲುವರಂಗಯ್ಯ ನಂ.47 1ನೇ ಬಿ ಅಡ್ಡರಸ್ತೆ ಚೋಳೂರು ಪಾಳ್ಯ ಮಾಗಡಿ ರಸ್ತೆ ಬೆಂಗಳೂರು (ತ್ರಿಚಕ್ರ ವಾಹನ),Mr. Prakash bin Chelluvarangaya No. 47 1st B Roadside Cholur Palya Magadi Road Bangalore (Three Wheeler),0.5
5,2013-14,5.0,"ಶ್ರೀ.ತಿಮ್ಮರಾಜು.ಎಂಪಿ. ಬಿನ್ ಪುಟ್ಟಸ್ವಾಮಿ ನಂ.8/1 2ನೇ ಮುಖ್ಯರಸೆ 5ನೇ ಅಡ್ಡರಸ್ತೆ ದೀಪಾಂಜಲಿನಗರ, ಮೈಸೂರು ರಸ್ತೆ, ಬೆಂಗಳೂರು","Mr. Thimaraju.MP. Bin Puttaswamy No.8 / 1 2nd Headquarters 5th Cross Road Deepanjalinagar, Mysore Road, Bangalore",0.72
6,2013-14,6.0,"ಶ್ರೀ.ಆರ್.ಮೋಹನ್ ನಂ.35/2, 4ನೇ ಮುಖ್ಯರಸ್ತೆ ಡಿ ಅಡ್ಡರಸ್ತೆ ಬ್ಯಾಟರಾಯನಪುರ ಮೈಸೂರು ರಸ್ತೆ ಬೆಂಗಳೂರು","Sr. R. Mohan No. 35/2, 4th Main Road Di Cross Road Battarayanapura Mysore Road Bangalore",0.5
7,2013-14,7.0,ಬೆಂಗಳೂರು ನಗರ ವ್ಯಾಪ್ತಿಯ ವಿಜಯನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರಕ್ಕೆ ಸೇರಿದ ಸರ್ಕಾರಿ ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಾಲೆಯ ಬ್ಯಾಟರಾಯನಪುರ ಕೊಳವೆಬಾವಿ ಕೊರದು ವಿದ್ಯುತ್ ಮೋಟಾರ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ,"Government Primary and Secondary School, Battarayanapura, from Bangalore, Vijayanagara Assembly Constituency",2.5
8,2013-14,8.0,ಬೆಂಗಳೂರು ನಗರ ವ್ಯಾಪ್ತಿಯ ವಿಜಯನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರಕ್ಕೆ ಸೇರಿದ ಸರ್ಕಾರಿ ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಾಲೆಯ ಬ್ಯಾಟರಾಯನಪುರ ಕೊಳವೆಬಾವಿ ಕೊರೆದ ಬಾವಿಗೆ ಪೈಪ್‍ಲೈನ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ,Work on installing a pipeline to the Government primary and high school Battarayanapura pipeline wells belonging to Vijayanagara assembly constituency of Bangalore City,2.5
9,2013-14,9.0,"ಬೆಂಗಳೂರು ನಗರ ವ್ಯಾಪ್ತಿಯ ವಿಜಯನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರಕ್ಕೆ ಸೇರಿದ ಎಂ.ಎಂ. ರಸ್ತೆ, ಬ್ಯಾಟರಾಯನಪುರ ಕೊಳವೆಬಾವಿ ಕೊರೆದು ವಿದ್ಯುತ್ ಮೋಟಾರ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ","M.M. from the Vijayanagara Assembly constituency of Bangalore City. Road, Batteryanpur, Pondicherry, and the construction of electric motor",2.5
10,2013-14,10.0,"ಬೆಂಗಳೂರು ನಗರ ವ್ಯಾಪ್ತಿಯ ವಿಜಯನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರಕ್ಕೆ ಸೇರಿದ ಎಂ.ಎಂ. ರಸ್ತೆ, ಬ್ಯಾಟರಾಯನಪುರ ಕೊಳವೆಬಾವಿ ಕೊರೆದ ಬಾವಿಗೆ ಪೈಪ್‍ಲೈನ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ","M.M. from the Vijayanagara Assembly constituency of Bangalore City. Work on installing a pipeline to the well-drilled well of the road, Battarayanapura",2.5
