Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013-14,1,ಚಾಮರಾಜಪೇಟೆ ವಿ.ಸ. ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ವಾರ್ಡ್ ನಂ.139ರ ಕೆ.ಆರ್.ಮಾರ್ಕೆಟ್ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಬೊರ್‍ವೆಲ್ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ ಹಂತ-1,Chamarajpet v. Borwell construction work at KR Market range of field-wide Ward No.139,10.0
2,2013-14,2,ಚಾಮರಾಜಪೇಟೆ ವಿ.ಸ. ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ವಾರ್ಡ್ ನಂ.139ರ ಕೆ.ಆರ್.ಮಾರ್ಕೆಟ್ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಬೊರ್‍ವೆಲ್ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ ಹಂತ-2,Chamarajpet v. Borwell construction work in KR Market range of field range Ward No.139,10.0
3,2013-14,3,ಚಾಮರಾಜಪೇಟೆ ವಿ.ಸ. ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ವಾರ್ಡ್ ನಂ.139ರ ಜಾಲಿಮೊಹಲ್ಲಾ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ಅಭಿವೃದ್ದಿ ಕಾಮಗಾರಿ,Chamarajpet v. Concrete road development work in the Jalimohalla range of field-wide Ward No.139,10.0
4,2013-14,4,ಚಾಮರಾಜಪೇಟೆ ವಿ.ಸ. ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ವಾರ್ಡ್ ನಂ.139ರಕೆ.ಆರ್.ಮಾರ್ಕೆಟ್ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ಅಭಿವೃದ್ದಿ ಕಾಮಗಾರಿ,Chamarajpet v. Concrete road development work under field range Ward No.139 RKR range,10.0
5,2013-14,5,"Sinking of Borewell and erection of cistren pump motor with electrical facilities pipe line and publicin ward No.139 Puttenahalli K.R.Market Road, K.R.Market, Chamarajpet Assembly Constituency","Sinking of Borewell and erection of cistren pump motor with electrical facilities pipe line and publicin ward No.139 Puttenahalli K.R.Market Road, K.R.Market, Chamarajpet Assembly Constituency",10.0
6,2013-14,6,Providing drinking water supply scheme at Gijipuram ward no. 138 chamarajpet Assembly constituency Bangalore,Providing drinking water supply scheme at Gijipuram ward no. 138 chamarajpet Assembly constituency Bangalore,7.0
7,2013-14,7,"Providing drinking water supply scheme at 11th Main, 11th Cross, Padarayanapura, ward no. 135 chamarajpet Assembly constituency Bangalore","Providing drinking water supply scheme at 11th Main, 11th Cross, Padarayanapura, ward no. 135 chamarajpet Assembly constituency Bangalore",7.0
8,2013-14,8,Providing drinking water supply scheme at Lttiga Anjanappa lane ward no. 138 chamarajpet Assembly constituency Bangalore,Providing drinking water supply scheme at Lttiga Anjanappa lane ward no. 138 chamarajpet Assembly constituency Bangalore,5.0
9,2013-14,9,"Improvement to drinking water supply scheme at Velupuram Temple Bakshi garden, ward no. 139 chamarajpet Assembly constituency Bangalore","Improvement to drinking water supply scheme at Velupuram Temple Bakshi garden, ward no. 139 chamarajpet Assembly constituency Bangalore",4.5
10,2013-14,10,"Drilling at Borewell at 16th cross, hosahalli main road, ward no. 135 chamarajpet Assembly constituency Bangalore","Drilling at Borewell at 16th cross, hosahalli main road, ward no. 135 chamarajpet Assembly constituency Bangalore",1.5
