Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013-14,1,ಚಿಕ್ಕಪೇಟೆ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.153 ಜಯನಗರ ವಾರ್ಡಿನ ಬಾಜಿ ಸ್ಟ್ರೀಟ್ ನಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವ  ಮತ್ತು ನೀರಿನ ಟ್ಯಾಂಕ್ ನಿರ್ಮಿಸುವ ಕಾಮಗಾರಿ,"Chackpet Assembly Constituency Ward No.153 Bazi Street in Jayanagar Ward, Construction of Tube Well Drilling and Water Tank",2.5
2,2013-14,2,ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಮತ್ತು ಮೆಷಿನರಿ ಹಾಗೂ ಪೈಪ್ ಲೈನ್ ಕಾಮಗಾರಿ,Electricity connections and machinery and pipeline work,2.5
3,2013-14,3,ಚಿಕ್ಕಪೇಟೆ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡಿನ ರಾಘವೇಂದ್ರ ಕಾಲೋನಿಯಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವ ಮತ್ತು ನೀರಿನ ಟ್ಯಾಂಕ್ ನಿರ್ಮಿಸುವ ಕಾಮಗಾರಿ,Construction of tube well drilling and water tank at Raghavendra Colony in Chikkpete Assembly constituency,2.5
4,2013-14,4,ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಮತ್ತು ಪಂಪ್ ಮೆಷಿನರಿ,Electricity and Pump Machinery,2.5
5,2013-14,5,ಪೈಪ್ ಲೈನ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ,Work on installing a pipe line,2.0
6,2013-14,6,ಚಿಕ್ಕಪೇಟೆ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.144 ಸಿದ್ದಾಪುರ ವಾರ್ಡಿನ ಗುಟ್ಟೇಪಾಳ್ಯ ರಾಮಮಂದಿರದ ಹತ್ತಿರ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವ ಮತ್ತು ನೀರಿನ ಟ್ಯಾಂಕ್ ನಿರ್ಮಿಸುವ ಕಾಮಗಾರಿ,"Chackpet Assembly Constituency Ward No.144 Gutpepalya near Siddapur Ward, construction of tunnel well drilling and water tank near Ram Mandir",2.5
7,2013-14,7,ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಮತ್ತು ಪಂಪ್ ಮೆಷನಿರಿಗಾಗಿ,For power connection and pump machine,2.5
8,2013-14,8,ಪೈಪ್ ಲೈನ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ,Work on installing a pipe line,2.5
9,2013-14,9,ಚಿಕ್ಕಪೇಟೆ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.143 ವಿ.ವಿ.ಪುರಂ ವಾರ್ಡಿನ ಪಾರ್ವತಿ ಪುರಂನಲ್ಲಿ ನೀರಿನ ಟ್ಯಾಂಕ್ ನಿರ್ಮಿಸುವ ಕಾಮಗಾರಿಗಾಗಿ,"For the construction of water tank at Parvati Puram at VVPuram Ward, Chikkapet assembly constituency Ward No.143",2.5
10,2013-14,10,"ವಿದ್ಯುತ್ ಸಂಪರ್ಕ, ಪಂಪ್ ಮೆಷಿನರಿ ಹಾಗೂ ಪೈಪ್ ಲೈನ್ ಕಾಮಗಾರಿಗಾಗಿ","Power connection, pump machine and pipeline work",2.5
11,2013-14,11,ವಾರ್ಡ್ ನಂ.142 ವಿ.ವಿ.ಪುರಂ ವಾರ್ಡಿನ ಪಾರ್ವತಿಪುರಂ ನಲ್ಲಿರುವ ಕ್ಷತ್ರಿಯ ಮರಾಠ ಟ್ರಸ್ಟ್ ನಲ್ಲಿ ಸಮುದಾಯ ಭವನ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ,"Ward No 142 Community Building Construction at Kshatriya Maratha Trust at Parvathipuram, VVPuram Ward",5.0
12,2013-14,12,ವಾರ್ಡ್ ನಂ.153 ಜಯನಗರ ವಾರ್ಡಿನ ಬಿ.ಪಿ ವಾಡಿಯ ಬಾಲಕಿಯರ ಪದವಿ ಪೂರ್ವ ಕಾಲೇಜಿನ ಆವರಣದಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವ ಮತ್ತು ನೀರಿನ ಟ್ಯಾಂಕ್ ನಿರ್ಮಿಸುವ ಕಾಮಗಾರಿ,Ward No 153 Workshop for building a tube well drilling and water tank on campus of BP Wadi Girls' College in Jayanagar Ward,2.5
13,2013-14,13,ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಮತ್ತು ಪಂಪ್ ಮೆಷನರಿಗಾಗಿ,For power connection and pump machine,2.5
14,2013-14,14,ವಾರ್ಡ್ ನಂ.145 ಹೊಂಬೇಗೌಡನಗರ ವಾರ್ಡಿನ ಲಕ್ಕಸಂದ್ರದಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವ ಮತ್ತು ನೀರಿನ ಟ್ಯಾಂಕ್ ನಿರ್ಮಿಸುವ ಕಾಮಗಾರಿಗೆ,Ward No. 145 for construction of tube well drilling and water tank at Lakkasandra in Hombagowda Nagar,2.5
15,2013-14,15,ವಾರ್ಡ್ ನಂ.145 ಹೊಂಬೇಗೌಡನಗರ ವಾರ್ಡಿನ ಲಕ್ಕಸಂದ್ರದಲ್ಲಿ ಕೊಳವೆ ಬಾವಿಗೆ ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಮತ್ತು ಪಂಪ್ ಮೆಷನರಿಗಾಗಿ,Ward No. 145 for the power connection and pump machine to the pipeline well at Lakaskundra in Hombagowda Nagar,2.5
16,2013-14,16,ವಾರ್ಡ್ ನಂ.145 ಹೊಂಬೇಗೌಡನಗರ ವಾರ್ಡಿನ ಲಕ್ಕಸಂದ್ರದಲ್ಲಿ ಕೊಳವೆ ಬಾವಿಗೆ ಪೈಪ್ ಲೈನ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ,"Workshop on installing pipe line to the pipe well at Lakkasandra on Ward No. 145, Hombagowda Nagar",2.0
17,2013-14,17,ವಾರ್ಡ್ ನಂ.143 ವಿವಿಪುರಂ ವಾರ್ಡಿನ ಮಾವಳ್ಳಿಯಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವ ಮತ್ತು ನೀರಿನ ಟ್ಯಾಂಕ್ ನಿರ್ಮಿಸುವ ಕಾಮಗಾರಿ,"Ward No 143 Construction of a tube well drilling and water tank in Mavalli, Vivipuram Ward",2.5
18,2013-14,18,ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಮತ್ತು ಪಂಪ್ ಮೆಷನರಿಗಾಗಿ,For power connection and pump machine,2.5
19,2013-14,19,ಪೈಪ್ ಲೈನ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ,Work on installing a pipe line,2.0
20,2013-14,20,ವಾರ್ಡ್ ನಂ.153 ಜಯನಗರ ವಾರ್ಡಿನ ತಿಲಕ್ ನಗರದಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯುವ ಮತ್ತು ನೀರಿನ ಟ್ಯಾಂಕ್ ನಿರ್ಮಿಸುವ ಕಾಮಗಾರಿ,"Ward No No.153 Construction of Tube Well Drilling and Water Tank in Tilak City, Jayanagar Ward",2.5
21,2013-14,21,ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಮತ್ತು ಪಂಪ್ ಮೆಷನರಿಗಾಗಿ,For power connection and pump machine,2.5
22,2013-14,22,ಪೈಪ್ ಲೈನ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ,Work on installing a pipe line,2.0
