Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013-14,1,ಗವಿಪುರಂ ಗುಟ್ಟಹಳ್ಳಿಯಲ್ಲಿ ನಿರ್ಮಿಸುತ್ತಿರುವ ಶಾಲಾ ಕಟ್ಟಡದ ಕಾಮಗಾರಿಯ ಬಗ್ಗೆ,About the construction of a school building built at Gavipuram Guttaahalli,
2,2013-14,2,ಬೆಂಗಳೂರು ಬನಶಂಕರಿ 3ನೇ ಹಂತದಲ್ಲಿರುವ ಬೆಂಗಳೂರು ಸ್ಟಡಿ ಸರ್ಕಲ್ ಟ್ರಸ್ಟ್ ನವರು ಒಂದು ಹೊಸದಾದ ಕಟ್ಟಡವನ್ನು ನಿರ್ಮಿಸುತ್ತಿದ್ದು,"Bangalore Study Circle Trust, Bangalore 3rd Floor, Building a New Building",10.0
3,2013-14,3,ಕಳ್ಳತನ ಮತ್ತು ಸರ ಅಪಹರಣಗಳನ್ನು ತಡೆಗಟ್ಟುವ ನಿಟ್ಟಿನಲ್ಲಿ 500 ಕ್ಯಾಮರಾಗಳನ್ನು ಅಳವಡಿಸುವ ಯೋಜನೆಗೆ ಬಸವನಗುಡಿ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ರಿಗೆ (ಸದರಿ ಕಾಮಗಾರಿಯ ಮೊತ್ತ ರೂ.75.00 ಲಕ್ಷಗಳಿಗೆ 2014-15ನೇ ಸಾಲಿನಲ್ಲಿ ಬದಲಿ ಕಾಮಗಾರಿಯನ್ನು ನೀಡಲಾಗಿದೆ.),Basavanagudi assembly constituency (Rs. 75.00 lakhs has been provided for replacement in 2014-15 for the purpose of implementing 500 cameras in order to prevent theft and theft.),0.0
4,2013-14,4,ಬಸವನಗುಡಿ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ಸಂ.164ರಲ್ಲಿ ಚೆನ್ನಮ್ಮ ಕೆರೆ ಅಚ್ಚುಕಟ್ಟಿನಲ್ಲಿ ಸಾರ್ವಜನಿಕರ ಅನುಕೂಲಕ್ಕಾಗಿ ಸಾರ್ವಜನಿಕ ಶೌಚಾಲಯ ನಿರ್ಮಣಕ್ಕಾಗಿ,For the public toilet for the convenience of the public at Chennma Lake in Ward No. 164 of Basavanagudi Assembly constituency.,4.5
5,2013-14,5,ಬಸವನಗುಡಿ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರ ವಾರ್ಡ್ ಸಂ.155ರಲ್ಲಿ ಹನುಮಂತ ನಗರದಲ್ಲಿ ಸಾರ್ವಜನಿಕರ ಅನುಕೂಲಕ್ಕಾಗಿ ವ್ಯಾಯಾಮ ಶಾಲೆ ನಿರ್ಮಾಣಕ್ಕಾಗಿ,Basavangudi assembly constituency Ward No. 155 for public convenience for construction of a school in Hanumantha,12.0
6,2013-14,6,ಬಸವನಗುಡಿ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ಸಂ.164ರಲ್ಲಿ ವಿದ್ಯಾಪೀಠ ವೃತ್ತದಲ್ಲಿ ಕಿಲಿನಿಕ್ ಕಟ್ಟಡ ನಿರ್ಮಾಣಕ್ಕಾಗಿ,"For the construction of a kilnic building at Vidyapeeth Roundabout, Ward 16, Basavanagudi Assembly Constituency",3.0
7,2013-14,7,ಬಸವನಗುಡಿ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ಸಂ.162ರಲ್ಲಿ ಬಿಎಸ್‍ಕೆ 3ನೇ ಹಂತದಲ್ಲಿ ಸಮುದಾಯ ಭವನ ಕಟ್ಟಡ ನಿರ್ಮಾಣಕ್ಕಾಗಿ,For building a community hall in the BSK 3rd phase of the Basavanagudi Assembly Constituency Ward No.162,0.82
8,2013-14,8,ಬಸವನಗುಡಿ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ಸಂ.163ರಲ್ಲಿ ಬಿಎಸ್‍ಕೆ ನೇ ಹಂತದಲ್ಲಿ ಸಮುದಾಯ ಭವನ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ,Basavangudi Assembly Ward Ward No.163 BSK Level Community Building Construction,0.67
9,2013-14,9,ಬಸವನಗುಡಿ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ಸಂ.162ರಲ್ಲಿ ಟಿ.ಆರ್.ಶಾಮಣ್ಣ ನಗರದಲ್ಲಿ ಸಮುದಾಯ ಭವನ ಕಟ್ಟಡ.,T.R.Shamanna is a community building building in the ward No. 162 of Basavanagudi Assembly constituency.,10.0
10,2013-14,10,ಬಸವನಗುಡಿ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ಸಂ.163ರಲ್ಲಿ ಲೈಬ್ರರಿ ನಿರ್ಮಾಣದ ಕಾಮಗಾರಿ,Construction of Library in Ward No. 163 of Basavanagudi Assembly constituency,15.0
11,2013-14,11,"ವಾರ್ಡ್ ನಂ.155ರ ಹನುಮಂತನಗರ ಗವಿಪುರದಲ್ಲಿನ ಆದಮ್ಯ ಚೇತನದ ಆವರಣದ ಸುತ್ತಲೂ ಆಸರೆ ಗೋಡೆಯನ್ನು ನಿರ್ಮಾಣ ಮಾಡಿ ಹಾಲಿ ನಿರ್ಮಿಸಿರುವ ನೀರಿನ ತೊಟ್ಟಿಗೆ ಉಳಿಕೆ ಕೆಲಸವಾದ ಟೈಲ್ಸ್‍ಗಳನ್ನು ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ. (ಬದಲಿ ಕಾಮಗಾರಿ), ವಾರ್ಡ್ ನಂ.155ರ ಹನುಮಂತನಗರ ಗವಿಪುರದಲ್ಲಿನ ಆದಮ್ಯ ಚೇತನದ ಆವರಣದ ಸುತ್ತಲೂ ಆಸರೆ ಗೋಡೆಯನ್ನು ನಿರ್ಮಾಣ ಮಾಡಿ ಅದಮ್ಯ ಚೇತನದ ಮುಂಭಾಗದಲ್ಲಿ ಸ್ಟೀಲ್ ರೈಲಿಂಣ್ಸ್ (ಎಸ್.ಎಸ್) ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.","Construction of a wall around the premises of Aditya Chetana in Gavipur, Hanumanthanagar, Ward No.155, is the work of installing tiles that will be restored to the existing water tank. (Replacement work), The construction of a wall around the premises of Aditya Chetana in Gavipur, Hanumanthanagar, Ward No.155, is set up by Steel Raylins (SS) in front of Aditya Chetana.",11.0
12,2013-14,12,ಹನುಮಂತನಗರದಲ್ಲಿರುವ ಭಾರತ ಮಾತಾ ವಿದ್ಯಾ ಸಂಸ್ಥೆ (ರಿ) ಇವರಿಗೆ ಆಡಿಟೋರಿಯಂ ನಿರ್ಮಿಸಲು ಅನುದಾನ ನೀಡುವ ಕುರಿತು.,"India Mata Vidya Organization (R), located in Hanumanthanagar, provides assistance to construct Auditorium.",10.0
13,2013-14,13,ಹನುಮಂತ ನಗರ ವಾರ್ಡ್ ವ್ಯಾಪ್ತಿಯಲ್ಲಿರುವ ಡಾ. ರಾಜ್ ಕುಮಾರ್ ಉದ್ಯಾನವನದಲ್ಲಿ (ಜಿಂಕೆ ಪಾರ್ಕ್) ವ್ಯಾಯಾಮ ಸಾಮಾಗ್ರಿಗಳ ಖರೀದಿಗಾಗಿ.,"Dr Hanumanth Nagar, who is in charge of Hanumanth Nagar Ward For purchase of exercise materials at Rajkumar Park (Deer Park).",0.6
14,2013-14,14,ಬಸವನಗುಡಿ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ವಿದ್ಯಾಪೀಠ ವಾರ್ಡ್ ನಂ.164ರ ವ್ಯಾಪ್ತಿಯಲ್ಲಿರುವ ಶಂಕರ್‍ನಾಗ್ ವೃತ್ತದ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ.,Shankarnag circle development work under the Vidyapeeth Ward No.164 of Basavanagudi Vidhana Sabha constituency.,15.0
15,2013-14,15,"ಉದಯಭಾನು ಕಲಾ ಸಂಘ(ನೋಂ) ಗವೀಪುರ ಸಾಲು ಛತ್ರಗಳ ಎದುರು, ರಾಮಕೃಷ್ಣ ಮಠ ಬಡಾವಣೆ, ಕೆಂಪೇಗೌಡ ನಗರ, ಬೆಂ-19 ಇಲ್ಲಿ ಸಭಾ ಭವನ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ.","Udayabhanu Kala Sangha (Noam) opposite the Gavipuram line chambers, Ramakrishna Math Layout, Kempegowda Nagar, Bem-19 Building a Sabah Bhawan here.",10.0
16,2014-15,1,"ಗಿರಿನಗರ ಉಪವಿಭಾಗದ ಡಾ.ಬಿ.ಆರ್.ಅಂಬೇಡ್ಕರ್ ಉದ್ಯಾನವನ, ಕತ್ರಿಗುಪ್ಪೆ ವಾರ್ಡ್ ನಂ.163ರಲ್ಲಿ ಶುದ್ಧ ಕುಡಿಯುವ ನೀರಿನ ಘಟಕ ನಿರ್ಮಾಣ.ಗಿರಿನಗರ ಉಪವಿಭಾಗದ ಪೈಪ್‍ಲೈನ್, ಪೊಲೀಸ್ ಚೌಕಿ ಹತ್ತಿರ, ನರಿಹಳ್ಳ, ಶ್ರೀನಗರ ವಾರ್ಡ್ ನಂ.156ರಲ್ಲಿ ಶುದ್ಧ ಕುಡಿಯುವ ನೀರಿನ ಘಟಕ ನಿರ್ಮಾಣ.ಗಿರಿನಗರ ಉಪವಿಭಾಗದ 80 ಆಡಿ ರಸ್ತೆ, ಶಂಕರ್‍ನಾಗ್ ವೃತ್ತ, ಗಣೇಶ ದೇವಸ್ಥಾನದ ಎದುರು, ವಿದ್ಯಾಪೀಠ ವಾರ್ಡ್ ನಂ.164ರಲ್ಲಿ ಶುದ್ಧ ಕುಡಿಯುವ ನೀರಿನ ಘಟಕ ನಿರ್ಮಾಣ.Pಕ್ರ.ಸಂ.1 ರಿಂದ 3ರ ವರೆಗಿನ ಕಾಮಗಾರಿ ಒಟ್ಟು ಮೊತ್ತ","Dr. BR Ambedkar Park, Girinagar subdivision, constructed a clean drinking water unit in Katraguppa Ward No.163.Pipeline of Girinagar subdivision, near Pauri Chowk, Narihalla, Srinagar Ward No.156 Construction of a clean drinking water unit.80 Adi Road, Girinagar subdivision, Shankarnag Circle, opposite the Ganesh Temple, Vidyapeeth Ward No.164 is a clean drinking water unit.The total amount of work from 1 to 3 years",25.0
