Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013-14,1,"ಕರ್ನಾಟಕ ಸರ್ಕಾರದ ವತಿಯಿಂದ ಇ-ಐibಡಿಚಿಡಿಥಿ ತೆರೆಯಲು 40 ಕಂಪ್ಯೂಟರ್ ಸರ್ವರ್ ಅಳವಡಿಕೆ, ನೆಟ್‍ವರ್ಕ್ ಕೇಬಲ್‍ಗಳ ಅವಶ್ವಕತೆಯಿರುವುದರಿಂದ",The Government of Karnataka has set up 40 computer servers to open e-ib dichidi,20.0
2,2013-14,2,ಮಕ್ಕಳ ಕ್ಷೇಮಾಭಿವೃದ್ಧಿಗೆ ತನ್ನ ಕಾಲೇಜಿನ ಆವರಣದಲ್ಲಿ ಸಾಂಸ್ಕøತಿಕ ಸೌಲಭ್ಯಗಳನ್ನು ಒಳಗೊಂಡ ಸಭಾಂಗಣವನ್ನು ನಿರ್ಮಿಸುವ ಕುರಿತು,About Building a Hall of Fame in the College premises for children's welfare,10.0
3,2013-14,3,ಜಯನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವ್ಯಾಪ್ತಿಯಲ್ಲಿರುವ ಜೆ.ಪಿ.ನಗರದ (Samatram Science & Research for Human Welfare Trust)   ನಡೆಸುತ್ತಿರುವ ಜ್ಞಾನ ಸಂಜೀವಿನಿ ಡಯಾಬಿಟಿಸ್ ಹಾಸ್ಪೆಟಲ್ ನ ವಿವಿಧ ಸೌಲಭ್ಯ ಒದಗಿಸುವ ಬಗ್ಗೆ,Knowledge of the Sanjeevini Diabetes Hospetal Provision of various facilities provided by the Samatram Science & Research for Human Welfare Trust in the Jayanagar Assembly constituency.,10.0
4,2013-14,4,"Providing Cement Concrete 1 Main to 1A Cross, near Shababul-E-Islam masjid Gurappana Palya Ward No. 171, Jayanagara Assembly","Providing Cement Concrete 1 Main to 1A Cross, near Shababul-E-Islam masjid Gurappana Palya Ward No. 171, Jayanagara Assembly",2.5
5,2013-14,5,"Providing Cement Concrete Road at 1st main & 4th main near Gurappana Palya ward No.171, Jayanagara Assembly","Providing Cement Concrete Road at 1st main & 4th main near Gurappana Palya ward No.171, Jayanagara Assembly",2.5
6,2013-14,6,"Providing Cement Concrete Road at 1st main & 4th main of near Shababul-E-Islam masjid from A.N.Provisions to Bore mill  Tech Tools Gurappana Palya Ward No.171, J.Nagar Assembly","Providing Cement Concrete Road at 1st main & 4th main of near Shababul-E-Islam masjid from A.N.Provisions to Bore mill  Tech Tools Gurappana Palya Ward No.171, J.Nagar Assembly",2.45
7,2013-14,7,Providing Cement Concrete road at Junction B/N 1st main & 4th Main of near Shababut-E-Islam masjid from regal Toilets to Hi style Gurappanapalya ward No.171,Providing Cement Concrete road at Junction B/N 1st main & 4th Main of near Shababut-E-Islam masjid from regal Toilets to Hi style Gurappanapalya ward No.171,2.55
8,2013-14,8,"Providing Cement Concrete road 1st Main to 2nd Cross, near Shababul-E-Islam masjid Gurappanapalya ward No.171","Providing Cement Concrete road 1st Main to 2nd Cross, near Shababul-E-Islam masjid Gurappanapalya ward No.171",2.4
9,2013-14,9,Providing Cement Concrete road 1st main to 3rd Cross near near Shababul-E-Islam masjid Gurappanapalya ward No.171 Jayanagar Assembly,Providing Cement Concrete road 1st main to 3rd Cross near near Shababul-E-Islam masjid Gurappanapalya ward No.171 Jayanagar Assembly,2.45
10,2013-14,10,Construction of 2 culvert with RCC Covering slab at 1st main near Shababul-E-Islam Masjid Gurappanapalya ward No.171 Jayanagar Assembly,Construction of 2 culvert with RCC Covering slab at 1st main near Shababul-E-Islam Masjid Gurappanapalya ward No.171 Jayanagar Assembly,1.9
