Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013-14,1.0,"Construction of Dining hall to Uttarahalli Govt High School at Uttarahalli Village, Ward No.184, Bangalore South Taluk","Construction of Dining hall to Uttarahalli Govt High School at Uttarahalli Village, Ward No.184, Bangalore South Taluk",15.0
2,2013-14,2.0,ಉತ್ತರ ಹಳ್ಳಿ ಫ್ರೌಢಶಾಲೆಯ ಮುಖ್ಯ ದ್ವಾರಕ್ಕಾಗಿ ನಿರ್ಮಾಣಕ್ಕಾಗಿ,North Village to build for the main entrance of the High School,2.5
3,2013-14,3.0,ಉತÀ್ತರಹಳ್ಳಿ ಫ್ರೌಢಶಾಲೆಯ ಮುಖ್ಯ ದ್ವಾರದ ಬೃಹತ್ ಕಾಂಪೌಂಡ್ ಕಟ್ಟಡದ ಕಾಮಗಾರಿ,Work on the main entrance of the main entrance of Utharahalli High School,2.5
4,2013-14,4.0,"Providing Concreting ro Road from Pamaswamy's hpuse upto Ravireddy House at Bukkasagara Village, Kallabalu GP, Jigani Hobli Anekal","Providing Concreting ro Road from Pamaswamy's hpuse upto Ravireddy House at Bukkasagara Village, Kallabalu GP, Jigani Hobli Anekal",4.0
5,2013-14,5.0,"Providing Concreting to Road from Ravireddy House upto Byrappa House at Bukkasagara Village Kallabalu GP, Jigani Hobli Anekal","Providing Concreting to Road from Ravireddy House upto Byrappa House at Bukkasagara Village Kallabalu GP, Jigani Hobli Anekal",4.0
6,2013-14,6.0,"Providing Concreting to Road from Byrappa house upto Mini Tank at  Bukkasagara Village, Kallabalu GP Jigani Hobli, Anekal Taluk","Providing Concreting to Road from Byrappa house upto Mini Tank at  Bukkasagara Village, Kallabalu GP Jigani Hobli, Anekal Taluk",3.0
7,2013-14,9.0,"Providing Cement Concrete Pavement to Thirupalya Village Hebbagodi GP Jigani Hobli, Anekal Taluk","Providing Cement Concrete Pavement to Thirupalya Village Hebbagodi GP Jigani Hobli, Anekal Taluk",5.0
8,2013-14,10.0,"Asphalting to Road at Hennagara Village, Approach Road Join to Yellammadevi Temple Road, Hennagara GP, Jigani Hobli Anekal Taluk","Asphalting to Road at Hennagara Village, Approach Road Join to Yellammadevi Temple Road, Hennagara GP, Jigani Hobli Anekal Taluk",5.0
9,2013-14,11.0,Improvements and Asphalting to the H.Hosahalli Village Road in Hennagara GP Jigani Hobli Anekal Taluk,Improvements and Asphalting to the H.Hosahalli Village Road in Hennagara GP Jigani Hobli Anekal Taluk,5.0
10,2013-14,12.0,"Improvements and Asphalting to the Yaranahalli Road in Hennagara GP, Jigani Hobli Anekal Taluk","Improvements and Asphalting to the Yaranahalli Road in Hennagara GP, Jigani Hobli Anekal Taluk",5.0
11,2013-14,13.0,"ಆನೇಕಲ್ ತಾಲ್ಲೂಕು, ಜಿಗಣಿ ಹೋಬಳಿ, ಕಲ್ಬಾಳು ಗ್ರಾಮ ಪಂಚಾಯಿತಿ ವ್ಯಾಪ್ತಿಯಲ್ಲಿರುವ ಮಹಾಂತಲಿಂಗಾಪುರ ಗ್ರಾಮದ ದೊಡ್ಡಿಮುನೇಶ್ವರ ದೇವಸ್ಥಾನದ ಆವರಣದಲ್ಲಿ ಅಡುಗೆಮನೆ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ","Kitchen construction work at Doddimuneshwara Temple premises at Mahantlangapura village under Ankal Taluk, Jigani Hobli, Kalbala Gram Panchayat",5.0
12,2013-14,14.0,"Sinking of Borewell at Bodagudde Bande village in Begur, ward No.192.","Sinking of Borewell at Bodagudde Bande village in Begur, ward No.192.",2.2
13,2013-14,15.0,"Sinking of Borewell at Doctors Badavane, Naganathapura in ward No.192.","Sinking of Borewell at Doctors Badavane, Naganathapura in ward No.192.",2.5
14,2013-14,16.0,Sinking of Borewell at Naganathapura near Varalakshmi and Basna's Parappana Agrahara in Singasandra in ward No.191.,Sinking of Borewell at Naganathapura near Varalakshmi and Basna's Parappana Agrahara in Singasandra in ward No.191.,2.5
15,2013-14,17.0,"Sinking of Borewell at Shivareddy Badavane near Munireddy house road, Naganathapura in Singasandra  in Singasandra in ward No.191.","Sinking of Borewell at Shivareddy Badavane near Munireddy house road, Naganathapura in Singasandra  in Singasandra in ward No.191.",2.5
16,2013-14,18.0,Sinking of Borewell at G.K.Badavane road at Tank Bed of Agrahara in Begur ward No.192.,Sinking of Borewell at G.K.Badavane road at Tank Bed of Agrahara in Begur ward No.192.,2.5
17,2013-14,19.0,Sinking of Borewell at Bodagudde Bande village road at Tank Bed of Agrahara in Begur ward No.192.,Sinking of Borewell at Bodagudde Bande village road at Tank Bed of Agrahara in Begur ward No.192.,2.41
18,2013-14,20.0,Sinking of Borewell at Lakshmi Badavane at Doddakammanahalli Sri Ganapathi Temple road in Begur ward No.192.,Sinking of Borewell at Lakshmi Badavane at Doddakammanahalli Sri Ganapathi Temple road in Begur ward No.192.,2.2
19,2013-14,21.0,Sinking of Borewell at Bodagadde Bande in Front of Cinappa's Stores in Begur ward No.192.,Sinking of Borewell at Bodagadde Bande in Front of Cinappa's Stores in Begur ward No.192.,2.25
20,2013-14,22.0,Sinking of Borewell at Jambusavari Dinne beside Munivenkatappa's house road in Begur ward No.192.,Sinking of Borewell at Jambusavari Dinne beside Munivenkatappa's house road in Begur ward No.192.,2.41
21,2013-14,23.0,Sinking of Borewell at Yelenahalli near Amogha Apartment road in Begur ward No.192.,Sinking of Borewell at Yelenahalli near Amogha Apartment road in Begur ward No.192.,2.35
22,2013-14,24.0,"Sinking of Borewell at Temple Premises behind Govt School, Jambusavari Dinne in Begur ward No.192.","Sinking of Borewell at Temple Premises behind Govt School, Jambusavari Dinne in Begur ward No.192.",2.46
23,2013-14,25.0,Sinking of Borewell at Lakshmi layout 2nd stage near Ittige Goodu in Begur ward No.192.,Sinking of Borewell at Lakshmi layout 2nd stage near Ittige Goodu in Begur ward No.192.,2.48
24,2013-14,26.0,Sinking of Borewell at near Masjid in Begur ward No.192.,Sinking of Borewell at near Masjid in Begur ward No.192.,2.5
25,2013-14,27.0,Sinking of Borewell at Akshaya Nagar in Begur ward No.192.,Sinking of Borewell at Akshaya Nagar in Begur ward No.192.,2.4
26,2013-14,28.0,Redriling of Borewell at Lakshmi layout in Begur ward No.192.,Redriling of Borewell at Lakshmi layout in Begur ward No.192.,1.3
27,2013-14,29.0,"Providing chain link fencing and improvements to park at Kunte beside Basaveshwaraswamy Temple at Kallubalu village, Kallubalu GP, Jigani hobli, Anekal Tq.","Providing chain link fencing and improvements to park at Kunte beside Basaveshwaraswamy Temple at Kallubalu village, Kallubalu GP, Jigani hobli, Anekal Tq.",4.5
28,2013-14,30.0,"ಸಮಾಜ ಸಂಪರ್ಕ ವೇದಿಕೆ, ಶ್ರೀ ಆದಿಚುಂಚನಗಿರಿ ಮಹಾಸಂಸ್ಥಾನ ಮಠದ ಆವರಣ, ವಿಜಯನಗರ, ಬೆಂ-40, ರವರು ತುರಹಳ್ಳಿ ಗ್ರಾಮದ ಸ.ನಂ.1/2, 5, 7, 9, 2/1, 2, 10/2, 11/1 ಮತ್ತು 11/5 ರಲ್ಲಿ ಭಾರತ್ ಗೃಹ ನಿರ್ಮಾಣ ಸಂಘವು ವಿದ್ಯಾರ್ಥಿ ನಿಲಯ ಕಟ್ಟಡದ ನಿರ್ಮಾಣಕ್ಕಾಗಿ.","Social Connect Forum, Sri Adichunchanagiri Mahasanthan Mutt Complex, Vijayanagara, Bem-40, No. 1/2 of Thurahalli Village, 5, 7, 9, 2/1, 2, 10/2, 11/1 and 11/5 In Bharat Housing Construction Society for the construction of a student building.",5.0
29,2013-14,31.0,"(1) ಸಿ.ವೆಂಕಟೇಶ್ ಬಿನ್ ಚಿಕ್ಕಣ್ಣ, (2) ಪಿ.ರವಣಪ್ಪ ಬಿನ್ ಮಲ್ಲಪ್ಪ, (3) ಇ.ಮುನಿರಾಜು ಬಿನ್ ಲೇಟ್ ಈರಮುನಿಯಪ್ಪ ರವರುಗಳಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ. (ಒಬ್ಬರಿಗೆ ರೂ.71,805-00)","(1) C. Venkatesh bin Chinnanna,(2) P. Ravana bin Malappa,(3) For e-Muniraju bin Late Iramuniyappa for three-wheeler purchase. (Rs.71,805-00 per person) ",2.87
30,2013-14,32.0,"ಆನೇಕಲ್ ತಾಲ್ಲೂಕು, ಜಿಗಣಿ ಹೋಬಳಿ, ಜಿಗಣಿ ಗ್ರಾಮದಲ್ಲಿ ಕುಡಿಯುವ ನೀರಿನ ಸಂಸ್ಕರಣ ಘಟಕ ಸ್ಥಾಪನೆ. ಭಾಗ-1","Establishment of Drinking Water Processing Unit at Jigani Village, Anekal Taluk, Jigani Hobli. Part -1",7.5
31,2013-14,33.0,"ಆನೇಕಲ್ ತಾಲ್ಲೂಕು, ಜಿಗಣಿ ಹೋಬಳಿ, ಜಿಗಣಿ ಗ್ರಾಮದಲ್ಲಿ ಕುಡಿಯುವ ನೀರಿನ ಸಂಸ್ಕರಣ ಘಟಕ ಸ್ಥಾಪನೆ. ಭಾಗ-2","Establishment of Drinking Water Processing Unit at Jigani Village, Anekal Taluk, Jigani Hobli. Part -2",7.5
32,2013-14,34.0,"ಆನೇಕಲ್ ತಾಲ್ಲೂಕು, ಜಿಗಣಿ ಹೋಬಳಿ, ಕಲ್ಲುಬಾಳು ಗ್ರಾಮದಲ್ಲಿ ಕುಡಿಯುವ ನೀರಿನ ಸಂಸ್ಕರಣ ಘಟಕ ಸ್ಥಾಪನೆ.","Establishment of Drinking Water Treatment Unit at Ankal Taluk, Jigani Hobli, Kallaballu Village.",7.5
33,2013-14,35.0,"ಆನೇಕಲ್ ತಾಲ್ಲೂಕು, ಜಿಗಣಿ ಹೋಬಳಿ, ಹೆನ್ನಾಗರ ಗ್ರಾಮದಲ್ಲಿ ಕುಡಿಯುವ ನೀರಿನ ಸಂಸ್ಕರಣ ಘಟಕ ಸ್ಥಾಪನೆ.","Establishment of Drinking Water Processing Unit at Anekal Taluk, Jigani Hobli, Henagara Village.",7.5
34,2013-14,36.0,"ಆನೇಕಲ್ ತಾಲ್ಲೂಕು, ಜಿಗಣಿ ಹೋಬಳಿ, ಹಾರಗದ್ದೆ ಗ್ರಾಮದಲ್ಲಿ ಕುಡಿಯುವ ನೀರಿನ ಸಂಸ್ಕರಣ ಘಟಕ ಸ್ಥಾಪನೆ.","Establishment of drinking water treatment plant at Anekal Taluk, Jigani Hobli, Horagadde village.",7.5
35,2013-14,37.0,"ಆನೇಕಲ್ ತಾಲ್ಲೂಕು, ಜಿಗಣಿ ಹೋಬಳಿ, ಮಂಟಪ ಗ್ರಾಮದಲ್ಲಿ ಕುಡಿಯುವ ನೀರಿನ ಸಂಸ್ಕರಣ ಘಟಕ ಸ್ಥಾಪನೆ.","Establishment of Drinking Water Processing Unit at Ankal Taluk, Jigani Hobli, Mantapa Village.",7.5
36,2013-14,38.0,"ಆನೇಕಲ್ ತಾಲ್ಲೂಕು, ಜಿಗಣಿ ಹೋಬಳಿ, ಬನ್ನೇರುಘಟ್ಟ ಗ್ರಾಮದಲ್ಲಿ ಕುಡಿಯುವ ನೀರಿನ ಸಂಸ್ಕರಣ ಘಟಕ ಸ್ಥಾಪನೆ.","Anekal Taluk, Jigani Hobli, a drinking water treatment plant in Bannerghatta village.",7.5
37,2013-14,39.0,"ಆನೇಕಲ್ ತಾಲ್ಲೂಕು, ಜಿಗಣಿ ಹೋಬಳಿ, ಶ್ಯಾನುಭೋಗನಹಳ್ಳಿ ಗ್ರಾಮದಲ್ಲಿ ಕುಡಿಯುವ ನೀರಿನ ಸಂಸ್ಕರಣ ಘಟಕ ಸ್ಥಾಪನೆ.","Establishment of drinking water treatment plant at Anekal Taluk, Jigani Hobli, Shanbhogonahalli village.",7.5
38,2013-14,40.0,"ಬೆಂಗಳೂರು ದಕ್ಷಿಣ ತಾಲ್ಲೂಕು, ಬೇಗೂರು ಹೋಬಳಿ, ದೊಡ್ಡತೋಗೂರು ಗ್ರಾಮದಲ್ಲಿ ಕುಡಿಯುವ ನೀರಿನ ಸಂಸ್ಕರಣ ಘಟಕ ಸ್ಥಾಪನೆ. ಭಾಗ-1.","Establishment of Drinking Water Treatment Plant at Bilaguru Hobli, Balthoguru Village, Bangalore South Taluk. Part -1.",7.5
39,2013-14,41.0,"ಬೆಂಗಳೂರು ದಕ್ಷಿಣ ತಾಲ್ಲೂಕು, ಬೇಗೂರು ಹೋಬಳಿ, ದೊಡ್ಡತೋಗೂರು ಗ್ರಾಮದಲ್ಲಿ ಕುಡಿಯುವ ನೀರಿನ ಸಂಸ್ಕರಣ ಘಟಕ ಸ್ಥಾಪನೆ. ಭಾಗ-2.","Establishment of Drinking Water Treatment Plant at Bilaguru Hobli, Balthoguru Village, Bangalore South Taluk. Part -2.",5.0
40,2013-14,42.0,"ಕುಮಾರ ನಾಯ್ಕ ಬಿನ್ ಮುನಿನಾಯ್ಕ, ರಾಗಿಹಳ್ಳಿ (ಬಸವನದೊಡ್ಡಿ) ಜಿಗಣಿ ಹೋಬಳಿ, ಆನೇಕಲ್ ತಾಲ್ಲೂಕು, ಬೆಂ.ನ.ಜಿಲ್ಲೆ ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ.","Kumara Naika bin Muneikka, Ragihalli (Basavanadodi) Jigani Hobli, Anekal Taluk, BM Nelli for Trichak Vehicle Purchase.",0.71
41,2013-14,43.0,"ಮಹಾಬಲೇಶ್ವರ ಮಧ್ಯಸ್ಥ ಬಿನ್ ಲಕ್ಷ್ಮಿನಾರಾಯಣ ಮಧ್ಯಸ್ಥ, ನಂ.18, ದುರ್ಗಾ ನಿಲಯ, ಜಂಬೂಸವಾರಿ ದಿಣ್ಣೆ, ಜೆ.ಪಿ.ನಗರ, 8ನೇ ಹಂತ, ಬೆಂ. ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ.","Mahabaleshwar intermediary bin Lakshminarayana mediator, No.18, Durga Nilaya, Jambuswari Dunne, JP Nagar, 8th Phase, b. For a three-wheel drive vehicle.",0.71
42,2013-14,44.0,ಶಿವನಹಳ್ಳಿ ಗ್ರಾಮದ ಆಶ್ರಮದಿಂದ ಶ್ರೀ ಮಾರಮ್ಮದೇವಿ ದೇವಸ್ಥಾನದವರೆಗಿನ ರಸ್ತೆ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ.,Road development work from Ashram to Sivanahalli village to Sri Maramma Devi Temple.,5.0
