"word","freq"
"gram panchayat",109
"primary school",79
"bangalore sou",77
"sou taluk",77
"co operative",43
"operative society",42
"construction work",40
"higher primary",35
"milk producers",34
"assembly constituency",33
"kengeri hobli",32
"producers co",31
"building construction",30
"taluk kengeri",30
"government higher",29
"thavakere hobli",26
"government primary",24
"taluk thavakere",24
"society building",23
"developing desktops",19
"k gollahalli",17
"gollahalli gram",16
"village bangalore",16
"yashwantpur assembly",16
"bus station",15
"high school",15
"adopting developing",14
"drinking water",13
"yeshwantpur assembly",13
"school room",12
"agar gram",10
"bus stand",10
"school building",10
"senior primary",10
"cholanayakanahalli gram",9
"development work",9
"installing developing",9
"kgollahalli gram",9
"room construction",9
"construction bus",8
"development desks",8
"hobli kgollahalli",8
"water unit",8
"anganwadi building",7
"clean drinking",7
"developing desks",7
"government senior",7
"junior primary",7
"primary primary",7
"u gram",7
"village k",7
"village milk",7
"chandrappa circle",6
"desks high",6
"government junior",6
"implementation development",6
"school kengeri",6
"bus shelter",5
"community building",5
"concrete road",5
"construction milk",5
"first floor",5
"hobli k",5
"main road",5
"panchayat bangalore",5
"panchayat rural",5
"panchayat yeshwantpur",5
"school bangalore",5
"somanahalli gram",5
"stand construction",5
"ward construction",5
"ward kengeri",5
"advanced development",4
"bangalore taluk",4
"bhel layout",4
"building building",4
"cholanayakanahalli village",4
"chunanchakuppe gram",4
"circle village",4
"class room",4
"compound construction",4
"establishment development",4
"floor school",4
"gollahalli village",4
"government high",4
"government urdu",4
"kengeri suburban",4
"kengeri ward",4
"kgollahalli village",4
"kumbalguda gram",4
"library building",4
"library kengeri",4
"panchayat yashwantpur",4
"rural building",4
"school kodigahalli",4
"toilet construction",4
"ullal government",4
"village cholanayakanahalli",4
"village yashwantpur",4
"ward ullala",4
"work library",4
"work school",4
"yeshwanthpur assembly",4
"agriculture service",3
"aph school",3
"balala village",3
"basavanna temple",3
"bhavana bhel",3
"br ambedkar",3
"building k",3
"building work",3
"chinnanahalli gram",3
"construction first",3
"construction government",3
"construction works",3
"continuous work",3
"desktops aph",3
"gonipura village",3
"gonpur village",3
"government model",3
"government school",3
"gramar panchayat",3
"gr compound",3
"hobli chunakakuppe",3
"hobli chunanchakuppe",3
"hobli kumbalgudu",3
"hobli thavakere",3
"kengeri ho",3
"kengeri suburb",3
"kg gollahalli",3
"kodigahalli government",3
"kumbalgudu gram",3
"layout ward",3
"mandir construction",3
"mandir samudhaya",3
"nelaguli gram",3
"panchayat government",3
"panchayat gr",3
"panchayat range",3
"pipeline works",3
"prathana mandir",3
"prayer mandir",3
"primary class",3
"pure drinking",3
"ramoahalli gramar",3
"range bangalore",3
"restoration work",3
"roof works",3
"sai prathana",3
"samudhaya bhavana",3
"school le",3
"school premises",3
"school ullal",3
"school ward",3
"service co",3
"seva co",3
"suburban bus",3
"talaghatpura government",3
"taluk uttallahalli",3
"thavarakere hobli",3
"thavarekere hobli",3
"ullal suburban",3
"uttallahalli hobli",3
"ward bus",3
"ward hemmigepura",3
"ward phase",3
"ward step",3
"work bangalore",3
"works sai",3
"work ward",3
"acp cladding",2
"adapting developing",2
"additional building",2
"agara gp",2
"agriculture services",2
"ambedkar community",2
"aphp school",2
"appliance machinery",2
"ap school",2
"area development",2
"bangalore exercise",2
"bangalore primary",2
"bangalore south",2
"bangalore urban",2
"bank regular",2
"bbmp won",2
"bda complex",2
"bethesta school",2
"big banyan",2
"bmw ward",2
"building kengeri",2
"building works",2
"building yashwantpur",2
"build school",2
"bus stop",2
"c appliance",2
"channenahalli gram",2
"choodahalli village",2
"chunakakuppe gram",2
"church near",2
"coin box",2
"colony bangalore",2
"completed construction",2
"complex nd",2
"constituency bensur",2
"constituency completed",2
"constituency ward",2
"constructed gonipura",2
"construction bmw",2
"construction class",2
"construction prayer",2
"construction st",2
"construction stage",2
"continuing work",2
"cross kengeri",2
"cross ullak",2
"desktops aphp",2
"development desktops",2
"development scheme",2
"devi temple",2
"drainage works",2
"dr br",2
"dubasapalya school",2
"elementary school",2
"euderi village",2
