"word","freq"
"mahalakshmi layout",54
"assembly constituency",30
"layout assembly",30
"main road",25
"nandini layout",25
"drinking water",22
"water unit",21
"clean drinking",14
"drive vehicle",13
"three wheel",13
"wheel drive",13
"ward mahalakshmi",12
"layout bangalore",11
"layout ward",10
"bangalore city",8
"kamalanagar bangalore",8
"nagpur ward",8
"pure drinking",8
"unit ward",8
"city mahalakshmi",7
"st main",7
"bus station",6
"high school",6
"jc nagar",6
"layout constituency",6
"primary school",6
"area development",5
"bangalore building",5
"development scheme",5
"development work",5
"development works",5
"layout mahalakshmi",5
"park ward",5
"road cross",5
"vehicle purchase",5
"bangalore three",4
"bangalore triplicate",4
"basaveshwara nagar",4
"bell three",4
"bus construction",4
"constituency ward",4
"construction pure",4
"construction work",4
"kirloskar colony",4
"mlas area",4
"nagar bangalore",4
"pipeline road",4
"school kurubarahalli",4
"senior primary",4
"set clean",4
"triplicate vehicle",4
"ward shakti",4
"bangalore bus",3
"bin lay",3
"building construction",3
"bus stand",3
"card road",3
"construction works",3
"drilling wells",3
"establish clean",3
"government primary",3
"kamalanagar bell",3
"layout kamalanagar",3
"magadi main",3
"mahalaxmiipuram bangalore",3
"nd main",3
"nd stage",3
"number mahalakshmi",3
"park nandini",3
"printers school",3
"rajajinagar bangalore",3
"road jc",3
"road kamalanagar",3
"school building",3
"st cross",3
"unit local",3
"ward main",3
"ward nagpur",3
"ward nandini",3
"ward number",3
"west card",3
"w n",3
"agricultural product",2
"aided school",2
"ambika kannada",2
"anganwadi government",2
"anthony high",2
"area ​​",2
"bangalore build",2
"bangalore northwest",2
"bangalore school",2
"bangalore urban",2
"basaveshwara co",2
"bidbssb office",2
"block mahalakshipuram",2
"block nandini",2
"building bus",2
"bus shelter",2
"button sap",2
"chain linti",2
"chinnappa government",2
"colony park",2
"committee office",2
"computer printers",2
"concrete putbat",2
"constituency st",2
"construction clean",2
"co operative",2
"cross mahalakshmi",2
"cross nd",2
"dialysis machine",2
"dialysis sechitor",2
"drainbase workshops",2
"english school",2
"establishment clean",2
"fencing plunging",2
"floor area",2
"floor dialysis",2
"front basaveshwara",2
"funds workshops",2
"furniture computer",2
"ganapati nagar",2
"government aided",2
"government hospital",2
"grant development",2
"granting assistance",2
"granting funds",2
"grant released",2
"grihalakshmi layout",2
"hospital bangalore",2
"hospital hospital",2
"hospital st",2
"ink button",2
"ips hospital",2
"issue grant",2
"kanteerava urban",2
"kumar bin",2
"kurubarahalli bangalore",2
"kurubarahalli circle",2
"kuvempu park",2
"layout construction",2
"layout legislative",2
"layout nagpur",2
"layout nandini",2
"linti fencing",2
"local mlas",2
"machine ups",2
"mahalakshipuram ward",2
"​​ mahalakshmi",2
"market committee",2
"mullagavalli kanteerava",2
"nagar kurubarahalli",2
"nagar ward",2
"nandal layout",2
"nandinilayout bem",2
"nd cross",2
"near bus",2
"n mahalaxmiipuram",2
"northwest bangalore",2
"office front",2
"operative society",2
"park development",2
"plunging concrete",2
"primary primary",2
"primary schools",2
"product market",2
"providing computer",2
"public toilet",2
"putbat drainbase",2
"rd cross",2
"rd floor",2
"rd stage",2
"released set",2
"road bidbssb",2
"road block",2
"sabha constituency",2
"sap chain",2
"s bin",2
"school bangalore",2
"school jc",2
"school nandini",2
"senior citizens",2
"shakti ganapati",2
"shakti nagar",2
"shelter mahalakshmi",2
"shiva temple",2
"society n",2
"st anthony",2
"station work",2
"st floor",2
"toilet construction",2
"toilet development",2
"ups dialysis",2
"vidhan sabha",2
"vivekananda park",2
"ward cross",2
"ward mullagavalli",2
"ward shri",2
"wells ward",2
"workshops ink",2
"workshops rd",2
"works set",2
"yashwantpur agricultural",2
"aa main",1
"academy severe",1
"acquire computer",1
"additionally constructed",1
"additional work",1
"age rajajinagar",1
"aichinjeeya swami",1
"aided high",1
"ambabhani temple",1
"ambulance mlas",1
"anandkumart cross",1
"anjaneya temple",1
"ankayya cross",1
"approach souqulers",1
"approval roof",1
"approximate approach",1
"areas west",1
"arun kumar",1
"asha academy",1
"ashokapura mahalakshmi",1
"ashokpuram bangalore",1
"ashraf bin",1
"ashwa rao",1
"assembly build",1
"assistance development",1
"assistance establish",1
"au light",1
"autism l",1
"babu bin",1
"bachelor pre",1
"balmuri ganapati",1
"bam three",1
"bandwid ward",1
"bangalore bangalore",1
"bangalore buying",1
"bangalore granting",1
"bangalore issue",1
"bangalore kld",1
"bangalore lime",1
"bangalore mahalakshmi",1
"bangalore mlas",1
"bangalore north",1
"bangalore providing",1
"bangalore purchase",1
"bangalore senior",1
"bangalore ticketing",1
"bangalore toilet",1
"bangalore within",1
"bangalore zone",1
"bank colony",1
"basaveshwaranagar bluru",1
"bb nagpur",1
"b building",1
"b come",1
"bem issue",1
"bem nandinilouw",1
"benches sir",1
"benegal development",1
"bengaluru mahalakshmi",1
"bhagyanathan st",1
"bharti english",1
"bhovilpalya mahalakshipur",1
"bin anandkumart",1
"bin bhagyanathan",1
"bin cheluvaya",1
"bin chinnaswamy",1
"bin eran",1
"bin jagannath",1
"bin javarayashetty",1
"bin keshavaiah",1
"bin lalappa",1
"bin late",1
"bin le",1
"bin leyallappa",1
"bin mahadevappa",1
"bin mohammed",1
"bin mohan",1
"bin mudahanumayya",1
"bin muddhanumayya",1
"bin n",1
"bin nagamurti",1
"bin p",1
"bin rama",1
"bin ramachandrappa",1
"bin rudrapa",1
"bin subramani",1
"bin tdevaraj",1
"bin thangaraju",1
"bin venkatesh",1
"block basaveshwaranagar",1
"block friends",1
"block mahalakshmi",1
"block main",1
"bme mlas",1
"bm granting",1
"b school",1
"b three",1
"btml layout",1
"build clean",1
"building building",1
"building built",1
"building development",1
"building well",1
"build public",1
"build school",1
"built veerashaiva",1
"bus stop",1
"bus works",1
"buying furniture",1
"b vinod",1
"campus anjaneya",1
"ca nation",1
"cards b",1
"cauvery park",1
"c bin",1
"cement concrete",1
"center kirloskar",1
"center mahalakshmi",1
"c gopalalya",1
"chaithanya school",1
"chandrashekhar jj",1
"cheluvaya mrs",1
"chennaiah st",1
"chetana primary",1
"chethana shishu",1
"chinnappa shirur",1
"chinnaswamy mr",1
"christopher school",1
"circle bangalore",1
"circle friends",1
"circle mahalakshipuram",1
"circle w",1
"citizens live",1
"citizens relaxation",1
"city kamalanagar",1
"city kurubarahalli",1
"city park",1
"city wd",1
"college janata",1
"colony hbcs",1
"colony nandinilayout",1
"colony st",1
"come late",1
"coming bengaluru",1
"complex jai",1
"component education",1
"computer complex",1
"computer develop",1
"computer purchase",1
"computer purchasesamita",1
"computers furniture",1
"computers printers",1
"concrete plooring",1
"constituency additionally",1
"constituency bus",1
"constituency construct",1
"constituency development",1
"constituency drilling",1
"constituency dumped",1
"constituency ips",1
"constituency issue",1
"constituency kits",1
"constituency senior",1
"constituency works",1
"construct clean",1
"constructed room",1
"construction development",1
"construction granite",1
"construction pe",1
"construction public",1
"construction ro",1
"construction toilet",1
"cross ashokpuram",1
"cross benegal",1
"cross btml",1
"cross government",1
"cross grihalakshmi",1
"cross ground",1
"cross jc",1
"cross kamalanagar",1
"cross lake",1
"cross magadi",1
"cross main",1
"cross muneswar",1
"cross nandini",1
"cross pipeline",1
"cross road",1
"crossroads kamalanagar",1
"crossroads studio",1
"cross west",1
"development approval",1
"development kaveri",1
"development kirloskar",1
"development laughter",1
"development lime",1
"development nandini",1
"development program",1
"development project",1
"development senior",1
"development society",1
"development ward",1
"develop school",1
"dharasas hospital",1
"dineasaheva vidyalaya",1
"division basaveshwara",1
"dr additional",1
"dtuchi construction",1
"dumapati bin",1
"duplicate cross",1
"echitter national",1
"educational institutions",1
"education kit",1
"education rural",1
"e library",1
"en bin",1
"equipped new",1
"eran three",1
"establishing clean",1
"establishing pure",1
"establishment pure",1
"expanding roaming",1
"facility construction",1
"fatima b",1
"f cross",1
"following schools",1
"free student",1
"friends bangalore",1
"friends ips",1
"friends three",1
"front aichinjeeya",1
"front rajajinagar",1
"ft road",1
"funds development",1
"furniture mahalakshmi",1
"furniture school",1
"ganapatinagar bangalore",1
"ganapati temple",1
"ganeshblock main",1
"gangadareshwara school",1
"gangadhareshwara school",1
"gangarayaya f",1
"gardens cauvery",1
"gardens shankar",1
"g gin",1
"gin guruswami",1
"girls coming",1
"gopalalya bin",1
"government school",1
"government urda",1
"government urdu",1
"gowda main",1
"gowda park",1
"granite benches",1
"granting sanction",1
"grants set",1
"ground development",1
"groundnut development",1
"ground vinayaknagar",1
"gunashekhar tt",1
"guruswami nd",1
"handyaps autism",1
"hare krishna",1
"haremara hare",1
"harsh s",1
"hbcs rd",1
"home age",1
"hospital mercy",1
"hostel poor",1
"indoor stadium",1
"inovasan work",1
"institutions main",1
"isparka inovasan",1
"issue ambulance",1
"issue grants",1
"jagadish bin",1
"jagajothi basaveshwara",1
"jagannath main",1
"jagjayothi basaveshwara",1
"jai maruti",1
"janata educational",1
"javarayashetty mrs",1
"jayadeva school",1
"jayanti kom",1
"jayaramr mr",1
"jayarappa st",1
"j bin",1
"jc city",1
"jcnagar mahalakshmipuram",1
"je bin",1
"jj bin",1
"kamakshi bam",1
"kamakshipalya bangalore",1
"kamakshipalya near",1
"kamalanagar bluru",1
"kamalanagar government",1
"kamataka layout",1
"kannada aided",1
"kannada development",1
"kannada high",1
"kannada kannada",1
"kanteerava nagar",1
"kanteerivanagar nandini",1
"karnataka layout",1
"kathamaranahalli ward",1
"kavai kazipalya",1
"kaveri gardens",1
"kazipalya basaveshwara",1
"kempe gowda",1
"keshavaiah st",1
"kishore center",1
"kit anganwadi",1
"kits anganwadi",1
"kits totaling",1
"kk bin",1
"kld sewage",1
"kom raghuhr",1
"kom sivakumavu",1
"krishna park",1
"ks linginghowa",1
"kumar j",1
"kumar s",1
"kurubaharahalli circle",1
"kurubarahalli mahalakshmi",1
"kv vasan",1
"lake yard",1
"lalappa duplicate",1
"late mahmoud",1
