"word","freq"
"hebbal assembly",33
"assembly constituency",32
"drinking water",13
"ward hebbal",13
"clean drinking",10
"water unit",10
"constituency ward",9
"development work",9
"construction clean",7
"main road",7
"bus station",6
"bus stop",6
"cctv installation",6
"rt nagar",6
"area ward",5
"bus stand",5
"constituency construction",5
"installation work",5
"layout ward",5
"primary school",5
"ward cctv",5
"adjoining government",4
"bus parking",4
"government model",4
"higher primary",4
"model higher",4
"parking area",4
"playground development",4
"ward near",4
"bin late",3
"bus shelter",3
"construction bus",3
"govala ramayana",3
"kuvempu playground",3
"mannarayanapalya ward",3
"nagar bangalore",3
"nagashettihalli ward",3
"playground adjoining",3
"rd cross",3
"road ward",3
"school govala",3
"station ward",3
"two bus",3
"unit near",3
"ward construction",3
"ward n",3
"work near",3
"b bus",2
"church circle",2
"circle worship",2
"compound built",2
"compound construction",2
"constituency two",2
"constructed kuvempu",2
"construction work",2
"cross mannarayanapalya",2
"cross rehmat",2
"installation cctv",2
"jc nagar",2
"layout near",2
"nahalli church",2
"nd stage",2
"near bus",2
"near ward",2
"newly constructed",2
"newly kuvempu",2
"nine nahalli",2
"n nine",2
"nti bus",2
"patelappa layout",2
"post office",2
"provide drinking",2
"ramayana nagashettihalli",2
"rehmat nagar",2
"rmv nd",2
"road ganganagar",2
"road near",2
"saibaba temple",2
"stand hebbal",2
"strom water",2
"ward playground",2
"water drain",2
"work central",2
"work hebbal",2
"worship c",2
"adjacent road",1
"akram bin",1
"amarajoti layout",1
"amarjajothi layout",1
"area ​​moti",1
"assembly area",1
"azmatullah khan",1
"back nti",1
"bangalore city",1
"bangalore hebbal",1
"bank kanakanagar",1
"bardaraya bin",1
"bbmp office",1
"b cctv",1
"bed protection",1
"begaluru urban",1
"bel bus",1
"bhajan mandir",1
"bhavan opposite",1
"bhubaneswari slum",1
"bhupasandra circle",1
"bin azmatullah",1
"bin krishnappa",1
"bin lad",1
"bin leucuesi",1
"bin m",1
"bin mohammed",1
"bin narayanaappa",1
"bin narayanappa",1
"bin ramakeshwamurthy",1
"bin syed",1
"bin usman",1
"bin venkataraju",1
"black nd",1
"black ward",1
"block chamundinagar",1
"block dalars",1
"block hebbal",1
"block jackie",1
"block jc",1
"block ward",1
"building construction",1
"building hebbal",1
"built newly",1
"built western",1
"bullwald park",1
"bus shelters",1
"cbi road",1
"c block",1
"cc tv",1
"cctv nageshettihalli",1
"cctv ticket",1
"cctv ward",1
"cemetery ward",1
"central excise",1
"central exhibition",1
"central exposed",1
"chainlink pencing",1
"chamundi nagar",1
"chamundinagar main",1
"chamundinagar ward",1
"circa opposite",1
"circle ward",1
"citizen park",1
"city vadnam",1
"college grounds",1
"colony rmc",1
"colony rmv",1
"colony ward",1
"constituency b",1
"constituency bangalore",1
"constituency jc",1
"constituency muttahalli",1
"construction empty",1
"construction newly",1
"construction southern",1
"coverising hdpe",1
"cross bullwald",1
"cross cbi",1
"cross junctuon",1
"cross mutt",1
"cross nd",1
"cross near",1
"cross road",1
"crossroads near",1
"dalars colony",1
"desilting drain",1
"district bengaluru",1
"dobighat rt",1
"dollars colony",1
"drain coverising",1
"drain etc",1
"drain removal",1
"drain ward",1
"east zone",1
"empty space",1
"etc dollars",1
"excise layout",1
"exhibition building",1
"exposed layout",1
"facility public",1
"fakhruddin giddappa",1
"gaibas bin",1
"ganesha temple",1
"gangadhar bin",1
"ganganagar bangalore",1
"ganganagar bus",1
"ganganagar ward",1
"gardin rt",1
"gauss rd",1
"geddallahalli bus",1
"geddallahalli cemetery",1
"ghedalahalli nirmal",1
"giddappa block",1
"gordon bus",1
"government junior",1
"ground adjoining",1
"ground plore",1
"guddahalli government",1
"hampcoms near",1
"hawalappa block",1
"hdpe sheet",1
"headquarters sanjayagara",1
"hebbal bhajan",1
"hebbal headquarters",1
"hebbal main",1
"height cross",1
"hmt bhavan",1
"hmt bus",1
"hmt layout",1
"h strom",1
"improvemnet sa",1
"installation bhupasandra",1
"installing pipeline",1
"ivy bank",1
"jabena bin",1
"jackie gardin",1
"jeevan r",1
"jewelers headquarters",1
"junctuon point",1
"jungle bed",1
"junior primary",1
"kanakanagar bangalore",1
"kanyakaparameshwari temple",1
"kataramma temple",1
"k bin",1
"keb layout",1
"krishnappa black",1
"kurnika parameshwari",1
"kuvempu play",1
"kv manjuna",1
"lad syed",1
"lakshmikant bin",1
"late m",1
"late rangayya",1
"late thimayya",1
"layout hebbal",1
"layout mannarayanapalya",1
"layout nagaseettihalli",1
"layout park",1
"layout road",1
"layout sanjayanagar",1
"layout th",1
"leucuesi cross",1
"library building",1
"lr bardaraya",1
"main amarjajothi",1
"main cross",1
"main street",1
"mandir clean",1
"mandir mandir",1
"manjuna bin",1
"manjunatha layout",1
"manorayanapalya clean",1
"mathadahalli circle",1
"medicals ward",1
"mekhri circa",1
"mohamed gaibas",1
"mohammed fakhruddin",1
"​​moti city",1
"mr kv",1
"mr lr",1
"mr mohamed",1
"mr muniraju",1
"mr nijahat",1
"mr nikhat",1
"mr noor",1
"mr peterley",1
"mr s",1
"mr syed",1
"m srinivasa",1
"ms steel",1
"muneswara c",1
"muneswar temple",1
"muniraju k",1
"muttahalli near",1
"muttahalli pumphouse",1
"muttahalli stepdown",1
"mutt village",1
"m vasudeva",1
"nagadevasthanam chamundinagar",1
"nagaraju bin",1
"nagar bensur",1
"nagar main",1
"nagar near",1
"nagar rd",1
"nagar rt",1
"nagar shri",1
"nagar tv",1
"nagar ward",1
"nagaseettihalli ward",1
"nagasettihalli bus",1
"nagasettihalli ward",1
"nageshettihalli bus",1
"narayanaappa rd",1
"narayanappa cross",1
"n bus",1
"nd block",1
"nd crossroads",1
"nd main",1
"nd phase",1
"near chamundi",1
"near ganesha",1
"near ghedalahalli",1
"near guddahalli",1
"near ivy",1
"near kataramma",1
"nearly hebbal",1
"near mathadahalli",1
"near muneswar",1
"near nagasettihalli",1
"near nti",1
"near paraman",1
"near playground",1
"near post",1
"near saibaba",1
"near shanmahatma",1
"near young",1
"new bel",1
"n gangadhar",1
"ngnf development",1
"nijahat bin",1
"nikhat jabena",1
"nirmal jewelers",1
"noa sktt",1
"noor ullah",1
"nti layout",1
"office premises",1
"office road",1
"one bus",1
"opposite hmt",1
"opposite two",1
"papanna black",1
"paraman medicals",1
"parameshwari temple",1
"park cc",1
"park development",1
"park rt",1
"parks development",1
"park ward",1
"part newly",1
"pcc improvemnet",1
"pemayya block",1
"pencing part",1
"peterley bin",1
"phase sanjayanagar",1
"pipeline provide",1
"pipeline works",1
"play ground",1
"plore cross",1
"plot ground",1
"point h",1
"poovanna layout",1
"postal colony",1
"premises central",1
"presidency school",1
"protection pcc",1
"public adjacent",1
"public toilet",1
"public usa",1
"pumphouse bus",1
"raghuram bin",1
"ramakrishna layout",1
"ramanayana nagashettihalli",1
"ramayana nagasettihalli",1
"r bin",1
"recreation area",1
"removal jungle",1
"rmc nd",1
"r noa",1
"road cctv",1
"road hebbal",1
"road post",1
"road sanjayagara",1
"road sri",1
"road vinayak",1
"road wardha",1
"sa drain",1
"samithi r",1
"sanjayagara bangalore",1
"sanjayagara ward",1
"sanjayanagar bangalore",1
"sanjayanagar rmv",1
"scholar school",1
"school hmt",1
"school ramanayana",1
"school vishwanathaganeehalli",1
"school ward",1
"shanmahatma temple",1
"sharif bin",1
"sharif plot",1
"shashikala bin",1
"sheet supporting",1
"shelter hebbal",1
"shelter nti",1
"shelters road",1
"shelter ward",1
"shri jeevan",1
"shri kanyakaparameshwari",1
"shri saibaba",1
"side newly",1
"sides rd",1
"sktt street",1
"slum hebbal",1
"southern chainlink",1
"space bbmp",1
"s raghuram",1
"sri kurnika",1
"sri lakshmikant",1
"sri n",1
"sri nagadevasthanam",1
"sri nagaraju",1
"srinivasa pemayya",1
"stage cross",1
"stage temple",1
"stand b",1
"stand ward",1
"station ganganagar",1
"steel truss",1
"st main",1
"stop area",1
"stop near",1
"stop road",1
"stop rt",1
"street main",1
"street recreation",1
"subramani colony",1
"supporting ms",1
"syed akram",1
"syed fakhruddin",1
"syed gauss",1
"television main",1
"temple amarajoti",1
"temple development",1
"temple hebbal",1
"temple manorayanapalya",1
"temple muttahalli",1
"temple road",1
"temple samithi",1
"temple ward",1
"thimayya gordon",1
"ticket installation",1
"toilet drinking",1
"truss desilting",1
"tv installation",1
"tv tower",1
"two sides",1
"ullah sharif",1
"unit hampcoms",1
"unit hebbal",1
"unit subramani",1
"urban district",1
"usa layout",1
"us layout",1
"usman sharif",1
"vasanthappa block",1
"vasudeva murthy",1
"venkataraju main",1
"veterinary college",1
"village dobighat",1
"vinayak layout",1
"vishwanathaganeehalli hebbal",1
"ward bhubaneswari",1
"ward clean",1
"ward east",1
"wardha hebbal",1
"ward hawalappa",1
"ward height",1
"ward nearly",1
"ward parks",1
"ward patelappa",1
"ward two",1
"ward veterinary",1
"water facility",1
"water public",1
"water works",1
"western side",1
"work back",1
"work bangalore",1
"work citizen",1
"work geddallahalli",1
"work installing",1
"work keb",1
"work layout",1
"work main",1
"work postal",1
"work presidency",1
"work rt",1
"works provide",1
"works ward",1
"young scholar",1
"zone begaluru",1
