"word","freq"
"assembly constituency",136
"constituency bangalore",112
"pulikeshinagar assembly",69
"providing cement",58
"cement concrete",51
"concrete road",48
"ward pulikeshinagar",42
"main road",37
"pulikeshinagara assembly",34
"frazer town",31
"drinking water",30
"detailed estimate",26
"ward pulikeshinagara",25
"water supply",24
"st cross",23
"st main",22
"road form",21
"asembly constituency",20
"pipe line",20
"pulakeshinagar asembly",20
"pulakeshinagar assembly",20
"pumping machinery",20
"cauvery nagara",18
"constituency banaglore",18
"house muneshwaranagara",18
"muneshwaranagara cauvery",18
"nagara st",18
"rcc drain",18
"bangalore stage",16
"constituency bengaluru",16
"road ward",16
"providing drinking",15
"scst colony",15
"cement concrets",13
"concrets road",13
"covering slab",13
"drain wi",13
"estimate construction",13
"high school",13
"kerb stone",13
"public fountain",13
"road rcc",13
"slab kerb",13
"town pulakeshinagar",13
"town pulikeshinagar",13
"wi covering",13
"kavalbyrasandra ward",12
"road frazer",12
"ward pulakeshinagar",12
"wno pulikeshinagar",12
"karumariyamma nagara",11
"layout kavalbyrasandra",11
"machinery pipe",11
"nagamma layout",11
"purification plant",11
"supply pumping",11
"water purification",11
"cc road",10
"cross ward",10
"road st",10
"cross road",9
"line public",9
"providing cc",9
"ward frazer",9
"estimate providing",8
"g main",8
"nd cross",8
"rd g",8
"road nagamma",8
"stone karumariyamma",8
"tamil school",8
"building water",7
"construction anganawadi",7
"constuction building",7
"house wno",7
"nagara scst",7
"water unit",7
"banaglore stage",6
"computer increase",6
"core computer",6
"ddr ram",6
"essar makeover",6
"gb ddr",6
"girls high",6
"govt kannada",6
"increase gb",6
"makeover core",6
"ms office",6
"primary school",6
"providing borewell",6
"ram ms",6
"bangalore scst",5
"board quarters",5
"byrasandra ward",5
"cleve land",5
"construction rcc",5
"dining hall",5
"first grade",5
"girls school",5
"ground floor",5
"kannada model",5
"kaval byrasandra",5
"land town",5
"model primary",5
"office software",5
"providing ropurified",5
"public foundation",5
"rd main",5
"robertson road",5
"ropurified drinking",5
"school cleve",5
"shivaraj road",5
"skgarden ward",5
"slum board",5
"supply public",5
"town robertson",5
"asphalting road",4
"bus stand",4
"byarasandra pulikaeshinagara",4
"cable tank",4
"construction one",4
"conventional water",4
"cross skgarden",4
"dj halli",4
"drilling borewell",4
"floor hsis",4
"glazing conventional",4
"govt girls",4
"govt urdu",4
"grade college",4
"house rd",4
"house ward",4
"hsis govt",4
"kaval byarasandra",4
"kushalnagar cross",4
"line pumping",4
"machinery ug",4
"mohalla slum",4
"muneshwatanagar pulakeshinagar",4
"nagara rd",4
"nagar ward",4
"near bus",4
"one side",4
"plant lph",4
"providing additional",4
"providing pumping",4
"pulakeshinagara assembly",4
"pulikaeshinagara assembly",4
"road kushalnagar",4
"road sri",4
"road watchmen",4
"room first",4
"school frazer",4
"school gate",4
"school muneshwatanagar",4
"school ward",4
"side glazing",4
"sk garden",4
"skgarden wno",4
"supply pipe",4
"tank mohalla",4
"town ward",4
"ug cable",4
"urdu school",4
"ward bengalure",4
"watchmen room",4
"wno pulikeshinagara",4
"additional drinking",3
"ahmed house",3
"anganawadi tailoring",3
"athmananda colony",3
"bangalore urban",3
"borewell drinking",3
"borewell installing",3
"borewell pipe",3
"b street",3
"building saukar",3
"class ground",3
"class room",3
"colony cross",3
"colony shivaraj",3
"colony ward",3
"concrete works",3
"constituency ward",3
"construction class",3
"cross kaval",3
"cross scst",3
"drain b",3
"erection motor",3
"estimate proposed",3
"floor building",3
"foundation st",3
"fountain ashokanagara",3
"halli ward",3
"house st",3
"installing pumping",3
"kushalnagar pulakeshinagar",3
"lababi masjid",3
"lane kushalnagar",3
"laying pipe",3
"left side",3
"lining erection",3
"machinery public",3
"main st",3
"masjid left",3
"motor laying",3
"motor pump",3
"muneshwara nagara",3
"muneshwaranagara pulakeshinagara",3
"nagara assembly",3
"nagar assembly",3
"near lababi",3
"pipe lining",3
"primary high",3
"proposed construction",3
"providing asphalting",3
"providing drilling",3
"pulakesin nagar",3
"pumping motor",3
"pump set",3
"quarters kaval",3
"road construction",3
"road karumariyamma",3
"roberts road",3
"saukar lane",3
"set near",3
"shivaji road",3
"side muneshwara",3
"sinking borewell",3
"street nd",3
"tailoring class",3
"ward muneshwaranagara",3
"abdul lali",2
"al haj",2
"aliana medicals",2
"anganawadi building",2
"anganawadi room",2
"anwar house",2
"ashokanagara form",2
"ashwak house",2
"aslam pasha",2
"asphalt road",2
"ball ground",2
"banashankari nilaya",2
"bangalore city",2
"bangalore rt",2
"baptish church",2
"basket ball",2
"bbmp school",2
"begum house",2
"behind kaval",2
"block dining",2
"borewell errection",2
"cauvery nagar",2
"children english",2
"cistern ward",2
"college building",2
"college tamil",2
"college ward",2
"colony sagai",2
"community hall",2
"compound wall",2
"constituency bangalorechange",2
"constituency bangalorestage",2
"constituency cement",2
"construction community",2
"construction dining",2
"construction pavilion",2
"cross basavanagara",2
"cross nagamma",2
"cross near",2
"devaki ramamurty",2
"digging borewell",2
"djhalli ward",2
"dtnur main",2
"electrical facilities",2
"english school",2
"entrance govt",2
"entrance ward",2
"errection cistern",2
"facilities pipe",2
"fathemunisa house",2
"first floor",2
"form aslam",2
"form gayathri",2
"form kalaivani",2
"fountain near",2
"garden ward",2
"gate tamil",2
"gate ward",2
"gayathri house",2
"girls primary",2
"good wills",2
"goodwills school",2
"government college",2
"government urdu",2
"haj syed",2
"hall good",2
"hall ground",2
"hall improvement",2
"house abdul",2
"house frazer",2
"house mohammed",2
"house rashamtaj",2
"house shanaz",2
"immamulla prayar",2
"improvement works",2
"indian children",2
"installation ro",2
"jayamma house",2
"josephs girls",2
"jyothi lights",2
"kalaivani house",2
"khan house",2
"khan manzil",2
"kushalnagara ward",2
"lakshmamma house",2
"lal bahadur",2
"lali house",2
"limra masjid",2
"line athmananda",2
"line ward",2
"lph pkcolony",2
"manjunatha traders",2
"mhammed zahid",2
"mmlayout muneshwaranagara",2
"mohammed house",2
"motos wi",2
"muneshwaranagara temple",2
"murugan house",2
"muslim colony",2
"muthar house",2
"nagar djhalli",2
"nccolony skgarden",2
"near saint",2
"near tamil",2
"nilaya rd",2
"noodles house",2
"outer premises",2
"pasha house",2
"pavilion block",2
"phase nd",2
"pkcolony ward",2
"pnt quarters",2
"police quarters",2
"prayar house",2
"pronond road",2
"providing asphalt",2
"providing digging",2
"providing installation",2
"providing pump",2
"pulakeshinagar constituency",2
"pump motos",2
"purified drinking",2
"quarters cross",2
"quarters frazer",2
"ramamurty iiiam",2
"rashamtaj house",2
"repair work",2
"rkpalace cauvery",2
"road bangalore",2
"road first",2
"road pulakeshinagar",2
"road roberts",2
"road sondar",2
"road soundar",2
"road srinivas",2
"road stfransis",2
"road tamil",2
"road work",2
"room govt",2
"room ward",2
"ro plant",2
"ro purified",2
"rtc girls",2
"rt nagar",2
"savari house",2
"school entrance",2
"school spencer",2
"shampur ward",2
"shanaz house",2
"shivaprakash house",2
"sondar cross",2
"soundar main",2
"spencer road",2
"sri banashankari",2
"srinivasa house",2
"srinivasa nagar",2
"srinivasa stores",2
"srinivas house",2
"sri srinivasa",2
"stand scst",2
"stfransis xavier’s",2
"st josephs",2
"strocks girls",2
"supply goodwills",2
"surity nilaya",2
"surrounding area",2
"syed inayathulla",2
"temple behind",2
"town skgarden",2
"urban assembly",2
"ward mmlayout",2
"ward pnt",2
"ward ward",2
"wi electrical",2
"williams town",2
"wills girls",2
"work phase",2
"works st",2
"xavier’s cathedral",2
"zaeba noodles",2
"zahid house",2
"zareena begum",2
"abdul khader",1
"abdul rafeeq",1
"adarshanagara khb",1
"additional water",1
"additional works",1
"ak colony",1
"alloys high",1
"aluminum windows",1
"ameeer khan",1
"anthony church",1
"arch entrance",1
"area govt",1
"area srinivasa",1
"area ward",1
"ashokanagara near",1
"ashokanagara rd",1
"ashokanagar near",1
"assembly area",1
"assembly block",1
"assembly consititency",1
"assembly constituencyward",1
"assembly hall",1
"ayodhyadas nagar",1
"azeem house",1
"babu home",1
"babu house",1
"bahadur shastri",1
"bahadur shastris",1
"baidarahalli sk",1
"bangalorechange work",1
"bangalorechange workinstallation",1
"bangalore detailed",1
"bangalore three",1
"basavanagara savari",1
"basavanagara scst",1
"basavanagara wno",1
"basavanagar scst",1
"basavananagara ward",1
"basavananagar dasamma",1
"basga house",1
"behind rkpalace",1
"belonging pulakesin",1
"belongs pulakesin",1
"bhyrasandr near",1
"bin abdul",1
"blocks govt",1
"block ward",1
"borewell near",1
"borewell providing",1
"borewell public",1
"borewell pumping",1
"broken window",1
"building changing",1
"building dtnur",1
"building nccolony",1
"building near",1
"bunk shampur",1
"byrasandra pulikeshinagara",1
"cathedral centre",1
"cathedral pulakeshinagar",1
"cathedral st",1
"centre strocks",1
"changing broken",1
"church muneshwara",1
"church rajamma",1
"church skgarden",1
"church wno",1
"cil ramaiah",1
"circle dj",1
"city pulakeshinagar",1
"city pulakesin",1
"class government",1
"clinic sivaji",1
"clinic sri",1
"coating layer",1
"coles park",1
"colony baptish",1
"colony immamulla",1
"colony kushalnagar",1
"colony kushalnagara",1
"colony mrhouse",1
"colony pariyar",1
"colony pramila",1
"colony pulakeshinagara",1
"colony shivaprakash",1
"colony sk",1
"colony srinivasa",1
"colony st",1
"cols park",1
"compound government",1
"concrete making",1
"consititency bangalore",1
"constituency construct",1
"constituency nd",1
