"word","freq"
"assembly constituency",71
"sarvagnanagar assembly",68
"constituency ward",36
"ward sarvagnanagar",27
"chair plastic",25
"chairs rack",25
"drinking water",25
"plastic chairs",25
"anganwadi center",24
"table chair",24
"rack material",21
"primary school",17
"water unit",15
"clean drinking",14
"st floor",14
"first floor",12
"almara table",11
"development work",11
"construction work",9
"almaara table",8
"anganwadi building",8
"ground floor",8
"hbr layout",8
"anganawadi building",7
"cement concrete",6
"center almara",6
"material supply",6
"ms city",6
"arabic college",5
"block arabic",5
"building construction",5
"community hall",5
"government primary",5
"higher primary",5
"painting work",5
"plastering painting",5
"ward hbr",5
"ward kg",5
"water plant",5
"construction anganawadi",4
"government kannada",4
"kammanahalli ward",4
"kg village",4
"nagawara ward",4
"pure drinking",4
"repair development",4
"training center",4
"wall plastering",4
"ward ms",4
"anganwadi construction",3
"bharat nagar",3
"build clean",3
"building work",3
"chainlink fencing",3
"college campus",3
"concrete road",3
"constituency anganwadi",3
"diabetes center",3
"dialysis center",3
"floor building",3
"halli anganwadi",3
"jai bharat",3
"kg halli",3
"khb quarters",3
"layout ward",3
"lingarajapuram bangalore",3
"primary primary",3
"rack supplies",3
"road construction",3
"school st",3
"school toilet",3
"set clean",3
"tailoring hall",3
"ward bangalore",3
"ward construction",3
"ward kaxtown",3
"work build",3
"work government",3
"work set",3
"work ward",3
"adjustment cement",2
"alarm table",2
"almora table",2
"amphibious center",2
"angamavadi center",2
"anganavadi building",2
"anganawadi buildingward",2
"anganwadi built",2
"anganwadi ground",2
"area converted",2
"banaswadi ward",2
"bangalore urban",2
"basavalingappa nagar",2
"build drinking",2
"building development",2
"building ground",2
"building groundfloor",2
"building lingarajapuram",2
"building nagawara",2
"buildingward stage",2
"center ground",2
"center sarvagnana",2
"center st",2
"childrens park",2
"city rd",2
"city ward",2
"college bangalore",2
"community building",2
"compound wall",2
"concrete roads",2
"constituency build",2
"construciton pure",2
"construction anganwadi",2
"construction clean",2
"construction drinking",2
"construction rooms",2
"construction st",2
"converted kadugananahalli",2
"council area",2
"crossroads jai",2
"development development",2
"development dialysis",2
"establish clean",2
"fencing compound",2
"floor anganwadi",2
"floor development",2
"floor diabetes",2
"floor first",2
"floor kammanahalli",2
"floor repair",2
"floor sarvagnanagar",2
"garden ward",2
"government government",2
"government higher",2
"government school",2
"government tamil",2
"groundfloor tailoring",2
"gundu thopu",2
"hall construction",2
"hall sarvagnanagar",2
"hall st",2
"hall ward",2
"hennur gundu",2
"hind sports",2
"improvements anganavadi",2
"improvements hennur",2
"improvements kadugondanahalli",2
"jai hind",2
"junior primary",2
"kadugananahalli community",2
"kadugondanahalli anganawadi",2
"large amphibious",2
"layout block",2
"lidkar colony",2
"lingarajapuram slum",2
"lingerrajpuram anganwadi",2
"material large",2
"material lingerrajpuram",2
"mukutamnagar banaswadi",2
"municipal council",2
"nagar government",2
"nagar ward",2
"nd floor",2
"new anganwadi",2
"painting works",2
"pillanna garden",2
"plant near",2
"plant ward",2
"plastering plastering",2
"plastering wall",2
"quarters ward",2
"rd crossroads",2
"room first",2
"sarvagnanagar constituency",2
"sarvagnana urban",2
"school banaswadi",2
"school building",2
"school floor",2
"slum khb",2
"sports club",2
"stage block",2
"stage stitch",2
"stitch training",2
"thopu anganawadi",2
"toilet st",2
"unit back",2
"urban anganwadi",2
"urban municipal",2
"ward coxtown",2
"ward lingarajapuram",2
"ward nagavara",2
"ward nagawara",2
"ward plastering",2
"ward sarvajnanagara",2
"ward stage",2
"ward ward",2
"water supply",2
"works anganawadi",2
"work stage",2
"additional works",1
"ak colony",1
"alarm tablespoon",1
"alma table",1
"ambedkar park",1
"amphibious amphibious",1
"ananwadis wall",1
"anganadi wall",1
"anganawadi center",1
"anganawadiground floor",1
"anganawadi primary",1
"anganwadi central",1
"anganwadi lidkar",1
"anganwadi packers",1
"annamavadi wall",1
"arakyamma layout",1
"area survey",1
"arena anganwadi",1
"assembly constituency range",1
"back blind",1
"back city",1
"back mariamma",1
"baitaguntapally childrens",1
"bala banaswadi",1
"balasawadi ward",1
"banaraswadi hrbr",1
"banaswadi balasawadi",1
"banaswadi compound",1
"banaswadi government",1
"banaswadi headquarters",1
"banaswadi junior",1
"banaswadi muttamma",1
"banaswadi rajkumar",1
"banaswadi srinidhi",1
"bangalore city",1
"bangalore metropolitan",1
"bangalore phase",1
"bangalore sarvagnanagar",1
"bangalore step",1
"banvaswadi sarvagnanagar",1
"bblock janakiram",1
"bem three",1
"bhara slum",1
"bin siddhrav",1
"blind school",1
"bridge construction",1
"building basavalingappa",1
"building bblock",1
"building corporation",1
"building first",1
"building liehahalli",1
"building mukutamnagar",1
"building nagarwara",1
"building phase",1
"building rd",1
"building sarvagnanagar",1
"building srivagnanagar",1
"building step",1
"building ward",1
"build public",1
"built premises",1
"built ward",1
"bus station",1
"byranakumte nagawara",1
"cameras anganwadi",1
"campus phase",1
"campus stage",1
"campus ward",1
"center banaswadi",1
"center building",1
"center development",1
"center first",1
"center kacharakanahalli",1
"center kacharakanahalli establishment",1
"center store",1
"central building",1
"centre byranakumte",1
"centre first",1
"chitja o",1
"city banaswadi",1
"city government",1
"city ilal",1
"city kghalli",1
"city lifehalli",1
"city sarvagnanagar",1
"city work",1
"classes second",1
"club anganwadi",1
"club first",1
"colony anganwadi",1
"colony bangalore",1
"colony plastering",1
"colony sarvagnanagar",1
"color development",1
"comic stage",1
"commer stage",1
"compound baitaguntapally",1
"compound building",1
"compound playground",1
"computer centre",1
"computer classes",1
"computer hall",1
"computer room",1
"computer training",1
"concrete work",1
"constituency construction",1
"constituency development",1
"constituency ganga",1
"constituency khhb",1
"constituency newly",1
"constituency set",1
"constituency vadugodanahalli",1
"constituency veraahalli",1
"constituency wn",1
"constituency range ward",1
"constructed computer",1
"construction back",1
"construction chainlink",1
"construction community",1
"construction compound",1
"construction computer",1
"construction first",1
"construction hennur",1
"construction mukutamnagar",1
"construction new",1
"construction phase",1
"construction pure",1
"construction sewing",1
"construction site",1
"construction tailoring",1
"construction three",1
"construction two",1
"construction vinobanagar",1
"construction water",1
"construction workshop",1
"converting community",1
"corporation ground",1
"corporation grounds",1
"cox town",1
"coxtown learner",1
"coxtown repair",1
"cross ms",1
"d e",1
"development comic",1
"development commer",1
"development diabetes",1
"development heal",1
"development school",1
"development st",1
"dhoti w",1
"din chitja",1
"east zone",1
"e e",1
"e ja",1
"electrical work",1
"electrification work",1
"elementary school",1
"elevate chainlink",1
"equipment healthcare",1
"e tichi",1
"exercise school",1
"facilitators nd",1
"fencing playground",1
"floor anganawadi",1
"floor center",1
"floor city",1
"floor computer",1
"floor exercise",1
"floor floor",1
"floor government",1
"floor govindpur",1
"floor jai",1
"floor lime",1
"floor muddappa",1
"floor nagawara",1
"floor nagayyanapalya",1
"floor oil",1
"floor ramaswamyapalya",1
"floor siddhnagar",1
"floor st",1
"floor storage",1
"floor vadan",1
"floor vahahalli",1
"front mukutmannagar",1
"gandhinagar anganwadi",1
"ganga quatrous",1
"garden scst",1
"gate etc",1
"ghahidija e",1
"good year",1
"government lifetime",1
"government senior",1
"government urdu",1
"government workshop",1
"govindapura anganwadi",1
"govindpuram anganwadi",1
"govindpur amanwadi",1
"govindpuri ananwadis",1
"govt higher",1
"govt primary",1
"gowda nd",1
"ground khb",1
"grounds construction",1
"ground ward",1
"g wo",1
"gymnasium building",1
"hall development",1
"hall first",1
"hall kadugunanahalli",1
"hannannur rocket",1
"headquarters sarvagnanagar",1
"heal center",1
"heal centre",1
"healthcare development",1
"hennur good",1
"hennur homes",1
"hennur hometown",1
"hennur rock",1
"hhr layout",1
"higher secondary",1
"high school",1
"hill stations",1
"homes sarvagnanagar",1
"hometown sarvagnanagar",1
"hrbr layout",1
"ilal masjid",1
"improvements govt",1
"infrastructure facilitators",1
"installed government",1
"itchterlocking workshop",1
"ixi t",1
"janakiram layout",1
"ja wi",1
"jhopdi pillanna",1
"kabbadi ground",1
"kacharakanahalli anganwadi",1
"kacharakanahalli stitching",1
"kacharakanahalli ward",1
"kacharakanahalli establishment work",1
"kadugunanahalli dialysis",1
"kammanahalli corporation",1
"kammanahallithe work",1
"kannada higher",1
"kannada junior",1
"kannada model",1
"kannada primary",1
"karayanni palya",1
"kariyanapalya angamavadi",1
"kariyanapalya anganwadi",1
"kaxtown ms",1
"kaxtown sarvagnanagar",1
"kaxtown veraahalli",1
"kaxtown water",1
"kg hall",1
"kghalli bhara",1
"khhb construction",1
"khhb quarters",1
"korangu jhopdi",1
"laboratory equipment",1
"lane anganwadi",1
"large banaswadi",1
"laxmma layout",1
"laying compound",1
"layout anganwadi",1
"layout build",1
"layout construction",1
"layout lingarajapuram",1
"layout masjid",1
"layout new",1
"lazar road",1
"learner high",1
"lehahalli anganwadi",1
"level pillanna",1
"leyahalli city",1
"library building",1
"library east",1
"lidder colony",1
"liehahalli cox",1
"lime color",1
"lingarajapuram khhb",1
"lingarajapuram machiliguda",1
"lingarajpuram angamavadi",1
"lingarajpur bem",1
"machiliguda kammanahalli",1
"main floor",1
"mainland pillarredi",1
"manukunthamagar anganwadi",1
"march sarvagnanagar",1
"mariamma temple",1
"maruti sevanger",1
"masjid ilal",1
"masjid short",1
"material cameras",1
"material gandhinagar",1
"material hill",1
"material jai",1
"material kariyanapalya",1
"material laxmma",1
"material lidkar",1
"material manukunthamagar",1
"material pillarredi",1
"material sarovodan",1
"material sate",1
"materials supply",1
"metropolitan area",1
"mill road",1
"model higher",1
"ms development",1
"msgrill works",1
"msprakash bin",1
"ms school",1
"muddappa garden",1
"mukutmannagar anganwadi",1
"muttamma urban",1
"nagar anganadi",1
"nagar assembly",1
"nagara ward",1
"nagar library",1
"nagarwara construction",1
"nagavara government",1
"nagavara work",1
"nagawara govt",1
"nagawara kabbadi",1
"nagayyanapalya government",1
"nashagavasara basavalingappa",1
"near government",1
"near hannannur",1
"near karayanni",1
"near veeranapalya",1
"new building",1
"newly constructed",1
"next ambedkar",1
"next government",1
"number s",1
"oil mill",1
"old elementary",1
"om dhoti",1
"o om",1
"opposite banaswadi",1
"packers drinking",1
"palya ward",1
"park kammanahalli",1
"park kammanahallithe",1
"phase block",1
"phase ii",1
"phase sarvagnanagar",1
"phase ward",1
"pillanna ufirdon",1
"pillarareddy tilering",1
"pillareddy city",1
"pillarredi city",1
"pillarredi urban",1
"plant lazar",1
"plants banaswadi",1
"plasting wall",1
"playground government",1
"playground leyahalli",1
"playground next",1
"premises government",1
"primary heal",1
"primary repair",1
"providing msgrill",1
"provision drinking",1
"public library",1
"purchase laboratory",1
"quarters kammanahalli",1
"quarters korangu",1
"quarters wno",1
"quatrous maruti",1
"rack materials",1
"raise chainlink",1
"rajkumar park",1
"ramachandrappa layout",1
"ramaswamyapalya lingarajapuram",1
"rd cross",1
"rd level",1
"rd ward",1
"rear anganwadi",1
"rebuilding work",1
"repair painting",1
"repairs painting",1
"repair works",1
"replacement work",1
"road lingarajpur",1
"roads vardhan",1
"roads vr",1
"rocket bus",1
"rock sarvagnanagar",1
"rocky childrens",1
"rome toilet",1
"rooms computer",1
"rooms first",1
"rooms st",1
"sarovodan anganwadi",1
"sarvagnan nagar",1
"sarvaqnagar assembly",1
"sarvodaya nagar",1
"sate lane",1
"school ground",1
"school jai",1
"school march",1
"school nagar",1
"school near",1
"school new",1
"school pillarareddy",1
"school playground",1
"school primary",1
"school provision",1
"school veerannanapalya",1
"school vinoba",1
"school workshop",1
"scst colony",1
"secondary school",1
"second floor",1
"senior primary",1
"set establish",1
"setupank itchterlocking",1
"sevanger clean",1
"sewing computer",1
"sewing training",1
"s hbr",1
"short bridge",1
"siddhnagar nagar",1
"siddhrav gowda",1
"sirkeyi old",1
"site bangalore",1
"slum quarters",1
"srinidhi hotel",1
"srivagnanagar assembly",1
"stage sarvagnanagar",1
"station ward",1
"stitching training",1
"storage development",1
"store rome",1
"sump repair",1
"supplies arena",1
"supplies govindapura",1
"supplies vinobanagar",1
"supply lehahalli",1
"supply toilet",1
"supply vermahalization",1
"survey lingarajpur",1
"suvarnabhangar assembly",1
"system infrastructure",1
"tablespoon chair",1
"tamil higher",1
"tamil primary",1
"tank sump",1
"telegraphic street",1
"temple sarvagnanagar",1
"t g",1
"t ghahidija",1
"third phase",1
"three rooms",1
"three wheeler",1
"tichi t",1
"tilering hall",1
"tiles installed",1
"tiz w",1
"toilet building",1
"toilet construction",1
"toilet electrical",1
"toilet floor",1
"town ms",1
"training room",1
"two clean",1
"ufirdon construction",1
"unit ak",1
"unit banaswadi",1
"unit construction",1
"unit hennur",1
"unit mainland",1
"unit nagara",1
"unit near",1
"unit next",1
"unit opposite",1
"unit quatrous",1
"unit rd",1
"unit rear",1
"units sarvagnanagar",1
"unit telegraphic",1
"urban sarvagnan",1
"urban sarvagnanagar",1
"urdu primary",1
"vadan banaswadi",1
"vadugodanahalli ward",1
"vahahalli government",1
"vardhan hbr",1
"veehahalli anganwadi",1
"veehallahalli anganwadi",1
"veeranapalya church",1
"veerannanapalya nagawara",1
"venkateshapuram annamavadi",1
"venkateshpuram anganwadi",1
"venkateshwara rocky",1
"veraahalli nagar",1
"veraahalli sewing",1
"vermahalization electrification",1
"village arakyamma",1
"village pillanna",1
"village sarvagnanagar",1
"vinoba city",1
"vinobanagar anganwadi",1
"vinobanagar ward",1
"vr hbr",1
"wall gate",1
"wall lidder",1
"wall rebuilding",1
"wall sarvodaya",1
"ward anganwadi",1
"ward bala",1
"ward banaswadi",1
"ward building",1
"ward clean",1
"ward drinking",1
"warden hennur",1
"ward first",1
"ward government",1
"ward govindpuri",1
"ward ground",1
"ward gymnasium",1
"ward hennur",1
"ward hhr",1
"ward kacharakanahalli",1
"ward kghalli",1
"ward large",1
"ward msnagar",1
"ward nashagavasara",1
"ward number",1
"ward pillareddy",1
"ward plasting",1
"ward pure",1
"ward rd",1
"ward th",1
"ward tiles",1
"ward venkateshapuram",1
"ward venkateshwara",1
"ward works",1
"waste development",1
"water laying",1
"water plants",1
"water system",1
"water tank",1
"water units",1
"w chitata",1
"wheeler purchase",1
"wi d",1
"wn banaraswadi",1
"wno lingarajapuram",1
"wo din",1
"work anganwadi",1
"work banvaswadi",1
"work elevate",1
"work establish",1
"work front",1
"work govindpuram",1
"work ixi",1
"work kacharakanahalli",1
"work kammanahalli",1
"work main",1
"work ms",1
"work ramachandrappa",1
"works additional",1
"works anganawadiground",1
"work sarvagnanagar",1
"workshop construction",1
"workshop sarvagnanagar",1
"workshop setupank",1
"workshops sarvagnanagar",1
"works raise",1
"works ward",1
"work veehahalli",1
"work veehallahalli",1
"w tiz",1
"year school",1
"zone waste",1
