"word","freq"
"development work",60
"cv raman",51
"assembly constituency",42
"c v",41
"fencing development",32
"nagar assembly",30
"colony ward",29
"raman urban",28
"raman city",26
"v raman",24
"lake cv",23
"raman nagar",20
"development works",19
"road development",19
"urban assembly",19
"concrete road",18
"cross cross",18
"v ​​raman",18
"compound fencing",17
"pedestrian road",17
"chain m",16
"city ward",16
"constituency ward",16
"lic colony",16
"m cross",16
"thippasandra lic",16
"ward c",16
"work chain",16
"​​raman nagar",15
"chain link",14
"construction work",14
"kagadasapura lake",14
"link fencing",14
"water unit",14
"clean drinking",13
"drinking water",13
"ward ward",13
"work lake",12
"main road",11
"new thippasandra",11
"park thippasandra",11
"ward sirvivan",11
"work phase",11
"building compound",10
"park new",10
"ward cv",10
"kagadasanapura lake",9
"new chain",9
"raman ward",9
"ward new",9
"assembly ward",8
"construction clean",8
"cross road",8
"lake park",8
"lake pedestrian",8
"lcc colony",8
"mallesh palya",8
"park ward",8
"road ward",8
"thippasandra lcc",8
"walking track",8
"mallesh palaiah",7
"park development",7
"track development",7
"ward phase",7
"cross mallesh",6
"development project",6
"kagdasanapura lake",6
"kagdasanpur lake",6
"kangadasanapura lake",6
"kindergarten school",6
"lake lane",6
"lane pedestrian",6
"new walking",6
"project phase",6
"ramanagar constituency",6
"sirvivan ramanagar",6
"cgv raman",5
"city c",5
"elc colony",5
"road crossing",5
"road passing",5
"school playground",5
"sirvivan raman",5
"government primary",4
"jalakanteshwara temple",4
"municipal council",4
"palaiah kagadasapura",4
"palya cv",4
"phase park",4
"primary school",4
"road concrete",4
"temple kagadasapura",4
"unit near",4
"urban municipal",4
"urban ward",4
"ward building",4
"yoga hall",4
"build clean",3
"city cv",3
"compound development",3
"council ward",3
"cox town",3
"crossing mallesh",3
"cross ward",3
"development workshop",3
"foot pa",3
"grills development",3
"hall kagdasanpur",3
"lake lake",3
"lakes pedestrian",3
"legislative assembly",3
"mallesh palai",3
"maruti nagar",3
"muneeshwara temple",3
"nuthipassandra ward",3
"pa development",3
"playground nuthipassandra",3
"​​raman urban",3
"road leading",3
"rock compound",3
"sabha constituency",3
"school development",3
"st floor",3
"thippasandra elc",3
"urban legislative",3
"varsova layout",3
"ward kagdasanapura",3
"works cross",3
"work st",3
"work thippasandra",3
"airport murugesh",2
"area ​​cv",2
"benches park",2
"bhagmani land",2
"bhima nagar",2
"building fencing",2
"building ornamental",2
"building stone",2
"calvert development",2
"canal sal",2
"circle town",2
"circle ward",2
"cmv raman",2
"compound building",2
"concrete building",2
"concrete drain",2
"construction lake",2
"cross circle",2
"​​cv raman",2
"development lake",2
"drain development",2
"factory mallesh",2
"gallery roof",2
"garden ward",2
"gate development",2
"government pathschool",2
"integrated benches",2
"jeevan bhima",2
"kagadasanpur lake",2
"kagdasanapura main",2
"kodahalli government",2
"lake area",2
"lake garden",2
"layout ward",2
"murugesh palya",2
"nagar sabha",2
"nagar ward",2
"nd cross",2
"new gate",2
"newly chain",2
"newly integrated",2
"nuthippasandra ward",2
"old airport",2
"ornamental grills",2
"palaiah building",2
"palya compound",2
"palya kagadasanapura",2
"pedestrian roads",2
"phase ii",2
"phase st",2
"raj canal",2
"raman kangadasanapura",2
"rd cross",2
"road along",2
"road compound",2
"road kagadasanpur",2
"sal road",2
"sirvv raman",2
"st cross",2
"step park",2
"st main",2
"stone building",2
"st st",2
"svv raman",2
"temple kagadasanapura",2
"tippasandra elc",2
"tree kagadasapura",2
"ward government",2
"ward newly",2
"ward old",2
"ward road",2
"work jeevan",2
"work newly",2
"work park",2
"work raj",2
"work step",2
"work tippasandra",2
"adjoining muneshwara",1
"aishwarya apartment",1
"aishwor apartment",1
"along kagadasapura",1
"along main",1
"ancient tunnel",1
"anjaneya temple",1
"apartment kagdasanpur",1
"apartment mallesh",1
"apartment nd",1
"area road",1
"area skating",1
"area ​​ward",1
"aria bairasandra",1
"ariha layout",1
"armamentals grills",1
"arnica mount",1
"around crossroads",1
"assembly bairasandra",1
"assembly government",1
"baba saheb",1
"bairasandra main",1
"bairasandra road",1
"balaji dormitory",1
"balaji hall",1
"balaji nagar",1
"bangalore provide",1
"benches compound",1
"benches parked",1
"benches phase",1
"beypapanahalli ward",1
"bhirasandra road",1
"big lagoon",1
"block building",1
"building balaji",1
"building building",1
"building clean",1
"building component",1
"building cox",1
"building kagdasanapura",1
"byrassandra road",1
"canal mallesh",1
"canal step",1
"candidate compound",1
"candidates cv",1
"can seen",1
"cauverts development",1
"cgd raman",1
"cg raman",1
"chauchou factory",1
"childrens playground",1
"chouchou factory",1
"circle c",1
"city big",1
"city kagadasanapura",1
"city kangadasanapura",1
"classification phase",1
"clean water",1
"colony main",1
"colony psk",1
"community hall",1
"comp cv",1
"complex building",1
"complex cross",1
"component compound",1
"compound armamentals",1
"compound cv",1
"compound wall",1
"constituency candidate",1
"constituency candidates",1
"constituency construction",1
"constituency developed",1
"constituency headquarters",1
"constituency near",1
"construction kindergarten",1
"construction phase",1
"council area",1
"cross build",1
"cross cgd",1
"cross concrete",1
"cross cv",1
"crossing aishwor",1
"crossing balaji",1
"crossing crossing",1
"crossing muneshed",1
"crossing national",1
"crossing solid",1
"crossing yoga",1
"cross kagdasanapura",1
"cross kargadasanapura",1
"cross maruthinagar",1
"cross maruti",1
"cross nd",1
"crossroads childrens",1
"crossroads yoga",1
"cross sriramanagiri",1
"cv towns",1
"cw raman",1
"developed c",1
"development complex",1
"development compound",1
"development concrete",1
"development gallery",1
"development gate",1
"development kindergarten",1
"development mallesh",1
"development park",1
"development road",1
"development workshops",1
"development yoga",1
"division park",1
"drainage shira",1
"drc v",1
"drilling work",1
"dr rajkumar",1
"fencing near",1
"fencing raja",1
"fencing works",1
"floor cross",1
"floor main",1
"floor nd",1
"floor st",1
"foot pedestrian",1
"front crossroads",1
"front mallesh",1
"front nd",1
"gallery kindergarten",1
"ganesha temple",1
"gate benches",1
"gate cross",1
"gate installation",1
"gm m",1
"government c",1
"government karnataka",1
"govt government",1
"granite benches",1
"great rockwood",1
"ground compound",1
"ground lighting",1
"hall kagdasanapura",1
"hall rd",1
"hall scv",1
"hal nd",1
"hal rd",1
"hamlet mallesh",1
"head kagadasanapura",1
"head kagadasapura",1
"head kangadasanapura",1
"headline kagdasapura",1
"headquarters cox",1
"hirasawa layout",1
"iit iit",1
"implementation kindergarten",1
"implementation workshop",1
"implemented c",1
"installation repair",1
"installation work",1
"installed work",1
"jalakantheshwara temple",1
"jalkanatheshwara temple",1
"kagadasanapura main",1
"kagdasanapura cross",1
"kagdasanapura cv",1
"kagdasanapuram main",1
"kagdasanapura ward",1
"kagdasapura lake",1
"kalladasapura lake",1
"kangadasanapura main",1
"kargadanapura lake",1
"kargadasanapura lake",1
"kargadasanapura main",1
"kargadasanpur varsova",1
"kargadasapura lake",1
"karnataka c",1
"kgdadan city",1
"kgdasanapur cv",1
"khhb colony",1
"kindergarten ground",1
"kodihalli construction",1
"kogadasanapura lake",1
"krishnan st",1
"lagoon bhagmani",1
"lake aishwarya",1
"lake aria",1
"lake ariha",1
"lake block",1
"lake building",1
"lake cauverts",1
"lake developed",1
"lake lakes",1
"lake level",1
"lake muneeshwara",1
"lake near",1
"lake pondicherry",1
"lake raquent",1
"lake riviera",1
"lake road",1
"lakeside pedestrian",1
"lake tobacco",1
"lake topin",1
"lake ward",1
"land byrassandra",1
"large canal",1
"large hamlet",1
"last lakes",1
"layout building",1
"layout compound",1
"layout cross",1
"layout cv",1
"layout kagdasanapura",1
"layout kangadasanapura",1
"layout layout",1
"layout versova",1
"leading jalakanteshwara",1
"leading large",1
"leading mainland",1
"level calvert",1
"lighting ped",1
"light nuthippasandra",1
"lush tree",1
"main building",1
"main ganesha",1
"mainland arnica",1
"main roof",1
"mallesh palaya",1
"mallesh palayam",1
"mallesh polyya",1
"mandir build",1
"maruthinagar layout",1
"masonry building",1
"motor power",1
"mount apartment",1
"m palya",1
"mr v",1
"muneshed shet",1
"muneshwara temple",1
"nagara palya",1
"nagar constituency",1
"nagar cv",1
"nagar development",1
"nagar layout",1
"nagar mallesh",1
"naidu road",1
"national public",1
"nd head",1
"nd lane",1
"nd phase",1
"nd stage",1
"nd street",1
"near c",1
"near cox",1
"near crossing",1
"nearly clean",1
"near park",1
"near sri",1
"near sudanamagar",1
"near varsova",1
"near ward",1
"near wardha",1
"new compound",1
"newtypasandra ward",1
"niddippasandra ward",1
"old town",1
"palaiah kangadasanapura",1
"palai kagadasanapura",1
"palai kagadasapura",1
"palai kgdadan",1
"palaya kagadasapura",1
"palayam tree",1
"palya anjaneya",1
"palya kargadanapura",1
"palya nd",1
"palya newtypasandra",1
"parbola development",1
"park adjoining",1
"parked kagdasanapura",1
"park hal",1
"park kagdasanapura",1
"passing ancient",1
"passing chauchou",1
"passing chouchou",1
"passing jalakantheshwara",1
"passing river",1
"passing well",1
"pathschool clean",1
"pathschool kodihalli",1
"pedestrian works",1
"ped light",1
"perlin installed",1
"phase new",1
"plain mandir",1
"playground kagdasanapura",1
"playground nuthippasandra",1
"polyya kargadasanapura",1
"pondicherry building",1
"pond well",1
"power installation",1
"provide three",1
"psk naidu",1
"public school",1
"pump motor",1
"raja canal",1
"rajkumar plain",1
"raman area",1
"raman building",1
"raman cross",1
"raman crossing",1
"raman cw",1
"raman head",1
"raman jalakanteshwara",1
"raman layout",1
"raman rd",1
"raman road",1
"raman sri",1
"raman st",1
"raman stone",1
"raman varsova",1
"raquent muneeshwara",1
"rd floor",1
"rd phase",1
"reaches varsova",1
"renewable reaches",1
"repair chain",1
"revenue development",1
"river tree",1
"riviera development",1
"road circle",1
"road cross",1
"road hal",1
"road hirasawa",1
"road jalakanteshwara",1
"road kagadasanapura",1
"road lake",1
"road lush",1
"road nd",1
"road new",1
"road pedestrian",1
"road rd",1
"road sewing",1
"roads jalakanteshwara",1
"roads passing",1
"road st",1
"road svv",1
"road tobin",1
"road upgradation",1
"road vasova",1
