"word","freq"
"assembly constituency",92
"gandhinagar assembly",86
"ward gandhinagar",38
"concrete road",29
"cement concrete",24
"subhash nagar",20
"belonging gandhinagar",18
"constituency bangalore",18
"development work",18
"ward belonging",18
"main road",17
"pipe line",15
"ward subhash",13
"building construction",12
"magadi road",12
"drinking water",11
"providing concrete",11
"temple ward",11
"compound construction",10
"construction work",10
"cotton downtown",10
"dattatreya temple",10
"nagar gandhinagar",10
"papanna block",10
"road ward",10
"borewell providing",9
"clean drinking",9
"constituency ward",9
"necessary fitting",9
"providing necessary",9
"road development",9
"water supply",9
"anjaneya block",8
"block st",8
"concrete work",8
"concrete works",8
"construction development",8
"drilling borewell",8
"nagappa street",8
"primary school",8
"public toilet",8
"st street",8
"ward cotton",8
"colony ward",7
"housing board",7
"new compound",7
"otc road",7
"providing cement",7
"st cross",7
"construction new",6
"construction phase",6
"cubbon downtown",6
"eradicate housing",6
"existing public",6
"line pipe",6
"nagar road",6
"nd crossroads",6
"phase new",6
"road existing",6
"step eradicate",6
"street subhash",6
"toilet urinal",6
"urinal building",6
"agrawara ward",5
"bangalore pipe",5
"board housing",5
"chickpete ward",5
"constituency papanna",5
"cross magadi",5
"crossroads anjaneya",5
"fitting pipeline",5
"following works",5
"interest kp",5
"kp agrawara",5
"lacks public",5
"nagar ward",5
"new building",5
"park sheshadripuram",5
"public interest",5
"road bangalore",5
"st main",5
"street st",5
"supply water",5
"unit water",5
"vivekananda colony",5
"ward cross",5
"water clean",5
"water lacks",5
"water unit",5
"works supply",5
"arundhati nagar",4
"cc road",4
"constituency located",4
"gndhinagar assembly",4
"higher primary",4
"housing arundhati",4
"line road",4
"nd stage",4
"new anganwadi",4
"providing cc",4
"road construction",4
"road cross",4
"road st",4
"st stage",4
"td line",4
"ward binnypet",4
"ward gndhinagar",4
"anganwadi building",3
"anganwadi new",3
"arundhinipuram ward",3
"block nd",3
"building ward",3
"chickpet ward",3
"colony mahatma",3
"community building",3
"community hall",3
"compound wall",3
"constituency nd",3
"construction government",3
"construction vivekananda",3
"cottonpet ward",3
"counseling street",3
"cross counseling",3
"cross roads",3
"cross ward",3
"downtown main",3
"gandhi colony",3
"ganga nagar",3
"government higher",3
"house cement",3
"mahatma gandhi",3
"nehru park",3
"pipeline cottonpet",3
"pipeline crossroads",3
"railway colony",3
"right side",3
"road chickpet",3
"road main",3
"road works",3
"sheshadripuram ward",3
"street nagappa",3
"subhash ward",3
"temple road",3
"tube well",3
"vst colony",3
"works nehru",3
"adjacent road",2
"anantaswamy ashram",2
"ananthasramam road",2
"anganwadi vivekananda",2
"arundhathinagar park",2
"bangalore cross",2
"binnypet railway",2
"binnypet range",2
"block connect",2
"block maramamurthy",2
"board residential",2
"building colony",2
"building new",2
"cemetery development",2
