"word","freq"
"assembly constituency",16
"rajajinagar assembly",16
"ward rajajinagar",16
"drinking water",13
"jim equipment",10
"high school",9
"nagaraj memorial",9
"nagar ward",9
"open jim",9
"ram mandir",9
"dayanand nagar",8
"first floor",8
"government high",8
"clean drinking",7
"development work",7
"maternity hospital",7
"sri ram",6
"water unit",6
"constituency rg",5
"government model",5
"government primary",5
"kamakshipalya ward",5
"mandir ward",5
"model primary",5
"police station",5
"primary school",5
"rg colony",5
"sriramandira ward",5
"colony borewells",4
"development works",4
"memorial hospital",4
"rajajinagar rajajinagar",4
"rajajinagar ward",4
"various development",4
"ward construction",4
"basaveshwaranagar ward",3
"college rajajinagar",3
"dialysis center",3
"first grade",3
"government first",3
"grade college",3
"main road",3
"memorial maternity",3
"needed set",3
"pipelines provide",3
"primary heal",3
"provide drinking",3
"ro plant",3
"school saneguruanahalli",3
"set clean",3
"shivanagar ward",3
"st stage",3
"thimayya government",3
"abc park",2
"basaveshwar nagar",2
"basaveshwarnagar ward",2
"basic facility",2
"bbmps dr",2
"block rajajinagar",2
"block ram",2
"block ward",2
"borewells crossing",2
"borewells implementation",2
"bs yeddyurappa",2
"building kamakshipalya",2
"building needed",2
"bus stand",2
"cameras locations",2
"cameras ptzid",2
"cc cameras",2
"childrens dining",2
"college srirampur",2
"compounded ramanna",2
"construction building",2
"construction clean",2
"construction government",2
"construction ro",2
"development first",2
"development toilet",2
"dining area",2
"dr bbmps",2
"dr bs",2
"e library",2
"facility maternity",2
"fitness temple",2
"floor building",2
"floor compounded",2
"floor development",2
"forest park",2
"free student",2
"ganapati temple",2
"gangamma thimayya",2
"government graduate",2
"graduate college",2
"hastal free",2
"implementation open",2
"implementation pipelines",2
"khb colony",2
"lime color",2
"locations identified",2
"netaji short",2
"park abc",2
"park dhobighat",2
"pipelines drinking",2
"pipe well",2
"provide basic",2
"ptzid cameras",2
"rajajinagar toilet",2
"ramamurthy park",2
"ramanna hastal",2
"school juganahalli",2
"school rooms",2
"school sanigurunahalli",2
"secondary school",2
"security gate",2
"shelter construction",2
"short forest",2
"sivanagar ward",2
"stage ganapati",2
"toilet building",2
"toilet development",2
"upadhya dialysis",2
"ward nagaraj",2
"ward sri",2
"work nagaraj",2
"work open",2
"yeddyurappa block",2
"aadha maidan",1
"able carry",1
"adaptation fathered",1
"additional development",1
"additional room",1
"additional rooms",1
"additional sri",1
"additional work",1
"addition sri",1
"adjacent park",1
"adjoining park",1
"adjoining stage",1
"adopting new",1
"adoption air",1
"advanced work",1
"air conditioning",1
"aluminum decomposition",1
"anganwadi government",1
"angkor waters",1
"area provide",1
"around theater",1
"assembly constituencywork",1
"auditorate various",1
"auto stand",1
"awareness women",1
"back building",1
"backward student",1
"bam houses",1
"bangalore city",1
"bangalore file",1
"bangalore purchase",1
"basaveshwara nagar",1
"basaveshwaranagar concrete",1
"basaveshwarnagar bend",1
"basaveshwarnagar police",1
"based equipments",1
"basic infrastructure",1
"bbmp block",1
"bbmp commercial",1
"bbmp dr",1
"beds various",1
"bend organization",1
"big bangalore",1
"block nagaraj",1
"bmctc bus",1
"bm tc",1
"bmtc bus",1
"borewells auto",1
"borewells pipelines",1
"boses playground",1
"building childrens",1
"building construction",1
"building development",1
"building establishing",1
"building first",1
"building lime",1
"building sri",1
"building work",1
"bus shelter",1
"busyreddy circle",1
"cambodian ramanna",1
"campus institution",1
"carry people",1
"center estimate",1
"center first",1
"center furniture",1
"center r",1
"central government",1
"century floor",1
"chain linting",1
"chandra boses",1
"charitable education",1
"checking tables",1
"childrens mealings",1
"childrens playground",1
"children work",1
"circle construction",1
"citizens gayatriwa",1
"city corporation",1
"college government",1
"college sriramandira",1
"colony bam",1
"colony kamakshipalya",1
"colony main",1
"colony st",1
"color development",1
"color power",1
"commercial complex",1
"companion education",1
"complex rajajinagar",1
"compound gate",1
"computer wi",1
"concrete construction",1
"concrete floor",1
"concrete floors",1
"conditioning equipment",1
"conducts primary",1
"constituency advanced",1
"constituency construction",1
"constituency installing",1
"constituency lnp",1
"constituency magadi",1
"constituency mrs",1
"constituency supply",1
"constituency upcoming",1
"constituencywork open",1
"construct clean",1
"constructed toilet",1
"construction bus",1
"construction cc",1
"construction concrete",1
"construction existing",1
"construction front",1
"construction open",1
"construction pipe",1
