"word","freq"
"assembly constituency",49
"chamarajpet assembly",47
"drinking water",47
"constituency bangalore",43
"ward chamarajpet",42
"water works",31
"concrete road",30
"cement concrete",23
"providing cement",23
"nagar ward",16
"chamarajpet v",15
"tippu nagar",13
"main road",12
"range ward",11
"road ward",10
"burial ground",8
"jjr nagar",8
"range field",8
"road tippu",8
"development work",7
"road ananthapura",7
"artists association",6
"association building",6
"colony ward",6
"film artists",6
"karnataka film",6
"nd cross",6
"road development",6
"v drinking",6
"jolly mohall",5
"lane jolly",5
"mohall ward",5
"mysore road",5
"ramaiah lane",5
"road ramaiah",5
"ward jjr",5
"bangalore near",4
"clean drinking",4
"field wide",4
"government urdu",4
"ground grisant",4
"kr market",4
"muslim burial",4
"pampakakavi road",4
"pasha bin",4
"primary school",4
"providing drinking",4
"rcc drain",4
"st cross",4
"supply scheme",4
"valmiki city",4
"water supply",4
"water unit",4
"wide ward",4
"ananthapura main",3
"ananthapura st",3
"anjanappa lane",3
"bangalore stage",3
"building chamarajpet",3
"chamarajpet constituency",3
"city ward",3
"cross tippu",3
"cross ward",3
"devraj urs",3
"drainage work",3
"drain right",3
"field range",3
"field ward",3
"grisant hutts",3
"higher primary",3
"mani road",3
"mohalla range",3
"nagar bangalore",3
"nagar jjr",3
"nagar mani",3
"ngar ward",3
"pension mohalla",3
"rd cross",3
"restoration works",3
"right side",3
"road chamarajpet",3
"road drainage",3
"road nd",3
"road scst",3
"scst colony",3
"side tippu",3
"st main",3
"tippu ngar",3
"urdu school",3
"urs nagar",3
"v concrete",3
"vinayaka city",3
"water work",3
"work around",3
"work drinking",3
"works cross",3
"works mamine",3
"ananthapura ward",2
"azad nagar",2
"bangalore city",2
"bangalore mysore",2
"bangalore opp",2
"borewell drilling",2
"borwell construction",2
"brick anjanappa",2
"building development",2
"building pampakakavi",2
"chamarajanagar assembly",2
"chamarajpet bellalur",2
"chamarajpet pampakakavi",2
"city limits",2
"class room",2
"constituency ward",2
"construction class",2
"construction work",2
"cross chamarajpet",2
"cross devraj",2
"cross junction",2
"crossroads valmiki",2
"crossroads ward",2
"development level",2
"drain ccroads",2
"drilling work",2
"galli road",2
"govt urdu",2
"ground range",2
"guddadahalli ward",2
"hindu burial",2
"hosahalli main",2
"improvements drain",2
"improvements hindu",2
"jjr city",2
"kom babu",2
"krmarkatte ward",2
"lane old",2
"lane ward",2
"level level",2
"level valmiki",2
"mamine pura",2
"market range",2
"metal mart",2
"nd main",2
"old pension",2
"padarahalli range",2
"padarayanapura bangalore",2
"padarayanapura crossroads",2
"padarayanapura ward",2
"pasha kom",2
"penson mohalla",2
"pura galli",2
"renovation works",2
"road chamarajanagar",2
"road cross",2
"road entrance",2
"road padarayanapura",2
"royal road",2
"school azad",2
"st crossroads",2
"tcm royal",2
"tent house",2
"unit krmarkatte",2
"urdu higher",2
"v borewell",2
"v borwell",2
"venkateshwara industries",2
"v government",2
"ward chamarajpette",2
"ward drinking",2
"water level",2
"work field",2
"work kr",2
"work level",2
"works hoodahalli",2
"works padarahalli",2
"works penson",2
"ಕಾಮಗಾರಿ improvements",2
"aa plastics",1
"abdul karivar",1
"abdul rahim",1
"afroz ali",1
"ahmed bin",1
"ahmed brick",1
"ahmed kom",1
"ahmed rd",1
"ali khan",1
"anganwadi center",1
"anren manzikl",1
"anwar pasha",1
"araf nagar",1
"aras road",1
"arasu nagar",1
"arasu ward",1
"areain padarayanagara",1
"area ​​kasturba",1
"area kr",1
"around city",1
"around janatha",1
"around tipunagar",1
"around vinayaka",1
"asep pasha",1
"ashwa char",1
"ayaz pasha",1
"azad city",1
"azad ward",1
"baba john",1
"babu muslim",1
"babu rahman",1
"bakshi garden",1
"balance work",1
"ba muslim",1
"bangalore aa",1
"bangalore anren",1
"bangalore banitha",1
"bangalore bismilla",1
"bangalore diamond",1
"bangalore fromatheaq",1
"bangalore hidaya",1
"bangalore khasim",1
"bangalore muslim",1
"bangalore mv",1
"bangalore nearagro",1
"bangalore nearst",1
