"word","freq"
"assembly constituency",35
"constituency ward",34
"drinking water",32
"ward construction",27
"three wheeler",24
"water public",21
"water tank",21
"wheeler vehicle",21
"pump machine",19
"ward project",19
"connection pump",17
"drilling water",17
"power connection",17
"tube well",17
"well drilling",16
"chikkapet assembly",15
"provide drinking",14
"siddapura ward",14
"high school",13
"construction tube",12
"pipe line",12
"school hombagowda",12
"sunkenahalli ward",12
"construction work",10
"vvpuram ward",10
"government high",9
"installing pipe",9
"work installing",9
"hombagowda city",8
"ward government",8
"bangalore urban",7
"hombagowda nagar",7
"jayanagar bangalore",7
"kempegowda nagar",7
"main road",7
"pipe well",7
"ward dharmarayaswamy",7
"wilson gordon",7
"cement concrete",6
"jayanagar ward",6
"pipeline installation",6
"project plans",6
"road construction",6
"sudanamagar ward",6
"water works",6
"allotted three",5
"chikkete assembly",5
"chippet assembly",5
"colony siddapura",5
"dharmarayaswamy temple",5
"dharmarayaswamy ward",5
"government urdu",5
"granted three",5
"installation work",5
"measures provide",5
"pedestrian road",5
"plans provide",5
"primary school",5
"project measures",5
"rd cross",5
"renovation work",5
"sanctioning three",5
"someshwar slum",5
"toilet renovation",5
"ward drinking",5
"ward st",5
"ward wilson",5
"bhos high",4
"bin abdul",4
"chandra bhos",4
"construction iron",4
"construction pipeline",4
"construction water",4
"development work",4
"gordon bangalore",4
"government graduate",4
"graduate college",4
"iron grills",4
"ks gordon",4
"pasha bin",4
"road bangalore",4
"school room",4
"subhash chandra",4
"tunnel well",4
"urdu primary",4
"vehicle mr",4
"ward compound",4
"chackpet assembly",3
"chikkpete assembly",3
"clean drinking",3
"compound construction",3
"construction cement",3
"construction development",3
"construction tunnel",3
"cross drainage",3
"dayanand slum",3
"girls college",3
"government model",3
"granting three",3
"installing pipeline",3
"kalasipalya bangalore",3
"library building",3
"model hombagowda",3
"nagar jayanagar",3
"netaji subhash",3
"new quarters",3
"parvathipuram vvpuram",3
"parvatipuram vvpuram",3
"pipeline pipe",3
"project supply",3
"pump machinery",3
"room construction",3
"sanitation pedestrian",3
"sankenahalli ward",3
"sewage sanitation",3
"slum new",3
"slum siddapura",3
"someswara colony",3
"srk gordon",3
"sudanamarga ward",3
"supply drinking",3
"swamy ward",3
"temple government",3
"urban chikkete",3
"vani vilas",3
"vilas institute",3
"ward bangalore",3
"ward chikkapet",3
"ward dayanand",3
"ward ks",3
"ward pipeline",3
"ward pump",3
"ward school",3
"ward step",3
"water supply",3
"water unit",3
"wilson gardens",3
"workshop installing",3
"yellappa road",3
"ahmed bin",2
"arrekampanahalli siddapura",2
"ashwa katte",2
"assembly ward",2
"atimaramma temple",2
"bangalore city",2
"basavanagudi bangalore",2
"basavanagudi government",2
"bhavani nagar",2
"block bangalore",2
"building construction",2
"building infrastructure",2
"building provide",2
"building tube",2
"castes scheduled",2
"chikkamavalli yellappa",2
"citizens convenience",2
"city chikkapet",2
"city jayanagar",2
"college wardi",2
"college wardy",2
"complex library",2
"complex siddapura",2
"compound wall",2
"construction school",2
"construction sistron",2
"crossing hombagowda",2
"cross kempegowda",2
"crossroads sewage",2
"cross sudanamagar",2
"development ashwa",2
"dharmaraya swami",2
"drainage drainage",2
"drive vehicle",2
"education foundation",2
"electricity pump",2
"establish clean",2
"facilitated complex",2
"floor hombagowda",2
"floor window",2
"foundation facilitated",2
"garden toilet",2
"gavipuram guttaahalli",2
"gordon cross",2
"gordon crossroads",2
"gordon jayanagar",2
"gordon kalasipalya",2
"government girls",2
"ground floor",2
"gutepaliah stadium",2
"hombagowda urban",2
"hombagowda ward",2
"hospital sunkenahalli",2
"hubligowda wilson",2
"implementation work",2
"implementation workshop",2
"jayanagar st",2
"jayanagar wardi",2
"katte complex",2
"kazi street",2
"krishna murthy",2
"machine pipeline",2
"ma layout",2
"maternity hospital",2
"mr fyroz",2
"mr k",2
"mr mohammed",2
"mr s",2
"murthy colony",2
"nagar slum",2
"nagar sunkenahalli",2
"nagar ward",2
"nanjappa block",2
"pipeline implementation",2
"pipeline tube",2
"pipeline work",2
"primary primary",2
"project building",2
"project project",2
"project provide",2
"public arrekampanahalli",2
"public atimaramma",2
"public bhavani",2
"public cross",2
"public someswara",2
"public toilet",2
"pump line",2
"rajagopal gordon",2
"ram mandir",2
"road hombagowda",2
"road hubligowda",2
"road rd",2
"road vvpuram",2
"road ward",2
"scheduled castes",2
"scheduled tribes",2
"school ground",2
"set establish",2
"siddapura wardi",2
"siddayya road",2
"sistron construction",2
"slum hombagowda",2
"slum wardha",2
"someshwar nagar",2
"stadium siddapura",2
"stage drinking",2
"st block",2
"st cross",2
"step development",2
"st floor",2
"st main",2
"street jayanagar",2
"sudanamagar hombagowda",2
"temple parvathipuram",2
"three wheel",2
"tilak city",2
"tribes sudanamarga",2
"tube wells",2
"unit citizens",2
"urban ward",2
"vanni vilas",2
"vilas education",2
"vinobanagar bangalore",2
"wall construction",2
"ward building",2
"wardha sunkenahalli",2
"ward maternity",2
"ward parvatipuram",2
"ward pipe",2
"ward power",2
"ward public",2
"ward scheduled",2
"ward set",2
"ward sunkenahalli",2
"ward vavu",2
"ward ward",2
"ward water",2
"wardy vanni",2
"weld mesh",2
"well garden",2
"wheel drive",2
"will granted",2
"window government",2
"work building",2
"work gutepaliah",2
"work pipe",2
"work ramka",2
"works chikkamavalli",2
"workshop pipe",2
"works tube",2
"aanwadiya playground",1
"abdul hameed",1
"abdul kalim",1
"abdul khudouas",1
"abdul krishna",1
"abdul razzak",1
"abdul saab",1
"additional government",1
"afzal pasha",1
"ahmad cross",1
"ahmed granted",1
"allma temple",1
"allocate three",1
"allocating three",1
"anandkumar fort",1
"anganwadi construction",1
"aniraju nd",1
"arakkankanahalli siddapura",1
"area bangalore",1
"area jayanagar",1
"areas near",1
"area ward",1
"arun bin",1
"babu bin",1
"badamakan bangalore",1
"bagh bangalore",1
"bakash granting",1
"bathroom building",1
"bazi street",1
