"word","freq"
"assembly constituency",33
"basavanagudi assembly",16
"basavangudi assembly",16
"constituency ward",12
"school building",9
"community building",7
"hanumanthanagar ward",7
"ward basavanagudi",7
"clean drinking",5
"drinking water",5
"girinagar subdivision",5
"subdivision ward",5
"ward construction",5
"ward ward",5
"bsk rd",4
"building construction",4
"building hanumanthanagar",4
"cc cameras",4
"government senior",4
"high school",4
"primary high",4
"senior primary",4
"swamy temple",4
"tres work",4
"aditya chetana",3
"bangalore building",3
"building basavanagudi",3
"concrete road",3
"construction school",3
"development work",3
"ft road",3
"girinagar ward",3
"hanumanthanagar bangalore",3
"main road",3
"pedestrian road",3
"rd phase",3
"srinagar ward",3
"swami vivekananda",3
"tsunhenahalli government",3
"vidyapee ward",3
"ward srinagar",3
"ward use",3
"aavalahalli bda",2
"additional rooms",2
"ambedkar park",2
"anganwadi building",2
"around premises",2
"assembly ward",2
"association r",2
"basavanagudi subdivided",2
"basavangudi subdivision",2
"bda park",2
"br ambedkar",2
"building basavangudi",2
"building near",2
"building vidyapee",2
"building work",2
"cc tv",2
"chetana gavipur",2
"community bhavan",2
"community hall",2
"construction additional",2
"construction anganwadi",2
"construction wall",2
"construction work",2
"developing inside",2
"development project",2
"development works",2
"dr br",2
"gavipur hanumanthanagar",2
"girinagar st",2
"government primary",2
"government school",2
"green room",2
"hanuman nagar",2
"inside outside",2
"katraguppa ward",2
"located hanumanthanagar",2
"narihalla srinagar",2
"park bsk",2
"park development",2
"park girinagar",2
"phase girinagar",2
"pipe pipes",2
"premises aditya",2
"primary school",2
"public interest",2
"public use",2
"rainwater drainage",2
"rd level",2
"r located",2
"road basavangudi",2
"road construction",2
"road main",2
"samithi r",2
"shankarnag circle",2
"small water",2
"ss railing",2
"st stage",2
"subdivided ward",2
"temple hanumanthanagar",2
"temple samithi",2
"trust r",2
"use cc",2
"vehicle purchase",2
"vinayaka temple",2
"vivekananda park",2
"wall around",2
"ward basavangudi",2
"ward drilling",2
"ward girinagar",2
"ward near",2
"ward tres",2
"water pipe",2
"water supply",2
"water unit",2
"water units",2
"water well",2
"work development",2
