"word","freq"
"assembly constituency",53
"jayanagar assembly",34
"main road",25
"ward jayanagara",24
"jayanagara assembly",23
"providing cement",21
"cement concrete",20
"ward jayanagar",17
"concrete road",15
"gurappanapalya ward",14
"st main",14
"rcc covering",12
"wi rcc",12
"construction rcc",11
"covering slab",11
"guruppanapalya ward",11
"jayanagar bangalore",10
"sarakki ward",10
"cross guruppanapalya",9
"drain wi",9
"e islam",9
"islam masjid",9
"jayanagar east",9
"rcc drain",9
"ward ward",9
"block jayanagar",8
"road cross",8
"road gurappanapalya",8
"shababul e",8
"building building",7
"jp nagar",7
"road st",7
"stone cross",7
"water unit",7
"community building",6
"constituency bangalore",6
"curb stone",6
"drinking water",6
"east ward",6
"road main",6
"slab wi",6
"wi curb",6
"cross road",5
"heal center",5
"jayanagar municipal",5
"main nd",5
"main near",5
"municipal council",5
"nd cross",5
"near shababul",5
"primary heal",5
"right side",5
"side bangalore",5
"slab st",5
"abubakkar masjid",4
"b main",4
"building construction",4
"building sri",4
"concrete main",4
"cross timber",4
"main cross",4
"main junction",4
"mukkaram masjid",4
"pure drinking",4
"st cross",4
"st stage",4
"timber road",4
"trust r",4
"ward bangalore",4
"abbayyappa garden",3
"bwssb road",3
"colony jayanagar",3
"compound wall",3
"constituency construction",3
"constituency jayanagar",3
"construction toilet",3
"construction work",3
"cross block",3
"cross mukkaram",3
"cross near",3
"cutting portions",3
"drain drain",3
"engineers office",3
"floor building",3
"garden near",3
"gurappana palya",3
"improvements bwssb",3
"jayanagar block",3
"junction stage",3
"left side",3
"library building",3
"main entrance",3
"main main",3
"main shababul",3
"masjid gurappanapalya",3
"masjid main",3
"masjid road",3
"masjid ward",3
"nd stage",3
"near abubakkar",3
"new guruppanapalya",3
"opp govt",3
"palya ward",3
"pattabhiiramanagar ward",3
"portions ward",3
"rd cross",3
"road abbayyappa",3
"road cutting",3
"road ward",3
"school ward",3
"t block",3
"asphalting road",2
"assembly constituancy",2
"assistant engineers",2
"association park",2
"banaglore stage",2
"bangalore triplicate",2
"bangalore urban",2
"bbmp park",2
"bbmp plyground",2
"bin late",2
"block bangalore",2
"block crossroads",2
"blocks st",2
"building jayanagar",2
"building multipurpose",2
"byrasandra bangalore",2
"center sarakki",2
"chowki main",2
"clean drinking",2
"community hall",2
"constituancy stage",2
"constituency banaglore",2
"constituency building",2
"constituency near",2
"constituency replacement",2
"construction culvert",2
"corporation colony",2
"cross phase",2
"cross right",2
"crossroads main",2
"culvert wi",2
"damaged road",2
"development works",2
"east echid",2
"east end",2
"echid road",2
"e library",2
"end main",2
"first floor",2
"gate bbmp",2
"govt janrdhan",2
"guruppanapalya jayanagara",2
"habeeb house",2
"high school",2
"hostel concrete",2
"house jayanagar",2
"house left",2
"house right",2
"janrdhan school",2
"jayanagar layout",2
"jayanagar rd",2
"jayanagar t",2
"jayanagar vidyabha",2
"jpnagar ward",2
"layout jayanagar",2
"lic colony",2
"main rd",2
"main st",2
"maruti lay",2
"moin house",2
"ms gate",2
"mukkaram house",2
"multipurpose activities",2
"municipal area",2
"nagar bangalore",2
"nagar ward",2
"nakkalabande slum",2
"nd main",2
"near jayanagar",2
"near oxford",2
"needed newly",2
"newly constructed",2
"next kashi",2
"number jayanagar",2
"office crossroads",2
"oxford school",2
"park nd",2
"pattabhiriramanagar welfare",2
"pattabiramanagar ward",2
"phase jpnagar",2
"plyground opp",2
"police chowki",2
"premises primary",2
"providing asphalting",2
"pump house",2
"ramalinga chowdeshwari",2
"rcc compound",2
"rd block",2
"rd floor",2
"replacement work ",2
"road bangalore",2
"road corporation",2
"road development",2
"road jayanagar",2
"road route",2
"school jayanagar",2
"school main",2
"sewage pipes",2
"shakambirinagar ward",2
"side stage",2
"slum ward",2
"sri ramalinga",2
"sri vinayak",2
"stage bangalore",2
"stage building",2
"stage jp",2
"stage new",2
"syed moin",2
"temple sarakki",2
"temple trust",2
"t layout",2
"toilet blocks",2
"triplicate vehicle",2
"urban jayanagar",2
"vehicle purchase",2
"vidyabha constituency",2
"vinayak temple",2
"wall ms",2
"ward b",2
"ward byrasandra",2
"ward cross",2
"ward near",2
"ward number",2
"ward rd",2
"ward sri",2
"welfare association",2
"well needed",2
"wheel drive",2
"ack acp",1
"acoustic treatment",1
"activities bbmp",1
"activities first",1
"activities site",1
"activities t",1
"additional work",1
"adjacent sri",1
"adjoining area",1
"agrahara jppagar",1
"agrahara ward",1
"ahmed house",1
"aluminum door",1
"ambedkar park",1
"anjaneya swami",1
"anprovisions bore",1
"anthony kannada",1
"area ​​",1
"area clean",1
"area ​​jayanagar",1
"area ​​karumariamma",1
"area primary",1
"armansion syed",1
"around hostel",1
"arul das",1
"ashok compound",1
"assembly fixtures",1
"association byrassandra",1
"ateeq house",1
"aurasu colony",1
"automatic signal",1
"avalamma temple",1
"ayyappa temple",1
"badminton stadium",1
"baitus shama",1
"bangalore ashok",1
"bangalore building",1
"bangalore city",1
"bangalore clean",1
"bangalore community",1
"bangalore hbeebukkar",1
"bangalore jayanagar",1
"bangalore junction",1
"bangalore library",1
"bangalore metropolitan",1
"bangalore purchase",1
"bangalore ragigudadda",1
"bangalore school",1
"bangalore setting",1
"bangalore taj",1
"bangalore three",1
"bannerghatta main",1
"bannerghatta road",1
"barrier cemetery",1
"barriers wall",1
"bbmp building",1
"bbmp members",1
"bbmp playground",1
"bes educational",1
"bhagwati temple",1
"bhairasandra st",1
"bhairasandra ward",1
"bharat education",1
"bhavana cross",1
"bhavan cross",1
"bhawan constructed",1
"b headquarters",1
"bhimanayak main",1
"bin ganganna",1
"bin rajappathree",1
"bin thane",1
"birasandra ward",1
"bismillah education",1
"block building",1
"block community",1
"block construction",1
"block jagannagar",1
"bn st",1
"board trust",1
"bore mill",1
"borewell drawing",1
"boys school",1
"btm st",1
"build barrier",1
"building ayyappa",1
"building community",1
"building compound",1
"building development",1
"building first",1
"building govt",1
"building hall",1
"building left",1
"building main",1
"building mareanahalli",1
"building nayakara",1
"building plastering",1
"building public",1
"building purpose",1
"building sarakki",1
"buildings complex",1
"building start",1
"building sustainable",1
"building top",1
"builds school",1
"build well",1
"built pure",1
"buy computer",1
"byrassandra jayanagar",1
"byrassandra ward",1
"byrrasandra ward",1
"campus newly",1
"causing damaged",1
"cc cement",1
"c d",1
"cement assembly",1
"cement road",1
"cemetery construct",1
"center ack",1
"center area",1
"center campus",1
"center floor",1
"center milk",1
"central library",1
"centre well",1
"charitable trust",1
"childrens welfare",1
"chowdeshwari nayak",1
"chowdeshwari woman",1
"circle circle",1
"circle crossroads",1
"circle sarakki",1
"citizens park",1
"city jayanagar",1
"clean pond",1
"coast c",1
"college boys",1
"college premises",1
"colony byrrasandra",1
"colony jp",1
"colony located",1
"colony requested",1
"community buildings",1
"competitions programs",1
"complex jayanagar",1
"component converting",1
"compound construction",1
"compound habeeb",1
"computer materials",1
"computer servers",1
"concrete construction",1
"concrete gullies",1
"concrete work",1
"conducting lessons",1
"constituency armansion",1
"constituency ateeq",1
"constituency covers",1
"constituency crossroads",1
"constituency dar",1
"constituency granite",1
"constituency marenaahalli",1
"constituency mukarrram",1
"constituency mukkaram",1
"constituency newly",1
"constituency premises",1
"constituency primary",1
"constituency requires",1
"constituency saraki",1
"constituency shakambirinagar",1
"constituency sri",1
"constituency syed",1
"construct barriers",1
"constructed kashmiri",1
"constructed new",1
"constructed purifying",1
"constructed st",1
"​​ construction",1
"construction additional",1
"construction adjoining",1
"construction cc",1
"construction community",1
"construction compound",1
"construction culverts",1
"construction detailed",1
"construction eastern",1
"construction floor",1
"construction jpnagar",1
"construction jungle",1
"construction kashmiri",1
"construction library",1
"construction lic",1
"construction main",1
"construction meditation",1
"construction painting",1
"construction pipe",1
"construction police",1
"construction premises",1
"construction samudaya",1
"construction school",1
"construction senior",1
"construction storey",1
"construction toilets",1
"construction tube",1
"construction watchmen",1
"construction water",1
"convertible component",1
"converting solid",1
"council building",1
"council jayanagar",1
"council vno",1
"covering stone",1
"covers safety",1
"c park",1
"crc post",1
"cross btm",1
"cross east",1
"cross guppana",1
"cross gurappanapalya",1
"cross jayanagar",1
"cross jp",1
"cross krishnappa",1
"cross nandanavana",1
"cross new",1
"crossroads adjacent",1
"crossroads b",1
"crossroads building",1
"crossroads jayanagar",1
"crossroads shakambirinagar",1
"crossroads shankambirinagar",1
"cross st",1
"cultural competitions",1
"cultural trust",1
"culverts wi",1
"dar ul",1
"das bin",1
"degree college",1
"detailed activities",1
"detailed building",1
"detailed construction",1
"devaraju aurasu",1
"development complex",1
"development pattabhiriramanagar",1
"development work",1
"diabetes hospetal",1
"dinesh bin",1
"disabled hanumantharappa",1
"division jayanagar",1
"division pattabhiiramanagar",1
"d main",1
"door painting",1
"drawing pipeline",1
"drbr ambedkar",1
"drive vehicle",1
"dt bin",1
"dustbin jayanagar",1
"east b",1
"east coast",1
"east community",1
"eastern road",1
"educational institution",1
"education society",1
"education trust",1
"e ib",1
"entrance kulimma",1
"entrance main",1
"entrance munneshwara",1
"equipment pattabhiiramanagar",1
"equipped hall",1
"establish e",1
"establishing convertible",1
"e t",1
"extending samudaya",1
"facilities e",1
"facilities provided",1
"fame college",1
"fixtures lic",1
"floor area",1
"flooring aluminum",1
"flooring construction",1
"flooring works",1
"floor jayanagar",1
"floor jpn",1
"floor maruti",1
"floor mes",1
"floor nd",1
"forest c",1
"gandhi circle",1
"ganganna byrassandra",1
"generating system",1
"girapanapalya va",1
"gordon crc",1
"government college",1
"government high",1
"government karnataka",1
"government school",1
"govt high",1
"govt janardhan",1
"gowda cross",1
"graduate degree",1
"granate flooring",1
"granite flooring",1
"grill west",1
"gullies sanitary",1
"guppana palya",1
"gurappanapalya bannerghatta",1
"gym equipment",1
"hakkim house",1
"hall conducting",1
"hall constructed",1
"hall detailed",1
"hall fame",1
"hall site",1
"hanumayak bin",1
"hbeebukkar house",1
"headquarters cross",1
"headquarters reservation",1
"higher primary",1
"himhans centre",1
"hindu cultural",1
"hi style",1
"holy dt",1
"hombalegowda bin",1
"hospetal provision",1
"house abubakkar",1
"house baitus",1
"house habeeb",1
"house himhans",1
"house m",1
"house masharif",1
"huge bangalore",1
"human welfare",1
"ib dichidi",1
"ibrahim house",1
"implementation grill",1
"improvements drbr",1
"incorporate solar",1
"indira gandhi",1
"installed causing",1
"installed center",1
"installed damaged",1
"installing solar",1
"institute jp",1
"institution block",1
"jagannagar assembly",1
"jainagar municipal",1
"janardhan school",1
"jawaharagar assembly",1
"jayanagara hakkim",1
"jayanagara mukkaram",1
"jayanagara rahat",1
"​​jayanagar assembly",1
"jayanagar cross",1
"jayanagar division",1
"jayanagar floor",1
"jayanagar legislative",1
"jayanagar main",1
"jayanagar pattabiramanagar",1
"jayanagar vidhyabha",1
"jnagar assembly",1
"jpnagara next",1
"jpnagara rd",1
"jpnagar ksrtc",1
"jpnagar next",1
"jpn subdivision",1
"jppagar nd",1
"junction bn",1
"junction gurappanapalya",1
"junction jayanagar",1
"jungle main",1
"kamithi sangha",1
"kannada higher",1
"karnataka bank",1
"karnataka set",1
"​​karumariamma temple",1
"karumariamma temple",1
"kashi vishwana",1
"kashi viswana",1
"kashmiri bhawan",1
"kashmiri hindu",1
"knowledge sanjeevini",1
"krishnappa gordon",1
"ksrtc layout",1
"kulalamma temples",1
"kulimma temple",1
"lake jayanagar",1
"lakshmi venkateswara",1
"lamp indira",1
"lanka srirampuram",1
"late bhimanayak",1
"late mandarenadu",1
"lay library",1
"layout bangalore",1
"layout headquarters",1
"layout karnataka",1
"layout pattabiramanagar",1
"lay park",1
"legislative assembly",1
"lessons sports",1
"lhh association",1
"library bbmp",1
"library post",1
"library public",1
"library toilet",1
"lift west",1
"lines nakkalabande",1
"located jp",1
"located western",1
"machinery establishing",1
"mahatma institute",1
"mahatma vidyalaya",1
"main jpnagara",1
"main rh",1
"main street",1
"mandarenadu nakkulu",1
"manzil syed",1
"mareanahalli lake",1
"mareanahalli sc",1
"marenaahalli installing",1
"masharif house",1
"masjid anprovisions",1
"masjid arbuilding",1
"masjid gurappana",1
"masjid regal",1
"materials needed",1
"m building",1
"meditation center",1
"members office",1
"mes school",1
"metropolitan building",1
"mew college",1
"milk construction",1
"mill tech",1
"mini forest",1
"mithila sanskar",1
"m m",1
"modern dustbin",1
"mosque road",1
"mrjohn arul",1
"mr mrjohn",1
"mr munimallappa",1
"mukarrram mosque",1
"multi purpose",1
"munimallappa st",1
"munneshwara swamy",1
"muttaiyanapalya jayanagar",1
"nagar rd",1
"nagar st",1
"nagar stage",1
"naikar colony",1
"nakkulu rock",1
"nal layout",1
"nandanavana park",1
"narvani bhagwati",1
"nayakara colony",1
"nayak jayanagar",1
"naya swamy",1
"nd floor",1
"near avalamma",1
"near gurappana",1
"near near",1
"near sbi",1
"near shababut",1
"near sri",1
"needed establish",1
"new center",1
"new gurappanapalya",1
"newly built",1
"newly installed",1
"next karumariamma",1
"nilatakapati temple",1
"north part",1
"office block",1
"office building",1
"office jayanagar",1
"open e",1
"order incorporate",1
"order paint",1
"organic manure",1
"painting construction",1
"painting government",1
"paint repair",1
"palya bangalore",1
"palya cemetery",1
"park girapanapalya",1
"park jayanagar",1
"park main",1
"park mini",1
"park pattabhiiramanagar",1
"park pattabiriramanagar",1
"park pattanabiramanagar",1
"park ursu",1
"part grill",1
"partner work",1
"pattabhiiramanagar park",1
"pattabiriramanagar ward",1
"pattambiriramanagar ward",1
"pattanabiramanagar ward",1
"phase jpnagara",1
"pipeline implementation",1
"pipes east",1
"pipes installed",1
"pipe well",1
"plant bes",1
"plastering around",1
"playground opp",1
"pond water",1
"post graduate",1
"post thavarekere",1
"power generating",1
"prasanna anjaneya",1
"premises childrens",1
"primary school",1
"programs students",1
"provided samatram",1
"providing sound",1
"provision various",1
"public activities",1
"public safety",1
"public upper",1
"public use",1
"purchase three",1
"purchase trichirakavah",1
"purchasing machinery",1
"pure water",1
"purifying water",1
"purpose hall",1
"purpose utilization",1
"puttayya palya",1
"ragigudadda purchasing",1
"rahat manzil",1
"rajappathree wheel",1
"ram bbmp",1
"r building",1
"r buy",1
"rd layout",1
"rd main",1
"rd phase",1
"regal toilets",1
"reinforcement facilities",1
"renault spiritual",1
"renuka naya",1
"repair government",1
"requested lhh",1
"requires modern",1
"research human",1
"reservation sheetle",1
"residence borewell",1
"rh cross",1
"ri naikar",1
"r main",1
"r nal",1
"road bannerghatta",1
"road bhairasandra",1
"road block",1
"road division",1
"road east",1
"road jp",1
"road junction",1
"road mukkaram",1
"road near",1
"road new",1
"road partner",1
"road pattambiriramanagar",1
"road rd",1
"road sarakki",1
"road subbamma",1
"road t",1
"road umbilization",1
"rock jayanagar",1
"roofing rd",1
"room roofing",1
"route installed",1
"route sewage",1
"safety order",1
"safety public",1
"salem ibrahim",1
"samatram science",1
"samudaya bhavan",1
"samudaya bhavana",1
"sangha cross",1
"sanitary lines",1
"sanjeevini diabetes",1
"sanskar e",1
"saraki ward",1
"sarakki agrahara",1
"sarakki bangalore",1
"sarakki clean",1
"sarakki jayanagar",1
"sarakki st",1
"sarangi agrahara",1
"sarangi ward",1
"sbi colony",1
"school block",1
"school building",1
"school room",1
"school rooms",1
"school sarakki",1
"school t",1
"sc hostel",1
"science research",1
"senior citizens",1
"servers open",1
"set computer",1
"setting solar",1
"shababut e",1
"shama building",1
"shankambirinagar ward",1
"shed toilet",1
"sheetle badminton",1
"shivalingeswara temple",1
"shri dinesh",1
"side assistant",1
"side banaglore",1
"side building",1
"side puttayya",1
"signal lamp",1
"site next",1
"site st",1
"site vyamagara",1
"society r",1
"soil lift",1
"solar automatic",1
"solar power",1
"solar student",1
"solid waste",1
"sound reinforcement",1
"sou north",1
"spiritual trust",1
"sports cultural",1
"sri devaraju",1
"sri hombalegowda",1
"sri lakshmi",1
"sri lanka",1
"sri narvani",1
"sri nilatakapati",1
"sri prasanna",1
"srirampuram sri",1
"sri renuka",1
"sri shivalingeswara",1
"stage community",1
"stage providing",1
"st anthony",1
"start library",1
"st block",1
"st floor",1
"storey building",1
"st phase",1
"street jayanagar",1
"student residence",1
"students bharat",1
"style gurappanapalya",1
"subbamma circle",1
"subdivision office",1
"supply project",1
"sustainable works",1
"swami charitable",1
"swamy board",1
"swamy kulalamma",1
"swamy temple",1
"syed house",1
"taj ahmed",1
"tank mew",1
"tech tools",1
"temple bhairasandra",1
"temple building",1
"temple development",1
"temple guruppanapalya",1
"temple muttaiyanapalya",1
"temples th",1
"temple temple",1
"temple ward",1
"thane gowda",1
"thavarekere gurappanapalya",1
"th b",1
"three wheel",1
"three wheeled",1
"t kamithi",1
"toilet bbmp",1
"toilet construction",1
"toilet ram",1
"toilets development",1
"toilets hi",1
"tools gurappana",1
"top assistant",1
"treatment providing",1
"trust block",1
"trust construction",1
"trust jayanagar",1
"trust ri",1
"tube well",1
"ul salem",1
"umbilization road",1
"unit jayanagar",1
"unit mareanahalli",1
"unit primary",1
"unit pump",1
"upper side",1
"ursu colony",1
"use huge",1
"use public",1
"utilization vocational",1
"va near",1
"various facilities",1
"vehicle disabled",1
"venkateswara swamy",1
"vidhyabha constituency",1
"vidyalaya located",1
"vishwana temple",1
"viswana temple",1
"vno mithila",1
"vocational activities",1
"vyamagara municipal",1
"wall bbmp",1
"wall soil",1
"ward acoustic",1
"ward area",1
"ward building",1
"ward builds",1
"ward crossroads",1
"ward east",1
"ward jainagar",1
"ward jnagar",1
"ward jpnagara",1
"wardnum maruti",1
"ward road",1
"ward sarakki",1
"ward sewage",1
"ward shakambarinagara",1
"waste organic",1
"watchmen shed",1
"water plant",1
"water supply",1
"water tank",1
"welfare trust",1
"well equipped",1
"well right",1
"western side",1
"west side",1
"west sou",1
"wheeled vehicle",1
"wilderness renault",1
"woman jayanagar",1
"work community",1
"work cross",1
"workplace engineers",1
"work police",1
"work public",1
"works nakkalabande",1
"works nd",1
"works pattabhiriramanagar",1
"works sri",1
"work use",1
"work  sarakki",1
"work  sarangi",1
