"word","freq"
"assembly constituency",33
"bommanahalli assembly",27
"bangalore sou",14
"sou taluk",14
"ward bommanahalli",13
"constituency bangalore",10
"constituency ward",9
"cctv area",7
"water unit",7
"area around",6
"cement concrete",6
"constituency introduce",6
"drilling borewell",6
"hsr layout",6
"introduce cctv",6
"bangalore urban",5
"bommanahalli mla",5
"borewell errection",5
"concrete road",5
"errection pumpset",5
"mla constituency",5
"pumpset energisation",5
"surrounding area",5
"taluk bangalore",5
"urban district",5
"village bommanahalli",5
"bommanahalli ward",4
"cctv surrounding",4
"drinking water",4
"first floor",4
"layout bommanahalli",4
"arakere ward",3
"bank layout",3
"bbmp arakere",3
"building construction",3
"construction work",3
"degree college",3
"install cctv",3
"main road",3
"public toilet",3
"pure drinking",3
"rupena agrahara",3
"taluk bommanahalli",3
"agar village",2
"agrahara bommanahalli",2
"bommenahalli assembly",2
"borneahalli assembly",2
"building constructed",2
"build public",2
"bus station",2
"cameras different",2
"cc cameras",2
"community hall",2
"concrete roads",2
"constituency concrete",2
"construction cc",2
"cross road",2
"development work",2
"development works",2
"different locations",2
"energisation hongasandra",2
"government degree",2
"hongasandra bommanahalli",2
"hulimau village",2
"hulimavu village",2
"layout college",2
"layout cross",2
"locations bommanahalli",2
"new paintings",2
"providing cement",2
"pure water",2
"road construction",2
"roads sms",2
"road ward",2
"sabha constituency",2
"sartanam handicapped",2
"school agar",2
"school building",2
"sms layout",2
"three wheeler",2
"toilet near",2
"vidhan sabha",2
"vidhyabha constituency",2
"vijaya bank",2
"village hulimau",2
"village ward",2
"ward arakere",2
"ward building",2
"ward install",2
"ward launch",2
"ward puttenhalli",2
"achanheneya temple",1
"adapt cctv",1
"adicarankanas resident",1
"adjoining achanheneya",1
"adjourned surrounding",1
"agara hsr",1
"agar government",1
"agar hsr",1
"agar hsrr",1
"agrahara ward",1
"agra hsr",1
"agra village",1
"ak road",1
"ambedkar colony",1
"anganwadi construction",1
"anuradha bin",1
"apr kalyana",1
"apr layout",1
"arch repair",1
"area ​​",1
"area ​​bommanahalli",1
"area ​​honsandra",1
"area surrounding",1
"area ​​virat",1
"area ​​ward",1
"arekere bommanahalli",1
"around apr",1
"around ayyappa",1
"around bende",1
"around bilakahalli",1
"around bommanahalli",1
"around kodichinkanahalli",1
"around rupa",1
"ashtalakshmi layout",1
"assigned welfare",1
"association bannerghatta",1
"association r",1
"ayyappa swamy",1
"baburredi building",1
"bada vanni",1
"bangalore three",1
"bannerghatta road",1
"basavanna exercise",1
"bbmp hosasandra",1
"begur road",1
"belagahalli vidhan",1
"bende park",1
"billawawa association",1
"bin sri",1
"bin srinivasulu",1
"bmmp crossing",1
"bmm ward",1
"bohnanahalli assembly",1
"bohnanahalli vidhan",1
"bohnanahalli vidhyabha",1
"​​bommanahalli assembly",1
"bommanahalli constituency",1
"bommanahalli senior",1
"bommanahalli vidhyabha",1
"bommanahalli village",1
"books buy",1
"borewell government",1
"bp purchasing",1
"building community",1
"building first",1
"building mekko",1
"building outdoor",1
"building paintings",1
"building rooms",1
"building sbi",1
"burial ground",1
"bus stand",1
"cc road",1
"cctv adjourned",1
"cemetery cemetery",1
"cemetery puttenahalli",1
"cemetery ufarbabweepalya",1
"chennakeshavanagar bangalore",1
"classes science",1
"clean drinking",1
"clean water",1
"college agar",1
"college agara",1
"college agra",1
"college area",1
"college building",1
"college hssr",1
"college students",1
"colony development",1
"coloring furniture",1
"community building",1
"compound cemetery",1
