"word","freq"
"jigani hobli",55
"bangalore sou",54
"concrete road",51
"anekal taluk",48
"taluk jigani",32
"beguru hobli",31
"road development",26
"bangalore metropolitan",24
"sou taluk",22
"cement concrete",20
"road work",20
"sou assembly",19
"assembly constituency",18
"hobli anekal",18
"beguru ward",15
"main road",14
"sinking borewell",14
"drinking water",13
"taluk beguru",13
"village bangalore",13
"begur ward",12
"construction work",12
"gram panchayat",12
"bangalore urban",11
"development work",10
"sou constituency",10
"water treatment",10
"agrahara ward",9
"constituency anekal",9
"district anekal",9
"establishment drinking",9
"urban district",9
"approach road",8
"bbmp ward",8
"gp jigani",8
"high school",8
"road docking",8
"treatment plant",8
"bannerghatta village",7
"bommasandra road",7
"jigani bommasandra",7
"layout belgaum",7
"road yarandahalli",7
"yarandahalli approach",7
"balthoguru village",6
"chamundeshwari layout",6
"construction cement",6
"docking stage",6
"huge bangalore",6
"metropolitan corporation",6
"metropolitan panchayat",6
"panchayat range",6
"road construction",6
"constituency bangalore",5
"crossroads main",5
"diverting water",5
"front layout",5
"government school",5
"kothnur village",5
"lake front",5
"layout berhur",5
"line diverting",5
"pipe line",5
"road chamundeshwari",5
"road concrete",5
"road hennagara",5
"royal lake",5
"stage crossroads",5
"stage kothnur",5
"taluk road",5
"village beguru",5
"village road",5
"water royal",5
"works bangalore",5
"begur village",4
"bungalow works",4
"construction bangalore",4
"development workshop",4
"drainage metalling",4
"government high",4
"great bangalore",4
"hobli concrete",4
"hobli konappa",4
"house road",4
"konappa agrahara",4
"main entrance",4
"metalling work",4
"metropolitan area",4
"metropolitan polly",4
"nagar begur",4
"park bbmp",4
"polly ward",4
"processing unit",4
"road constructed",4
"sewage works",4
"three wheeler",4
"vehicle purchase",4
"water processing",4
"advanced development",3
"anjanapura ward",3
"ankal taluk",3
"bangalore triplicate",3
"basaveshwara temple",3
"bbmp anjanapura",3
"begur hobli",3
"beguru village",3
"belgaum hobli",3
"belgaum hubli",3
"berhur bergur",3
"big bangalore",3
"bin late",3
"bommandahalli village",3
"borewell lakshmi",3
"bukkasagara village",3
"bungalow drilling",3
"clean drinking",3
"community hall",3
"construction bus",3
"corporation beguru",3
"development complex",3
"drilling kariappanahalli",3
"hall uttarahalli",3
"hennagara gp",3
"hobli bangalore",3
"hobli honnagara",3
"hobli road",3
"home road",3
"honnagara village",3
"house beguru",3
"house rd",3
"jaganni hobli",3
"jp nagar",3
"kalasanahalli village",3
"kallaballu gram",3
"kallaballu village",3
"kallabalu gp",3
"kallubalu village",3
"kariappanahalli nagarappa",3
"konappana agrahara",3
"largest bangalore",3
"layout bangalore",3
"major bangalore",3
"masthenahalli village",3
"nagarappa home",3
"primary school",3
"providing concreting",3
"providing pipe",3
"ragihalli village",3
"reddys house",3
"road begur",3
"road cc",3
"road major",3
"road undertaking",3
"road works",3
"singasandra ward",3
"slab drainage",3
"sou municipal",3
"sree basaveshwara",3
"step jigani",3
"temple road",3
"three wheel",3
"triplicate vehicle",3
"undertaking work",3
"uttaraahalli ward",3
"veerabhadraswamy layout",3
"village jigani",3
"village kallabalu",3
"village masthenahalli",3
"wheel drive",3
"work level",3
"workshop step",3
"work step",3
"agrahara begur",2
"akshayangara gardens",2
"ambedkar community",2
"ambika residency",2
"anekal taluku",2
"anjaneyaswamy temple",2
