Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013 -14,1.0,ಕೆಂಗೇರಿಯಲ್ಲಿರುವ ಸೆಚಿಟ್ ಫ್ರಾನ್ಸಿಸ್ ಚರ್ಚ್ (ಬೆಥೆಸ್ತಾ ಶಾಲೆ ಹತ್ತಿರ) ಬಳಿಯಲ್ಲಿ ಬಸ್ ಸ್ಟಾಪ್ ಶೆಲ್ಟರ್ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ.,Construction of bus stop shelters near Secht Francis Church (near Bethesta School) in Kengeri.,1.7
2,2013 -14,2.0,"Construction of class room -1 to Maruthi High School at Tathguni Village, Agara G.P. Bangalore South Taluk","Construction of class room -1 to Maruthi High School at Tathguni Village, Agara G.P. Bangalore South Taluk",5.0
3,2013 -14,3.0,"Construction of class room -2 to Maruthi High School at Tathguni Village, Agara G.P. Bangalore South Taluk","Construction of class room -2 to Maruthi High School at Tathguni Village, Agara G.P. Bangalore South Taluk",5.0
4,2013 -14,4.0,ಚುಂಚನಕುಪ್ಪೆ ಗ್ರಾ.ಪಂ ದೊಡ್ಡ ಆಲದಮರ ಬಳಿ ಬಸ್ ಶೆಲ್ಟರ್ ನಿರ್ಮಾಣದ ಮುಂದುವರಿದ ಕಾಮಗಾರಿ.,The construction work of Bus Shelter near Chunachakuppe Gram Pam big banyan tree.,1.0
5,2013 -14,5.0,"ಬೆಂಗಳೂರು ದಕ್ಷಿಣ ತಾಲ್ಲೂಕು, ಕೆಂಗೇರಿ ಹೋಬಳಿ ಕೆ.ಗೊಲ್ಲಗಳ್ಳಿ ಗ್ರ್ರಾಮ ಪಂಚಾಯಿತಿಯ ಕೆ.ಗೊಲ್ಲಹಳ್ಳಿ ಗ್ರ್ರಾಮದಲ್ಲಿ ಹಾಲು ಉತ್ವಾದಕರ ಸಹಕಾರ ಸಂಘದ ಕಟ್ಟಡ ನಿರ್ಮಾಣ ಮುಂದುವರೆದ ಕಾಮಗಾರಿ","Bangalore South Taluk, Kengeri Hobli K Gollalli, K. Gollahalli of Gram Panchayat, Ground Building Construction of Milk Entrepreneurship Co-operative Society",3.0
6,2013 -14,6.0,"ಬೆಂಗಳೂರು ದಕ್ಷಿಣ ತಾಲ್ಲೂಕು, ಕೆಂಗೇರಿ ಹೋಬಳಿ, ರಾಮೋಹಳ್ಳಿ ಗ್ರಾಮ ಪಂಚಾಯಿತಿ ವ್ಯಾಪ್ತಿಯ ರಾಮೋಹಳ್ಳಿ ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆಯ ಹೆಚ್ಚುವರಿ ಕೊಠಡಿಗಳ ನಿರ್ಮಾಣ ಕಾಮಗ್ರಾರಿ","Bangalore South Taluk, Kengeri Hobli, Ramoahalli Gram Panchayat Ramoahalli Government Higher Primary School Additional Rooms Construction Kamagari",5.0
7,2013 -14,7.0,"ಬೆಂಗಳೂರು ದಕ್ಷಿಣ ತಾಲ್ಲೂಕು, ಕೆಂಗೇರಿ ಹೋಭಳಿ, ರಾಮೋಹಳ್ಳಿ ಗ್ರಾಮ ಪಂಚಾಯಿತಿ ವ್ಯಾಪ್ತಿಯ ರಾಮೋಹಳ್ಳಿ ಗ್ರ್ರಾಮದಲ್ಲಿ ಶೌಚಾಲಯ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ","Bangalore South Taluk, Kengeri Hobali, Toilet construction at Ramohalli Gram Panchayat Ramoahalli Gramar",4.98
8,2013 -14,8.0,"ಬೆಂಗಳೂರು ದಕ್ಷಿಣ ತಾಲ್ಲೂಕು, ಕೆಂಗೇರಿ ಹೋಬಳಿ, ರಾಮೋಹಳ್ಳಿ ಗ್ರ್ರಾಮ ಪಂಚಾಯಿತಿ ವ್ಯಾಪ್ತಿಯ ವಿನಾಯಕ ಗ್ರ್ರಾಮದಲ್ಲಿ ಬಸ್ ತಂಗುದಾಣ (ಬಸ್ ಸ್ಟಾಂಡ್) ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ","Bus Station (Bus stand) construction work at Vinayaka Gramar on Bangalore South Taluk, Kengeri Hobli, Ramoahalli Gramar Panchayat",4.5
9,2013 -14,9.0,"ಬೆಂಗಳೂರು ದಕ್ಷಿಣ ತಾಲ್ಲೂಕು, ಕೆಂಗೇರಿ ಹೋಬಳಿ, ರಾಮೋಹಳ್ಳಿ ಗ್ರ್ರಾಮ ಪಂಚಾಯಿತಿ ವ್ಯಾಪ್ತಿಯ ರಾಮೋಹಳ್ಳಿ ಗ್ರ್ರಾಮದಲ್ಲಿ ಬಸ್ ತಂಗುದಾಣ (ಬಸ್ ಸ್ಟಾಂಡ್) ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ","Bus Station (Bus stand) construction work at Ramoahalli Gramar Range, Bangalore South Taluk, Kengeri Hobli, Ramohalli Gramar Panchayat",3.5
10,2013 -14,10.0,"ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಭೀಮನಕುಪ್ಪೆ, ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಚಳ್ಳಘಟ್ಟ, ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ರಾಮೋಹಳ್ಳಿ, ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಮಾಳಿಗೊಂಡನಹಳ್ಳಿ, ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ವಿನಾಯಕನಗರ, ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಬೆಟ್ಟನಪಾಳ್ಯ, ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಕೊಮ್ಮಘಟ್ಟ, ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಸೂಲಿಕೆರೆ, ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ರಾಮಸಂದ್ರ","Government Primary School Bhimakuppe, Government Primary School Chalakatta, Government Higher Primary School Ramoahalli, Government junior primary school maligidanahalli, Government Primary School Vinayaknagar, Government Minor Primary School Bettanapalya, Government Higher Primary School Kommagatta, Government Higher Primary School Sulikere, Government Higher Primary School Ramasandra",5.0
11,2013 -14,11.0,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ-ಕನ್ನಲ್ಲಿ, ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ-ಮಂಗನಹಳ್ಳಿ, ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ-ಕೊಡಿಗೆಹಳ್ಳಿ, ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ-ಚಿಕ್ಕಕೊಡಿಗೆಹಳ್ಳಿ, ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ-ಕೊಡಿಗೆಹಳ್ಳಿ ಕಾಲೋನಿ, ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ-ಕೊಡಿಗೆಹಳ್ಳಿ ಆಶ್ರಯ ಬಡಾವಣೆ","Government Higher Primary School - Kannila, Government Primary School - Manganahalli, Government Primary School - Kodiyahalli, Government Primary School - Chikkodi Kolli, Government Primary School - Kodigahalli Colony, Government Junior Primary School - Kodigahalli Shelter Layout",5.0
12,2013 -14,12.0,"ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ-ತಿಪ್ಪೇನಹಳ್ಳಿ, ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ-ದೊಡ್ಡಬಿದರಕಲ್ಲು","Government Higher Primary School - Tippenahalli, Government Higher Primary School - Large Battery",2.5
13,2013 -14,13.0,2013-14 ನೇ ಸಾಲಿನ ಶಾಸಕರ ಸ್ಥಳಿಯ ಪ್ರದೇಶಾಭಿವೃದ್ಧಿ ಯೋಜನೆಯಡಿಯಲ್ಲಿ ಕೆಂಗೇರಿಯ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆಯ ಕಟ್ಟಡ ಅಭಿವೃದ್ಧಿ ಹಾಗು ಡೆಸ್ಕ್ ಗಳಿಗೆ ಅನುದಾನ ಬಿಡುಗಡೆ ಮಾಡುವ ಬಗ್ಗೆ,Concerning the development of Kengeri Senior Primary School Building and Desks under the Municipal Area Development Scheme of 2013-14,2.0
14,2013 -14,14.0,"2013-14 ನೇ ಸಾಲಿನ  ಶಾಸಕರ ಸ್ಥಳೀಯ  ಪ್ರದೇಶಾಭಿವೃದ್ಧಿ ಯೋಜನೆಯಡಿಯಲ್ಲಿ ಸರ್ಕಾರಿ ಉರ್ದು ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ-ಕೆಂಗೇರಿ, ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ-ಬಾಬಾಸಾಬರ್ ಪಾಳ್ಯ","Government Urdu Higher Primary School - Kengeri under the Local Area Development Scheme of MLAs 2013-14, Government Higher Primary School - Babasabar Palya",2.25
15,2013 -14,15.0,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆಡ-ಹೊಸಹಳ್ಳಿ ಗೊಲ್ಲರಪಾಳ್ಯ,Government Higher Primary School - Hosahalli Gollarapalya,1.75
