Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013 -14,1,"Proposed Atimate for construction of gallery in Kengunte palya ground in war No.129, Gnanabharathi (Stage-1).","Proposed Atimate for construction of gallery in Kengunte palya ground in war No.129, Gnanabharathi (Stage-1).",10.0
2,2013 -14,2,"Proposed Atimate for construction of gallery in Kengunte palya ground in war No.129, Gnanabharathi (Stage-2).","Proposed Atimate for construction of gallery in Kengunte palya ground in war No.129, Gnanabharathi (Stage-2).",10.0
3,2013 -14,3,"Proposed Atimate for construction of gallery in Kengunte palya ground in war No.129, Gnanabharathi (Stage-3).","Proposed Atimate for construction of gallery in Kengunte palya ground in war No.129, Gnanabharathi (Stage-3).",5.0
4,2013 -14,4,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TRS Flovides and Nitrates etc at Bhuvaneshwari Nagara in ward No.42 Lakshmidevi Nagara.,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TRS Flovides and Nitrates etc at Bhuvaneshwari Nagara in ward No.42 Lakshmidevi Nagara.,25.0
5,2013 -14,5,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TDS Flouides and Nitrates etc at Nandhini layout in ward No.42 Lakshmidevi Nagara.,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TDS Flouides and Nitrates etc at Nandhini layout in ward No.42 Lakshmidevi Nagara.,25.0
6,2013 -14,6,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TDS Flouides and Nitrates etc at Guraguntepalya old vllage in ward No.42 Lakshmidevi Nagara.,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TDS Flouides and Nitrates etc at Guraguntepalya old vllage in ward No.42 Lakshmidevi Nagara.,25.0
7,2013 -14,7,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TDS Flourides and Nitrates etc at Sanjaya Gandhinagara in ward No.42 Lakshmidevi Nagara.,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TDS Flourides and Nitrates etc at Sanjaya Gandhinagara in ward No.42 Lakshmidevi Nagara.,25.0
8,2013 -14,8,Construction of pure drinking water unit building with supply commissioning operation Fluorides and Nitrates etc at Kaverinagara in ward No.42 Lakshmidevi Nagara.,Construction of pure drinking water unit building with supply commissioning operation Fluorides and Nitrates etc at Kaverinagara in ward No.42 Lakshmidevi Nagara.,25.0
9,2013 -14,9,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TDS Flourides and Nitrates etc at Laggere village in ward No.69 Laggere.,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TDS Flourides and Nitrates etc at Laggere village in ward No.69 Laggere.,25.0
10,2013 -14,10,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TDS Flourides and Nitrates etc at L.G.Ramanna Layout in ward No.69 Laggere.,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TDS Flourides and Nitrates etc at L.G.Ramanna Layout in ward No.69 Laggere.,25.0
11,2014 -15,1,"Proposed Atimate for construction of gallery in Kengunte palya ground in war No.129, Gnanabharathi (Stage-1).","Proposed Atimate for construction of gallery in Kengunte palya ground in war No.129, Gnanabharathi (Stage-1).",10.0
12,2014 -15,2,"Proposed Atimate for construction of gallery in Kengunte palya ground in war No.129, Gnanabharathi (Stage-2).","Proposed Atimate for construction of gallery in Kengunte palya ground in war No.129, Gnanabharathi (Stage-2).",10.0
13,2014 -15,3,"Proposed Atimate for construction of gallery in Kengunte palya ground in war No.129, Gnanabharathi (Stage-3).","Proposed Atimate for construction of gallery in Kengunte palya ground in war No.129, Gnanabharathi (Stage-3).",5.0
14,2014 -15,4,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TRS Flovides and Nitrates etc at Bhuvaneshwari Nagara in ward No.42 Lakshmidevi Nagara.,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TRS Flovides and Nitrates etc at Bhuvaneshwari Nagara in ward No.42 Lakshmidevi Nagara.,25.0
15,2014 -15,5,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TDS Flouides and Nitrates etc at Nandhini layout in ward No.42 Lakshmidevi Nagara.,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TDS Flouides and Nitrates etc at Nandhini layout in ward No.42 Lakshmidevi Nagara.,25.0
16,2014 -15,6,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TDS Flouides and Nitrates etc at Guraguntepalya old vllage in ward No.42 Lakshmidevi Nagara.,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TDS Flouides and Nitrates etc at Guraguntepalya old vllage in ward No.42 Lakshmidevi Nagara.,25.0
17,2014 -15,7,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TDS Flourides and Nitrates etc at Sanjaya Gandhinagara in ward No.42 Lakshmidevi Nagara.,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TDS Flourides and Nitrates etc at Sanjaya Gandhinagara in ward No.42 Lakshmidevi Nagara.,25.0
18,2014 -15,8,Construction of pure drinking water unit building with supply commissioning operation Fluorides and Nitrates etc at Kaverinagara in ward No.42 Lakshmidevi Nagara.,Construction of pure drinking water unit building with supply commissioning operation Fluorides and Nitrates etc at Kaverinagara in ward No.42 Lakshmidevi Nagara.,25.0
19,2014 -15,9,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TDS Flourides and Nitrates etc at Laggere village in ward No.69 Laggere.,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TDS Flourides and Nitrates etc at Laggere village in ward No.69 Laggere.,25.0
20,2014 -15,10,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TDS Flourides and Nitrates etc at L.G.Ramanna Layout in ward No.69 Laggere.,Construction of pure drinking water unit building with supply commissioning operation and maintenace of pure drinking water plant of capacity 2000 LPH for Removal of TDS Flourides and Nitrates etc at L.G.Ramanna Layout in ward No.69 Laggere.,25.0
21,2015 -16,1,"ಮಹೇಶ್.ಬಿ.ವಿ. ಬಿನ್ ವಿಷಕಂಠೇಗೌಡ, ನಂ.166, ಸುಮನಹಳ್ಳಿ, ವಿಶ್ವನೀಡಂ ಅಂಚೆ, ಮಾಗಡಿ ರಸ್ತೆ, ಬೆಂ. ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ.","Mahesh B.V. Bin Vishakante Gowda, No.166, Sumanahalli, Viswanadam Post, Magadi Road, Bell. For a three-wheel drive vehicle.",0.73
22,2015 -16,2,"ಸೋಮಯ್ಯ ವಸ್ತ್ರದ ಬಿನ್ ರುದ್ರಯ್ಯ, ಸುಮನಹಳ್ಳಿ, ಕುಷ್ಟರೋಗ ಸಂಸ್ಥೆ, ವಿಶ್ವನೀಡಂ ಅಂಚೆ, ಮಾಘಡಿ ರಸ್ತೆ, ಬೆಂ ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ.","Somayya Costume Bin Rudrayaiah, Sumanahalli, Institute of Psychotherapy, Viswanadam Post, Magadi Road, Bemu for three-wheeler purchase.",0.73
23,2015 -16,3,"ಶ್ರೀ ರೇಣುಕ ಎಲ್ಲಮ್ಮ ದೇವಸ್ಥಾನ, ನಂ.1, ಜೆ-ಬ್ಲಾಕ್, ಕೆ.ಎಸ್.ಡಿ.ಬಿ ಕ್ವಾಟ್ರಸ್, ಜೈಭುವನೇಶ್ವರಿನಗರ, ಸರ್ಕಾರಿ ಹರಿಗೆ, ಆಸ್ಪತ್ರೆ ಪಕ್ಕ, ನಂದಿನಿ ಬಡಾವಣೆ, ಬೆಂಗಳೂರು-96","Sri Renukha Allamma Temple, No.1, J-Block, KSDB Quatrous, Jaibuneshwarnagar, Government Transport, Hospital Side, Nandini Layout, Bangalore -96",0.0
24,2015 -16,4,"ಶ್ರೀ ಮಾರಿಯಮ್ಮ ದೇವಸ್ಥಾನ, ಕಾತಾನಗರ, 2ನೇ ಹಂತ, ಜಾಲಹಳ್ಳಿ ಪಶ್ಚಿಮ, ಬೆಂಗಳೂರು","Sri Mariamma Temple, Katanagar, 2nd Stage, Jahahalli West, Bangalore",0.0
25,2015 -16,5,"Contruction of pure drinking water unit building with supply commissioning operation and maintanence of pure drinking water plant ity 2000 LPH for removal of TDS fllorides and Niatrates etc., at backside of Nammuathidi Nagarbahvavi 12th Block N.G.E.F. Layout in Jnanabharathi in ward-129.","Contruction of pure drinking water unit building with supply commissioning operation and maintanence of pure drinking water plant ity 2000 LPH for removal of TDS fllorides and Niatrates etc., at backside of Nammuathidi Nagarbahvavi 12th Block N.G.E.F. Layout in Jnanabharathi in ward-129.",20.0
26,2015 -16,6,"Contruction of pure drinking water unit building with supply commissioning operation and maintanence of pure drinking water plant ity 2000 LPH for removal of TDS fllorides and Niatrates etc., at Jnanaganganagar in Jnanabharthu Ward-129.","Contruction of pure drinking water unit building with supply commissioning operation and maintanence of pure drinking water plant ity 2000 LPH for removal of TDS fllorides and Niatrates etc., at Jnanaganganagar in Jnanabharthu Ward-129.",20.0
27,2015 -16,7,"Contruction of pure drinking water unit building with supply commissioning operation and maintanence of pure drinking water plant ity 2000 LPH for removal of TDS fllorides and Niatrates etc., at Narasapura, Benchkalpalya  in Jnanabharthu Ward-129.","Contruction of pure drinking water unit building with supply commissioning operation and maintanence of pure drinking water plant ity 2000 LPH for removal of TDS fllorides and Niatrates etc., at Narasapura, Benchkalpalya  in Jnanabharthu Ward-129.",20.0
28,2015 -16,8,"Contruction of pure drinking water unit building with supply commissioning operation and maintanence of pure drinking water plant ity 2000 LPH for removal of TDS fllorides and Niatrates etc., at Kenguntte  in Jnanabharthu Ward-129.","Contruction of pure drinking water unit building with supply commissioning operation and maintanence of pure drinking water plant ity 2000 LPH for removal of TDS fllorides and Niatrates etc., at Kenguntte  in Jnanabharthu Ward-129.",20.0
