Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013-14,1,ಎಸ್.ಬಿ.ಐ ಕಾಲೋನಿ ಉದ್ಯಾನವನ ವಾರ್ಡ್ ನಂ.74,SBI Colony Park Ward Ward No.74,3.0
2,2013-14,2,ಕುವೆಂಪು ಉದ್ಯಾನವನ ವಾಡ್ ್ ನಂ.74,Kuvempu park is no. No. 74,6.0
3,2013-14,3,ಕುವೆಂಪು ಉದ್ಯಾನವನ ವಾಡ್ ್ ನಂ.74,Kuvempu park is no. No. 74,4.0
4,2013-14,4,ರಾಮಕೃಷ್ಣ ನಗರ ಉದ್ಯಾನವನ ನಂದಿನಿ ಬಡಾವಣೆ ವಾರ್ಡ್ ನಂ.43,Ramakrishna City Park Nandini Layout Ward No.43,5.0
5,2013-14,5,"Construction of Pure drinking water unit ward No.67, Nagpura","Construction of Pure drinking water unit ward No.67, Nagpura",12.5
6,2013-14,6,"Construction of Pure drinking water unit ward No.68, Mahalakshmi Lay Out","Construction of Pure drinking water unit ward No.68, Mahalakshmi Lay Out",12.5
7,2013-14,7,"Construction of Pure drinking water unit ward No.68, Nandini Lay Out","Construction of Pure drinking water unit ward No.68, Nandini Lay Out",12.5
8,2013-14,8,"Construction of Pure drinking water unit ward No.75, Sankar mutt","Construction of Pure drinking water unit ward No.75, Sankar mutt",12.5
9,2013-14,9,ಶಕ್ತಿಗಣಪತಿ ನಗರ ವಾಡ್ ್-74 (ಶಂಕರ್ ನಾಗ್ ಬಸ್ ನಿಲ್ದಾಣ) ಆವರಣದಲ್ಲಿ ಶುದ್ಧ ಕುಡಿಯುವ ನೀರಿನ ಘಟಕ ಸ್ಥಾಪನೆ,Shakti Magadi City Wd-74 (Shankar Nag Bus Station) Establishment of Pure Drinking Water Unit on premises,20.0
10,2013-14,10,ಪಾರಪ್ಪನಪಾಳ್ಯ ವಾರ್ಡ್ ನಂ.44 ಆವರಣದಲ್ಲಿ ಶುದ್ಧ ಕುಡಿಯುವ ನೀರಿನ ಘಟಕ ಸ್ಥಾಪನೆ,Establishment of a clean drinking water unit at Parappanapalya Ward No.44 premises,20.0
11,2013-14,11,ಮಹಾಲಕ್ಷ್ಮಿ ಲೇಔಟ್ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಬರುವ ಸಿ.ಎ.ನಿವೇಶನ ಸಂಖ್ಯೆ.7/ಬಿ ಯಲ್ಲಿ ವೆಸ್ಟ್ ಆಫ್ ಕಾರ್ಡ್ ಮಹಾಲಕ್ಷ್ಮಿಪುರ ಪ್ರದೇಶದಿಂದ ವಿದ್ಯಾಭ್ಯಾಸಕ್ಕಾಗಿ ಬೆಂಗಳೂರಿಗೆ ಬರುತ್ತಿರುವ ಬಡ ಹೆಣ್ಣು ಮಕ್ಕಳಿಗೆ ಉಚಿತ ವಿದ್ಯಾರ್ಥಿ ನಿಲಯವನ್ನು ನೊಳಂಬ ವೀರಶೈವ ಸಂಘ(ರಿ) ರವರು ನಿರ್ಮಾಣ ಮಾಡುತ್ತಿರುವ ಕಟ್ಟಡ ನಿರ್ಮಾಣ,"The CA of the Nation No. of Mahalakshmi Layout Legislative Areas. West of Cards at 7 / B Building a building built by Veerashaiva Sangha (R), a free student hostel for poor girls coming to Bengaluru from Mahalakshmi area.",10.0
12,2013-14,12,ಮಹಾಲಕ್ಷ್ಮಿ ಲೇಔಟ್ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಬರುವ ಶಂಕರಮಠ ವಾರ್ಡ್ 75 ಕೆಂಪೇಗೌಡ ಉದ್ಯಾನವನದ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ.,Shankarramtha Ward under the Mahalakshmi Layout Vidhan Sabha constituency 75 Development work at Kempe Gowda Park.,10.0
13,2013-14,13,ಶÁಲೆ ಮತ್ತು ಪ್ರೌಢಶಾಲೆ ಅಭಿವೃದ್ಧಿ ವಾರ್ಡ್ ನಂ.67,Shaw Le and High School Development Ward No.67,6.0
14,2013-14,14,ಶುದ್ಧ ಕುಡಿಯುವ ನೀರಿನ ಘಟಕ ಶಾಂತಿ ಉದ್ಯಾನವನ (ನಾಗಪುರ ವಾರ್ಡ್ ನಂ.67),Pure Drinking Water Unit Peace Park (Nagpur Ward No.67),15.0
15,2013-14,15,ಉದಯಕುಮಾರ್ ಉದ್ಯಾನವನ ಕೇತಮಾರನಹಳ್ಳಿ ವಾರ್ಡ್ ನಂ.67,Udayakumar Park Kathamaranahalli Ward No.67,15.0
16,2013-14,16,ನಂದಿನಿ ಬಡಾವಣೆಯ ವಾರ್ಡ್ ನಂ.43 ರಲ್ಲಿ ಒಳಾಂಗಣ ಕ್ರೀಡಾಂಗಣ ಅಭಿವೃದ್ಧಿ ಪಡಿಸುವ ಬಗ್ಗೆ.,About indoor stadium development in Nandini Layout Ward No.43,20.0
17,2013-14,17,"ಉದಯರವಿ ಉದ್ಯಾನವನ, ಶಂಕರಮಠ ಉದ್ಯಾನವನ ಮತ್ತು ಅಂಬಾಭವಾನಿ ದೇವಸ್ಥಾನ ಕಾಮಗಾರಿ.","Udayaravi Park, Shankarramtha Park and Ambabhani Temple Complex.",10.0
18,2013-14,18,"ವಿದ್ಯಾ ಭಾರತಿ ಇಂಗ್ಲೀಷ್ ಸ್ಕೂಲ್, ನಂ.263, ಪಶ್ಚಿಮ ಕಾರ್ಡ್ ರಸ್ತೆ, ಮಹಾಲಕ್ಷ್ಮಪುರಂ 2ಮೇ ಹಂತ, ಬೆಂ.86, ನಾಗಪುರ ವಾರ್ಡ್ ನಂ.67 ರಲ್ಲಿ ಪ್ರೈಮರಿ ಮತ್ತು ಹೈಸ್ಕೂಲ್ ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಯು.ಪಿ.ಎಸ್ ಖರೀದಿಗಾಗಿ.","VPS Bharti English School, No.263, West Card Road, Mahalaxapuram 2 May Stage, BB86, Nagpur Ward No.67 for UPS Purchase for Primary and High School students.",2.4
19,2014-15,1,ನಂದಿನಿ ಬಡಾವಣೆ ಸಕ್ರ್ಯುಲರ್ ಪಾರ್ಕ್‍ನಲ್ಲಿ ಪುನರ್ ಬಳಕೆ ಕಾರ್ಯಗಾರ  (Recycling Plant) ವಾರ್ಡ್ ನಂ.44.,Recycling Plant at Nandini Layout Secureler Park Ward No.44.,23.0
20,2014-15,2,"ವಿವೇಕಾನಂದ ಪದವಿ ಪೂರ್ವ ಮಹಿಳಾ ಕಾಲೇಜು (ಜನತಾ ಶಿಕ್ಷಣ ಸಂಸ್ಥೆಗಳು) ನಂ.22, 6ನೇ ಮುಖ್ಯ, ಶ್ರೀಕಂಠೇಶ್ವರನಗರ, ಮಹಾಲಕ್ಷ್ಮೀ ಬಡಾವಣೆ, ಬೆಂಗಳೂರು ಇಲ್ಲಿ ಸುಸಜ್ಜಿತ ನೂತನ ಈ-ಗ್ರಂಥಾಲಯವನ್ನು ನಿರ್ಮಾಣ ಮಾಡುವ ಕಾಮಗಾರಿ.","Vivekananda Bachelor of Pre-Women's College (Janata Educational Institutions) No. 22, 6th Main, Srikanteswaranagar, Mahalakshmi Layout, Bangalore Building a well-equipped new e-library.",5.0
21,2014-15,3,"Asha (Academy for Severe Handyaps and Autism) L-76/A, Kirloskar colony, HBCS 3rd stage, 4th Block, Basaveshwaranagar, B'luru-79.","Asha (Academy for Severe Handyaps and Autism) L-76/A, Kirloskar colony, HBCS 3rd stage, 4th Block, Basaveshwaranagar, B'luru-79.",3.0
22,2014-15,4,"Lotus Education & rural Development Society ® No.212/31, 1st main road, Kamataka layout, pipeline road, Kamalanagar, B'luru-79.","Lotus Education & rural Development Society ® No.212/31, 1st main road, Kamataka layout, pipeline road, Kamalanagar, B'luru-79.",3.0
23,2014-15,5,"ಸಾಂಬಮೂರ್ತಿ ಉದ್ಯಾನವನ, ಶಂಕರಮಠ ಮತ್ತು ನೇತ್ರಾವತಿ ಉದ್ಯಾನವನ ನಂದಿನಿ ಬಡಾವಣೆಯಲ್ಲಿನ ಉದ್ಯಾನವನಗಳ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ.","Sambamurthi Gardens, Shankar Matha and Netravati Park are the development works of the park at Nandini Layout.",9.0
