Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013-14,1,ಮಲ್ಲೇಶ್ವರಂ ವಿಧನಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಮಲ್ಲೇಶ್ವರಂ ಎಂ.ಕೆ.ಕೆ. ರಸ್ತೆಯಲ್ಲಿರುವ ಶ್ರೀ.ಚಂದ್ರಶೇಖರ್ ಆಟದ ಮೈದಾನದಲ್ಲಿ ಬಿ.ಬಿ.ಎಂ.ಪಿ ಶಾಲೆಯ ಮಕ್ಕಳಿಗೆ ಒಳಾಂಗಣ ವಾಲಿಬಾಲ್ ಕ್ರೀಡಾಂಗಣ ನಿರ್ಮಾಣ ಮಾಡಲು,Malleswaram MKK in Malleswaram constituency Mr. Chandrashekhar on the road to play indoor volleyball stadium for BBMP school children at playground,48.24
2,2013-14,2,ಮಲ್ಲೇಶ್ವರಂ ವಿಧನಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಮಲ್ಲೇಶ್ವರಂ ಈಜುಕೊಳ ಬಡಾವಣೆ ಡೋಬಿ ಘಾಟ್‍ನಲ್ಲಿರುವ ಹೆಚ್ಚುವರಿ ಕಟ್ಟಡ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ,"Malleswaram Swimming Pool Layout in Downtown Malleswaram, Additional Building Construction at Dobhi Ghat",16.85
3,2013-14,3,"ಮಲ್ಲೇಶ್ವರಂ ವಿಧನಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ವಾರ್ಡ್ ನಂ 45ರಲ್ಲಿ ಯಶವಂತಪುರ ಎಜುಕೇಷನ್ ಟ್ರಸ್ಟ್ 9ನೇ ಮುಖ್ಯರಸ್ತೆ, ಕಮಲ ನೆಹರು ಬಡಾವಣೆ, ಬೆಂಗಳೂರು-22 ಇಲ್ಲಿನ ಶಾಲೆಯ ಮಕ್ಕಳಿಗೆ ಆಸನ ವ್ಯವಸ್ಥೆ ಕಾಮಗಾರಿ","Yeshwanthpur Education Trust 9th Main Road, Kamala Nehru Layout, Bangalore-22, Seating System Works for Children in the District of Malleswaram",2.0
4,2013-14,4,ಮಲ್ಲೇಶ್ವರಂ ವಿಧನಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ಕೆ.ಸಿ.ಜನರಲ್ ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಸಾರ್ವಜನಿಕ ಅನುಕೂಲಕ್ಕಾಗಿ ಆಸ್ಪತ್ರೆಯ ಆವರಣದಲಲಿ ಉಪಹಾರ ಕೊಠಡಿ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ,Restaurant facilities for public convenience at the KC General Hospital in Malleswaram Vidhan Sabha constituency,15.0
5,2013-14,5,ಮಲ್ಲೇಶ್ವರಂ ವಿಧನಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ವಾರ್ಡ್ ನಂ 65ರ ಕಾಡುಮಲ್ಲೇಶ್ವರ 6ನೇ ಅಡ್ಡರಸ್ತೆಯಲ್ಲಿರುವ ಸರ್ಕಾರಿ ಮಾದರಿ ಪ್ರಾಥಮಿಕ ಶಾಲೆಯ ಹಳೇ ಕಟ್ಟಡವನ್ನು ತಮತಟ್ಟು ಮಾಡುವ ಕಾಮಗಾರಿ ಹಂತ-1,"Step-1 to build Old Model Old School Old Building on 6th Cross Road, Madumaleshwara, Ward 6, Ward 6, Malleswaram.",2.5
6,2013-14,6,ಮಲ್ಲೇಶ್ವರಂ ವಿಧನಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ವಾರ್ಡ್ ನಂ 65ರ ಕಾಡುಮಲ್ಲೇಶ್ವರ 6ನೇ ಅಡ್ಡರಸ್ತೆಯಲ್ಲಿರುವ ಸರ್ಕಾರಿ ಮಾದರಿ ಪ್ರಾಥಮಿಕ ಶಾಲೆಯ ಹಳೇ ಕಟ್ಟಡವನ್ನು ತಮತಟ್ಟು ಮಾಡುವ ಕಾಮಗಾರಿ ಹಂತ-2,"The Government Model Model Primary School Old Building Old Building on 6th Cross Road, Madumaleshwara, Ward 6 of Malleswaram constituency.",2.0
7,2013-14,7,ಮಲ್ಲೇಶ್ವರಂ ವಿಧನಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ವಾರ್ಡ್ ನಂ 66ರ ಸುಬ್ರಹ್ಮಣ್ಯನಗರ ವ್ಯಾಪ್ತಿಯ ಕೆಂಪೇಗೌಡ ಆಟದ ಮೈದಾನದಲ್ಲಿ ಹೈಟೆಕ್ ಡ್ರಿಂಕಿಂಗ್ ವಾಟರ್ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ,"High Tech Drinking Water Construction Workshop at Kempegowda Stadium, Subrahmanya Nagar, Wards No. 67, Malleswaram",7.0
8,2013-14,8,ಮಲ್ಲೇಶ್ವರಂ ವಿಧನಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ವಾರ್ಡ್ ನಂ 36ರಲ್ಲಿ ನೇತಾಜಿ ಸಂಘ ಧರ್ಮದತ್ತಿ (ರಿ) ವೃತ್ತಿಕೆರೆ ಇಲ್ಲಿ ಸಮುದಾಯ ಭವನ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ,Netaji Sangha Dharmadhyathi (R) Career in Malleswaram Vidhan Sabha constituency Ward No. 36 is a community building building here,9.8
9,2013-14,9,ಮಲ್ಲೇಶ್ವರಂ ವಿಧನಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ವಾರ್ಡ್ ನಂ 65ರ ಕಾಡುಮಲ್ಲೇಶ್ವರ 6ನೇ ಅಡ್ಡರಸ್ತೆಯಲ್ಲಿರುವ ಸರ್ಕಾರಿ ಮಾದರಿ ಪ್ರಾಥಮಿಕ ಶಾಲೆಯ (Hi-Tech Drinking Water KIOSK)  ಕಾಮಗಾರಿ ,"Government Model Primary School Works on 6th Cross Road, Madumaleshwara, Ward 6, Malleswaram (Hi-Tech Drinking Water KIOSK)",7.0
10,2013-14,10,ಮಲ್ಲೇಶ್ವರಂ ವಿಧನಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯ ವಾರ್ಡ್ ನಂ 65ರ ಕಾಡುಮಲ್ಲೇಶ್ವರ  ವ್ಯಾಪ್ತಿಯ ಮಲ್ಲೇಶ್ವರ ಆಟದ ಮೈದಾನದಲ್ಲಿ Hi-Tech Drinking Water KIOSK ಕಾಮಗಾರಿ ,"Hi-Tech Drinking Water KIOSK Workshop at Malleshwara Stadium, Kodumaleshwar, Wards No. 65, Malleswaram",0.0
