Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013-14,1,ಬೆಂಗಳೂರು ನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರ ವಾರ್ಡ್ ನಂ.48 ರಲ್ಲಿ ಕುಡಿಯುವ ನೀರಿನ ಕಿರು ನೀರು ಸರಬರಾಜು ಯೋಜನೆ ಕಾಮಗಾರಿ,Water Supply Scheme for Drinking water in Bangalore Urban Assembly constituency Ward No. 48,10.0
2,2013-14,2,ಬೆಂಗಳೂರು ನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತÀ್ರ ವಾರ್ಡ್ ನಂ.48ರ ವಿಶ್ವೇಶ್ವರಯ್ಯ ಲೇಔಟ್ ನಲ್ಲಿ ಕುಡಿಯುವ ನೀರಿನ ಕಿರು ನೀರು ಸರಬರಾಜು ಯೋಜನೆ ಕಾಮಗಾರಿ,"Drinking Water Short Water Supply Project Works at Vishweshwara Layout, Bangalore Urban Assembly",6.0
3,2013-14,3,ಬೆಂಗಳೂರು ನಗರ ಪುಲಕೇಶಿನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರ ವಾರ್ಡ್ ನಂ. 48ರ 2ನೇ ಅಡ್ಡರಸ್ತೆ ಶಿವಾಜಿರಸ್ತೆ ಸಿಟಿಜನಗ ಕ್ಲಿನಿಕ್ ನಿಂದ ಜಮೀರ್ ಮನೆವರೆಗೆ ಸಿಮೆಂಟ್ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ,Bangalore City Pulakeshinagar Assembly Constituency Ward No. Cement concrete road construction up to Jimir Home from Clinic to Sivaji Saraswat 2nd,2.5
4,2013-14,4,"ಬೆಂಗಳೂರು ನಗರ, ಪುಲಕೇಶಿನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರ ವಾರ್ಡ್ ನಂ.48 ರ 2ನೇ ಅಡ್ಡರಸ್ತೆ ಶಿವಾಜಿ ರಸ್ತೆ ಜಮೀರ್ ಮನೆಯಿಂದ ಬಾಬು ಮನೆಯವರೆಗೆ ಸಿಮೆಂಟ್ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ನಿರ್ಮಾಣ","Bangalore City, Pulakesin Nagar Assembly Constituency 2nd Round of Ward No. 48 Shivaji Road Zameer House From Babu House to Cement Concrete Road Construction",2.5
5,2013-14,5,"ಬೆಂಗಳೂರು ನಗರ, ಪುಲಕೇಶಿನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರ ವಾರ್ಡ್ ನಂ.48 ರ 2ನೇ ಅಡ್ಡರಸ್ತೆ ಶಿವಾಜಿ ರಸ್ತೆ ಬಾಬು ಮನೆಯಿಂದ ಮುತ್ತಾರ್ ಮನೆಯವರೆಗೆ ಸಿಮೆಂಟ್ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ನಿರ್ಮಾಣ","Cement Concrete Road From Shivaji Road Babu Home to Muthar House, Bangalore Urban, Pulakeshinagar Assembly Block Ward 2nd.",2.5
6,2013-14,6,"ಬೆಂಗಳೂರು ನಗರ, ಪುಲಕೇಶಿನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರ ವಾರ್ಡ್ ನಂ.48 ರ 2ನೇ ಅಡ್ಡರಸ್ತೆ ಶಿವಾಜಿ ರಸ್ತೆ ಮುತ್ತಾರ್ ಮನೆಯಿಂದ  ಮುರುಗನ್ ಮನೆಯವರೆಗೆ ಸಿಮೆಂಟ್ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ನಿರ್ಮಾಣ",Cement concrete road construction from Shivaji road muthar house to Murugan house in 2nd floor of Pulakeshinagar assembly constituency ward number 48,2.5
7,2013-14,7,"Construction of RCC drain at 'B' street 2nd Cross, Sc/St Colony Shivaraj road ward No.48, Muneshwaranagara Pulakeshinagara Assembly Constituency Bangalore","Construction of RCC drain at 'B' street 2nd Cross, Sc/St Colony Shivaraj road ward No.48, Muneshwaranagara Pulakeshinagara Assembly Constituency Bangalore",2.5
8,2013-14,8,"Construction of RCC drain at 'B' street 2nd Cross, Sc/St Colony Shivaraj road ward No.48, Muneshwaranagara Pulakeshinagara Assembly Constituency Bangalore","Construction of RCC drain at 'B' street 2nd Cross, Sc/St Colony Shivaraj road ward No.48, Muneshwaranagara Pulakeshinagara Assembly Constituency Bangalore",2.5
9,2013-14,9,"Construction of RCC drain at 'B' street 2nd Cross, Sc/St Colony Shivaraj road ward No.48, Muneshwaranagara Pulakeshinagara Assembly Constituency Bangalore","Construction of RCC drain at 'B' street 2nd Cross, Sc/St Colony Shivaraj road ward No.48, Muneshwaranagara Pulakeshinagara Assembly Constituency Bangalore",2.5
10,2013-14,10,"ಪುಲಕೇಶಿನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರಕ್ಕೆ ಸೇರಿದ ದೇವರ ಜೀವನಹಳ್ಳಿಯಲ್ಲಿರುವ ಸರ್ಕಾರಿ ಉರ್ದು ಪ್ರೈಮರಿ ಮತ್ತು ಹೈಸ್ಕೂಲ್‍ಗೆ ಕಾಂಪೌಂಡನ್ನು ನಿರ್ಮಿಸುವ ಕಾಮಗಾರಿ,ಪುಲಕೇಶಿನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತÀ್ರಕ್ಕೆ ಸೇರಿದ ವಾರ್ಡ್ ನಂ.47 ದೇವರ ಜೀವನಹಳ್ಳಿ ಕಾವಲ್ ಬೈರಸಂದ್ರದಲ್ಲಿರುವ ಸರ್ಕಾರಿ ಹೈಸ್ಕೂಲ್‍ಗೆ ಕಾಂಪೌಚಿಡ್ ನಿರ್ಮಿಸುವ ಕಾಮಗಾರಿ","Workshops for the Government Urdu Primary and High School in Lavalahalli, belonging to the Pulakesin Nagar Assembly constituency.,Ward No 47 belongs to the Pulakesin Nagar Assembly Constituency and construct a compound for Government High School at Liveshalli Kaval Byrassandra.",10.0
