Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013-14,1,ಸರ್.ಸಿ.ವಿ.ರಾಮನ್ ನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ಸಂ.113 ಹಳೆ ವಿಮಾನ ನಿಲ್ದಾಣ ಮುರುಗೇಶ್ ಪಾಳ್ಯ ಎಸ್.ಎ.ಎಲ್ ರಸ್ತೆಯ ರಾಜ್ ಕಾಲುವೆಯ ಕಾಂಪೌಂಡ್ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ ( ರಾಜ ಕಾಲುವೆಯಲ್ಲಿ ಹೂಳು ತೆಗೆಯುವುದು ಮತ್ತು ಫೆನ್ಸಿಂಗ್ ಕಾಮಗಾರಿ) ಹಂತ-1,C V Raman Urban Assembly Constituency Ward No.113 Old Airport Murugesh Palya Compound Development Work on Raj Canal SAL Road (Sewing and Fencing on Raja Canal) Step-1,10.0
2,2013-14,2,ಸರ್.ಸಿ.ವಿ.ರಾಮನ್ ನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ಸಂ.113 ಹಳೆ ವಿಮಾನ ನಿಲ್ದಾಣ ಮುರುಗೇಶ್ ಪಾಳ್ಯ ಎಸ್.ಎ.ಎಲ್ ರಸ್ತೆಯ ರಾಜ್ ಕಾಲುವೆಯ ಕಾಂಪೌಂಡ್ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ (ಹೊಸ ಕಾಂಪೌಂಡ್ ಗೋಡೆ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ) ಹಂತ-2,C V Raman Urban Vidhan Sabha constituency Ward No.113 Old Airport Murugesh Palya Compound Development Work on Raj Canal SAL Road (New Compound Wall Construction) Phase -2,3.5
3,2013-14,3,ಸರ್.ಸಿ.ವಿ.ರಾಮನ್ ನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.79ರ ಸರ್ವಜ್ಞನಗರದ ಕಾಕ್ಸ್ ಟೌನಿನ ಮುಖ್ಯರಸ್ತೆಯಲ್ಲಿ ದ್ವಜಸ್ಥಂಬದ ಆವರಣದಕಲ್ಲು ಕಟ್ಟಡ ಮತ್ತು ಆರ್ನಮೆಂಟಲ್ ಗ್ರಿಲ್ಸ್ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ (ಹಂತ-1),"The C V Raman Urban Assembly constituency is the headquarters of the Cox town of Warden No. 79, the Concrete Building and Ornamental Grills Development Work (Phase I)",2.0
4,2013-14,4,ಸರ್.ಸಿ.ವಿ.ರಾಮನ್ ನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.79ರ ಸರ್ವಜ್ಞನಗರದ ಕಾಕ್ಸ್ ಟೌನಿನ ಮುಖ್ಯರಸ್ತೆಯಲ್ಲಿ ದ್ವಜಸ್ಥಂಬದ ಆವರಣದಕಲ್ಲು ಕಟ್ಟಡ ಮತ್ತು ಆರ್ನಮೆಂಟಲ್ ಗ್ರಿಲ್ಸ್ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ (ಹಂತ-2),"The C V Raman Urban Municipal Council Ward Ward No.79 is the main building of the Cox Town, the Concrete Building and Ornamental Grills Development Work (Phase II)",2.0
5,2013-14,5,ಸರ್.ಸಿ.ವಿ.ರಾಮನ್ ನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.79ರ ಸರ್ವಜ್ಞನಗರದ ಕಾಕ್ಸ್ ಟೌನಿನ ಮುಖ್ಯರಸ್ತೆಯಲ್ಲಿ ದ್ವಜಸ್ಥಂಬದ ಆವರಣದ Iಟಿಟಿeಡಿ ಐoಛಿಞ ಅobbಟe Sಣoಟಿe ಅಳವಡಿಸುವ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ,"The development workshop implemented by the C V Raman Urban Municipal Council Ward Ward No.79 of the Circle Town of Circle Town IIT-IIT,",2.0
6,2013-14,6,ಸರ್.ಸಿ.ವಿ.ರಾಮನ್ ನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.79ರ ಸರ್ವಜ್ಞನಗರದ ಕಾಕ್ಸ್ ಟೌನಿನ ಮುಖ್ಯರಸ್ತೆಯ ದ್ವಜಸ್ಥಂಬಕ್ಕೆ ಗ್ರಾನೈಟ್ ಮತ್ತು ಬೆಂಚಸ್ ಹಾಗೂ ಕಾಂಪೌಂಡ್‍ನ ಗೋಡೆಗೆ ಗೇಟ್ ಅಳವಡಿಸುವ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ,Gate-up development work on the wall of granite and benches and compound for the CV Town's main roof of the C V Raman Urban Assembly constituency Ward No.79,2.0
7,2013-14,7,ಸರ್.ಸಿ.ವಿ.ರಾಮನ್ ನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.57ರ ಸಿ.ವಿ.ರಾಮನ್ ನಗರದ ಕಗ್ಗದಾಸಪುರ ಕೆರೆಯ ಜಲಕಂಠೇಶ್ವರ ದೇವಸ್ಥಾನದ ಕಡೆಯ ಕೆರೆ ಏರಿಯನ್ನು ಮತ್ತು ಪಾದಚಾರಿ ಮಾರ್ಗದ ರಸ್ತೆಯನ್ನು ಅಭಿವೃದ್ದಿ ಕಾಮಗಾರಿ,The last lakes and pedestrian roads of the Jalakanteshwara temple of Kagadasapura Lake in the CV Raman city of Ward No.57 of Sirvivan Raman Nagar Sabha constituency have been developed.,10.0
8,2013-14,8,ಸರ್.ಸಿ.ವಿ.ರಾಮನ್ ನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.57ರ ಸಿ.ವಿ.ರಾಮನ್ ನಗರದ ಕಗ್ಗದಾಸಪುರ ಕೆರೆಯ ಜಲಕಂಠೇಶ್ವರ ದೇವಸ್ಥಾನದ ಕಡೆಯ 6ನೇ ಮುಖ್ಯರಸ್ತೆಕಡೆ ಇರುವ ಕೆರೆ ಏರಿಯನ್ನು ಮತ್ತು ಪಾದಚಾರಿ ಮಾರ್ಗದ ರಸ್ತೆಯನ್ನು ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ,The construction work of lake lane and pedestrian road along the 6th Main Road on the Jalakanteshwara Temple of Kagadasapura Lake in the CV Raman city of Ward No.57 of Sirvivan Ramanagar constituency.,10.0
9,2013-14,9,ಸರ್.ಸಿ.ವಿ.ರಾಮನ್ ನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.57ರ ಸಿ.ವಿ.ರಾಮನ್ ನಗರದ ಕಗ್ಗದಾಸಪುರ ಕೆರೆಯ ಜಲಕಂಠೇಶ್ವರ ದೇವಸ್ಥಾನದ ಹಿಂದೆ ಹಾದು ಹೋಗುವ ಕೆರೆ ಏರಿಯನ್ನು ಮತ್ತು ಪಾದಚಾರಿ ಮಾರ್ಗದ ರಸ್ತೆಯನ್ನು ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ,The construction work of the lake and pedestrian road leading to the Jalakanteshwara temple of Kagadasapura Lake in the CV Raman city of Ward No.57 of Sirvivan Ramanagar constituency.,10.0
10,2013-14,10,ಸರ್.ಸಿ.ವಿ.ರಾಮನ್ ನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.57ರ ಸಿ.ವಿ.ರಾಮನ್ ನಗರದ ಕಗ್ಗದಾಸಪುರ ಕೆರೆಯ ಜಲಕಂಠೇಶ್ವರ ದೇವಸ್ಥಾನದಿಂದ ಘನ ತ್ಯಾಜ್ಯ ವಿಂಗಡನೆ ಘಟದವರೆಗೆ ಹಾದುಹೋಗುವ ಕೆರೆ ಏರಿಯನ್ನು ಮತ್ತು ಪಾದಾಚಾರಿ ಮಾರ್ಗದ ರಸ್ತೆಯನ್ನು ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ,The construction work of the lake and pedestrian road passing through the Jalakantheshwara temple of Kagadasapura lake in the CV Raman city of C V ​​Raman Urban Municipal Council area of ​​CV Raman crossing the solid waste classification phase,10.0
11,2013-14,11,ಸರ್.ಸಿ.ವಿ.ರಾಮನ್ ನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.57ರ ಸಿ.ವಿ.ರಾಮನ್ ನಗರದ ಕಗ್ಗದಾಸಪುರ ಕೆರೆಯ ಮಲ್ಲೇಶ್ ಪಾಳ್ಯದ ಚೌಚೌ ಕಾರ್ಖಾನೆಯಿಂದ ಹಳೇ ಕಾಲದ ದೊಡ್ಡ ಹುತ್ತದವರೆಗೆ ಹಾದು ಹೋಗುವ ಕೆರೆ ಏರಿಯನ್ನು ಮತ್ತು ಪಾದಾಚಾರಿ ಮಾರ್ಗದ ರಸ್ತೆಯನ್ನು ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ,"The construction work of the lake and pedestrian road passing through the Chauchou factory of Mallesh Palya in the CV Raman city of CV Raman city of Ward No.57,",10.0
