Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013-14,1,"ಬೆಂಗಳೂರು ನಗರ, ಶಿವಾಜಿನಗರ ವಿ.ಸ. ಕ್ಷೇತ್ರ ವಾರ್ಡ್ ನಂ.92 ಶಿವಾಜಿ ರಸ್ತೆಯಲ್ಲಿ ಬಿ.ನಂ.15 ರಿಂದ ರಾಮಕೃಷ್ಣ ದೇವಸ್ಥಾನದವರೆಗೆ ಸಿಮೆಂಟ್ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ನಿರ್ಮಾಣ (ಎಸ್.ಸಿ./ಎಸ್.ಟಿ.ಕಾಲೊನಿ)","Bangalore City, Shivajinagar VS Construction of Cement Concrete Road (SC / ST Colony) from Ramnagar to Ramakrishna Temple from No.15 to Shivaji Road on No. 92.",2.5
2,2013-14,2,"ಬೆಂಗಳೂರು ನಗರ, ಶಿವಾಜಿನಗರ ವಿ.ಸ. ಕ್ಷೇತ್ರ ವಾರ್ಡ್ ನಂ.92 ಶಿವಾಜಿ ರಸ್ತೆಯಲ್ಲಿ ರಾಮಕೃಷ್ಣ ದೇವಸ್ಥಾನದಿಂದ ಬಿ.ನಂ.18ರವರೆಗೆ ಸಿಮೆಂಟ್ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ನಿರ್ಮಾಣ (ಎಸ್.ಸಿ./ಎಸ್.ಟಿ.ಕಾಲೊನಿ)","Bangalore City, Shivajinagar VS Cement Concrete Road Construction (SC / ST Colony) from Ramakrishna Temple to BN 18 on Field Ward No. 92 Shivaji Road",2.5
3,2013-14,3,"ಬೆಂಗಳೂರು ನಗರ, ಶಿವಾಜಿನಗರ ವಿ.ಸ. ಕ್ಷೇತ್ರ ವಾರ್ಡ್ ನಂ.92 ಶಿವಾಜಿ ರಸ್ತೆಯಲ್ಲಿ ಬಿ.ನಂ.18ರಿಂದ ಲಿಡ್ಕರ್ ಶಾಪ್‍ವರೆಗೆ  ಸಿಮೆಂಟ್ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ನಿರ್ಮಾಣ (ಎಸ್.ಸಿ./ಎಸ್.ಟಿ.ಕಾಲೊನಿ)","Bangalore City, Shivajinagar VS Cement concrete road construction (SC / ST colony) from LMC to Lidkar Shop from No.17 to Shivaji Road at No. 92",2.5
4,2013-14,4,"ಬೆಂಗಳೂರು ನಗರ, ಶಿವಾಜಿನಗರ ವಿ.ಸ. ಕ್ಷೇತ್ರ ವಾರ್ಡ್ ನಂ.92 ಶಿವಾಜಿ ರಸ್ತೆಯಲ್ಲಿ ಲಿಡ್ಕರ್ ಶಾಪ್‍ನಿಂದ ಪಂಚಣ್ಣ ಹೌಸ್‍ವರೆಗೆ  ಸಿಮೆಂಟ್ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ನಿರ್ಮಾಣ (ಎಸ್.ಸಿ./ಎಸ್.ಟಿ.ಕಾಲೊನಿ)","Bangalore City, Shivajinagar VS Cement concrete road construction (SC / ST Colony) from Lidkar Shop to Panjanna House on field Ward No. 92 Shivaji Road",2.5
5,2013-14,5,"ಬೆಂಗಳೂರು ನಗರ, ಶಿವಾಜಿನಗರ ವಿ.ಸ. ಕ್ಷೇತ್ರ ವಾರ್ಡ್ ನಂ.92 ಶಿವಾಜಿ ರಸ್ತೆಯಲ್ಲಿ ಸಿಮೆಂಟ್ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ನಿರ್ಮಾಣ (ಎಸ್.ಸಿ./ಎಸ್.ಟಿ.ಕಾಲೊನಿ)","Bangalore City, Shivajinagar VS Cement concrete road construction (SC / ST colony) on field Ward No.92 Shivaji Road",1.4
6,2013-14,6,"ಬೆಂಗಳೂರು ನಗರ, ಶಿವಾಜಿನಗರ ವಿ.ಸ. ಕ್ಷೇತ್ರ ವಾರ್ಡ್ ನಂ.92 ಜುಮ್ಮಾ ಮಸೀದಿ ರಸ್ತೆಯಲ್ಲಿ ಬನಾರಸ್ ಸ್ವೀಟ್ಸ್‍ನಿಂದ ಜಿಜಿ ಬಜಾರ್ ವರೆಗೆ ಸಿಮೆಂಟ್ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ನಿರ್ಮಾಣ","Bangalore City, Shivajinagar VS Cement concrete road construction from Banaras Sweets to GG Bazaar on field Ward No. 92 Juma Masjid Road",2.5
7,2013-14,7,"ಬೆಂಗಳೂರು ನಗರ, ಶಿವಾಜಿನಗರ ವಿ.ಸ. ಕ್ಷೇತ್ರ ವಾರ್ಡ್ ನಂ.92 ಜುಮ್ಮಾ ಮಸೀದಿ ರಸ್ತೆಯಲ್ಲಿ ಪ್ರಾವಿಷನ್ ಸ್ಟೋರ್‍ನಿಂದ ಅಜೀಜ್ ಜ್ಯುವೆಲ್ಸ್ ವರೆಗೆ ಸಿಮೆಂಟ್ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ನಿರ್ಮಾಣ","Bangalore City, Shivajinagar VS Construction of Cement Concrete Road from Provision Store to Aziz Jewels on Field Ward No. 92 Juma Masjid Road",2.5
8,2013-14,8,"ಬೆಂಗಳೂರು ನಗರ, ಶಿವಾಜಿನಗರ ವಿ.ಸ. ಕ್ಷೇತ್ರ ವಾರ್ಡ್ ನಂ.92 ಜುಮ್ಮಾ ಮಸೀದಿ ರಸ್ತೆಯಲ್ಲಿ ಶಾಂತಿ ಜ್ಯುವೆಲ್ಸ್‍ನಿಂದ ತಾಜ್ ಜ್ಯುವೆಲ್ಸ್ ವರೆಗೆ ಸಿಮೆಂಟ್ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ನಿರ್ಮಾಣ","Bangalore City, Shivajinagar VS Construction of cement concrete road from Shanti Jewels to Taj Jewels on Field Ward No. 92 Juma Masjid Road",2.5
9,2013-14,9,"ಬೆಂಗಳೂರು ನಗರ, ಶಿವಾಜಿನಗರ ವಿ.ಸ. ಕ್ಷೇತ್ರ ವಾರ್ಡ್ ನಂ.92 ಜುಮ್ಮಾ ಮಸೀದಿ ರಸ್ತೆಯಲ್ಲಿ ತಾಜ್ ಜ್ಯುವೆಲ್ಸ್  ಮುಂಭಾಗ ಸಿಮೆಂಟ್ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ನಿರ್ಮಾಣ","Bangalore City, Shivajinagar VS Taj Jewels Front Cement Concrete Road Construction on Field Ward No. 92 Juma Masjid Road",2.5
10,2013-14,10,"ಬೆಂಗಳೂರು ನಗರ, ಶಿವಾಜಿನಗರ ವಿ.ಸ. ಕ್ಷೇತ್ರ ವಾರ್ಡ್ ನಂ.92 ಜುಮ್ಮಾ ಮಸೀದಿ ರಸ್ತೆಯಲ್ಲಿ ನೈನಾ ಬ್ಯೂಟಿಕ್‍ನಿಂದ ಭಂಡಾರಿ ಜ್ಯುವೆಲ್ಸ್ ವರೆಗೆ ಸಿಮೆಂಟ್ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ನಿರ್ಮಾಣ","Bangalore City, Shivajinagar VS Cement concrete road construction from Nina Beautik to Bhandari Jewels on field Ward No. 92 Juma Masjid Road",1.4
