Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013-14,1,ಪದ್ಮನಾಭ ನಗರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.167 (ಯಡಿಯೂರು) ರಲ್ಲಿರುವ ಜಯನಗರ 6ನೇ ಬಡಾವಣೆಯ 24ನೇ ಅಡ್ಡರಸ್ತೆಯ ನಿವೇಶನ ಸಂ.213/ ಸಿ ರಲ್ಲಿ ಸಮುದಾಯ ಭವನ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ,"Community Building construction work in the 24th crossing site of Jayanagar 6th Layout, Ward No.167 (Yediyur) of Padmanabha Nagar Assembly Constituency.",7.0
2,2013-14,2,ಶ್ರೀ.ಆಂಜನೇಯ ದೇವಸ್ಥಾನದ ದೊಡ್ಡ ಮಾವಳ್ಳಿ ಬೆಂಗಳೂರು ಸದರಿ ದೇವಸ್ಥಾನವು ಕಳೆದ 60 ವರ್ಷಗಳಿಂದ ಬೆಂಗಳೂರಿನ ದೊಡ್ಡ ಮಾವಳ್ಳಿ ಬಂಡೆಯಲ್ಲಿ ಮೂಡಿರುವ ಉದ್ಭವ ಆಂಜನೇಯ ದೇವಾಲಯವಾಗಿದ್ದು ಪ್ರಸ್ತುತ ದೇವಾಲಯದ ಪಕ್ಕ ಭಕ್ತರ ಅನುಕೂಲಕ್ಕಾಗಿ ಒಂದು ಸಮುದಾಯ ಭವನ ನಿರ್ಮಿಸಲು,Sri Anjaneya temple is a huge mavalli temple dedicated to Lord Anjaneya which has been inaugurated on a large mallalli rock in Bangalore for the past 60 years and is currently building a community hall for the convenience of the devotees.,5.0
3,2013-14,3,"Providing chain link fencing and improvements to park at Padmanabhanagara assembly Constituency ward No.165, Ganesh Mandir, Bangalore","Providing chain link fencing and improvements to park at Padmanabhanagara assembly Constituency ward No.165, Ganesh Mandir, Bangalore",30.0
4,2013-14,4,Construction of retreat center at world renewal spiritual trust,Construction of retreat center at world renewal spiritual trust,5.0
5,2013-14,5,ಪದÀ್ಮನಾಭನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ವಾರ್ಡ್ ನಂ.181 ಕುಮಾರಸ್ವಾಮಿ ಬಡಾವಣೆಯಲ್ಲಿರುವ ಶ್ರೀ ಖಾನೇ ಮುನೇಶ್ವರ ಸ್ವಾಮಿ ದೇವಸ್ಥಾನದ ಆವರಣದಲ್ಲಿ ಈ ಭಾಗದ ಜನರಿಗೆ ಅನುಕೂಲವಾಗುವಂತೆ ಸಮುದಾಯ ಭವನವನ್ನು ನಿರ್ಮಾಣ ಮಾಡಲು,In the premises of Shri Khane Muneswara Swamy Temple in the Kumardaswamy Layout Ward No. 181 to build a community hall to facilitate the people of this area,30.0
6,2013-14,6,"Drilling of Borewell Pumping machinery Rising and providing Electrification to Vishweshwaraiah Park, Ward No.165, Banashankari 3rd Stage, 4th Phase, Padmanabhanagar Assembly Constituency Bangalore.","Drilling of Borewell Pumping machinery Rising and providing Electrification to Vishweshwaraiah Park, Ward No.165, Banashankari 3rd Stage, 4th Phase, Padmanabhanagar Assembly Constituency Bangalore.",4.5
7,2013-14,7,ಪದÀ್ಮನಾಭನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ಜಯನಗರದ ಯಡಿಯೂರು ಬೆಂಗಳೂರಿನಲ್ಲಿರುವ ಸರ್ಕಾರಿ ಪ್ರಥಮ ದರ್ಜೆ ಕಾಲೇಜಿನಲ್ಲಿ ಶೌಚಾಲಯ ಮತ್ತು ಕುಡಿಯುವ ನೀರಿನ ವ್ಯವಸ್ಥೆಯ ಕಾಮಗಾರಿ.,"The toilet and drinking water system works at Government First Grade College in Bangalore, Yadiyur, Jayanagar, in the district.",5.0
8,2014-15,1,Construction of retreat center at world renewal spiritual trust,Construction of retreat center at world renewal spiritual trust,5.0
9,2014-15,2,ಪದ್ಮನಾಭನಗರ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಬರುವ ಕರೇಶಂದ್ರ ವಾರ್ಡಿಗೆ ಸೇರುವ ಸರ್ಕಾರಿ ಕನ್ನಡ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆಗೆ ಕಾಂಪೌಚಿಡ್ ನಿರ್ಮಿಸಲು.,Compaheed to Government Government Higher Primary School to join Karesendra Ward from Padmanabhanagar Municipal Council.,19.5
10,2014-15,3,ಶ್ರೀ ಎಲ್.ಬಸವರಾಜ್ ಬಿನ್ ಲಿಂಗಯ್ಯ ರವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನವನ್ನು ನೀಡುವ ಬಗ್ಗೆ.,About giving a three wheeler to Mr. L. Basavaraj bin Lingayya.,0.83
