Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013-14,1,"Providing Cement Concree Road at 1st Cross, ambedkar colony, SC/ST colony at watd No.147, (Adugodi) BTM Assembly Constituency (Stage-1) Bangalore","Providing Cement Concree Road at 1st Cross, ambedkar colony, SC/ST colony at watd No.147, (Adugodi) BTM Assembly Constituency (Stage-1) Bangalore",2.45
2,2013-14,2,"Providing Cement Concree Road at 1st Cross, ambedkar colony, SC/ST colony at watd No.147, (Adugodi) BTM Assembly Constituency (Stage-2) Bangalore","Providing Cement Concree Road at 1st Cross, ambedkar colony, SC/ST colony at watd No.147, (Adugodi) BTM Assembly Constituency (Stage-2) Bangalore",2.5
3,2013-14,3,"Providing Cement Concree Road at 2nd Cross, ambedkar colony, SC/ST colony at watd No.147, (Adugodi) BTM Assembly Constituency (Stage-1) Bangalore","Providing Cement Concree Road at 2nd Cross, ambedkar colony, SC/ST colony at watd No.147, (Adugodi) BTM Assembly Constituency (Stage-1) Bangalore",2.35
4,2013-14,4,"Providing Cement Concree Road at 2nd Cross, ambedkar colony, SC/ST colony at watd No.147, (Adugodi) BTM Assembly Constituency (Stage-2) Bangalore","Providing Cement Concree Road at 2nd Cross, ambedkar colony, SC/ST colony at watd No.147, (Adugodi) BTM Assembly Constituency (Stage-2) Bangalore",2.4
5,2013-14,5,ಬೆಂಗಳೂರು ನಗರ ವಾರ್ಡ್ ನಂ.148 ಈಜಿಪುರದ ಗ್ರೇಫಿ ಗಾರ್ಡನ್ ನಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯಿಸಿ ನೀರು ಸರಬರಾಜಿನ ಕಾಮಗಾರಿ,"Bangalore Urban Ward No. 148 Construction of Water Supply Borewells at Griffi Garden, Yizhpur",5.0
6,2013-14,6,ಬೆಂಗಳೂರು ನಗರ ವಾರ್ಡ್ ನಂ.148 ಈಜಿಪುರದ 20ನೇ ಸಿ ಅಡ್ಡರಸ್ತೆಯಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯಿಸಿ ನೀರು ಸರಬರಾಜಿನ ಕಾಮಗಾರಿ,Bangalore Urban Ward No.148 Construction of Water Supply Borewells on 20th C in Jaffna,5.0
7,2013-14,7,ಬೆಂಗಳೂರು ನಗರ ವಾರ್ಡ್ ನಂ.148 ಈಜಿಪುರದ ಎನ್.ಜಿ.ವಿ. ಮಲ್ಲಪ್ರಭಾ ಬ್ಲಾಕ್ ನಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯಿಸಿ ನೀರು ಸರಬರಾಜಿನ ಕಾಮಗಾರಿ,Bangalore City Ward No 148 NGV Construction of water supply by drilling the tube well at the Mallaprabha block,5.0
8,2013-14,8,ಬೆಂಗಳೂರು ನಗರ ವಾರ್ಡ್ ನಂ.151 ಈಜಿಪುರದ ಕೋರಮಂಗಲ ಸಿದ್ದಾರ್ಥ ಕಾಲೋನಿಯಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಕೊರೆಯಿಸಿ ನೀರು ಸರಬರಾಜಿನ ಕಾಮಗಾರಿ,"Bangalore Urban Ward No.151 Construction of Water Supply Borewells in Koramangala Siddhartha Colony, Yizhpur",5.0
9,2013-14,9,Improvements to park at krishna and Sharavathi Block at National games village Koramangala Bangalore,Improvements to park at krishna and Sharavathi Block at National games village Koramangala Bangalore,2.0
10,2013-14,10,"ವಾರ್ಡ್ ನಂ.108, ಈಜೀಪುರದ ಶ್ರೀರಾಮ ದೇವಾಲಯ ಹಿಂಬಾಗ ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕ್ ಅಳವಡಿಸಿ ಪೈಪ್ ಲೈನ್ ಮುಕಾಂತರ ನೀರು ಸರಬರಾಜು ಕಾಮಗಾರಿ","Ward No.108, Srirama Temple of Ezhipuram rear pipe well drilling water tank and pipeline line water supply works",6.0
11,2013-14,11,"ವಾರ್ಡ್ ನಂ.148, ಈಜೀಪುರದ ಆರ್.ಎ.ರಸ್ತೆ 3ನೇ ಅಡ್ಡರಸ್ತೆ ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕ್ ಅಳವಡಿಸಿ ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರವರಾಜು ಕಾಮಗಾರಿ","Ward No. 148, RA Road of Ezhipuram 3rd crossroads pipe well drilled water tank through water pipeline through pipe line",6.0
12,2013-14,12,"ವಾರ್ಡ್ ನಂ.148, ಈಜೀಪುರದ 26ನೇ ಅಡ್ಡರಸ್ತೆ ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕ್ ಅಳವಡಿಸಿ ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರವರಾಜು ಕಾಮಗಾರಿ","Ward No. 148, 26th crossing of Ezhipuram with water pipeline drilled by water pipeline through water pipeline",6.0
13,2013-14,13,"ವಾರ್ಡ್ ನಂ.172, ಮಡಿವಾಳದ ತಾವರೆಕೆರೆ 2ನೇ ಅಡ್ಡರಸ್ತೆ ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕ್ ಅಳವಡಿಸಿ ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಕಾಮಗಾರಿ","Ward No.172, Thawakere 2nd Division of Madiva, dump wells and water tank through water pipeline through pipe line",6.0
14,2013-14,14,"ವಾರ್ಡ್ ನಂ.172, ಮಡಿವಾಳದ ವೆಂಕಟೇಶ್ವರ ಬಡಾವಣೆಯ 15ನೇ ಅಡ್ಡರಸ್ತೆ ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕ್ ಅಳವಡಿಸಿ ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಕಾಮಗಾರಿ","Ward No.172, 15th crossing of Venkateshwara Layout in Madivakavu Well water tank with water pipeline through water pipeline",6.0
15,2013-14,15,"ವಾರ್ಡ್ ನಂ.172, ಮಡಿವಾಳದ 2ನೇ ಅಡ್ಡರಸ್ತೆ ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕ್ ಅಳವಡಿಸಿ ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಕಾಮಗಾರಿ","Ward No.172, Water Supply Work by Pipeline Line, 2nd Division of Madiva",6.0
16,2013-14,16,"ವಾರ್ಡ್ ನಂ.172, ಮಡಿವಾಳದ ವೆಂಕಟೇಶ್ವರ ಬಡಾವಣೆಯ 2ನೇ ಮುಖ್ಯರಸ್ತೆ ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕ್ ಅಳವಡಿಸಿ ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಕಾಮಗಾರಿ","Ward No.172, 2nd Main Road, Madivala Venkateswara Layout, Water Supply Project by Pipeline Line",6.0
17,2013-14,17,"ವಾರ್ಡ್ ನಂ. 173, ಜಕ್ಕಸಂದ್ರ ವೆಂಕಟಾಪುರ 5ನೇ ಕ್ರಾಸ್ ಇಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕರ್ ಅಳವಡಿಸಿ ಪೈಪ್ ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಕಾಮಗಾರಿ","Ward no. 173, Jakasandra Venkatapura 5th Cross, Tube Wells, Water Tankers, Water Supply Works by Pipeline",6.0
18,2013-14,18,ಶ್ರೀ.ಬೆಂಜಮಿನ್ ಪಾಲ್ ಡಬ್ಲೂ ಸೆಂಟ್ ಜೋಸೆಫ್ ಕಾಲ್ಭೆಜ್ ಬ್ರಿಗೇಡ್ ರಸ್ತೆ ಇಲ್ಲಿ ಬಿ.ಕಾಂ ಓದುತ್ತಿದ್ದು ಆತ ಕಾಲೇಜಿನಿಂದ ಮನೆಗೆ ಓಡಾಡಲು ತ್ರಿಚಕ್ರ ಮೋಟಾರ್ ಸೈಕಲ್ ವಾಹನ ಒದಗಿಸಲು ಅನುದಾನ ರೂ.80.000/- ಗಳನ್ನು ಬಿಡುಗಡೆ ಮಾಡುವ ಬಗ್ಗೆ,"Mr. Benjamin Paul W. St. Joseph Calbhaj Brigade Road reads BCom here for granting Rs. 80,000 / - for a three-wheeler motor vehicle to travel from college to home",0.8
19,2013-14,19,ವಾರ್ಡ್ ನಂ.146 ಲಕ್ಕಸಂದ್ರ 6ನೇ ಮುಖ್ಯರಸ್ತೆಯ ಪಾತಾಳೇಶ್ವರ ದೇವಾಲಯದ ಆವರಣದ 2ನೇ ಮಹಡಿಯಲ್ಲಿ ಧ್ಯಾನ ಮಂದಿರ ನಿರ್ಮಿಸುವ ಕಾಮಗಾರಿ,WARD No. 146 The construction of the meditation hall on the 2nd floor of the Pataleshwara temple complex on 6th floor of Lakkasundra.,5.0
20,2013-14,20,ಆಡುಗೋಡಿ ಸರ್ಕಾರಿ ಪದವಿ ಪೂರ್ವ ಕಾಲೇಜಿಗೆ 50 ಡೆಸ್ಕ್‍ಗಳನ್ನು ಹಾಗೂ ಹೊಸದಾಗಿ ನಿರ್ಮಿಸಲಾಗಿರುವ ಪ್ರಯೋಗಲಾಯಕ್ಕೆ 30 ಸ್ಟೂಲ್‍ಗಳನ್ನು ಸರಬರಾಜು ಕುರಿಉ.,The Adugodi Government Degree College is offering 50 desks and 30 stalls for the newly constructed experiment.,4.0
21,2013-14,21,"ವಾರ್ಡ್ ನಂ.148, ಈಜೀಪುರ 1ನೇ ಕ್ರಾಸ್ ಗ್ರೇಪ್ ಗಾರ್ಡನ್ ಕೊಳವೆ ಬಾವಿ ಕೊರೆದು ನೀರಿನ ಟ್ಯಾಂಕರ್ ಅಳವಡಿಸಿ, ಪೈಪ್‍ಲೈನ್ ಮುಖಾಂತರ ನೀರು ಸರಬರಾಜು ಕಾಮಗಾರಿ.","Ward No. 148, Ezhipur 1st Cross Grape Garden fountain well drilled water tanker, water supply through pipeline.",0.0
