Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013-14,1.0,"ಬೆಂಗಳೂರು ಪೂರ್ವ ತಾಲ್ಲೂಕು, ಮಹದೇವಪುರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಬರುವ ಹೂಡಿ ವಾರ್ಡ್ ತಿಳಗರಪಾಳ್ಯ ಗ್ರಾಮದಲ್ಲಿ ಸಮುದಾಯ ಭವನದ ಉಳಿಕೆ ಕಾಮಗಾರಿ","Hoodi Ward, Bangalore East Taluk, Mahadevapura Assembly Constituency, Reservation of Community Hall in Aadaragapalya Village",3.60
2,2013-14,2.0,"Balance of work of Veterinary  Hospital Building & Hall at Halanayakanahalli of Halanayakanahalli GP Bangalore East Taluk, Bangalore","Balance of work of Veterinary  Hospital Building & Hall at Halanayakanahalli of Halanayakanahalli GP Bangalore East Taluk, Bangalore",6.50
3,2013-14,3.0,"ಬೆಂಗಳೂರು ಪೂರ್ವ ತಾಲ್ಲೂಕು, ಶೀಗೆಹಳ್ಳಿ ಗ್ರಾಮದ ಜೋಗಿ ಕಾಲೋನಿಯಲ್ಲಿ ಸಮುದಾಯ ಭವನ (ಅಂಬೇಡ್ಕರ್ ಭವನ) ನಿರ್ಮಾಣದ ಉಳಿಕೆ ಕಾಮಗಾರಿ","The construction work of the Samaj Bhavan (Ambedkar Bhavan) at Jogi Colony of Sheegahalli village, Bangalore East Taluk",3.00
4,2013-14,4.0,"ಬೆಂಗಳೂರು ಪೂರ್ವ ತಾಲ್ಲೂಕು, ಕನ್ನಮಂಗಲ ಬೇವಿನಮರದ ಕಾಲೋನಿಯಲ್ಲಿ ಸ್ತ್ರೀ ಶಕ್ತಿ ಸಮುದಾಯ ಭವನ ಕಾಮಗಾರಿ","Female Shakthi Community Building in Colony, Kannamangala, Bangalore East Taluk",6.30
5,2013-14,5.0,"ಬೆಂಗಳೂರು ಪೂರ್ವ ತಾಲ್ಲೂಕು, Pಕೊಡತಿ ಗ್ರ್ರಾಮ ಪಂಚಾಯಿತಿ ಸೂಲಕುಂಟೆ ದಿನ್ನೆ ಸ್ವಾಮಿ ವಿವೇಕಾನಂದ ಬಡಾವಣೆಯಲ್ಲಿ ಬೊರ್‍ವೆಲ್‍ಗೆ ಪಂಪು ಮೋಟಾರು ಮತ್ತು ಪೈಪ್‍ಲೈನ್ ಅಳವಡಿಸುವ ಕಾಮಗಾರಿ.","Bangalore East Taluk, P Kodati Gram Panchayat, Sulakunte, Dune Swami Vivekananda Layout, Pump Motor and Pipeline Works to Bourwell.",3.50
6,2013-14,6.0,"ಬೆಂಗಳೂರು ಪೂರ್ವ ತಾಲ್ಲೂಕು, ಮಂಡೂರು ಗ್ರಾಮ ಪಂಚಾಯಿತಿಯ ಜ್ಯೋತಿಪುರ ಗ್ರ್ರಾಮದ ಶಾಲಾ ಕಟ್ಟಡದ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ.","Development workshop for Jyothipura Gramarama school building in Mandur Gram Panchayat, Bangalore East Taluk, Bangalore.",4.50
7,2013-14,7.0,ದೊಡ್ಡನೆಕ್ಕುಂದಿ ವಾರ್ಡಿನ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಬರುವ ಎ.ಇ.ಸಿ.ಎಸ್ ಬಡಾವಣೆ ಕುಂದಲಹಳ್ಳಿ ಸಮುದಾಯ ಭವನ ನಿರ್ಮಾಣಕ್ಕೆ.,"AECS Layout, located within the junction of LargeKangi Wards, is constructed by the Kundalahalli community hall.",7.00
8,2013-14,8.0,ಹಗದೂರು ವಾರ್ಡಿನ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಬರುವ ಇಮ್ಮಡಿಹಳ್ಳಿ ಗ್ರಾಮದಲ್ಲಿ ಸರ್ಕಾರಿ ಪ್ರೌಢಶಾಲೆ ಕಾಂಪೌಚಿಡ್ ಗೋಡೆ ನಿರ್ಮಾಣದ ಕಾಮಗಾರಿ.,Construction of government high school compound wall in Immadihalli village near Haggur Ward.,10.00
9,2013-14,9.0,"ಬೆಂಗಳೂರು ಪೂರ್ವ ತಾಲ್ಲೂಕು, ಮಂಡೂರು ಗ್ರಾಮ ಪಂಚಾಯಿತಿ, ಮಂಡೂರು ಗ್ರಾಮದ ಸಮುದಾಯ ಭವನಕ್ಕೆ ಸಂಪು ಟ್ಯಾಂಕ್ ಮೆಟ್ಟಲು ಹಾಗೂ ಪೊರ್ಟಿಕೋ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ. ಬದಲಿ ಕಾಮಗಾರಿ","Bangalore East Taluk, Mandur Gram Panchayat, Mandur Village Community Hall, Stupa Tank Stairs and Portico construction work. Replacement work",0.00
10,2013-14,,"ಬೆಂಗಳೂರು ಪೂರ್ವ ತಾಲ್ಲೂಕು, ಮಂಡೂರು ಗ್ರಾಮ ಪಂಚಾಯಿತಿ, ಮಂಡೂರು ಗ್ರಾಮದ ಅಂಬೇಡ್ಕರ್ ಭವನ ಮಹಡಿ ಮೇಲೆ ಊಟದ ಕೊಠಡಿ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ.","The dining room construction work on the Ambedkar Bhavan floor of Mandur village, Bangalore East Taluk, Mandur Gram Panchayat.",5.00
11,2013-14,10.0,"ಬೆಂಗಳೂರು ಪೂರ್ವ ತಾಲ್ಲೂಕು, ಮಂಡೂರು ಗ್ರಾಮ ಪಂಚಾಯಿತಿ, ಮಂಡೂರು ಗ್ರಾಮದ ಸಮುದಾಯ ಭವನ ನಿರ್ಮಾಣದ ಉಳಿಕೆ ಕಾಮಗಾರಿ.","Restoration work on the construction of Mandur Gram Panchayat, Mandur Village Community Hall, Bangalore East Taluk, Mandur Gram Panchayat.",5.00
12,2013-14,11.0,"ಬೆಂಗಳೂರು ಪೂರ್ವ ತಾಲ್ಲೂಕು, ಮಹದೇವಪುರ ವಿಧಾನಸಭಾ ಕ್ಷೇತÀ್ರ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಬರುವ ವರ್ತೂರು ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆಯ (ನೆಲ ಮತ್ತು ಮೊದಲನೆಯ ಮಹಡಿಯ) ಉಳಿಕೆ ಕಾಮಗಾರಿ.","Varthur Senior Primary School (ground floor and first floor) restoration work at Bangalore East Taluk, Mahadevapura Assembly constituency.",5.00
13,2013-14,12.0,ಕೆ.ಬಿ.ಪುಟ್ಟಸ್ವಾಮಿ ಬಿನ್ ಲೇ. ಬಸಪ್ಪ ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಹಾಗು ಇನ್ನಿತರೆ ಸಾಧನಗಳನ್ನು ನೀಡುವ ಬಗ್ಗೆ.,KB Putaswamy bin Lay. Basappa is offering a three-wheeler vehicle and other equipment.,0.63
14,2013-14,13.0,ಕೊಡತಿ ಗ್ರಾಮ ಪಂಚಾಯ್ತಿಯ ಮುಳ್ಳೂರು ಅಂಬೇಡ್ಕರ್ ನಗರದಲ್ಲಿ ತಂಗುದಾಣ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ.,"The construction work of the resort area in Mullur Ambedkar, Kodathi Gram Panchayat.",1.00
15,2013-14,14.0,"ಕೆ.ಎ.ಅನಿಲ್ ಕುಮಾರ್, ನಂ.ಇ/181/2, 1ನೇ ಮುಖ್ಯರಸ್ತೆ, 5ನೇ ಮತ್ತು 6ನೇ ಅಡ್ಡರಸ್ತೆ ಎಡಭಾಗ, ಗರುಡಾಚಾರ್‍ಪಾಳ್ಯ, ಬೆಂ. ಇವರಿಗೆ ತ್ರಿಚಕ್ರ ವಾಹನ ಖರೀದಿಗಾಗಿ.","KA Anil Kumar, No.1 / 181/2, 1st Main Road, 5th and 6th Crossroads Left, Garudacharpalya, b. For a three-wheel drive vehicle.",0.80
16,2013-14,15.0,"ಬೆಂ.ಪೂ.ತಾ, ಬಿದರಹಳ್ಳಿ ಹೋ, ತಿರುಮೇನಹಳ್ಳಿ ಗ್ರಾಮದಲ್ಲಿ ಡೈರಿ ಕಟ್ಟಡದ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ.","Bidar, Bidarahalli Ho, construction of a dairy building at Thirumanahalli village.",5.00
17,2013-14,16.0,"ಬೆಂ.ಪೂ.ತಾ, ಬಿದರಹ¼ಳ್ಳಿ ಹೋ, ತಿರುಮೇನಹಳ್ಳಿ ಗ್ರಾಮದಲ್ಲಿ ಶ್ರೀ ಶಕ್ತಿ ಸಮುದಾಯ ಭವನದ ಕಟ್ಟಡ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ.","Bidar, Bidarahulli Ho, Building Construction of Shri Shakti Community Bhavan at Thirumanahalli Village.",5.00
18,2013-14,17.0,ಮಹದೇವಪುರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಬರುವ ಅವಲಹಳ್ಲಿ ಗ್ರಾಮದಲ್ಲಿ ಬಸ್ ತಂಗುದಾಣ ನಿರ್ಮಾಣ. (2 ತಂಗುದಾಣ),Construction of a bus shelter at Aavalahli village near Mahadevapura assembly constituency. (2 shelter),4.00
19,2013-14,18.0,ಮಹದೇವಪುರ ವಿಧಾನಸಭಾ ಕ್ಷೇತ್ರದ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಬರುವ ಹಿರಂಡಹಳ್ಳಿ ಗ್ರಾಮದಲ್ಲಿ ಬಸ್ ತಂಗುದಾಣ ನಿರ್ಮಾಣ.,Construction of a bus shelter at Hirandahalli village under the Mahadevapura assembly constituency.,2.00
