Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013-14,1,ಸ.ಸ್ವ.ಪ.ಪೂ. ಕಾಲೇಜು ಅಗರ ಹೆಚ್.ಎಸ್.ಆರ್ ಬಡಾವಣೆ ಈ ಕಾಲೇಜಿನಲ್ಲಿ ವಿಜ್ಞಾನ ವಿಭಾಗದ ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಪ್ರಯೋಗದ ತರಗತಿಯನ್ನು ನಡೆಸಲು ತೊಂದರೆಯಾಗಿರುವ ಕಾರಣ ವಿದ್ಯಾರ್ಥಿಗಳ ಹಿತದೃಷ್ಠಿಯಿಂದ ಸುಸಜ್ಜಿತವಾದ ಪ್ರಯೋಗಾಲಯ ವ್ಯವಸ್ಥೆ ಮಾಡಿಕೊಳ್ಳಲು,SEP. College of HSSR Layout This college has students who are experiencing experimental classes for science fiction in order to have a well-equipped laboratory system,35.0
2,2013-14,2,ವೈದ್ಯಕೀಯ ಸಲಕರಣೆಗಳನ್ನು ಖರೀದಿಸಲು ಡಯಾಲಿಸಿಸ್ ಉಪಕರಣಗಳನ್ನು ಹಾಗೂ ಬಿ.ಪಿ. ಮತ್ತು ಶುಗರ್ ಪರೀಕ್ಷೆ ಮಾಡುವ ಉಪಕರಣಗಳನ್ನು ಖರೀದಿಸಲು ಅನುದಾನ ಬಿಡುಗಡೆ ಮಾಡುವ ಬಗ್ಗೆ,Dialysis equipment and BP for purchasing medical equipment And about granting the purchase of sugar test equipment,50.0
3,2013-14,3,"ಬಿಬಿಎಂಪಿ ಅರಕೆರೆ ವಾರ್ಡ್ ನಂ.193, ಮೈಕೊ ಬಡಾವಣೇಯಲ್ಲಿ ಪಾಳಿಕೆಯ ಸ್ಥಳದಲ್ಲಿ ಸಮುದಾಯ ಭವನದ ನಿರ್ಮಾಣಕ್ಕೆ","BBMP Arakere Ward No. 193, For Building Community Hall at Mykodu Bada Vanni",15.0
4,2013-14,4,ಬಿಬಿಎಂಪಿ ಅರಕೆರೆ ವಾರ್ಡ್ ನಂ.193 ಹುಳಿಮಾವು ಗುಟ್ಟೆಯಲ್ಲಿ ಶುದ್ಧ ನೀರಿನ ಘಟಕ ಪ್ರಾರಂಭಿಸಲು,BBMP Arakere ward No.193 to launch Pure Water Unit at Hulimau Sutton,15.0
5,2013-14,5,"ಬಿಬಿಎಂಪಿ ಹೊಂಗಸಂದ್ರ ವಾರ್ಡ್ ನಂ.189, ಹೊಂಗಸಂದ್ರ ಬಸ್ ನಿಲ್ದಾಣದ ಬಳಿ ಶುದ್ಧ ನೀರಿನ ಘಟಕ ಪ್ರಾರಂಭಿಸಲು","BBMP Hosasandra Ward No.189, to launch a clean water unit near the Hogsandra bus station",15.0
6,2013-14,6,ಬಿಬಿಎಂಪಿ ಅರಕೆರೆ ವಾರ್ಡ್ ನಂ.193 ನ್ಯಾಯಪ್ಪನಹಳ್ಳಿಯಲ್ಲಿ  ಶುದ್ಧ ನೀರಿನ ಘಟಕ ಪ್ರಾರಂಭಿಸಲು,BBMP Arakere ward No. 193 To start the Pure Water Unit in Jeyapanahalli,10.0
7,2013-14,7,ಹುಳಿಮಾವು ಗ್ರಾಮದ ಹುಳಿಮಾವು ಕೆರೆಯಲ್ಲಿ ಸುಮಾರು 20-25 ವರ್ಷಗಳಿಂದ ಶ್ರೀ ಮಡಿವಾಳ ಮಾಚಿದೇವರ ಕ್ಷೇಂಆಭಿವೃದ್ಧಿ ಸಂಘ (ರಿ) ರವರಿಗೆ ದೋಭಿಘಾಟ್ ನಿರ್ಮಿಸಿ ಕೊಡುವ ಹಾಗು ಕೊಳವೆ ಬಾವಿ ಕೊರೆಸುವ ಬಗ್ಗೆ,"About 20-25 years in the village of Hulimau village in Hulimau village, Mr. Magavi has been assigned to the Welfare Development Association (R) for the construction of Dobhighat and tube wells",10.0
8,2013-14,8,ಪುಟ್ಟೇನಹಳ್ಳಿ ಗ್ರಾಮದ ದೊರೆಸಾನಿಪಾಳ್ಯದ ಸ್ಮಶಾನದ ಕಾಂಪೌಂಡ್ ಮತ್ತು ಆರ್ಚ್ ಹಾಗೂ ಇತರೆ ದುರಸ್ತಿ ಕಾರ್ಯಕ್ಕೆ ಅನುದಾನ,Compound of the Cemetery Cemetery of Puttenahalli village and the Arch and other repair works,5.0
9,2013-14,9,ಜರಗನಹಳ್ಳಿ ವಾರ್ಡ್ ನಂ.186 ರಲ್ಲಿ ಶುದ್ಧ ಕುಡಿಯುವ ನೀರಿನ ಘಟಕ,Pure Drinking Water Unit in Jagaranahalli Ward No.186,15.0
10,2013-14,10,ಜರಗನಹಳ್ಳಿ ವಾರ್ಡ್ ನಂ.186 ರ ಸರ್ಕಾರಿ ಮೈದಾನದಲ್ಲಿ ಶುದ್ಧ ಕುಡಿಯುವ ನೀರಿನ ಘಟಕ,Pure Drinking Water Unit at Garganahalli Ward No.186 Government Ground,15.0
11,2013-14,11,ಸಮರ್ಥನಂ ಅಂಗವಿಕಲರ ಸಂಸ್ಥೆ ಹೆಚ್.ಎಸ್.ಆರ್ ಬಡಾವಣೆ ಇವರ ನೂತನ ಕಟ್ಟಡಕ್ಕೆ ಬಣ್ಣವನ್ನು ಲೇಪಿಸಲು(Building Paintings),The Sartanam Handicapped Organization HSR Layout has set up a new paintings for its new paintings (Building Paintings),6.0
12,2013-14,12,"ವಿಜಯ ಬ್ಯಾಂಕ್ ಬಡಾವಣೆಯಲ್ಲಿ, 13ನೇ ಮುಖ್ಯರಸ್ತೆ, 7ನೇ ಅಡ್ಡರಸ್ತೆಯಲ್ಲಿ ಬಿ.ಬಿ.ಎಂ.ಪಿ ವತಿಯಿಂದ ಪಾರ್ಕ್ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ.","Park Building is constructed by BMMP on the 7th crossing of 13th Main Road, Vijaya Bank Layout.",5.0
13,2013-14,13,"ಬಿಲ್ಲವ ಅಸೋಸಿಯೇಷನ್, ಬನ್ನೇರುಘಟ್ಟ ರಸ್ತೆ, ಹುಳಿಮಾವು ಇವರ ಸಮುದಾಯ ಭವನದಲ್ಲಿ ಎಲೆಕ್ಡ್ರಿಕಲ್ ಕಾಮಗಾರಿ.","Billawawa Association, Bannerghatta Road, Hulima are the electronic workshops at their community hall.",10.0
14,2013-14,14,"ಸಿಂಗಸಂದ್ರ ವಾರ್ಡ್‍ನ 1ನೇ ಮುಖ್ಯರಸ್ತೆ, ಚನ್ನಕೇಶವನಗರದಲ್ಲಿ ಅಂಗನವಾಡಿ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ.","The 1st Main Road of Singasandra Ward, Anganwadi construction work in Channakeshwana.",10.0
