Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2013-14,1,"ಆನೇಕಲ್ ತಾಲ್ಲೂಕು, ಆನೇಕಲ್ ಕಸಬಾ ಹೋಬಳಿ, ಮೆಣಸಿಗನ ಹಳ್ಳಿ ಗ್ರಾಮದಲ್ಲಿನ  ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಕಟ್ಟಡದ ಕಾಮಗಾರಿ","Anekal Taluk, Anekal Kasaba Hobli, Government Senior Primary School Building in Meenasigana Village Village",1.0
2,2013-14,2,"Laying Additional Pipeline from B.W. to S. Madiwala Village, Samandur G.P Anekal","Laying Additional Pipeline from B.W. to S. Madiwala Village, Samandur G.P Anekal",2.58
3,2013-14,3,"Laying Additional Pipeline from O.H.T. to Venkatesh House, at  Samandur G.P ","Laying Additional Pipeline from O.H.T. to Venkatesh House, at  Samandur G.P ",2.06
4,2013-14,4,Laying Additional Pipeline from BW to O.H.T at Samundar GP Anekal Taluk,Laying Additional Pipeline from BW to O.H.T at Samundar GP Anekal Taluk,3.05
5,2013-14,5,Laying Additional Pipeline from BW to Gandhinagara Village at Samundar GP Anekal Taluk,Laying Additional Pipeline from BW to Gandhinagara Village at Samundar GP Anekal Taluk,2.73
6,2013-14,6,"ಆನೇಕಲ್ ತಾಲ್ಲೂಕು, ಸರ್ಜಾಪುರ ಹೋಬಳಿ, ಮುಗಳೂರು ಗ್ರಾಮ ಪಂಚಾಯಿತಿ ಮುಗಳೂರು ಗ್ರಾಮದ ಕಾಲೋನಿಯಿಂದ ಸುರೇಶನ ಮನೆಯ ಮುಖಾಂತರ ವೆಂಕಟೇಶ್ ಮನೆಯವರೆಗೆ ಚರಂಡಿ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ","Anekal Taluk, Sarjapur Hobli, Mugurur Gram Panchayat sewage construction works from Colony of Mugalur village to Venkatesh's house through Suresh's house",4.3
7,2013-14,7,"ಆನೇಕಲ್ ತಾಲ್ಲೂಕು, ಅತ್ತಿಬೆಲೆ ಹೋಬಳಿ, ಮಾಯಸಂದ್ರ ಗ್ರಾಮ ಪಂಚಾಯಿತಿ ವ್ಯಾಪ್ತಿಯ ಆನೇಕಲ್ ಮುಖ್ಯರಸ್ತೆಯಲ್ಲಿ, ಹಾರೋಹಳ್ಳಿ ಗೇಟ್ ನಿಂದ  ಭಕ್ತಿಪುರ ಗಡಿಯವರೆಗೆ ರಸ್ತೆ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿ","Anekal Taluk, Attibele Hobli, Mayakandra Gram Panchayat at Anekal Mainstream, Road Development Work from Haroahalli Gate to Bhaktipura Border",3.5
8,2013-14,8,"ಆನೇಕಲ್ ತಾಲ್ಲೂಕು, ಸರ್ಜಾಪುರ ಹೋಬಳಿ ಕೂಗೂರು ಗ್ರಾಮ ಪಂಚಾಯಿತಿ ಕಟ್ಟಡದಿಂದ ಮುನಿರೆಡ್ಡಿ ಮನೆಯವರೆಗೆ ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ","Anekal taluk, concrete road construction work from Sarjapur Hobli Koguru Gram Panchayat building to Muniriddi house",8.0
9,2013-14,9,"ಎಸ್.ತಿಮ್ಮಸಂದ್ರ ಅತ್ತಿಬೆಲೆ ಹೋಬಳಿ, ಆನೇಕಲ್ ತಾಲ್ಲೂಕು ಹಾಲು ಉತ್ಪಾದಕರ ಮಹಿಳಾ ಸಹಕಾರ ಸಂಘದ ಕಟ್ಟಡ ನಿರ್ಮಾಣಕ್ಕೆ ಅನುದಾನ ಬಿಡುಗಡೆ  ಮಾಡುವ ಬಗ್ಗೆ","S. Dimasandra Attibele Hobli, Anekal Taluk Milk Producers Women Co-operative Society",0.5
10,2013-14,10,"ಬೆಂಗಳೂರು ನಗರ ಆನೇಕಲ್ ತಾಲ್ಲೂಕು ಸರ್ಜಾಪುರ ಹೋಬಳಿ, ಸರ್ದಾರ್ ವಲ್ಲಭಬಾಯಿ ಪಟೇಲ್ ವಿದ್ಯಾ ಸಂಸ್ಥೆಗೆ ಹೆಚ್ಚುವರಿ ಕೊಠಡಿ ನಿರ್ಮಾಣ ಕಾಮಗಾರಿ","Bangalore City Anekal Taluk Sarjapur Hobli, Sardar Vallabhbhai Patel Vidyapeeth Extra Room Construction Work",5.0
