Sl No.,Financial Year,Sl No,Work Name Original (Kannada/English),Work Name Rough Translation (English),Value (In Rs. Lakhs)
1,2014 -15,1.0,"Construction of Stage in Park, Anglo-Indian Colony, ward No.111, Shanthalanagar Ward, Shantinagar Assembly Constituency Stage-1","Construction of Stage in Park, Anglo-Indian Colony, ward No.111, Shanthalanagar Ward, Shantinagar Assembly Constituency Stage-1",10.0
2,2014 -15,2.0,"Construction of Stage in Park, Anglo-Indian Colony, ward No.111, Shanthalanagar Ward, Shantinagar Assembly Constituency Stage-2","Construction of Stage in Park, Anglo-Indian Colony, ward No.111, Shanthalanagar Ward, Shantinagar Assembly Constituency Stage-2",10.0
3,2014 -15,3.0,"Construction of Compound and Ornamental Grill in park, Anglo-Indian Colony, ward No.111, Shanthalanagar Ward, Shantinagar Assembly Constituency Stage-1","Construction of Compound and Ornamental Grill in park, Anglo-Indian Colony, ward No.111, Shanthalanagar Ward, Shantinagar Assembly Constituency Stage-1",10.0
4,2014 -15,4.0,"Construction of Compound and Ornamental Grill in park, Anglo-Indian Colony, ward No.111, Shanthalanagar Ward, Shantinagar Assembly Constituency Stage-2","Construction of Compound and Ornamental Grill in park, Anglo-Indian Colony, ward No.111, Shanthalanagar Ward, Shantinagar Assembly Constituency Stage-2",10.0
5,2014 -15,5.0,"Construction of Compound and Ornamental Grill in park, Anglo-Indian Colony, ward No.111, Shanthalanagar Ward, Shantinagar Assembly Constituency Stage-3","Construction of Compound and Ornamental Grill in park, Anglo-Indian Colony, ward No.111, Shanthalanagar Ward, Shantinagar Assembly Constituency Stage-3",10.0
6,2014 -15,6.0,"Providing tiles in park, Anglo-Indian Colony, ward No.111, Shanthalanagar Ward, Shantinagar Assembly Constituency Stage-1","Providing tiles in park, Anglo-Indian Colony, ward No.111, Shanthalanagar Ward, Shantinagar Assembly Constituency Stage-1",10.0
7,2014 -15,7.0,"Providing tiles in park, Anglo-Indian Colony, ward No.111, Shanthalanagar Ward, Shantinagar Assembly Constituency Stage-2","Providing tiles in park, Anglo-Indian Colony, ward No.111, Shanthalanagar Ward, Shantinagar Assembly Constituency Stage-2",10.0
8,2014 -15,8.0,"Purchase of 150 Hocket Sticks and Hockey balls. Purchase of 6 No's Goalee Kits and other equipment AIAIA kavitha Residency, Banaswadi Road, Near Indian Oil Flyover, Bangalore","Purchase of 150 Hocket Sticks and Hockey balls. Purchase of 6 No's Goalee Kits and other equipment AIAIA kavitha Residency, Banaswadi Road, Near Indian Oil Flyover, Bangalore",1.5
9,2014 -15,9.0,"Construction of sloping staircase with disability access Asha Niketan  CA 7, 80 Feet Road, 20th Main, 6th Block, Koramangala, Bangalore","Construction of sloping staircase with disability access Asha Niketan  CA 7, 80 Feet Road, 20th Main, 6th Block, Koramangala, Bangalore",10.0
10,2014 -15,10.0,Infractural development Automation of the Administrative office and Library St.Aloysius Degree College Cox town Bangalore,Infractural development Automation of the Administrative office and Library St.Aloysius Degree College Cox town Bangalore,7.5
11,2014 -15,11.0,"Construction of open air covered shelter alond with stage and Green Rooms William Richards School Oorgaum. K G F, Kolar District","Construction of open air covered shelter alond with stage and Green Rooms William Richards School Oorgaum. K G F, Kolar District",20.0
12,2014 -15,12.0,"Excavation for roadway in soil, construction of embankment, Providing and laying stone aggregates and macadam (Tar) finishing, main road into Mariyammana halli, Hospet taluk, Bellary District","Excavation for roadway in soil, construction of embankment, Providing and laying stone aggregates and macadam (Tar) finishing, main road into Mariyammana halli, Hospet taluk, Bellary District",9.0
13,2014 -15,13.0,"Drinking water pipeline connection from main road to the school building Laharry Primary School , MM Halli, Hospet Taluk Bellary","Drinking water pipeline connection from main road to the school building Laharry Primary School , MM Halli, Hospet Taluk Bellary",0.3
14,2014 -15,14.0,"Two Desktop Computers with all hardware, Software and one printer Laharry Primary School, MM Halli, Hospet taluk, Bellary District","Two Desktop Computers with all hardware, Software and one printer Laharry Primary School, MM Halli, Hospet taluk, Bellary District",0.7
15,2014 -15,15.0,"Development of Park at Milton Street Sarvagnanagar, Bangalore","Development of Park at Milton Street Sarvagnanagar, Bangalore",
16,2014 -15,,1) Foundation work for Gazebo,1) Foundation work for Gazebo,2.5
17,2014 -15,,2) Construction of Gazebo,2) Construction of Gazebo,2.5
18,2014 -15,,3) Construction of Gazebo Phase-2,3) Construction of Gazebo Phase-2,2.5
19,2014 -15,,4) Development work painting and providing  Benches and other Beautification,4) Development work painting and providing  Benches and other Beautification,2.5
20,2014 -15,16.0,Providing cement concrete road leading to guddahatti village nerlur grama panchayat Anekal Taluk Stage-4,Providing cement concrete road leading to guddahatti village nerlur grama panchayat Anekal Taluk Stage-4,5.0
21,2014 -15,17.0,Providing cement concrete road leading to guddahatti village nerlur grama panchayat Anekal Taluk Stage-5,Providing cement concrete road leading to guddahatti village nerlur grama panchayat Anekal Taluk Stage-5,5.0
22,2014 -15,18.0,Providing cement concrete road leading to guddahatti village nerlur grama panchayat Anekal Taluk Stage-6,Providing cement concrete road leading to guddahatti village nerlur grama panchayat Anekal Taluk Stage-6,5.0
23,2014 -15,19.0,Providing cement concrete road leading to guddahatti village nerlur grama panchayat Anekal Taluk Stage-7,Providing cement concrete road leading to guddahatti village nerlur grama panchayat Anekal Taluk Stage-7,5.0
24,2014 -15,20.0,Providing cement concrete road leading to guddahatti village nerlur grama panchayat Anekal Taluk Stage-8,Providing cement concrete road leading to guddahatti village nerlur grama panchayat Anekal Taluk Stage-8,5.0
25,2014 -15,21.0,Improvements roads and drain 1st main road 1st cross Gospel Street ward No.60 Sagaya puram Bangalore,Improvements roads and drain 1st main road 1st cross Gospel Street ward No.60 Sagaya puram Bangalore,0.0
26,2014 -15,22.0,"Improvements roads and drain 1st main road 2nd, 3rd, & 4th  cross Gospel Street ward No.60 Sagaya puram Bangalore","Improvements roads and drain 1st main road 2nd, 3rd, & 4th  cross Gospel Street ward No.60 Sagaya puram Bangalore",0.0
27,2014 -15,23.0,"Construction and Renovation of school building library principals room activity areas badminton court etc. at Governmnet Kannada Model Promary School Sarvajnanagar, Bangalore","Construction and Renovation of school building library principals room activity areas badminton court etc. at Governmnet Kannada Model Promary School Sarvajnanagar, Bangalore",0.0
28,2014 -15,24.0,Development of childrens park at High Street Sarvajnanagara Bangalore,Development of childrens park at High Street Sarvajnanagara Bangalore,
29,2014 -15,,1) Foundation work for Gazebo,1) Foundation work for Gazebo,2.5
30,2014 -15,,2) Construction of Gazebo,2) Construction of Gazebo,2.5
31,2014 -15,,3) Construction of Gazebo Phase-2,3) Construction of Gazebo Phase-2,2.5
32,2014 -15,,4) Development work Painting and providing benches and other beautification works,4) Development work Painting and providing benches and other beautification works,2.5
33,2014 -15,25.0,Development works at william Richard school champion Reef Marikuppam village Bangarpet Taluk Kolar District,Development works at william Richard school champion Reef Marikuppam village Bangarpet Taluk Kolar District,
34,2014 -15,,1) Foundation works for open air covered shelter,1) Foundation works for open air covered shelter,5.0
35,2014 -15,,2) Construction of stage in covered shelter,2) Construction of stage in covered shelter,5.0
36,2014 -15,,3) Providing Truss work Phase-1,3) Providing Truss work Phase-1,5.0
37,2014 -15,,4) Providing Truss work Phase-2,4) Providing Truss work Phase-2,5.0
38,2014 -15,,5) Construction of Green Room and Toilet Block,5) Construction of Green Room and Toilet Block,5.0
39,2014 -15,,6) Providing Flooring for Shelter,6) Providing Flooring for Shelter,5.0
40,2014 -15,26.0,"Completion of balance works for construciton of Open air Covered shelter along with stage and Green room with toilet William Richards School, Oorgaum KGF Kolar District","Completion of balance works for construciton of Open air Covered shelter along with stage and Green room with toilet William Richards School, Oorgaum KGF Kolar District",10.0
41,2014 -15,27.0,"Development works at Sacred Heart school Oorgaum manikuppam Village, Bangarpet Taluk Kolar District","Development works at Sacred Heart school Oorgaum manikuppam Village, Bangarpet Taluk Kolar District",
42,2014 -15,,1) Construction of Compound wall in front of school building,1) Construction of Compound wall in front of school building,2.5
43,2014 -15,,2) Construction of Compound wall on both sides of school building,2) Construction of Compound wall on both sides of school building,2.5
44,2014 -15,,3) Providing Ornamental gate and flooring,3) Providing Ornamental gate and flooring,2.5
45,2014 -15,28.0,"Purchase of 3 Wheeler bike for Mrs.Linnet Peter, No.23 Austin Town, Block No.3, D & F Anglo Indian Quarters Bangalore, Purchase of 3 Wheeler bike foe Mrs.Charmaine Corrie, 346, 7th Cross, Lingarajapuram Bangalore-560084, Purchase of Modified two Wheeler bike Mr. Gregory Lazaro No.33, Krishnappa Building, Ejipura, Vivekanagara, Bangalore","Purchase of 3 Wheeler bike for Mrs.Linnet Peter, No.23 Austin Town, Block No.3, D & F Anglo Indian Quarters Bangalore, Purchase of 3 Wheeler bike foe Mrs.Charmaine Corrie, 346, 7th Cross, Lingarajapuram Bangalore-560084, Purchase of Modified two Wheeler bike Mr. Gregory Lazaro No.33, Krishnappa Building, Ejipura, Vivekanagara, Bangalore",2.6
46,2014 -15,29.0,"Purchase of a Mini -Ambulance and Medical equipment for the Bangalore Friend in need society colonel Hill Road, Bangalore","Purchase of a Mini -Ambulance and Medical equipment for the Bangalore Friend in need society colonel Hill Road, Bangalore",
47,2014 -15,,1) Purchase of Mini Ambulance,1) Purchase of Mini Ambulance,4.0
48,2014 -15,,"2) Purchase of medical equipment like ECG Monitor, BP Monitor, Oximeter, Oxygen concentrarors, Section apparatus and Nebuliser","2) Purchase of medical equipment like ECG Monitor, BP Monitor, Oximeter, Oxygen concentrarors, Section apparatus and Nebuliser",1.5
49,2014 -15,,3) Two wheel Chairs,3) Two wheel Chairs,0.5
