"word","freq"
"assembly constituency",24
"krp assembly",19
"construction work",10
"ward krp",10
"ward ward",8
"constituency ward",7
"kr puram",7
"improvement asphalting",5
"community hall",4
"compound wall",4
"drinking water",4
"krp ward",4
"main road",4
"road ward",4
"horamavu ward",3
"hospital hospital",3
"improvements roads",3
"krpuram assembly",3
"layout main",3
"layout ward",3
"puram assembly",3
"puram bangalore",3
"roads drains",3
"side kr",3
"swamy temple",3
"veterinary hospital",3
"village ward",3
"asphalting vinayaka",2
"basavanapura ward",2
"building construction",2
"chanasandra village",2
"community building",2
"constituency krpuram",2
"construction compound",2
"cross roads",2
"development work",2
"female shakti",2
"front side",2
"geddalahalli horamavu",2
"govt higher",2
"hospital building",2
"k chanasandra",2
"k narayana",2
"kote venkateshwara",2
"krpuram ward",2
"main roads",2
"nagareshwar nageanahalli",2
"newly built",2
"road cross",2
"roads crossroads",2
"roads geddalahalli",2
"school govt",2
"shakti bhawan",2
"street lights",2
"temple front",2
"venkateshwara temple",2
"vinayaka layout",2
"ward horamavu",2
"ward k",2
"ward krpuram",2
"ward phase",2
"work public",2
"abbayya reddy",1
"ac ad",1
"ad cross",1
"adopt necessary",1
"airlifted poor",1
"allow water",1
"ambedkar city",1
"amenity center",1
"ananda house",1
"anganwadi building",1
"annasandra palya",1
"apartment road",1
"area street",1
"ashram krp",1
"asphalting mvnagar",1
"asphalting nandhanam",1
"asphalting pnt",1
"assembly ward",1
"association re",1
"aswa katte",1
"auditorium compound",1
"ayyappa swamy",1
"bangalore community",1
"basketball court",1
"behind kodandarama",1
"ben sathya",1
"bhattarahalli village",1
"bhavani colony",1
"bhawan building",1
"bhawan construction",1
"big lake",1
"block kowdenahalli",1
"building bhattarahalli",1
"building building",1
"building community",1
"building female",1
"building ground",1
"building kr",1
"building krp",1
"building nagareshwar",1
"building newly",1
"building present",1
"building ramanurthinagar",1
"building toilet",1
"build roads",1
"build three",1
"built krp",1
"built veterinary",1
"bus construction",1
"bus stand",1
"cc road",1
"cc roads",1
"cement concrete",1
"center old",1
"center st",1
"centre ward",1
"challakere ward",1
"charitable trust",1
"city near",1
"collapsible gate",1
"college building",1
"college krpurva",1
"college premises",1
"colony ramamurthinagar",1
"coming krp",1
"complete works",1
"compound concrete",1
"computer equipment",1
"concrete floor",1
"concrete road",1
"concrete roads",1
"conduct link",1
"constituency community",1
"constituency drinking",1
"constituency kairali",1
"constituency krp",1
"constituency located",1
"constituency open",1
"constituency ramakrutinagar",1
"constituency rammurthi",1
"constituencyreplacement work",1
"constituency urgently",1
"construct auditorium",1
"constructed build",1
"construction aswa",1
"construction basketball",1
"construction cc",1
"construction charitable",1
"construction collapsible",1
"construction community",1
"construction drainage",1
"construction emergency",1
"construction public",1
"construction site",1
"construction st",1
"construction toilets",1
"convenience students",1
"court challakere",1
"crossing st",1
"cross masjid",1
"cross road",1
"crossroads jayanthi",1
"crossroads kr",1
"crossroads vadarapalya",1
"cross sree",1
"cross ward",1
"dairy building",1
"dattayogi narayana",1
"defense enclave",1
"development muslama",1
"development park",1
"development public",1
"development sangh",1
"development works",1
"division ward",1
"doors matting",1
"drainage construction",1
"drain behind",1
"drains ananda",1
"drains cross",1
"drains janakiramlayout",1
"due lack",1
"east side",1
"emergency works",1
"employment training",1
"enclave range",1
"equipment multipurpose",1
"equipment provide",1
"events community",1
"existing library",1
"facilitate patients",1
"first crossroads",1
"first floor",1
"first grade",1
"first phase",1
"five rooms",1
"floor conduct",1
"floor construction",1
"floor existing",1
"floor first",1
"floor gate",1
"free education",1
"free purchase",1
"furnished residency",1
"gacility improvement",1
"gate construction",1
"gate kote",1
"gate window",1
"get shelter",1
"government first",1
"government graduate",1
"government high",1
"govt college",1
"grade college",1
"graduate college",1
"ground floor",1
"ground govt",1
"gym equipment",1
"hall building",1
"hall construction",1
"hall near",1
"hall repair",1
"hals annasandra",1
"handicapped welfare",1
"headquarters k",1
"headquarters sewage",1
"higher primary",1
"higher school",1
"high school",1
"horizon works",1
"hospital coming",1
"hospital krp",1
"house road",1
"housing building",1
"improvement play",1
"improvements cc",1
"india physically",1
"infrastructure gym",1
"inspection chambers",1
"installed street",1
"institute free",1
"interest singyeanapalya",1
"janakiramlayout ben",1
"jan rcc",1
