"word","freq"
"bangalore metropolitan",55
"corporation ward",42
"water unit",42
"drinking water",41
"metropolitan corporation",41
"clean drinking",39
"bus shelter",33
"construction work",29
"construction bus",28
"apara taluk",25
"bangalore apara",25
"bus stand",25
"shelter near",25
"great bangalore",23
"assembly constituency",19
"appliance clean",18
"construction appliance",16
"equipments works",15
"gym equipments",15
"outdoor gym",15
"providing outdoor",15
"greater bangalore",14
"bangalore taluk",12
"park ward",12
"taluk web",11
"web hobli",10
"bangalore block",9
"battarayanapura assembly",9
"block taluk",9
"village bangalore",9
"jakkur junction",8
"stand area",8
"stand bangalore",7
"taluk battarayanapura",7
"taluk great",7
"apar taluk",6
"bangalore apar",6
"bulk bangalore",6
"bus station",6
"district greater",6
"metropolitan area",6
"taluk construction",6
"taluk network",6
"area ward",5
"constituency bangalore",5
"junction great",5
"kuvempunagar district",5
"side bus",5
"ward development",5
"area construction",4
"battarayanpur assembly",4
"block park",4
"huge bangalore",4
"junction bulk",4
"junction greater",4
"metropolitan panchayat",4
"municipal corporation",4
"network hobbies",4
"panchayat ward",4
"right side",4
"village battaramayanur",4
"ward jakkur",4
"aparara taluk",3
"bangalore aparara",3
"battaramayanur assembly",3
"construction clean",3
"gram panchayat",3
"layout park",3
"left side",3
"main road",3
"palya bus",3
"saab palya",3
"stand construction",3
"taluk battarayanpur",3
"unit vidyanagar",3
"amrithahalli bangalore",2
"bank layout",2
"battaramanpur junction",2
"batteryanpur assembly",2
"batteryanpur junction",2
"budan saab",2
"bus parking",2
"bus recovery",2
"bus recreation",2
"bus restoration",2
"bus stop",2
"canara bank",2
"cleaner drinking",2
"concrete roads",2
"construction kuvempunagar",2
"construction raghavendra",2
"cross bus",2
"development construction",2
"godrej apartment",2
"hosahalli bus",2
"hosahalli village",2
"kodigehahalli great",2
"kuvempunagar bangalore",2
"layout jakkur",2
"main roads",2
"metropolitan municipal",2
"nagar park",2
"near batteryanpur",2
"near dasarahalli",2
"net hobli",2
"palya village",2
"park near",2
"range great",2
"recreation area",2
"restoration work",2
"ring road",2
"sandalwood village",2
"shelter agrahara",2
"shelter bangalore",2
"stage bus",2
"station kuvempunagar",2
"stop construction",2
"st stage",2
"taluk bangalore",2
"taluk net",2
"temple ward",2
"unit construction",2
"unit sandalwood",2
"vidyanagar cross",2
"village battarayanpur",2
"ward battarayanapura",2
"work bangalore",2
"works bel",2
"works hmt",2
"agrahara layout",1
"agrahara telecom",1
"akayyammana betta",1
"amrithahalli battaramanpur",1
"amritsar jnc",1
"anjaneyaswamy temple",1
"anjaneya temple",1
"apartment bus",1
"apartment near",1
"area ​​bangalore",1
"area ​​batteryanpur",1
"area ​​great",1
"area ​​jakkur",1
"area stage",1
"area ​​thanassindra",1
"area ​​web",1
"ashwat nagar",1
"bagalkur cross",1
"bagulur bus",1
"bande village",1
"bandikodigahalli bus",1
"​​bangalore apara",1
"bangalore bangalore",1
"bangalore constituency",1
"bangalore great",1
"bangalore maintenance",1
"bangalore municipal",1
"bangalore north",1
"bannerghanapura main",1
"basavalingappa urban",1
"battaraayanapura assembly",1
"battaramanpur bulk",1
"battaramanpur great",1
"battaramanpur wardha",1
"battaramayanur constituency",1
"battarayanapura junction",1
"battarayanpur constituency",1
"batteryanpur coffeur",1
"batteryanpur great",1
"​​batteryanpur junction",1
"bbmp office",1
"bb nagar",1
"begurur clean",1
"bel block",1
"bellamaranahalli bus",1
"bel st",1
"betta bus",1
"betta hallasur",1
"bhadipa layout",1
"bharathi nagar",1
"bharatinagar bus",1
"bharatinagar village",1
"bhubaneswari park",1
"bhuvaneshwari nagar",1
"big bangalore",1
"billamaranahalliconstruction appliance",1
"binnahalli village",1
"biyyappanahalli bus",1
"bk palya",1
"block bus",1
"bowivalya village",1
"bsf cross",1
"building construction",1
"building near",1
"building thanissandra",1
"building works",1
"build library",1
"business registration",1
"bus sanctuary",1
"bus terminus",1
"bus workshop",1
"chagalelet bus",1
"chanahalli village",1
"chokanahalliconstruction appliance",1
"chokkasandra village",1
"circle batteryanpur",1
"circle kuvempunagar",1
"circle left",1
"circle right",1
"circle thanissanthra",1
"citizen library",1
"city kodigehahalli",1
"city park",1
"coffeur layout",1
"college junction",1
"colony bus",1
"coming tharukukku",1
"concrete road",1
"constituency battarayanapura",1
"constituency phasekunte",1
"construction bellamaranahalli",1
"construction bharatinagar",1
"construction dwarakanagar",1
"construction godrej",1
"construction k",1
"construction kodigehalli",1
"construction machinery",1
"construction manchappanahalli",1
"construction rh",1
"construction workshop",1
"construction workshops",1
"construction yashodhakara",1
"cqal layout",1
"cross amrithahalli",1
"cross jakkur",1
"cross right",1
"cross village",1
"dakshat samithi",1
"dasanayakanahalli clean",1
"dasanayakanahalli village",1
"dasarahalli kempe",1
"dasarahalli thanassindra",1
"devayya ranges",1
"development basavalingappa",1
"development concrete",1
"development development",1
"development kodigehalli",1
"development kuvempunagar",1
"development main",1
"development st",1
"development uas",1
"development urbanization",1
"development work",1
"devi temple",1
"doddabammasandra lake",1
"drainage construction",1
"dwarakanagar bus",1
"element mall",1
"fishcante gram",1
"fishermen new",1
"fishkunte gram",1
"force ms",1
"gaddenahalli bus",1
"gangamgudi circle",1
"ganganagar village",1
"gopalpur village",1
"gowda circle",1
"grama niladhari",1
"​​great bangalore",1
"hallasur anjaneyaswamy",1
"haul fishermen",1
"haul sandalwood",1
"hmt block",1
"hmt nd",1
"hobli mahadeva",1
"hoblis huvinayakanahalli",1
"hobli tharbanahalli",1
"horticultural bus",1
"hosur gram",1
"hunasamaranahalli range",1
"hunasamaranahalli village",1
"hutanahalli akayyammana",1
"huvinayakanahalli bus",1
"implementation construction",1
"implementing machine",1
"improvement urbanization",1
"install machine",1
"jagkur junction",1
"jakkur district",1
"jakkur left",1
"jakkur plantation",1
"​​jakkur range",1
"jakkur range",1
"jnc circle",1
"junction huge",1
"junction jakkur",1
"junction main",1
"junction right",1
"junction wi",1
"kadararappanahalli village",1
"kashivishwanatha layout",1
"kattigeanahalli bus",1
"kempe gowda",1
"k narayanapura",1
"kodalahatti grama",1
"kodigehahalli bus",1
"kodigehahalli huge",1
"kodigehahalli stretch",1
"kodigehalli bus",1
"kodigehalli tindulu",1
"kodigehalli village",1
"kodugalahatti village",1
"kozhikode bus",1
"kuvempunagar development",1
"kuvempunagar kuvempunagar",1
"kuvempunagar nd",1
"kuvempunagar st",1
"kuvempunagar ward",1
"lake park",1
"large bangalore",1
"layout bus",1
"layout crossroads",1
"layout kodigehahalli",1
"layout vidaranyapura",1
"layout ward",1
"left block",1
"library bangalore",1
"library building",1
"lottageallahalli ring",1
"machine chanahalli",1
"machine clean",1
"machinery budan",1
"machinery clean",1
"machine wash",1
"mahadeva kodigehahalli",1
"mahadeva kodigehalli",1
"mahadevodigehahalli village",1
"mahila dakshat",1
"maintenance policy",1
"mall jakkur",1
"mananchappanahalli village",1
"manchappanahalli bus",1
"manjappa hosahalli",1
"manjuna tent",1
"mareanahalli bande",1
"maruti city",1
"massive bangalore",1
"ma vidaranyanapura",1
"meesaganahalli bus",1
"metropolitan reserve",1
"metropolitan task",1
"m hosahalli",1
"mileahalli bus",1
"ms palya",1
"msramaiah city",1
"msspalya right",1
"muthakahalli village",1
"muthakkahalli bus",1
"muttukahalli village",1
"mutt vallabhamasandra",1
"mylanahalli village",1
"nagar battaramanpur",1
"nagar maruti",1
"nagar village",1
"nagarwada development",1
"nagar waknur",1
"narayanappa main",1
"narayanapura cross",1
"narayanapura village",1
"narayanpur village",1
"navinagar battaramanpur",1
"n battarayanapura",1
"nd block",1
"nd stage",1
"near amrithahalli",1
"near amritsar",1
"near anjaneya",1
"near ashwat",1
"near bb",1
"near bhubaneswari",1
"near bsf",1
"near canara",1
"near cross",1
"near element",1
"near godrej",1
"near jakkur",1
"near lottageallahalli",1
"near mahila",1
"near navinagar",1
"near ramchandrapur",1
"near rewa",1
"near ring",1
"near road",1
"near sanjeevininagar",1
"near shanimahatma",1
"near shobhasati",1
"near singapore",1
"near svs",1
"near varadarajanagar",1
"near vidyasagar",1
"near yogesh",1
"nellakunte village",1
"network haul",1
"network hobli",1
"new bus",1
"niladhari bangalore",1
"nti layout",1
"office building",1
"palya left",1
"panchayat bangalore",1
"panchayat premises",1
"panchayat water",1
"parking area",1
"parking center",1
"park park",1
"park thanassindra",1
"phasekunte hosur",1
"pillakamnagar bus",1
"plantation battaramanpur",1
"policy ward",1
"project kuvempunagar",1
"raghavendra ma",1
"raghavendra mutt",1
"railway station",1
"ramachandrapura park",1
"ramchandrapur manjuna",1
"range bangalore",1
"range building",1
"range bulk",1
"ranges hunasamaranahalli",1
"range tindu",1
"rashik sabb",1
"razak saab",1
"reach fishcante",1
"recovery project",1
"recovery works",1
"registration warner",1
"reserve ward",1
"rewa college",1
"rh devayya",1
"road bangalore",1
"road bhadipa",1
"road bus",1
"road circle",1
"road development",1
"road drainage",1
"road improvement",1
"road kodigehahalli",1
"road kodigehalli",1
"road masjid",1
"roads concrete",1
"roads development",1
"roads sanjeevini",1
"road vidaranyapurapura",1
"sabb palya",1
"sahakarnagar park",1
"samithi nagar",1
"sanctuary great",1
"sandalwood bus",1
"sanjeevininagar bangalore",1
"sanjeevini road",1
"sannappanahalli bus",1
"santhur colony",1
"santhur village",1
"sathanur village",1
"school jakkur",1
"shakti nagar",1
"shanbhoga narayanappa",1
"shanimahatma temple",1
"shelter jagkur",1
"shelter kodigehahalli",1
"shelter web",1
"shelter work",1
"shettarere village",1
"shobhasati railway",1
"side amrithahalli",1
"side cross",1
"singapore kuvempunagar",1
"srimadurumma devi",1
"stage battaramanpur",1
"stage roads",1
"stand building",1
"stand gangamgudi",1
"stand jakkur",1
"stand left",1
"station bangalore",1
"station parking",1
"station thanassindra",1
"st block",1
"stretch huge",1
"svs school",1
"taluk bagulur",1
"taluk batteryanpur",1
"taluk biyyappanahalli",1
"taluk greater",1
"taluk hutanahalli",1
"taluk mileahalli",1
"taluk nagarwada",1
"taluk panchayat",1
"task force",1
"tatanagar park",1
"telecom layout",1
"temple bangalore",1
"tent kuvempunagar",1
"terminus construction",1
"thanassindra area",1
"thanassindra ward",1
"​​thanassindra wards",1
"thanassindra wards",1
"thanisindra junction",1
"thanissandra bus",1
"thanissandra range",1
"thanissanthra range",1
"tharbanahalli bus",1
"tharukukku fishkunte",1
"thimmasandra bus",1
"thindlu village",1
"tindu circle",1
"tindulu road",1
"traunhunce village",1
"uas layout",1
"unit bangalore",1
"unit betta",1
"unit bharathi",1
"unit bharatinagar",1
"unit binnahalli",1
"unit bowivalya",1
"unit chokkasandra",1
"unit dasanayakanahalli",1
"unit ganganagar",1
"unit gopalpur",1
"unit hosahalli",1
"unit hunasamaranahalli",1
"unit kadararappanahalli",1
"unit kodalahatti",1
"unit kodugalahatti",1
"unit machinery",1
"unit mahadeva",1
"unit mahadevodigehahalli",1
"unit mananchappanahalli",1
"unit manjappa",1
"unit mareanahalli",1
"unit muthakahalli",1
"unit muttukahalli",1
"unit mylanahalli",1
"unit narayanapura",1
"unit narayanpur",1
"unit nellakunte",1
"unit razak",1
"unit santhur",1
"unit sathanur",1
"unit shakti",1
"unit shettarere",1
"unit traunhunce",1
"unit uthanahalli",1
"unit village",1
"urban development",1
"urbanization bangalore",1
"urbanization jakkur",1
"uthanahalli village",1
"vallabhamasandra range",1
"varadarajanagar kuvempunagar",1
"vidaranyanapura range",1
"vidaranyapura junction",1
"vidaranyapurapura large",1
"vidaranyapurapura vidyaranyapura",1
"vidaranyapura range",1
"vidaranyapurur road",1
"vidyaranyapura main",1
"vidyaranyapura municipal",1
"vidyasagar jakkur",1
"village battaraayanapura",1
"village battarayanapura",1
"village coming",1
"village near",1
"village reach",1
"viranpalala business",1
"waknur junction",1
"ward bangalore",1
"ward bannerghanapura",1
"ward batteryanpur",1
"ward citizen",1
"wardha bangalore",1
"ward n",1
"wards big",1
"wards great",1
"ward shanbhoga",1
"ward vidaranyapura",1
"ward vidaranyapurur",1
"warner bangalore",1
"wash machine",1
"web haul",1
"​​web hobbies",1
"web hoblis",1
"wi huge",1
"work bagalkur",1
"work bandikodigahalli",1
"work bk",1
"work budan",1
"work bus",1
"work chagalelet",1
"work gaddenahalli",1
"work horticultural",1
"work hosahalli",1
"work kattigeanahalli",1
"work kozhikode",1
"work meesaganahalli",1
"work near",1
"work pillakamnagar",1
"work rashik",1
"work sannappanahalli",1
"work santhur",1
"works bangalore",1
"works bhuvaneshwari",1
"works canara",1
"works cqal",1
"works doddabammasandra",1
"workshop batteryanpur",1
"workshop construction",1
"workshops vidaranyapurapura",1
"works kashivishwanatha",1
"works kuvempunagar",1
"works msramaiah",1
"works nti",1
"works ramachandrapura",1
"works sahakarnagar",1
"works tatanagar",1
"works thindlu",1
"work temple",1
"work thanisindra",1
"work thimmasandra",1
"yashodhakara bus",1
"yogesh nagar",1
