"word","freq"
"bangalore taluk",122
"gram panchayat",84
"taluk yeshwantpur",82
"yeshwantpur hobli",82
"concrete road",47
"hobli chikkabanavara",43
"road development",42
"development work",39
"main road",38
"chikkabanavara gram",36
"cement concrete",34
"road construction",31
"construction work",30
"yeshwanthpur hobli",29
"dasarahalli assembly",24
"taluk yeshwanthpur",24
"chain m",23
"dasarahalli v",19
"grama panchayat",19
"v s",19
"chikkabanavara village",18
"assembly constituency",15
"ward ward",15
"block drainage",13
"cross road",13
"panchayat road",13
"solid block",13
"somashetti halli",12
"someshettihalli gram",12
"hobli someshettihalli",11
"acharya college",10
"bangalore city",10
"m m",10
"pump motor",10
"road works",10
"st cross",10
"work chain",10
"assembly ward",9
"drainage jelly",9
"house solid",9
"panchayat range",9
"pipe line",9
"water unit",9
"yashwantpur hobli",9
"city dasarahalli",8
"constituency ward",8
"cross cross",8
"drinking water",8
"front road",8
"house road",8
"mori construction",8
"nagar st",8
"panchayat ganapatinagar",8
"brothers colony",7
"chikkabanavara grama",7
"halli gram",7
"hobli somashetti",7
"left side",7
"motor pipe",7
"road improvement",7
"sewage construction",7
"somashettihalli gram",7
"beauty hotel",6
"clean drinking",6
"cross beauty",6
"dwarka nagar",6
"henganahalli ward",6
"hobli somashettihalli",6
"house chikkabanavara",6
"improvement work",6
"panchayat acharya",6
"rd main",6
"road chain",6
"s cement",6
"taluk yashwantpur",6
"tube well",6
"village bangalore",6
"ward chokasandra",6
"work road",6
"acharya colbhaj",5
"banavara gram",5
"bin shri",5
"bt yeshwanthpur",5
"chokasandra vidyana",5
"college road",5
"drainage road",5
"ganapati nagar",5
"hobli cement",5
"hobli small",5
"hotel dasarahalli",5
"house cross",5
"house front",5
"m acharya",5
"panchayat ganapati",5
"panchayat somashetti",5
"road road",5
"shettyahalli ward",5
"s implementation",5
"small banavara",5
"vidyana nagar",5
"village panchayat",5
"ward henganahalli",5
"works chain",5
"bitchwave works",4
"chikkanavara grama",4
"chokasandra main",4
"colbhaj headquarters",4
"colony main",4
"cross chokkasandra",4
"drainage rcc",4
"ganapatinagar thanehenahalli",4
"halli village",4
"henganahalli bangalore",4
"henganahalli maruti",4
"hobli chikkanavara",4
"home road",4
"house cement",4
"jelly bitchwave",4
"main street",4
"post bangalore",4
"rcc road",4
"rd cross",4
"rear road",4
"right side",4
"road acharya",4
"road cement",4
"road ganapatinagar",4
"road mori",4
"side rear",4
"thanehenahalli road",4
"unit construction",4
"village chikkabanavara",4
"ward sewage",4
"well pump",4
"acharya callizu",3
"anjanadri layout",3
"bangalore urban",3
"bin sri",3
"bitching works",3
"bitchwagen works",3
"building construction",3
"building drainage",3
"callizu road",3
"chikkanawarnara gram",3
"chokasandra cross",3
"chokasandra vidya",3
"chokkasandra ward",3
"college headquarters",3
"colony road",3
"construction chain",3
"construction works",3
"cystic building",3
"development works",3
"drainage work",3
"field range",3
"field ward",3
"ganapatinagar kallan",3
"ganesha temple",3
"hobli bangalore",3
"hobli chikkanawarnara",3
"hobli road",3
"honni road",3
"implementation pump",3
"jelly bitching",3
"jelly bitchwagen",3
"join honni",3
"junction chikkabanavara",3
"kallan kunti",3
"keregudadahalli village",3
"kunti road",3
"layout main",3
"layout road",3
"line tube",3
"maruti city",3
"metalling work",3
"m front",3
"panchayat anjanadri",3
"panchayat junction",3
"panchayat rd",3
"pipe well",3
"prasads house",3
"raghavendra colony",3
"raghavendra temple",3
"range ganapatinagar",3
"rcc mori",3
"road henganahalli",3
"road join",3
"road left",3
"road metalling",3
"road thaneahalli",3
"road work",3
"sadguru layout",3
"shankar house",3
"side drainage",3
"srinivas house",3
"temple road",3
"thaneahalli road",3
"vidya nagar",3
"village cystic",3
"village grama",3
"ward cross",3
"ward dasarahalli",3
"ward st",3
"water supply",3
"work bangalore",3
"work m",3
"work village",3
"abbeygere nature",2
"abbigere suraj",2
"back road",2
"bangalore road",2
"banyan tree",2
"bo sides",2
"bs shankar",2
"bus station",2
"bv ratnams",2
"chand pashas",2
"chinnabanavara village",2
"chokasandra ward",2
"city crossing",2
"city district",2
"clave ward",2
"clean water",2
"college main",2
"concrete work",2
"constituency bangalore",2
"construction bangalore",2
"construction rcc",2
"crossing chand",2
"cross main",2
"district dasarahalli",2
"drainage concrete",2
"drain main",2
"d road",2
"en clave",2
"engineering college",2
"ganapatinagar yeshwantpur",2
"gangaiah house",2
"government school",2
"gutte basaveshwara",2
"hanumanthappas house",2
"headquarters jannahi",2
"heggadahalli ward",2
"henganahalli cross",2
"hobli acharya",2
"hobli chikkanawana",2
"hobli chinnanavara",2
"hobli ganapatinagar",2
"hobli thaneehalli",2
"hobli yakwanthapura",2
"honni border",2
"hotel bangalore",2
"house chain",2
"house gangaiah",2
"house house",2
"house lakshman",2
"house sewage",2
"implementing pump",2
"industrial area",2
"jannahi border",2
"jnanashankar house",2
"keregudadahalli west",2
"kiran kumar",2
"krishnappa home",2
"kumar house",2
"lakshman nagar",2
"layout kansiram",2
"layout phd",2
"layout rd",2
"layout ward",2
"line pipe",2
"manjuna house",2
"marigoda house",2
"maruti nagar",2
"motor pipeline",2
"nagannas house",2
"nagar cross",2
"nagar heggadahalli",2
"narayan prasads",2
"nature layout",2
"nd cross",2
"near dwarka",2
"nearly clean",2
"nilaya house",2
"nozzle well",2
"panchayat clean",2
"panchayat dwarka",2
"panchayat main",2
"panchayat rcc",2
"panchayat water",2
"pashas house",2
"peenya industrial",2
"phd banyan",2
"provision store",2
"raghu house",2
"ramdevana hitti",2
"range honni",2
"ratnams house",2
"rcc drain",2
"rcc drainage",2
"road bangalore",2
"road brothers",2
"road cross",2
"road dasarahalli",2
"road jelly",2
"road layout",2
"road main",2
"road narayan",2
"road nd",2
"road solid",2
"road st",2
"road vasavi",2
"road venugopals",2
"savitri bai",2
"sc colony",2
"school premises",2
"school road",2
"shanthinagar layout",2
"shantinagar layout",2
"s implementing",2
"sreegandha nagar",2
"st d",2
"st floor",2
"st main",2
"store gutte",2
"supply project",2
"suraj en",2
"suresh house",2
"sureshs house",2
"temple peenya",2
"tree kiran",2
"urban dasarahalli",2
"vasavi provision",2
"venkatachalaya house",2
"venugopals road",2
"ward concrete",2
"ward sreegandha",2
"well abbeygere",2
"well abbigere",2
"well pipe",2
"westhalli west",2
"west post",2
"work bo",2
"work cross",2
"work left",2
"work right",2
"work school",2
"works m",2
"yakwanthapura hobli",2
"yeshwantpur hubli",2
"aayesh house",1
"abbigere main",1
"abbigere old",1
"acharya kolhbage",1
"ammaji bin",1
"amuda suresh",1
"ananda gardens",1
"anand poojari",1
"andanappas house",1
"andhanappas house",1
"andrew house",1
"anganwadi house",1
"anganwadi wardha",1
"angastinma house",1
"anjanappas house",1
"anjaneyaswamy temple",1
"anjaneya temple",1
"annayappas house",1
"apartment mens",1
"apartments bus",1
"apartments mantras",1
"apartments near",1
"aralimara bus",1
"area near",1
"area ​​ward",1
"ashwat kattu",1
"atharaya college",1
"back bangalore",1
"bagalagunte ward",1
"bagalaguntu ward",1
"bagalgunte nagasandra",1
"bagalgunte ward",1
"bagalkot stadium",1
"bagalkunde ward",1
"bagalkunte ward",1
"baggalagunt ward",1
"bai home",1
"bai house",1
"bairaveshwara bangalore",1
"bakery road",1
"bakery shivpur",1
"balaiahs house",1
"bangalore construction",1
"bangalores taluk",1
"basavaraju house",1
"basavaraju srivinayak",1
"basaveshwara chikkabanavara",1
"basaveshwara city",1
"beaches work",1
"beauty field",1
"beauty layout",1
"bet school",1
"bhavani shankar",1
"bhawani shankar",1
"bin late",1
"bin mr",1
"bin nanjappa",1
"bin ramaswamy",1
"bin shanthamallappa",1
"bin shrikrishna",1
"bin shrikrishnappa",1
"bin shrinarayanaappa",1
"black drainage",1
"bmtc manjuna",1
"bodabande anjaneyaswamy",1
"bodamatti road",1
"borewelling field",1
"brigade colony",1
"bt somashetti",1
"bt yashwantpur",1
"building building",1
"building kanshiram",1
"building ramdevana",1
"bus shelter",1
"bus stand",1
"bus town",1
"caterhamma temple",1
"cauvery bakery",1
"cement complex",1
"cemetery bangalore",1
"census road",1
"chain brothers",1
"chain link",1
"chakkanana kamarakshmas",1
"chandrappa hegganahalli",1
"chandrasekhar house",1
"charan bangalore",1
"chenkakeshava temple",1
"chikananavara gram",1
"chikanawara gram",1
"chikballa gram",1
"chikballa high",1
"chikbanabar gram",1
"chikbanavan grama",1
"chikbanavar gram",1
"chikbanavar village",1
"chikkabana bangalore",1
"chikkabanavara chikkabanavara",1
"chikkabanavara main",1
"chikkabanwara grama",1
"chikkanavara gram",1
"chikkanavaravar gram",1
"chikkanavar village",1
"chikkanawana gram",1
"chikkanawana grama",1
"chikkanawana road",1
"chikkavenkattappas house",1
"chinnabanavara gram",1
"chinnanavara gram",1
"chinnanavara grama",1
"chokkasandra mainland",1
"circle anjaneya",1
"city chikkabanavara",1
"city ganesh",1
"city ravishankar",1
"city sewage",1
"classroom building",1
"clave layout",1
"cleaner drinking",1
"colbhaj main",1
"college chikkabanavara",1
"college chikkanavar",1
"college chikkanavara",1
"colony chikkabanavara",1
"colony house",1
"colony raghavendra",1
"colony sc",1
"colony via",1
"colony yashwantpur",1
"community building",1
"community hall",1
"complex cement",1
"compound construction",1
"concrete bangalore",1
"concrete hotel",1
"concrete platinum",1
"concrete works",1
"constituency baggalagunt",1
