"word","freq"
"malleswaram assembly",83
"assembly constituency",79
"constituency ward",42
"primary school",21
"mkk road",17
"road malleswaram",16
"bangalore city",15
"ward malleswaram",14
"malleswaram mkk",12
"building construction",11
"chandrashekhar azad",11
"construction work",10
"government primary",10
"cross road",9
"floor building",9
"subedar palya",9
"city malleswaram",8
"general hospital",8
"kc general",8
"bbmp malleswaram",7
"construction barrier",7
"government model",7
"model primary",7
"rajahmahal guttaahalli",7
"azad bbmp",6
"basketball playground",6
"constituency kc",6
"installing led",6
"led lighting",6
"library building",6
"main road",6
"phase construction",6
"volleyball stadium",6
"workshop installing",6
"work workshop",6
"assembly ward",5
"drinking water",5
"government school",5
"ground floor",5
"indoor volleyball",5
"playground bangalore",5
"primary primary",5
"school campus",5
"sri chandrashekhar",5
"tech drinking",5
"ward ward",5
"additional rooms",4
"bbmp girls",4
"community hall",4
"construction additional",4
"girls school",4
"hi tech",4
"hospital premises",4
"lighting lights",4
"malleshwaram assembly",4
"malleshwar mkk",4
"malleswaram constituency",4
"nd floor",4
"palace city",4
"room construction",4
"rooms malleswaram",4
"school building",4
"second floor",4
"ward government",4
"ward rajahmahal",4
"water kiosk",4
"azad malleshwar",3
"azad playground",3
"bbmps sri",3
"block spot",3
"campus subedar",3
"center library",3
"city malleshwara",3
"constituency first",3
"electric lamps",3
"floor government",3
"government higher",3
"guttaahalli main",3
"heal center",3
"higher primary",3
"hospital malleswaram",3
"lamps park",3
"madumaleshwara ward",3
"malleshwara ward",3
"malleswaram vidhan",3
"old building",3
"restoration work",3
"road government",3
"road madumaleshwara",3
"road malleshwara",3
"sabha constituency",3
"school subedar",3
"subrahmanya nagar",3
"vidhan sabha",3
"ward building",3
"ward kadumalleshwara",3
"ward palace",3
"work government",3
"ac sheet",2
"assembly area",2
"assembly hall",2
"bachelors college",2
"bangalore urban",2
"barrier ground",2
"barrier play",2
"bbmp mkk",2
"bbmp school",2
"boys college",2
"building cross",2
"building floor",2
"building government",2
"building malleswaram",2
"building room",2
"center exercise",2
"center near",2
"central library",2
"century old",2
"chetana vishwa",2
"citizens center",2
"college campus",2
"college gayatinagar",2
"college malleswaram",2
"college premises",2
"community building",2
"computer free",2
"computer training",2
"constituency second",2
"construction government",2
"construction heal",2
"construction school",2
"continuous works",2
"crossroads malleswaram",2
"crossway hand",2
"development construction",2
"development works",2
"dining room",2
"exercise centers",2
"fieldreplacement work",2
"floor palace",2
"floor playgroundreplacement",2
"free training",2
"garden development",2
"gayatinagar ward",2
"gayatrinagar rammohanapura",2
"girls high",2
"government girls",2
"government pre",2
"graduate college",2
"guttaahalli headquarters",2
"guttaahalli lpo",2
"gymnasium college",2
"hand rails",2
"hand railways",2
"headquarters town",2
"high school",2
"janata bazaar",2
"kadumalleshwara crossway",2
"kadumalleshwar crossroads",2
"kadumalleswara crossroads",2
"kannada computer",2
"kitchen room",2
"kodumaleshwara ward",2
"kodumalleshwara cross",2
"mahal guttaahalli",2
"malleshwara cross",2
"malleshwaram mkk",2
"malleshwaram ward",2
"malleswaram new",2
"malleswaram ward",2
"malleswarar subedar",2
"mkk roadreplacement",2
"nagar area",2
"nagar community",2
"near government",2
"new building",2
"old theosophical",2
"palace area",2
"play fieldreplacement",2
"playgroundreplacement work",2
"pool layout",2
"pre boys",2
"premises janata",2
"proof course",2
"purpose building",2
"rails rcc",2
"raja mahal",2
"rammohanapura graduate",2
"rcc roof",2
"rd floor",2
"roadreplacement work",2
"room kitchen",2
"room premises",2
"school bachelors",2
"school children",2
"school compound",2
"school gayatrinagar",2
"school gymnasium",2
"school main",2
"school old",2
"school premises",2
"school subedarapalya",2
"school yelahanka",2
"second phase",2
"senior citizens",2
"sheet roof",2
"side basketball",2
"side chandrashekhar",2
"spot monitors",2
"stadium building",2
"stage construction",2
"subedarapalya yashwantpur",2
"swimming pool",2
"theosophical society",2
"third phase",2
"tiles weather",2
"toilet construction",2
"training center",2
"ugcable workshop",2
"urban malleswaram",2
"violly caval",2
"ward century",2
"ward community",2
"ward construction",2
"ward kadumaleeswara",2
"ward kadumaleshwara",2
"ward kadumalleswara",2
"wardmaleswar ward",2
"ward malleswarar",2
"ward newly",2
"wards malleswaram",2
"weather proof",2
"work malleswaram",2
"work rd",2
"workshop left",2
"work volleyball",2
"yashwantpur development",2
"yelahanka tiles",2
"acoustic boo",1
"additional building",1
"additional school",1
"adjacent dobis",1
"anganwadi childrens",1
"area construction",1
"area government",1
"area kc",1
"area ​​kempegowda",1
"area ​​malleswaram",1
"area msr",1
"area ward",1
"art gallery",1
"arun chetana",1
"arundhana chetana",1
"assembly block",1
"assembly constituencyreplacement",1
"association malleshwaram",1
"association nom",1
"audio metrics",1
"audio metrise",1
"azad continuing",1
"azad malleshwaram",1
"azads bbmp",1
"azads play",1
"azad stadium",1
"bangalore building",1
"bangalore crossroach",1
"bangalore district",1
"bangalore malleswaram",1
"bangalore national",1
"bangalore seating",1
"bangalore sri",1
"bangalore student",1
"barrier east",1
"barrier eastern",1
"barrier northern",1
"basketball city",1
"basketball play",1
"bazaar building",1
"bazaar buildingreplacement",1
"bbmp building",1
"bbmp community",1
"bbmp located",1
"bbmp malleshwaram",1
"bbmps ground",1
"bbmp violly",1
"bbmp ward",1
"benches sit",1
"beside generator",1
"bichampi srichandashekhar",1
"black spot",1
"block students",1
"block ward",1
"boo works",1
"boys premises",1
"brahmakumaris ishrashree",1
"building bbmp",1
"building building",1
"building demolition",1
"building dining",1
"building handicrafts",1
"building librarians",1
"building library",1
"building limestone",1
"building location",1
"building lord",1
"building old",1
"building palace",1
"building rajajinagar",1
"buildingreplacement work",1
"building reservation",1
"building restoration",1
"building various",1
"building work",1
"building workshop",1
"building yeshwanthpur",1
"building yoga",1
"build old",1
"camera block",1
"camera implementation",1
"cameras block",1
"cameras installed",1
"campus bangalore",1
"campus floor",1
"campus premises",1
"campus sanki",1
"campus wild",1
"career malleswaram",1
"case construction",1
"caval bangalore",1
"caval ground",1
"caval playground",1
"cc tv",1
"cctv camera",1
