"word","freq"
"assembly constituency",165
"constituency bangalore",158
"shivajinagara assembly",82
"shivajinagar assembly",79
"ward shivajinagar",77
"ward shivajinagara",72
"cement concrete",66
"concrete road",66
"providing cement",43
"cc road",41
"detailed estimate",40
"ssm drain",40
"road ward",34
"providing cc",29
"estimate providing",25
"road near",19
"providing ssm",18
"palya ward",15
"ramaswamy palya",15
"road cross",15
"bangalore stage",13
"bharathinagar ward",13
"cross road",13
"hospital ward",12
"street ward",12
"bangalore city",11
"city shivajinagar",11
"cockburn road",11
"curzan hospital",11
"drain culvert",11
"kerb stone",11
"lady curzan",11
"shivajinagar vs",11
"bus shelter",10
"chandni chowki",10
"construction ssm",10
"details estimate",10
"estimate construction",10
"thimmaiah road",10
"constructing bus",9
"covering slab",9
"drain wi",9
"field ward",9
"providing constructing",9
"queens road",9
"sanitary line",9
"shivaji road",9
"ward shivaji",9
"wi kerb",9
"bangalore scst",8
"bowring lady",8
"cement concret",8
"concret pavenects",8
"pavenects cockburn",8
"reinformed cement",8
"scst colony",8
"st cross",8
"building ward",7
"chetty garden",7
"estimate improvements",7
"karmika quarters",7
"multistaoried building",7
"nagar assembly",7
"nd cross",7
"poura karmika",7
"quarters multistaoried",7
"road construction",7
"shelter near",7
"shivaji nagar",7
"shivan chetty",7
"stone work",7
"vs cement",7
"assembly constiturncy",6
"chowki road",6
"constiturncy bangalore",6
"cross ramaswamy",6
"cross street",6
"cross ward",6
"drain covering",6
"garden ward",6
"gccolony jayamahal",6
"hari masjid",6
"improvements ssm",6
"jayamahal ward",6
"juma masjid",6
"kerv stone",6
"left side",6
"makkan compound",6
"masjid road",6
"masjid ward",6
"near poura",6
"primary school",6
"rcc drain",6
"road culvert",6
"road marappa",6
"road ssm",6
"stone cement",6
"ward juma",6
"wi kerv",6
"chandni chowk",5
"compound wall",5
"construction compound",5
"culvert wi",5
"drain cement",5
"drain culverts",5
"estimate improvement",5
"improvements cc",5
"improvements road",5
"main road",5
"marappa block",5
"rajappa block",5
"road bno",5
"road chandni",5
"sc colony",5
"bangalorechange work",4
"bharathinagara ward",4
"bno ward",4
"chinnappa garden",4
"chowki ward",4
"clockpet c",4
"constituency bangalorechange",4
"construction cc",4
"construction sc",4
"cross gccolony",4
"c street",4
"hbs hospital",4
"higher primary",4
"house clockpet",4
"market street",4
"nd street",4
"nehrupura ward",4
"rd cross",4
"road nd",4
"shivajinagar ward",4
"slab shivajinagar",4
"swamy house",4
"taskar town",4
"town ward",4
"arunachalam mudhaliar",3
"ashalting road",3
"avenue arunachalam",3
"block ramaswamy",3
"block st",3
"bno chandni",3
"calvert removing",3
"centre ward",3
"chowk ward",3
"compound bharathinagar",3
"construction cement",3
"construction rcc",3
"coocks road",3
"cross bharathinagar",3
"drain calvert",3
"drain near",3
"estimate ashalting",3
"garden ramaswamy",3
"govt tamil",3
"govt urdu",3
"high school",3
"house hari",3
"house near",3
"house queens",3
"improvement drain",3
"jewels field",3
"korcher road",3
"law order",3
"line manholes",3
"marappa garden",3
"masjid e",3
"near chandni",3
"near thimmaiah",3
"nivas shivan",3
"old korcher",3
"order traffic",3
"police station",3
"providing sanitary",3
"pumping machinery",3
"removing silt",3
"road culverts",3
"road gccolony",3
"setpen square",3
"shivajinagara police",3
"silt providing",3
"slab kerb",3
"square bno",3
"station law",3
"traffic sjpu",3
"vs construction",3
"work providing",3
"zain avenue",3
"aaliya mansion",2
"abhan house",2
"ahmed cross",2
"ali iron",2
"al madhia",2
"ameer janu",2
"anjaneya swamy",2
"armstrong road",2
"arunachalam mudaliar",2
"bala house",2
"bangalore hbs",2
"bangalore state",2
"bhara rice",2
"block cross",2
"block pally",2
"borewell providing",2
"bowring hospital",2
"cementry road",2
"chicken centre",2
"chowk cross",2
"colony stage",2
"compound bharathinagara",2
"construction field",2
"construction pathway",2
"cross rajappa",2
"cross taskar",2
"culvert cross",2
"culvert left",2
"culverts rajappa",2
"deck slab",2
"diagnostic centre",2
"dk traders",2
"drain cc",2
"drain deck",2
"drain makkan",2
"dress market",2
"drug house",2
"drvenkata raman",2
"e fathima",2
"e norul",2
"enter prises",2
"ganapathy nilayam",2
"garden bharathinagar",2
"garden main",2
"garden st",2
"gonden bharathinagar",2
"gunta road",2
"hair dress",2
"hms java",2
"hobib house",2
"hospital select",2
"house bharathinagar",2
"improvement sanitary",2
"improvements sanitary",2
"janu house",2
"java garage",2
"jaya kumars",2
"jcnagar ramaswamy",2
"ji gunta",2
"kamaraj road",2
"karnataka suguna",2
"khwaja roshan",2
"kiran house",2
"knarayana swamy",2
"kumar house",2
"kumars house",2
"kumar swamy",2
"ladies tailring",2
"lakshmi hair",2
"leathers hbs",2
"lidkar shop",2
"line lady",2
"line providing",2
"machinery wi",2
"maden kumar",2
"madhia ladies",2
"madiha fashion",2
"mansion jcnagar",2
"manzil aaliya",2
"mn broilers",2
"mohan ray",2
"motors roshani",2
"mudaliar road",2
"mudhaliar road",2
"narayan nivas",2
"near b",2
"near hari",2
"near maden",2
"near makkan",2
"nilayam kumar",2
"norul huda",2
"old cementry",2
"opd section",2
"o shivanna",2
"padman abhan",2
"pathway premises",2
"pipe line",2
"premises bowring",2
"providing pumping",2
"rajaram mohan",2
"ramakrishna temple",2
"raman street",2
"ramesh hose",2
"ray road",2
"rcc culverts",2
"rice centre",2
"road bhara",2
"road bharathinagara",2
"road drain",2
"road drvenkata",2
"road ganapathy",2
"road hms",2
"road khwaja",2
"road left",2
"road opp",2
"road queens",2
"road rcc",2
"road rd",2
"road sanitary",2
"road setpen",2
