"word","freq"
"development work",74
"borewell development",42
"ward shantinagar",27
"bangalore sou",21
"development stage",21
"pump motor",21
"ro water",20
"ward installation",20
"water plant",20
"development borewell",19
"stage pump",19
"borewell siston",17
"siston development",16
"work level",16
"viveknagar bangalore",15
"assembly constituency",14
"motor installment",13
"shantinagar municipal",13
"burial ground",12
"muslim burial",12
"nilasandra ward",12
"shantalanagar ward",12
"installation ro",11
"shantinagar assembly",11
"austin town",10
"jogappalya ward",10
"municipal council",10
"pete ward",10
"shantinagar ward",10
"wannar pete",10
"city ward",9
"installation new",9
"new ro",9
"payette ward",9
"wannar payette",9
"development complex",8
"methodology area",8
"plant development",8
"ro plant",8
"shantinagar methodology",8
"agram ward",7
"building development",7
"dammlur ward",7
"exciting old",7
"main road",7
"neelasandra viveknagar",7
"old building",7
"shantala city",7
"agaram ward",6
"concrete wall",6
"nd cross",6
"shanthinagar bangalore",6
"wall development",6
"ward ward",6
"work jogappalya",6
"work shantinagar",6
"work wannar",6
"bangalore city",5
"complex wannar",5
"garden neelasandra",5
"interlock development",5
"level agaram",5
"level wannar",5
"motor implementation",5
"nd stage",5
"school development",5
"town viveknagar",5
"work nilasandra",5
"work stage",5
"ground concrete",4
"ground interlock",4
"main nd",4
"munegowda garden",4
"nagar bangalore",4
"nd main",4
"park shantala",4
"st main",4
"work installing",4
"babu s",3
"campus development",3
"cement lane",3
"college campus",3
"development workshop",3
"drinking water",3
"government urdu",3
"installing development",3
"installing tv",3
"installment nilasandra",3
"motor installing",3
"neelasandra bangalore",3
"old cement",3
"park development",3
"p k",3
"primary school",3
"shantinagar constituency",3
"siston implementation",3
"street neelasandra",3
"tv cameras",3
"vivekanagar kannada",3
"vivek nagar",3
"work dammlur",3
"work shantalanagar",3
"agra ward",2
"agrum ward",2
"battery pension",2
"block ews",2
"c cross",2
"city shantanagar",2
"city shantinagar",2
"compound development",2
"construction work",2
"cross anepalya",2
"cross road",2
"cross rose",2
"cross shanthinagar",2
"cross street",2
"cross vinayakanagar",2
"dommallur government",2
"ews qtrs",2
"garden bangalore",2
"government graduate",2
"government school",2
"graduate college",2
"ground wannar",2
"hal nd",2
"implementation shantalanagar",2
"implementation workshop",2
"installing cameras",2
"installment dammlur",2
"installment shantinagar",2
"installment wannerar",2
"interlock lock",2
"jogu palya",2
"kannada mahila",2
"lane austin",2
"layout park",2
"left side",2
"lock development",2
"lr nagar",2
"mahila sangha",2
"mary wo",2
"maya bazar",2
"nagar viveknagar",2
"nd battery",2
"neelasandra ward",2
"park shantalanagar",2
"payet ward",2
"peep ward",2
"pension lane",2
"rd cross",2
"r nagar",2
"road bangalore",2
"rose garden",2
"shantanagar assembly",2
"shanthi nagar",2
"shanthinagara bangalore",2
"shantinagara bangalore",2
"sou street",2
"square austin",2
"stage bangalore",2
"stage jogappalya",2
"stage shantinagar",2
"st cross",2
"street shanthinagar",2
"toilet building",2
"town shanthinagar",2
"urban ward",2
"urdu primary",2
"urdu school",2
"victoria layout",2
"vinayakanagar bangalore",2
"vinayaknagar park",2
"vivekanagar bus",2
"wannar payet",2
"wannar peep",2
"wannerar ward",2
"ward area",2
"ward bbmp",2
"ward interlock",2
"ward shachitinagar",2
"water pipelines",2
"wilson garden",2
"work agram",2
"work foot",2
"work richmond",2
"work shantala",2
"workshop shantinagar",2
"abdul aziz",1
"abdul hasham",1
"abdul jabbar",1
"abdul jaleel",1
"abdul munpha",1
"abdul s",1
"abdul shukoor",1
"across shantinagar",1
"adugodi bangalore",1
"adugodi post",1
"agnir ward",1
"agram exciting",1
"ahemmed basha",1
"ajam st",1
"akithammanahalli vinayaknagar",1
"akki thimmana",1
"amal das",1
"ambedkar nagara",1
"ambedkarnagar exciting",1
"ambedkar statue",1
"ammularajaka lr",1
"anbu john",1
"andhra colony",1
"anepalya near",1
"anepalya neelasandra",1
"anganwadi building",1
"anglo indian",1
"annepalya main",1
"anthony old",1
"anthony rd",1
"area ​​shantinagar",1
"area work",1
"arjunan l",1
"arokiya mary",1
"arumugam e",1
"ashokanagar cross",1
"ashoknagar museum",1
"ashraf pasha",1
"ashraf unnisa",1
"asif nanha",1
"assembly area",1
"assembly ward",1
"association building",1
"association nilasandra",1
"athalli near",1
"atha ulla",1
"athulla p",1
"attar sou",1
"aziz rd",1
"baba temple",1
"backyard toilet",1
"ball ground",1
"bangalore abdul",1
"bangalore anbu",1
"bangalore arokiya",1
"bangalorearun chinnappan",1
"bangalore dakshinamurthy",1
"bangalore david",1
"bangalore eastmanjuna",1
"bangalore eden",1
"bangalore girish",1
"bangalorehaseen khan",1
"bangalore jagan",1
"bangalore kala",1
"bangalorekempanna m",1
"bangalore krishna",1
"bangalorelourdh mary",1
"bangalore manasa",1
"bangalore mohammed",1
"bangalore northjaka",1
"bangalore raja",1
"bangalore rajesh",1
"bangalore ramesh",1
"bangalore richard",1
"bangalore sabestian",1
"bangalore sayed",1
"bangalore southananda",1
"bangalore southmohammad",1
"bangalore southnaresh",1
"bangalore sri",1
"bangalore steeohan",1
"bangalore tajuddin",1
"barewell siston",1
"basavanna temple",1
"basha cross",1
"bazar shanthi",1
"bbmp junction",1
"bbmp limits",1
"bbmp ward",1
"bc installing",1
"bda austin",1
"bda layout",1
"bda layput",1
"bda qtrs",1
"begum abdul",1
"behind anglo",1
"bete ward",1
"bicycle people",1
"block jogu",1
"borival siston",1
"briggs bda",1
"briggs darryl",1
"building shantala",1
"bunch set",1
"bureau ground",1
"bus stand",1
"bus station",1
"cambridge road",1
"cameras shantinagar",1
"cc cameras",1
"cement line",1
"chandurappa rd",1
"chinnappan cross",1
"chinnappan old",1
"circle agram",1
"city city",1
"city samanthanagar",1
"city work",1
"c maya",1
"c new",1
"colony high",1
"colony vivek",1
"complex shantalanagar",1
"complex shantinagar",1
"compound construction",1
"compound work",1
"concrete road",1
"constituency agaram",1
"constituency bangalore",1
"constituency bc",1
"constituency installing",1
"constituency located",1
"constituency wannar",1
"councils warden",1
"cross adugodi",1
"cross ambedkar",1
"cross left",1
"cross munegowda",1
"cross nd",1
"cross neelasandra",1
"cross rd",1
"cross school",1
"cross vinayaka",1
"crustal school",1
"dakshinamurthy sundar",1
"darryl briggs",1
"das g",1
"david anthony",1
"dcruz late",1
"degree college",1
"developing workshops",1
"development borival",1
"development ground",1
"development jogappalya",1
"development near",1
"development vivekanagar",1
"development works",1
"devi ramesh",1
"dhstigg umar",1
"dinesh kumar",1
"distribute two",1
"d karan",1
"d nd",1
"domlur ward",1
"dommallur ward",1
"dommlur ward",1
"drain concrete",1
"dummaluru ward",1
"d v",1
"eastmanjuna n",1
"east street",1
"eden briggs",1
"edwin george",1
"e edwin",1
"e street",1
"fairroz s",1
"farooq masjid",1
"floor east",1
"foot ball",1
"foot pa",1
"gajendran velaiah",1
"gallery nanda",1
"ganthrop exciting",1
"garden development",1
"garden drain",1
"garden left",1
"garden opp",1
"garden shanthinagara",1
"gate development",1
"gate near",1
"george near",1
"girish siddaraju",1
"goodwill international",1
"goutham pura",1
"gouthampura halsur",1
"government tamil",1
"gowda street",1
"gowthamapura halasur",1
"gowtham pura",1
"green house",1
"green medicals",1
"ground building",1
"ground mosque",1
"ground rc",1
"ground rcc",1
"ground santalala",1
"ground shantala",1
"ground shantalanagar",1
"g street",1
"guruprasad arjunan",1
"halasur hal",1
"halasuru hal",1
"hal bangalore",1
"hall development",1
"halli papa",1
"halsur shanthinagar",1
"haneef late",1
"hasham abdul",1
"high street",1
"hockey stadium",1
"house nd",1
"hussain bda",1
"ibranim dhstigg",1
"implementation agra",1
"implementation agram",1
"implementation dammlur",1
"implementation development",1
"inayathulla khan",1
"indian park",1
"installing cc",1
"installment agram",1
"installment development",1
"installment jogappalya",1
"installment shantalanagar",1
"international association",1
"issac nd",1
"jabbar sou",1
"jagan arumugam",1
"jalakanteshwarapura exciting",1
"jaleel nd",1
"jalsur hal",1
"jan munegowda",1
"jeevabai c",1
"j jeevabai",1
"j k",1
"jogappalya government",1
"jogogalaya ward",1
"jogupalya ward",1
"john r",1
"joseph paul",1
"junction bangalore",1
"kairunnisa mohammad",1
"kala wo",1
"kannada womens",1
"karan d",1
"khan cross",1
"khan inayathulla",1
"khan p",1
"khan st",1
"koramangala bangalore",1
"kormangala road",1
"kormangala vivek",1
"k p",1
"k pura",1
"k r",1
"k raju",1
"k ramaiah",1
"krishna murthy",1
"ksrtc qtrs",1
"kumar j",1
"kumar ramaiah",1
"kumar ramesh",1
"k vazeer",1
"lane p",1
"lane pkrnagar",1
"lane sustin",1
"late athulla",1
"late joseph",1
"late vincent",1
"layout garden",1
"layput nd",1
"legislative assembly",1
"level agrum",1
"level dammlur",1
"level dommallur",1
"level pump",1
"level ward",1
"library building",1
"limits bangalore",1
"lina wo",1
"line ground",1
"lingayyana palya",1
"l nond",1
"located dummaluru",1
"lourdu mary",1
"l r",1
"lrnagar main",1
"main andhra",1
"main cross",1
"main st",1
"manasa chandurappa",1
"marimuthu kormangala",1
"mary sheela",1
"masjid street",1
"medicals neelasandra",1
"methodist assembly",1
"mical anthony",1
"m k",1
"m muniyappa",1
"mohammad shafi",1
"mohammad zakria",1
"mohammed abdul",1
"mohammed ajam",1
"mohammed haneef",1
"mohan kumar",1
"mosque gate",1
"motappanapalya bangalore",1
"motappan palya",1
"mubarak ashraf",1
"mujib khan",1
"municipal assembly",1
"municipal councils",1
"municipal legislative",1
"municipal ward",1
"muniswamappa road",1
"muniyappa lingayyana",1
"munpha nd",1
"munvar ahemmed",1
"murthy marimuthu",1
"murthy old",1
"museum road",1
"muslim bureau",1
"nagamma main",1
"nagara opp",1
"nagara wilson",1
"nagar st",1
"nagar vannarpete",1
"nagar wilson",1
"nanda ground",1
"nanha jan",1
"nanjappa garden",1
"nasir mohammed",1
"naveen d",1
"navilesh oissac",1
"nd c",1
"nd phase",1
"near bda",1
"near crustal",1
"near goodwill",1
"near hockey",1
"near muslim",1
"near sai",1
"near triangle",1
"near vivekanagar",1
"near wannar",1
"neelasadra vivek",1
"neelasandra exciting",1
"neelasandra shantinagar",1
"neelasandra shantinagara",1
"new anganwadi",1
"new park",1
"new st",1
"new toilet",1
"ngv koramangala",1
"n nagamma",1
"nond street",1
"northjaka lina",1
"office cambridge",1
"office vinayakanagar",1
"oissac nd",1
"opp maya",1
"opp ngv",1
"pa behind",1
"palya bangalore",1
"palya government",1
"palya jalsur",1
"palya nd",1
"palya police",1
"pandey shantinagar",1
"papa gowda",1
"park vannar",1
"pasha block",1
"paul austin",1
"paul late",1
"payy ward",1
