"word","freq"
"assembly constituency",56
"main road",53
"drinking water",37
"bangalore city",33
"govindarajanagar assembly",33
"constituency bangalore",31
"govindarajanagar municipal",31
"ward govindarajanagar",30
"water unit",30
"bangalore urban",29
"municipal council",27
"agrahara dasarahalli",26
"clean drinking",24
"govindarajanagar constituency",22
"urban govindarajanagar",21
"bangalore stage",19
"khb colony",17
"st main",17
"layout bangalore",16
"chandra layout",15
"maruti mandir",14
"three wheeler",14
"ambedkar stadium",13
"compound wall",12
"construciton compound",12
"council area",12
"cross road",12
"dasarahalli khb",12
"eidgah maidan",12
"maidan near",12
"near siddagangayya",12
"rajkumar ward",12
"school chandra",12
"siddagangayya school",12
"ward govindarajanagara",12
"construction yoga",11
"govindarajah nagar",11
"govindarajanagara assembly",11
"granite benches",11
"mandir ward",11
"nagar assembly",11
"nd main",11
"park step",11
"road bangalore",11
"yoga hall",11
"benchesf karb",10
"concrete road",10
"construction platform",10
"government primary",10
"granite benchesf",10
"karb stone",10
"platform granite",10
"road cross",10
"side eidgah",10
"stadium wn",10
"stone ambedkar",10
"vivekananda park",10
"ward bangalore",10
"wheeler vehicle",10
"wn stage",10
"city govindarajanagar",9
"high school",9
"rcc drain",9
"colony nd",8
"constituency ward",8
"construction clean",8
"drive vehicle",8
"mc layout",8
"moodalapalya bangalore",8
"nd stage",8
"park stage",8
"three wheel",8
"wheel drive",8
"bangalore govindarajanagar",7
"cauvery ward",7
"construction work",7
"dasarahalli cross",7
"dasarahalli ward",7
"development works",7
"dr rajkumar",7
"motor power",7
"primary high",7
"public toilet",7
"purchase trichakravana",7
"road construction",7
"toilet development",7
"vehicle purchase",7
"ward moodalapalya",7
"bangalore buy",6
"bangalore three",6
"buy three",6
"childrens playing",6
"colony st",6
"cross nd",6
"culverts ward",6
"drain culverts",6
"eastern side",6
"gkdu layout",6
"govindarajanagar stage",6
"improvements rcc",6
"layout maruti",6
"layout park",6
"moodalapalya energy",6
"municipal area",6
"nagarabhavi ward",6
"nandahalli ward",6
"pipeline surrounding",6
"playing equipment",6
"pump motor",6
"rd cross",6
"rooms repair",6
"school rooms",6
"southern side",6
"st phase",6
"triplicate vehicle",6
"wall eastern",6
"wall southern",6
"ward govindarajah",6
"bangalore triplicate",5
"basavan bda",5
"bda development",5
"cement concrete",5
"childrens sporting",5
"city urban",5
"constituency clean",5
"construction sewerage",5
"council bangalore",5
"covering slabs",5
"cross bangalore",5
"cross nagarabhavi",5
"development park",5
"development work",5
"drainage covering",5
"energy garden",5
"gangondanahalli main",5
"goods thimmanahalli",5
"implementation childrens",5
"improvements drainage",5
"karumariamma temple",5
"magadi road",5
"main cross",5
"nagarabhavi main",5
"nagarbhavi ward",5
"office ward",5
"post office",5
"power supply",5
"primary school",5
"rd crossing",5
"road ward",5
"slabs gangondanahalli",5
"sporting goods",5
"stage public",5
"stage vivekananda",5
"surrounding roads",5
"thimmanahalli park",5
"triplicane vehicles",5
"work near",5
"works ward",5
"area bangalore",4
"benches gkw",4
"benches karb",4
"benches srikrishna",4
"br ambedkar",4
"b three",4
"chandralelout cross",4
"city limits",4
"construction kalvart",4
"construction pipeline",4
"construction pipes",4
"construction rcc",4
"covering slab",4
"cross roads",4
"developing stage",4
"drain covering",4
"frill gundanna",4
"ganapathi temple",4
"gazebbo granite",4
"gkw layout",4
"govindarajan municipal",4
"govt school",4
"gundanna govt",4
"hall development",4
"hall granite",4
"hall ward",4
"high tech",4
"improvement gazebbo",4
"kalvart phase",4
"kanakakrishna park",4
"kanaka park",4
"karb tiles",4
"kaveripura stage",4
"leak proof",4
"located bangalore",4
"marenahalli gkdu",4
"maruthimandira stage",4
"mclayout park",4
"nagarbavi ward",4
"near rd",4
"oppvijayanagara post",4
"ornamental frill",4
"park developing",4
"park oppvijayanagara",4
"park thimmenahalli",4
"park ward",4
"park wn",4
"platform mclayout",4
"proof govt",4
"providing benches",4
"providing leak",4
"providing ornamental",4
"purified drinking",4
"ranganathapura ward",4
"repair step",4
"roads dr",4
"school ranganathapura",4
"sewerage construction",4
