"word","freq"
"assembly constituency",80
"main road",62
"vijayanagara assembly",62
"drinking water",53
"water unit",52
"clean drinking",35
"bangalore city",28
"ward vijayanagara",25
"ward bangalore",24
"mysore road",21
"tube well",18
"electric motor",17
"constituency bangalore",15
"vijayanagar assembly",15
"primary school",14
"bangalore urban",13
"cross road",13
"st main",13
"agaram ward",12
"government primary",12
"kp agaram",12
"city vijayanagara",11
"drive vehicle",11
"nd main",11
"three wheel",11
"well drilling",11
"wheel drive",11
"hosahalli ward",10
"road cross",10
"crossroads kp",9
"nd cross",9
"road bangalore",9
"rpc layout",9
"tube electric",9
"b three",8
"rd cross",8
"urban vijayanagara",8
"anjaneyaswamy temple",7
"anjaneyaswamy ward",7
"bapujinagar ward",7
"hampinagar ward",7
"kp agrahara",7
"motor layout",7
"rd main",7
"three wheeler",7
"anjaneya ward",6
"bangalore buy",6
"constituency construction",6
"constituency kp",6
"drilled well",6
"magadi road",6
"municipal council",6
"nd crossroads",6
"nd stage",6
"road nd",6
"unit near",6
"air anjaneyaswamy",5
"anjaneya swami",5
"athiguppe ward",5
"construction clean",5
"deepanjalinagar ward",5
"kp agarama",5
"motor auxiliary",5
"raghavnagar nd",5
"road kp",5
"road motor",5
"road rd",5
"temple road",5
"vehicle purchase",5
"vijayanagara bangalore",5
"vijayanagara ward",5
"vinobha colony",5
"ward near",5
"ward vijayanagar",5
"water supply",5
"wheeler vehicle",5
"agrahara ward",4
"avalahalli st",4
"bangalore triplicate",4
"belonging vijayanagara",4
"bin late",4
"buy three",4
"chairman narasimhaiah",4
"chaluvappa garden",4
"city main",4
"colony mysore",4
"commissioned tube",4
"connection tube",4
"constituency clean",4
"construction community",4
"drilling ward",4
"kavika layout",4
"layout bangalore",4
"maruti nagar",4
"motor electric",4
"narasimhaiah layout",4
"pipe line",4
"pipeline road",4
"police station",4
"pure drinking",4
"rcsc building",4
"road aavalahalli",4
"road b",4
"road hampinagar",4
"set clean",4
"triplicate vehicle",4
"unit hosahalli",4
"vijayanagara constituency",4
"ward belonging",4
"well drilled",4
"works including",4
"bangalore bangalore",3
"bangalore three",3
"bappujinagar ward",3
"bda underpass",3
"cholur palya",3
"community hall",3
"connection drilled",3
"constituency main",3
"construction work",3
"cross drilled",3
"cross kavika",3
"crossroads vijayanagara",3
"drilling work",3
"electricity layout",3
"gali anjaneya",3
"garden drinking",3
"guangondanahalli repair",3
"hosahalli vijayanagara",3
"installing pipeline",3
"layout mysore",3
"layout nd",3
"layout vijayanagara",3
"motor electrical",3
"motor pipeline",3
"nagar bangalore",3
"nagar mysore",3
"nd floor",3
"near government",3
"pipeline power",3
"plant near",3
"power connection",3
"pumped commissioned",3
"pump electricity",3
"repair work",3
"road bapujinagar",3
"road crossroads",3
"road tube",3
"road vijayanagara",3
"school guangondanahalli",3
"senior primary",3
"service road",3
"st nd",3
"swami temple",3
"telecom layout",3
"temple premises",3
"temple ward",3
"tube installation",3
"tv camera",3
"vijayanagara municipal",3
"ward tube",3
"water plant",3
"work installing",3
"aavalahalli nd",2
"aavalahalli sri",2
"abhaya anjaneyaswamy",2
"agarama pumped",2
"agarama ward",2
"agarawara ward",2
"agrahara main",2
"area clean",2
"balakrishnan nayak",2
"bangalore cross",2
"bangalore hearing",2
"bangalore vijayanagara",2
"battarayanapura mysore",2
"battarayanapura new",2
"batteryanapura mysore",2
"batteryanapura rd",2
"belonging vijayanagar",2
"city vijayanagar",2
"colony girinagar",2
"colony ward",2
"complex stage",2
"constituency crossroads",2
"constituency insert",2
"constituency tube",2
"constituency vijayanagara",2
"construction nd",2
