"word","freq"
"drinking water",20
"main road",20
"assembly constituency",16
"water unit",15
"clean drinking",13
"vehicle purchase",11
"padmanabhanagar assembly",9
"ward construction",8
"construction work",7
"triplicate vehicle",7
"banashankari rd",6
"building building",6
"community hall",6
"construction clean",6
"drive vehicle",6
"park ward",6
"rd stage",6
"three wheel",6
"ward padmanabhanagar",6
"wheel drive",6
"building construction",5
"community building",5
"constituency ward",5
"padmanabhanagar municipal",5
"stage bangalore",5
"development work",4
"karisandra ward",4
"kumarswamy layout",4
"layout construction",4
"layout ward",4
"road cross",4
"unit near",4
"ward kumarswamy",4
"ward rs",4
"yediyur ward",4
"bsk nd",3
"construction community",3
"municipal council",3
"nd stage",3
"park development",3
"pure drinking",3
"temple ward",3
"triquak vehicle",3
"ward clean",3
"ward ward",3
"work clean",3
"anganwadi building",2
"assembly ward",2
"banashankari nd",2
"banashankari temple",2
"bangalore triplicate",2
"bangalore triquak",2
"bhss layout",2
"b three",2
"b triplicate",2
"building community",2
"cauvery nagar",2
"center world",2
"cock court",2
"construction bhss",2
"construction pipes",2
"construction pure",2
"construction retreat",2
"cross bsk",2
"cross main",2
"cross road",2
"ganapati temple",2
"ganesh mandir",2
"hall sri",2
"harehalli ward",2
"keb park",2
"kumaraswamy layout",2
"kuvempu park",2
"layout padmanabhanagar",2
"library building",2
"mahila sangha",2
"maramma temple",2
"motor related",2
"municipal assembly",2
"nagar assembly",2
"near kadiranahalli",2
"new harehalli",2
"okkilagar mahila",2
"opposite sri",2
"padmanabhanagar ward",2
"papaya garden",2
"pipes roads",2
"playground development",2
"primary school",2
"pudmanabhanagar assembly",2
"related equipment",2
"renewal spiritual",2
"retreat center",2
"road cauvery",2
"road chennamma",2
"road new",2
"rs kuvempu",2
"rs lakhs",2
"sangha r",2
"shuttle cock",2
"spiritual trust",2
"st stage",2
"temple dedicated",2
"toilet drinking",2
"unit constructed",2
"ward ganesh",2
"ward ganesha",2
"ward near",2
"water near",2
"water tank",2
"world renewal",2
"aandanappa cross",1
"abdul kalam",1
"abdul razak",1
"abhaya ganapati",1
"adjacent deepak",1
"adopting borewell",1
"ak colony",1
"akhil karnataka",1
"anganwadi center",1
"anganwadi main",1
"anjaneya inaugurated",1
"anjaneya temple",1
"aralimara newkerahalli",1
"area ​​padma",1
"area pipeline",1
"aries slum",1
"around library",1
"association building",1
"atal bihari",1
"audio equipment",1
"bachelors college",1
"balmuri ganapathi",1
"bam near",1
"banagiri city",1
"banagirinagar banashankari",1
"banarasankari temple",1
"banasankari rd",1
"banashankari st",1
"bangalore bangalore",1
"bangalore bhuvaneshwari",1
"bangalore building",1
"bangalore construction",1
"bangalore corporation",1
"bangalore past",1
"bangalore purchase",1
"bangalore yadiyur",1
"basavanagudi bangalore",1
"basavaraj bin",1
"bbin boraiah",1
"bda park",1
"bell audio",1
"bell three",1
"bem three",1
"bem triplicate",1
"beside nandini",1
"bhanumathibv cross",1
"bharat housing",1
"bhcs layout",1
"bhubaneswari city",1
"bhubaneswari ward",1
"bhuvaneshwari okkilagar",1
"bhuvaneswari okkilagar",1
"bihari vajapeyi",1
"bin aandanappa",1
"bin chandranna",1
"bin cs",1
"bin late",1
"bin lingayya",1
"binna hanumanthappa",1
"bin narasimhaiah",1
"bin narayanappa",1
"bin thimmaiah",1
"bin venkatesh",1
"bin zayed",1
"block f",1
"block jayanagara",1
"block kareasandra",1
"block main",1
"block nd",1
"block rd",1
"blvdard f",1
"bm three",1
"boraiah cross",1
"borewell installedward",1
"borewell pumping",1
"borewell shree",1
"boulevard park",1
"brahmin mahasabha",1
"brundavan park",1
"bsk step",1
"build community",1
"building jagshaknagar",1
"building kumaraswamy",1
"building located",1
"building main",1
"building rs",1
"building upzo",1
"building vajapayee",1
"building ward",1
"built anganwadi",1
"built teachers",1
"bulawayar park",1
"bullward jayanagar",1
"buntschalaya kkn",1
"buying bm",1
"byrappa block",1
"camera system",1
"campus banashankari",1
"ca site",1
"center nd",1
"center ward",1
"chain link",1
"chandranna triplicate",1
"characters shuttle",1
"chennamma lake",1
"chennamma mankere",1
"chikakudanapalya subramanapura",1
"chikegowdanapalya subramaniapuram",1
"chikegowda palya",1
"chikkakalasandra ward",1
"chikkakalasundra ward",1
"children equipments",1
"childrens playground",1
"city park",1
"city ward",1
"cladding entrance",1
"college bangalore",1
"college campus",1
"college front",1
"college yediyur",1
"colony banarasankari",1
"colony jayanagar",1
"colony karismandra",1
"compaheed government",1
"completely damaged",1
"constituency bangalore",1
"constituency building",1
"constituency construction",1
"constituency dug",1
"constituency kumaraswamy",1
"constituency newkerehalli",1
"constructed anganwadi",1
"constructed colony",1
"constructed thimarayagoda",1
"construction anganwadi",1
"construction aries",1
"construction gajboo",1
"construction gurudaraja",1
"construction newly",1
"construction pragatipur",1
"construction retaining",1
"construction womens",1
"convenes ward",1
"convenience devotees",1
"corporation good",1
"council area",1
"council convenes",1
"court front",1
"court yediyur",1
"cross dattatreya",1
"cross idummadu",1
"crossing site",1
"cross kaverinagar",1
"cross kumaraswamy",1
"cross opposite",1
"cross papaya",1
"crossroads main",1
"crossroads visvesvarapura",1
"cross ward",1
"cs madeiah",1
"currently building",1
"dairy milk",1
"damaged rebuilt",1
"dattatreya nagar",1
"dedicated construction",1
"dedicated lord",1
"deepak nursing",1
"degree bachelors",1
"devaraju bbin",1
"developed kalidasnagar",1
"development bharat",1
"development construction",1
"development gajboo",1
"development keb",1
"development one",1
"development ward",1
"devi main",1
"devi temple",1
"dinesh bin",1
"division padmanabhanagara",1
"doors broken",1
"dr abdul",1
"drilling borewell",1
"dug new",1
"dwarkanagar hosheerahalli",1
"electrification vishweshwaraiah",1
"elephant rock",1
"entrance gate",1
"equipment install",1
"equipment installation",1
"equipment purchase",1
"equipments brundavan",1
"equipments vishveswaraian",1
"e ward",1
"facilitate people",1
"fencing improvements",1
"first grade",1
"floor bangalore",1
"flooring shuttle",1
"floor main",1
"foundation akhil",1
"f padmanabhanagar",1
"f park",1
"front e",1
"front wall",1
"gajboo building",1
"gajboo ward",1
"ganapathi seva",1
"ganapathi sri",1
"ganesha mandirnear",1
"ganesha mandirthe",1
"ganesh mandira",1
"gangadhar bin",1
"gangadhar urban",1
"gangamma temple",1
"garden banasankari",1
"garden banashankari",1
"gardens banashankari",1
"gardin small",1
"gardin wardclean",1
"gate ss",1
"girls padmanabhanagar",1
"giving three",1
"good development",1
"government degree",1
"government first",1
"government government",1
"government higher",1
"government urdu",1
"gowda crossroads",1
"gowda itummadu",1
"gowdanapalya hongge",1
"gowdanapalya layout",1
"gowdanapalya padmanabhanagar",1
"grade college",1
"grid hotel",1
"ground yediyur",1
"gurudaraja layout",1
"gurudasayya main",1
"guru shanadevara",1
"gym equipments",1
"hall convenience",1
"hall facilitate",1
"hall papaya",1
"hall temple",1
"hanumanthanagar slam",1
"hanumanthappa cross",1
"hanumanthappa three",1
"harehahalli ward",1
"hariharalli anganwadi",1
"hherahahalli ward",1
"hherahalli ward",1
"higher primary",1
"holissetch park",1
"holly park",1
"holly sechitt",1
"hongge tree",1
"hosakere village",1
"hosheerahalli banashankari",1
"hoshekerahalli sri",1
"hosikereahalli banashankari",1
"hostel girls",1
"hotel karisandra",1
"housework hostel",1
"housing society",1
"huge mavalli",1
"idummadu main",1
"improvemental works",1
"improvements around",1
"improvements park",1
"improvement works",1
"inaugurated large",1
"incorporate motor",1
"installation pipes",1
"installedward laxmanarao",1
"install pipes",1
"install tv",1
"isro layout",1
"istro layout",1
"itummadu ward",1
"jagshaknagar new",1
"jayanagara ward",1
"jayanagar block",1
"jayanagar district",1
"jayanagar layout",1
"jhbs layout",1
"john bin",1
"join karesendra",1
"kadiranahalli park",1
"kadiranahalli underpass",1
"kakatiya nagar",1
"kalam park",1
"kalidasnagar park",1
"kanakapura main",1
"kantirava park",1
"kareasandra bangalore",1
"karendra holissetch",1
"karesendra ward",1
"karismandra ward",1
"kariyappa bin",1
"karnataka brahmin",1
"kaverinagar bsk",1
"kerekodi new",1
"khane muneswara",1
"kk binna",1
"kkn main",1
"km puttilingayyas",1
"ko lei",1
"kom buntschalaya",1
"krishna religious",1
"krishn grid",1
"kslayout ward",1
"kumaraswamy install",1
"kumardaswamy layout",1
"ku npbinappappa",1
"ku tara",1
"kv kom",1
"laboratory construction",1
"lake manjuna",1
"lakhs development",1
"lakhs rs",1
"lakshmanappa gardin",1
"lakshmanrao blvdard",1
"lakshmi devi",1
"large mallalli",1
"last road",1
"late hanumanthappa",1
"laxmanarao bullward",1
"laxmanrao boulevard",1
"layout bam",1
"layout childrens",1
"layout dr",1
"layout kanakapura",1
"layout main",1
"layout new",1
"l basavaraj",1
"lei venkatesh",1
"library laboratory",1
"link fencing",1
"located maruthinagar",1
"located padmanabhanagar",1
"lokesh cross",1
"lord anjaneya",1
"machinery rising",1
"madeiah siddalingeswara",1
"mahasabha bangalore",1
"main elephant",1
"main street",1
"mallalli rock",1
"mandira ward",1
"mandir bangalore",1
"mandirnear papaya",1
"mandirthe construction",1
"mandir ward",1
"manjuna bin",1
"manjuna slum",1
"mankere prakash",1
"maruthinagar new",1
"mavalli temple",1
"meenaj ward",1
"methodology council",1
"middle park",1
"milk supply",1
"mla assembly",1
"m manjuna",1
"mr kariyappa",1
"mr l",1
"mr nawab",1
"mr shivanna",1
"mrs lakshmi",1
"muneswara swamy",1
"munirady building",1
"nagar banashankari",1
"nagar bell",1
"nagar chikkakalasundra",1
"nagar hosikereahalli",1
"nagar krishn",1
"name plate",1
"nandini dairy",1
"narasimhaiah gowdanapalya",1
"narayanappa main",1
"national college",1
"nawab john",1
"nd block",1
"nd crossroads",1
"nd floor",1
"nd main",1
"nd phase",1
"near bhubaneswari",1
"near hanumanthanagar",1
"near holly",1
"near hosakere",1
"near kakatiya",1
"near kerekodi",1
"near maramma",1
"near munirady",1
"near sri",1
"near srigangamma",1
"near svs",1
"near vacant",1
"near wardwishawaraya",1
"near water",1
"newcomerahalli main",1
"new harehahalli",1
"new hariharalli",1
"new hherahahalli",1
"new hherahalli",1
"newkerahalli sri",1
"newkerehalli payte",1
"newkerehalli ward",1
"newly built",1
"newly constructed",1
"new toilet",1
"nilaya st",1
"npbinappappa cross",1
"number block",1
