"word","freq"
"water supply",42
"tube well",29
"pump motor",28
"ward koramangala",25
"ro water",24
"water plant",24
"installation ro",23
"supply power",22
"drive vehicle",21
"pipe well",21
"three wheel",21
"wheel drive",21
"main road",20
"bangalore urban",17
"water tanker",17
"well drilling",17
"power connectivity",13
"ward bangalore",13
"drilling work",12
"motor installation",12
"urban district",12
"connectivity pipeline",11
"construction water",11
"installation work",11
"ward adugodi",11
"district ward",10
"koramangala village",10
"tanker water",10
"well near",10
"assembly constituency",9
"btm assembly",9
"drinking water",9
"library building",9
"pipe line",9
"ward ejipura",9
"b three",8
"drilled water",8
"ejipura installation",8
"koramangala installation",8
"motor installment",8
"providing cement",8
"rd block",8
"st mine",8
"adugodi installation",7
"block koramangala",7
"block ngv",7
"st block",7
"supply work",7
"ward construction",7
"water pipeline",7
"water project",7
"well drilled",7
"bem three",6
"cross ezipur",6
"drilling borewell",6
"floor library",6
"koramangala block",6
"koramangala st",6
"nearly drinking",6
"near sri",6
"pipeline near",6
"plant near",6
"sgpalya ward",6
"sharavathi block",6
"st cross",6
"supply works",6
"vehicle purchase",6
"ward cross",6
"ward koramangalasgv",6
"work near",6
"work pipe",6
"bell three",5
"connection pipeline",5
"construction tube",5
"construction work",5
"cotton g",5
"cross venkatapura",5
"development works",5
"electrification facilities",5
"laying pipeline",5
"ngv koramangala",5
"office road",5
"pipeline electrification",5
"pipeline line",5
"power connection",5
"power pipeline",5
"providing laying",5
"providing pump",5
"ra road",5
"south police",5
"st crossroads",5
"supply project",5
"ward work",5
"work pipeline",5
"works pipeline",5
"adugodi btm",4
"ambedkar colony",4
"bangalore city",4
"block cotton",4
"block post",4
"block st",4
"borewell near",4
"cement concree",4
"cement concrete",4
"colony scst",4
"colony watd",4
"concree road",4
"concrete footpa",4
"constituency stage",4
"cra south",4
"cross ambedkar",4
"cross b",4
"cross ezhipuram",4
"cross near",4
"ezipur cross",4
"facilities near",4
"g pipe",4
"jakasandra extension",4
"krishna sharavathi",4
"large diameter",4
"nandini block",4
"nd main",4
"park block",4
"park koramangala",4
"pipeline water",4
"post office",4
"project pipeline",4
"rd crossroads",4
"sattar layout",4
"scst colony",4
"sri lakshmi",4
"stage bangalore",4
"temple road",4
"three wheeler",4
"triplicate vehicle",4
"tube wells",4
"urban ward",4
"ward ezhipur",4
"ward ezipur",4
"ward pump",4
"watd adugodi",4
"water tank",4
"work water",4
"adugodi crossroads",3
"aegpur rd",3
"anjanappa compound",3
"audugodi block",3
"badavane maruthi",3
"badavane sgpalya",3
"balajinagar sgpalya",3
"bangalore triplicate",3
"bay cross",3
"b cross",3
"block cra",3
"block ejipura",3
"block ward",3
"btm layout",3
"c cross",3
"chandrareddi layout",3
"channamma badavane",3
"city ward",3
"classic apartment",3
"construction library",3
"construction rcc",3
"cross pump",3
"cross rangappa",3
"crossroads nearly",3
"cross tube",3
"day school",3
"diameter pipe",3
"drainage nandini",3
"drilling plant",3
"ejipura ward",3
"emerald classic",3
"extension koramangala",3
"ezhipur st",3
"ezipur jj",3
"ezipur thumb",3
"first floor",3
"ganesh temple",3
"good day",3
"houses adugodi",3
"installment pipe",3
"jakkasandra koramangala",3
"jj church",3
"koramangala construction",3
"koramangala pump",3
"koramangalasgv yamuna",3
"koramangala ward",3
"lakshmi temple",3
"lay st",3
"l cross",3
"line water",3
"madiwala ward",3
"manjuna lay",3
"maruthi badavane",3
"motor borewell",3
"muneswara temple",3
"nd cross",3
"near anjanappa",3
"near church",3
"near cross",3
"near good",3
"near jj",3
"near ngview",3
"near pipe",3
"near sector",3
"ngview tungabhadra",3
"pipe drainage",3
"pipeline pipe",3
"pipeline well",3
"plant rajendra",3
"project project",3
"provide supply",3
"rajendra nagar",3
"rama temple",3
"rcc drain",3
"road cross",3
"road madiwala",3
"road st",3
"school balajinagar",3
"sector park",3
"sg palya",3
"sri ganesh",3
"sri muneswara",3
"supply borewells",3
"swabhimana park",3
"swabhiman park",3
"temple koramangala",3
"tennis court",3
"third cross",3
"thumb cross",3
"tungabhadra block",3
"uday bar",3
"venkatapura ward",3
"ward aegpur",3
"ward btm",3
"ward ezhipuram",3
"ward ezipura",3
"ward large",3
"ward nobangalore",3
"ward st",3
"ward uday",3
"ward water",3
"well koramangala",3
"wells water",3
"wm ezipur",3
"works nd",3
"work supply",3
"adugodi bell",2
"ambedkar bhavan",2
"apartment road",2
"bangalore metropolitan",2
"bangalore three",2
"bar koramangal",2
"bbmp lakshmidevi",2
"b chandrappanagar",2
"black cotton",2
"black jakasandra",2
"block b",2
"block bengaluru",2
"block jakasandra",2
"block khb",2
"borewell channamma",2
"borewelling work",2
"borewell providing",2
"btm nd",2
"building bbmp",2
"building koramangala",2
"building swabhimana",2
"chandrappanagar b",2
"colony park",2
"compound venkatapura",2
"constituency bengaluru",2
"construction room",2
"cotton gauging",2
"court home",2
"cross main",2
"cross opp",2
"crossroads tennis",2
"cross venkatapuram",2
"detailed auditorium",2
"detailed estimate",2
"development work",2
"division madiva",2
"drilling water",2
"ejipur chandrareddi",2
"estimate providing",2
"ezhipuram manjuna",2
"ezhipuram water",2
"ezipura c",2
"ezipura cross",2
"ezipur construction",2
"footpa krishna",2
"footpa sharavathi",2
"garden apartment",2
"garden koramangala",2
"gardham koramangala",2
"gauging well",2
"granite stones",2
"grape garden",2
"ground floor",2
"hse csr",2
"improvements library",2
"installment near",2
"installment tube",2
"jakasandra sri",2
"jakkasandra sri",2
"jakkasandra ward",2
"khb colony",2
"khb park",2
"koramangala bangalore",2
"koramangala khb",2
"koramangala park",2
"koramangala rd",2
"koramangalasgv netravati",2
"koramangala tube",2
"kormangala block",2
"kr gardham",2
"krishna block",2
"lakshmidevi park",2
"layout adugodi",2
"layout near",2
"layout ward",2
"library hall",2
"mahalingeshwara layout",2
"mahalingeswara layout",2
"main cross",2
"mayur garden",2
"mine jakkasandra",2
"motor fitted",2
"motor near",2
"msgrill staircase",2
"muneeshwara temple",2
"nagar main",2
"nd division",2
"nd floor",2
"nd mainland",2
"near ambedkar",2
"near ashwatakatte",2
"near drinking",2
"near emerald",2
"near jakasandra",2
"near l",2
"near library",2
"near ra",2
"n ezipura",2
"nozzle well",2
"ns palya",2
"park hse",2
"park kormangala",2
"park rd",2
"pipeline supply",2
"pipeline tube",2
"pipe wells",2
"plant adugodi",2
"police residences",2
"police residential",2
"project scheme",2
"providing msgrill",2
"providing water",2
"pumps motor",2
"rajendranagar koramangala",2
"rangappa gordon",2
"rd cross",2
"rd main",2
"residences adugodi",2
"residential houses",2
"road b",2
"road nd",2
"road tube",2
"road wno",2
"room near",2
"side main",2
"sri muneeshwara",2
"sri rama",2
"staircase granite",2
"stairs ground",2
"st black",2
"st crossway",2
"st main",2
"stones stairs",2
"supplies power",2
"supply facilities",2
"supply pipeline",2
"supply supplies",2
"supply supply",2
"tankers water",2
"tank water",2
"temple complex",2
"temple tube",2
"venkatapura jakkasandra",2
"village koramangala",2
"village near",2
"ward bay",2
"ward crossing",2
"ward first",2
"ward kormangala",2
"ward lakshadra",2
"ward ngv",2
"water tankers",2
"well kr",2
"well pipeline",2
"well pump",2
"well water",2
"wheeler vehicle",2
"wi water",2
"wm koramangala",2
"w n",2
"wno bangalore",2
"work tube",2
"yamuna block",2
"abdul kaleel",1
"abdullah rehman",1
"adjoining house",1
"adugodi anjeneya",1
"adugodi bem",1
"adugodi government",1
"adugodi nandini",1
"adugodi police",1
"adugodi post",1
"adugodi smt",1
"adugodi ward",1
"ahmed cross",1
"al ameen",1
"ameen stores",1
"anayaya shetty",1
"anjeneya temple",1
"apartment near",1
"apartment provide",1
"apartments near",1
"approach measurement",1
"aradhana layout",1
"area ​​",1
"article pump",1
"ashipara apartment",1
"ashoka g",1
"ashwatakete tube",1
"asif ulla",1
"ataullah nd",1
"athletes participating",1
"athletes selected",1
"auditorium library",1
"audugodi balappa",1
"audugodi bem",1
"back tube",1
"baig disabled",1
"balakrishna yai",1
"balappa layout",1
"bar koramangala",1
"barrier construction",1
"bbmp park",1
"bbmp site",1
"bbmp swabhiman",1
"bbmp swabhimana",1
"b chandappanagar",1
"bcom granting",1
"beg vol",1
"bell purchase",1
"bemu three",1
"benjamin paul",1
"bharathi layout",1
"bhavana koramangala",1
"bhavan sri",1
"bin abdul",1
"bin abdullah",1
"bin husman",1
