"word","freq"
"mahadevapura assembly",136
"assembly constituency",124
"construction bus",95
"bus shelter",89
"east taluk",85
"bangalore east",83
"gram panchayat",63
"village mahadevapura",27
"near mahadevapura",25
"constituency bangalore",24
"bbmp limits",22
"limits mahadevapura",22
"village near",19
"construction work",16
"taluk mahadevapura",16
"mandur gram",14
"village bangalore",14
"constituency shelter",13
"drinking water",12
"taluk mandur",12
"clean drinking",11
"shelter near",11
"bus stand",10
"kannur gram",10
"panchayat bangalore",10
"rs per",9
"village bbmp",9
"building construction",8
"bus shelters",8
"community hall",8
"mandur village",8
"per campus",8
"shelter space",8
"space rs",8
"bidarahalli hobli",7
"panchayat mahadevapura",7
"panchayat range",7
"bidarahalli gram",6
"community building",6
"compound wall",6
"cross village",6
"primary school",6
"taluk bangalore",6
"taluk kannur",6
"village bidarahalli",6
"water construction",6
"water unit",6
"assembly cet ",5
"assembly constituency ",5
"coming mahadevapura",5
"village kannur",5
"constituency rplant",4
"hirandahalli village",4
"panchayat mandir",4
"panchayat ranges",4
"shelter constructed",4
"shelter village",4
"taluk bidarahalli",4
"taluk vilabanahalli",4
"unit works",4
"vilabanahalli gram",4
"village community",4
"bidarahalli village",3
"cet  place",3
"community bhavan",3
"constituency place",3
"constituency will",3
"constituency  place",3
"construction community",3
"construction government",3
"first floor",3
"halnakayakanahalli gram",3
"higher primary",3
"high school",3
"hka road",3
"hobli mahadevapura",3
"kodathi gram",3
"milk producers",3
"mullur ambedkar",3
"mullur village",3
"near bbmp",3
"panchayat mandur",3
"range bangalore",3
"range mahadevapura",3
"ranges mahadevapura",3
"restoration work",3
"rock village",3
"sigahalli gram",3
"stand near",3
"taluk halnakayakanahalli",3
"taluk near",3
"ufram bangalore",3
"varthur hobli",3
"wall government",3
"will constructed",3
"within mahadevapura",3
"aavalahalli gram",2
"ambedkar bhavan",2
"ambedkar nagar",2
"apartment near",2
"balance work",2
"bhavan gramarama",2
"cet  times",2
"circle bbmp",2
"college hirandahalli",2
"colony village",2
"coming bbmp",2
"compaheed construction",2
"constituency bbmp",2
"constituency construction",2
"constituency located",2
"constituency times",2
"constituency  times",2
"constructed bus",2
"construction milk",2
"construction works",2
"co operative",2
"drive vehicle",2
"east east",2
"east point",2
"front mullur",2
"gate near",2
"gate village",2
"government high",2
"government higher",2
"government urdu",2
"grama panchayat",2
"ground floor",2
"hobli located",2
"hoodi circle",2
"hoodi village",2
"hoodi ward",2
"hosur rock",2
"hosur village",2
"huskur village",2
"jyothipura village",2
"kadugodi bangalore",2
"kanamangala gram",2
"kannur village",2
"kathaganur gram",2
"kodadi gram",2
"kodathi village",2
"located mahadevapura",2
"mandir compaheed",2
"mandir construction",2
"mullur government",2
"muttanallur cross",2
"nagar village",2
"near east",2
"operative society",2
"panchayat construction",2
"piraharahalli village",2
"producers association",2
"room construction",2
"school room",2
"senior primary",2
"shelter bidarahalli",2
"shelter chikkubbi",2
"shelter front",2
"shelter gundur",2
"shelter hirandahalli",2
"shelter hosur",2
"shelter kannur",2
"shelter mandur",2
"shelter mullur",2
"shelter rampur",2
"shelter sulikunte",2
"stand constructed",2
"sulikunte village",2
"taluk coming",2
"taluk kanamangala",2
"taluk sigahalli",2
"temple gramarama",2
"thirumanahalli village",2
"three wheel",2
"toilet construction",2
"umbrahim bangalore",2
"umbrahim kathaganur",2
"village construction",2
"vishwakarma bhavan",2
"wheel drive",2
"work vishwakarma",2
"aadaragapalya village",1
"aavalahalli village",1
"aavalahli village",1
"aavallahalli gram",1
"additional building",1
"adjusting grill",1
"adoor gram",1
"adoor village",1
