"word","freq"
"anekal taluk",55
"cement concrete",31
"road development",28
"gram panchayat",26
"development work",25
"gp anekal",24
"chandapura panchayat",21
"construction work",20
"panchayat range",19
"main road",18
"sarjapur hobli",18
"concrete pavement",15
"concrete road",15
"cement road",14
"providing cement",14
"janatha colony",13
"taluk sarjapur",13
"kasaba hobli",12
"m m",12
"road works",11
"drinking water",10
"hobli road",10
"karpoor panchayat",10
"samandur gp",10
"water unit",10
"basthamahalli ufrema",9
"colony karpoor",9
"pavement road",9
"rachmanahalli janatha",9
"rcc drainage",9
"road construction",9
"sewage works",9
"taluk kasaba",9
"ufrema rachmanahalli",9
"village samandur",9
"assembly constituency",8
"hobli anekal",7
"layout chandapura",7
"panchayat junction",7
"rcc sewage",7
"road work",7
"sewage work",7
"step basthamahalli",7
"unit p",7
"work step",7
"attibele village",6
"chandapura gram",6
"clean drinking",6
"concrete drainage",6
"concrete work",6
"covering slab",6
"gouramma layout",6
"hobli neriga",6
"panchayat chandapura",6
"rcc drain",6
"village chandapura",6
"anekal assembly",5
"attibele hobli",5
"construction rcc",5
"drainage work",5
"drainage works",5
"house near",5
"indlavadi panchayat",5
"kasab hobli",5
"road attibele",5
"village road",5
"work near",5
"additional pipeline",4
"agrahara village",4
"asphalting road",4
"cross gouramma",4
"dommasandra panchayat",4
"drain road",4
"kasabha hobli",4
"kirti layout",4
"kittaganahalli village",4
"laying additional",4
"nd cross",4
"near attibele",4
"neriga gram",4
"neriga panchayat",4
"pa construction",4
"panchayat area",4
"panchayat ranges",4
"pipeline work",4
"p ooo",4
"ramasagara village",4
"ramasagar village",4
"reddys house",4
"school building",4
"sewage stage",4
"village bommasandra",4
"village coming",4
"village muguru",4
"walking pa",4
"wall construction",4
"work cross",4
"work dumasandra",4
"​​anekal assembly",3
"anekal city",3
"area ​​anekal",3
"attibele municipality",3
"attibele panchayat",3
"banahalli gramar",3
"buy three",3
"cemetery road",3
"center domasndra",3
"construction cement",3
"construction works",3
"cross kirti",3
"domasndra panchayat",3
"drainage cement",3
"drive vehicle",3
"dumasandra ufrem",3
"gopalareddy house",3
"house ramasagar",3
"international student",3
"krishnappas house",3
"metalling asphalting",3
"metalling work",3
"mtrs mtrs",3
"muthagatti village",3
"narayanaghat village",3
"near btl",3
"panchayat radius",3
"panchayat sanpur",3
"panditha agrahara",3
"pavement main",3
"pipeline bw",3
"primary center",3
"primary primary",3
"primary school",3
"pvc pipeline",3
"reddy house",3
"samundar gp",3
"samundur panchayat",3
"sanpur panchayat",3
"sidioshakote village",3
"slab work",3
"stage near",3
"three wheel",3
"three wheeler",3
"ufrem primary",3
"vanakanahalli panchayat",3
"village attibele",3
"village comes",3
"village indlavadi",3
"village vanakanahalli",3
"wheel drive",3
"work front",3
"work nd",3
"adaptation pipeline",2
"ambedkar bhavan",2
"anandas house",2
"anand reddys",2
"ancal kasabha",2
"anekal kasabha",2
"anekal m",2
"anjaneyaswamy temple",2
"around muslim",2
"attibele municipal",2
"banahalli chandapura",2
"banahalli village",2
"bannerghatta main",2
"bellary panchayat",2
"bob road",2
"btl institution",2
"building narayanaghat",2
"calvert works",2
"chakra clinic",2
"chanchpur panchayat",2
"chandhapur gp",2
"chandigarh panchayat",2
"chhatrakane village",2
"city anekal",2
"clinic chandigarh",2
"colony mugurur",2
"concrete construction",2
"construction masonry",2
"co operative",2
"dappanahalli village",2
"development urbanization",2
"dhammasandra village",2
"dommasandra village",2
"dormasandra panchayat",2
"drainage covering",2
"drainage rcc",2
"drain calvert",2
"drain wi",2
"draupadma temple",2
"dumasandra uframada",2
"dumasandra village",2
"emme nanjundappas",2
"front mayasandra",2
"govt school",2
"gramar range",2
"guest house",2
"guruwareddi layout",2
"haragadde gp",2
"head tank",2
"heal center",2
"hobli bab",2
"hobli shantipur",2
"hobli surgajakanahalli",2
"house concrete",2
"house krishnappas",2
"house kumbaranahally",2
"house kuvempunagara",2
"house marammana",2
"house maranayakanahalli",2
"house marigemmas",2
"house munirajappa",2
"house panditha",2
"house sidiosakote",2
"house sunavara",2
"house sureshs",2
"house yellamma",2
"huskur panchayat",2
"huskur village",2
"inner drainage",2
"jabees house",2
"jigala village",2
"kenchareddy house",2
"krishna reddy",2
"kumar bin",2
"kumbaranahally village",2
"layout banahalli",2
"layout chanchpur",2
"library building",2
"lingayya house",2
"manjuna reddy",2
"marammana temple",2
"maramma temple",2
"maranayakanahalli village",2
"marigemmas house",2
"masinative drain",2
"masonary drain",2
"masonry drain",2
"mayasandra panchayat",2
"mayasandra sri",2
"m chandapura",2
"milk producers",2
"mughal panchayat",2
"muguru gram",2
"muguru panchayat",2
"mugurur panchayat",2
"mugurur village",2
"muneeshwara temple",2
"municipal corporation",2
"munirady layout",2
"munirajappa house",2
"muniriddi layout",2
"muniyappas house",2
"muslim cemetery",2
"muthanallur panchayat",2
"narayanaappas house",2
"near sri",2
"nh guruwareddi",2
"old chanpura",2
"old sabarpur",2
"operative society",2
"panchayat anekal",2
"panchayat chakra",2
"panchayat m",2
"panchayat rcc",2
"panchayat sarjapur",2
"panchayat sewage",2
"peddareddy venkataswamyreddy",2
"phase basthamahalli",2
"p oo",2
"price road",2
"primary heal",2
"providing metalling",2
"radius m",2
"rainwater sewage",2
"rama temple",2
"range anekal",2
"range lingayya",2
"reddy layout",2
"road bob",2
"road gopalareddy",2
"road house",2
"road kenchareddy",2
"road seenappa",2
"road sri",2
"road subbareddys",2
"sabarpur nh",2
"samanthur p",2
"sandapura panchayat",2
"sarjapura hobli",2
"sarjapur main",2
"sc colony",2
"seenappa house",2
"senior primary",2
"sewage construction",2
"shantipur gram",2
"sidiosakote village",2
"siston adaptation",2
"slab road",2
"slab works",2
"sri draupadma",2
"sri rama",2
"stone slab",2
"student guest",2
"subbareddys house",2
"suburban metalling",2
"sunavara village",2
"surajakakanahalli panchayat",2
"sureshs house",2
"surgajakanahalli gram",2
"swamy temple",2
"taluk attibele",2
"taluk ch",2
"taluk m",2
"tank tank",2
"temple dumasandra",2
"temple mayasandra",2
"temple muthagatti",2
"uframada dormasandra",2
"ufrand clean",2
"uppiyas house",2
"urbanization work",2
"vanakanahally gp",2
"venkataswamyreddy land",2
"via muniriddi",2
"village anekal",2
"village chandhapur",2
"village haragadde",2
"village milk",2
"village samundar",2
"village sandapura",2
"village sarjapur",2
"village sarjapura",2
"village vanakanahally",2
"vkr layout",2
"wheeler vehicle",2
"wi covering",2
"work anekal",2
"work around",2
"work gouramma",2
"work huskur",2
"work janatha",2
"work library",2
"work m",2
"work road",2
"works jabees",2
"works m",2
"works old",2
"works road",2
"works uppiyas",2
"work surajakakanahalli",2
"yellamma temple",2
"abbannas house",1
"agassar thimarayappas",1
"anacal town",1
"á nakal",1
"anantal taluk",1
"ananthal taluk",1
"anekal hosur",1
"anekal indlavadi",1
"anekal kasaba",1
"anekal main",1
"anekal mainstream",1
"anekal municipal",1
"anekal school",1
"anekal vidhyabha",1
"anekla talukstage",1
"anjal taluk",1
"anjaneya swamy",1
"annayappas house",1
"appappa shop",1
"appeyas son",1
"arahalli janatha",1
"area ​​chamba",1
"around khabasthan",1
"ashoks house",1
"ashtonian house",1
"ashwatakatte village",1
"ashwathty annayappas",1
"association anekal",1
"athibelle pancha",1
"athisjappas house",1
"atibele gramara",1
"atibele village",1
"attiabele panchayat",1
"attibele gramara",1
"attibele gramaras",1
"avadanahalli village",1
"bab garethigenbele",1
"bab road",1
"badminton stadium",1
"banahally village",1
"banana hills",1
"bangalore city",1
"basaveshwara temple",1
"b dommasandra",1
"bekary jayaramareddy",1
"bellary gram",1
"bellary umbrella",1
"bellary village",1
"bellur village",1
"belt bellary",1
"bhadrareddy home",1
"bhaktipura border",1
"bhavanarayana swamy",1
"bhavan construction",1
"bhavan rajakaluve",1
"bin gkshankarappa",1
"bin late",1
"bin muniyappa",1
"bin mutharayappa",1
"binny rajanna",1
"bin papareddy",1
"bin thimayya",1
"bitter gourmet",1
"bldg chandapura",1
"block closure",1
"block govt",1
"blocking work",1
"boil borewell",1
"bommandali lake",1
"bommasandra gp",1
"bommasandra pampa",1
"border anantal",1
"border anekal",1
"borewell koguru",1
"bo sides",1
"bridge situated",1
"bridge wall",1
"bs slab",1
"b three",1
"bt institution",1
"btl btl",1
"btl vidhavini",1
"building construction",1
"building dumasandra",1
"building meenasigana",1
"building menasiganahalli",1
"building muniriddi",1
"building state",1
"burial ground",1
"bus nissaya",1
"bw gandhinagara",1
"bw oht",1
"bw s",1
"care center",1
"caveman road",1
"cement slab",1
"cemetery agrahara",1
"cemetery anekal",1
"cemetery atibele",1
"cemetery grounds",1
"cemetery sewage",1
"center dommasandra",1
"chain kalvart",1
"chain kalwor",1
"chairman venkatarayappa",1
"chanchapura village",1
"chandapura chhatrakane",1
"chandapura chhatrane",1
"chandapura chhatrapane",1
"chandapura gpanekal",1
"chandapura junction",1
"chandapura village",1
"chandapur gp",1
"chandipura gp",1
"chandrapur via",1
"chandrasekhar house",1
"chanpura panchayat",1
"chanpura village",1
"chanpura ward",1
"chapuru gram",1
"chenkakeshwadi house",1
"chhatrane via",1
"chhatrapana kirti",1
"chhatrapane via",1
"chinnagamangala village",1
"chinnakundi umbridge",1
"chinnanahalli ufrand",1
"chinnappan house",1
"chinnappans house",1
"chinnasahalli indlavadi",1
"chintura chhatrapana",1
"chiranagamangala main",1
"ch mtr",1
"ch mtrs",1
"choodahalli u",1
"choodahalli undral",1
"choudareddi house",1
"chowdeshwari temple",1
"christian cemetery",1
"city anacal",1
"city ramayya",1
"cleaner drinking",1
"closure works",1
"college room",1
"colony chandapura",1
"colony mugalur",1
"colony pavilion",1
"colony rcc",1
"colony st",1
"colony tyagarajus",1
"comes athibelle",1
"comes kasab",1
"comes muthanallur",1
"comes scope",1
"coming mararur",1
"coming shantipur",1
"coming suragajakanahalli",1
"coming surgahakakkanahalli",1
"compaheed laxman",1
"completed house",1
"complex phase",1
"compound chandapura",1
"compound construction",1
"compound satyanarayana",1
"compound wall",1
"concrete sewers",1
"connecticut road",1
"connecting banahalli",1
"conservation cemetery",1
"constituency bridge",1
"constituency sidioshakote",1
"constituency stone",1
"construction around",1
"construction avadanahalli",1
"construction completed",1
"construction compound",1
"construction double",1
