"word","freq"
"cement concrete",56
"providing cement",56
"concrete road",50
"sou taluk",21
"bangalore sou",20
"grama panchayat",18
"hobli bangalore",17
"bangalore taluk",14
"main road",14
"jigani hobli",13
"anekal taluk",12
"government road",9
"limits bangalore",9
"panchayat limits",9
"anglo indian",8
"assembly constituency",8
"road front",8
"road leading",8
"tavarekere hobli",8
"colony ward",7
"constituency stage",7
"hobli anekal",7
"indian colony",7
"park anglo",7
"school building",7
"shanthalanagar ward",7
"shantinagar assembly",7
"ward shanthalanagar",7
"ward shantinagar",7
"construction compound",6
"grama bangalore",6
"grama jigani",6
"panchayat bangalore",6
"community hall",5
"concrete government",5
"construction gazebo",5
"gram panchayat",5
"guddahatti village",5
"house kyalasanahalli",5
"kolar district",5
"leading guddahatti",5
"nerlur grama",5
"panchayat anekal",5
"primary school",5
"sarvagnanagar bangalore",5
"taluk stage",5
"village nerlur",5
"water plant",5
"bangalore south",4
"compound wall",4
"covered shelter",4
"hutchins main",4
"improvement road",4
"kyalasanahalli grama",4
"leading silvepura",4
"mutharayaswamy temple",4
"open air",4
"park sarvagnanagar",4
"plant unit",4
"providing cc",4
"road bangalore",4
"road park",4
"ro water",4
"silvepura grama",4
"wheeler bike",4
"yeshwantapura bangalore",4
"air covered",3
"bangalore friend",3
"bus stand",3
"chikkanahalli gp",3
"compound ornamental",3
"construction renovation",3
"construction stage",3
"construction two",3
"cox town",3
"dasanapura hobli",3
"dombarahalli grama",3
"foundation work",3
"friend need",3
"gp bangalore",3
"gp jigani",3
"grill park",3
"halli hospet",3
"hospet taluk",3
"house kachanayakanahalli",3
"infant jesus",3
"jesus church",3
"kannada model",3
"medical equipment",3
"mini ambulance",3
"mysore district",3
"near mutharayaswamy",3
"need society",3
"one ro",3
"ornamental grill",3
"providing flooring",3
"providing improvement",3
"providing one",3
"ramohalli gp",3
"road near",3
"school oorgaum",3
"school sarvajnanagar",3
"silvepura kassaghattapura",3
"taluk bellary",3
"town bangalore",3
"uttarahalli hobli",3
"village chikkanahalli",3
"village jigani",3
"village ramohalli",3
"ward lingarajapuram",3
"work gazebo",3
"apparatus nebuliser",2
"area stage",2
"around open",2
"bangalore purchase",2
"bangarpet taluk",2
"bellary district",2
"benches beautification",2
"bengeri hubli",2
"block opp",2
"bp monitor",2
"care unit",2
"cc around",2
